recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
25168303553000,target_offset,227,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.10873242130985966}",-4.9896552
25168316061400,position,496,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542059,""lon"":393492750}",-4.9771468
25168316241400,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111810,""roll"":0.008065300062298775,""pitch"":0.17111250758171082,""yaw"":-3.032055377960205,""rollspeed"":-0.019427111372351646,""pitchspeed"":0.0009753578342497349,""yawspeed"":0.03622863441705704}",-4.9769668
25168316519300,vfr,496,"{""message_type"":""VFR_HUD"",""airspeed"":29.517507553100586,""alt"":182.4199981689453}",-4.9766889
25168317842500,gimbal,2286,"{""imu_roll"":0.0,""imu_pitch"":21.062158584594727,""imu_yaw"":0.24762384593486786,""frame_roll"":0.0,""frame_pitch"":21.062158584594727,""frame_yaw"":0.24762384593486786,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9753657
25168318142200,fov,2286,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.975066
25168340383200,range,1005,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94816589355469,""y"":39.34830093383789}",-4.952825
25168347639900,target_offset,228,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.10873242130985966}",-4.9455683
25168353705100,range,1006,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94816589355469,""y"":39.34830093383789}",-4.9395031
25168361731400,gimbal,2287,"{""imu_roll"":0.0,""imu_pitch"":21.103715896606445,""imu_yaw"":0.13272666931152344,""frame_roll"":0.0,""frame_pitch"":21.103715896606445,""frame_yaw"":0.13272666931152344,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9314768
25168362155100,fov,2287,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9310531
25168375873300,attitude,993,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111870,""roll"":0.008373290300369263,""pitch"":0.17106473445892334,""yaw"":-3.030282735824585,""rollspeed"":-0.027550382539629936,""pitchspeed"":0.0006639263592660427,""yawspeed"":0.03394197300076485}",-4.9173349
25168392119300,target_offset,229,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.10873242130985966}",-4.9010889
25168404457400,gimbal,2288,"{""imu_roll"":0.0,""imu_pitch"":21.14714241027832,""imu_yaw"":0.01771628111600876,""frame_roll"":0.0,""frame_pitch"":21.14714241027832,""frame_yaw"":0.01771628111600876,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8887508
25168404800300,fov,2288,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8884079
25168420310700,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111910,""roll"":0.008290049619972706,""pitch"":0.1710190325975418,""yaw"":-3.029200792312622,""rollspeed"":-0.032875802367925644,""pitchspeed"":0.00032141583506017923,""yawspeed"":0.03224676102399826}",-4.8728975
25168420544400,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":29.496143341064453,""alt"":182.69000244140625}",-4.8726638
25168420619500,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542059,""lon"":393492750}",-4.8725887
25168432759900,target_offset,230,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.10873242130985966}",-4.8604483
25168447874600,gimbal,2289,"{""imu_roll"":0.0,""imu_pitch"":21.19086456298828,""imu_yaw"":-0.056967370212078094,""frame_roll"":0.0,""frame_pitch"":21.19086456298828,""frame_yaw"":-0.056967370212078094,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8453336
25168448197200,fov,2289,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.845011
25168477496400,target_offset,231,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.10873242130985966}",-4.8157118
