recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
25624504018000,range,1000,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94822692871094,""y"":39.34870529174805}",-4.9867058
25624510035200,target_offset,230,"{""x_angle_offset"":0.46875,""y_angle_offset"":0.10873242130985966}",-4.9806886
25624517382000,range,1001,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94822692871094,""y"":39.34870529174805}",-4.9733418
25624517578600,attitude,989,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":0.0026066594291478395,""pitch"":0.1676514744758606,""yaw"":-3.0093913078308105,""rollspeed"":0.03878263011574745,""pitchspeed"":0.0025038677267730236,""yawspeed"":-0.06905356049537659}",-4.9731452
25624521280300,fov,2274,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9694435
25624521569800,gimbal,2274,"{""imu_roll"":0.0,""imu_pitch"":21.669593811035156,""imu_yaw"":-5.216362953186035,""frame_roll"":0.0,""frame_pitch"":21.669593811035156,""frame_yaw"":-5.216362953186035,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.969154
25624550319600,target_offset,231,"{""x_angle_offset"":0.46875,""y_angle_offset"":0.10873242130985966}",-4.9404042
25624557549000,vfr,495,"{""message_type"":""VFR_HUD"",""airspeed"":28.699003219604492,""alt"":185.84999084472656}",-4.9331748
25624557704900,position,495,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543046,""lon"":393491171}",-4.9330189
25624557819100,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111710,""roll"":0.0016694874502718449,""pitch"":0.16788427531719208,""yaw"":-3.0123000144958496,""rollspeed"":0.04039128124713898,""pitchspeed"":0.003873337060213089,""yawspeed"":-0.06809092313051224}",-4.9329047
25624561466200,fov,2275,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9292576
25624561762700,gimbal,2275,"{""imu_roll"":0.0,""imu_pitch"":21.712085723876953,""imu_yaw"":-5.026609897613525,""frame_roll"":0.0,""frame_pitch"":21.712085723876953,""frame_yaw"":-5.026609897613525,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9289611
25624592715300,target_offset,232,"{""x_angle_offset"":0.5625,""y_angle_offset"":0.10873242130985966}",-4.8980085
25624603203400,fov,2276,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8875204
25624603567000,gimbal,2276,"{""imu_roll"":0.0,""imu_pitch"":21.75529670715332,""imu_yaw"":-4.79745626449585,""frame_roll"":0.0,""frame_pitch"":21.75529670715332,""frame_yaw"":-4.79745626449585,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8871568
25624616910500,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":0.00037617815542034805,""pitch"":0.16829966008663177,""yaw"":-3.016545295715332,""rollspeed"":0.042302414774894714,""pitchspeed"":0.005167980212718248,""yawspeed"":-0.06623164564371109}",-4.8738133
25624631108500,target_offset,233,"{""x_angle_offset"":0.5625,""y_angle_offset"":0.10873242130985966}",-4.8596153
