event_monotonic_ns,event,value_json,session_time_s
25779239277800,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_0.48deg_8.1px"",""count"":4,""operator_like"":true,""tracker_state_preserved"":true}",-2.6043126
25779239504700,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":961,""pixel_y"":536,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-2.6040857
25779239551100,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":4,""operator_like"":true,""control_interruption"":false}",-2.6040393
25780867828300,HUNTER_ATTACK_READINESS_WAIT_BEGIN,"{""los_rate_deg_s"":0.4625540149738102,""roll_rate_deg_s"":1.6844418297580923,""crab_lock_confidence"":0.5164530865433232,""crab_latched"":false}",-0.9757621
25781689702300,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_0.83deg_13.9px"",""count"":5,""operator_like"":true,""tracker_state_preserved"":true}",-0.1538881
25781690122400,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":972,""pixel_y"":537,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-0.153468
25781690175400,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":5,""operator_like"":true,""control_interruption"":false}",-0.153415
25781842141000,HUNTER_ATTACK_READINESS_TIMEOUT,"{""ready"":false,""timeout"":true,""line_good"":false,""elapsed_s"":1.0232974999998987,""ready_hold_s"":0.0,""los_rate_deg_s"":0.46581879646158697,""roll_rate_deg_s"":1.7498490019106039,""crab_lock_confidence"":0.5435862724478426,""crab_latched"":false}",-0.0014494
25781842907200,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.40858061008905516,""effective_s"":0.0,""confidence"":0.5675241284236049,""candidate_s"":0.4,""fit_score"":3.2883129410042677,""excitation"":0.5375086223599287,""samples"":300,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9947775089458977}",-0.0006832
25781843559400,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.716130216998021,""hold_pitch_pwm"":1985,""uav_pitch_deg"":9.716130216998021,""frame_pitch_deg"":-26.51235580444336}",-3.1e-05
