recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
26587223785800,fov,2527,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.993357
26587224293200,gimbal,2527,"{""imu_roll"":0.0,""imu_pitch"":20.762516021728516,""imu_yaw"":-0.30773213505744934,""frame_roll"":0.0,""frame_pitch"":20.762516021728516,""frame_yaw"":-0.30773213505744934,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9928496
26587232740800,vfr,494,"{""message_type"":""VFR_HUD"",""airspeed"":29.749248504638672,""alt"":181.87998962402344}",-4.984402
26587232897000,attitude,985,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":-0.00680248998105526,""pitch"":0.17089557647705078,""yaw"":-3.0568273067474365,""rollspeed"":-0.0032616863027215004,""pitchspeed"":0.004291997291147709,""yawspeed"":0.00027966476045548916}",-4.9842458
26587233188300,position,494,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542866,""lon"":393492532}",-4.9839545
26587253935600,fov,2528,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9632072
26587254677500,gimbal,2528,"{""imu_roll"":0.0,""imu_pitch"":20.780866622924805,""imu_yaw"":-0.30965298414230347,""frame_roll"":0.0,""frame_pitch"":20.780866622924805,""frame_yaw"":-0.30965298414230347,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9624653
26587256184800,target_offset,340,"{""x_angle_offset"":-0.02279173582792282,""y_angle_offset"":0.11406396494971381}",-4.960958
26587265038700,range,1023,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948246002197266,""y"":39.34853744506836}",-4.9521041
26587277010600,range,1024,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948246002197266,""y"":39.34853744506836}",-4.9401322
26587277729000,fov,2529,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9394138
26587277950000,gimbal,2529,"{""imu_roll"":0.0,""imu_pitch"":20.804882049560547,""imu_yaw"":-0.3154694139957428,""frame_roll"":0.0,""frame_pitch"":20.804882049560547,""frame_yaw"":-0.3154694139957428,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9391928
26587286004000,target_offset,341,"{""x_angle_offset"":-0.02279173582792282,""y_angle_offset"":0.11406396494971381}",-4.9311388
