recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
26742038369800,gimbal,2652,"{""imu_roll"":0.0,""imu_pitch"":22.257658004760742,""imu_yaw"":-0.4784623086452484,""frame_roll"":0.0,""frame_pitch"":22.257658004760742,""frame_yaw"":-0.4784623086452484,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9820109
26742038885600,fov,2652,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9814951
26742041266900,attitude,1016,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112910,""roll"":-0.009629004634916782,""pitch"":0.16292203962802887,""yaw"":-3.0603041648864746,""rollspeed"":0.009190232492983341,""pitchspeed"":-0.003433298785239458,""yawspeed"":-0.0035617114044725895}",-4.9791138
26742041624100,vfr,508,"{""message_type"":""VFR_HUD"",""airspeed"":26.377206802368164,""alt"":195.83999633789062}",-4.9787566
26742041739000,position,508,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469539376,""lon"":393491943}",-4.9786417
26742045981900,target_offset,371,"{""x_angle_offset"":0.007597245275974274,""y_angle_offset"":0.030417057319923682}",-4.9743988
26742062154900,gimbal,2653,"{""imu_roll"":0.0,""imu_pitch"":22.262996673583984,""imu_yaw"":-0.4744403660297394,""frame_roll"":0.0,""frame_pitch"":22.262996673583984,""frame_yaw"":-0.4744403660297394,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9582258
26742062392400,fov,2653,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9579883
26742082839300,gimbal,2654,"{""imu_roll"":0.0,""imu_pitch"":22.26664924621582,""imu_yaw"":-0.47119465470314026,""frame_roll"":0.0,""frame_pitch"":22.26664924621582,""frame_yaw"":-0.47119465470314026,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9375414
26742083447500,fov,2654,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9369332
26742094016200,target_offset,372,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.0380213216499046}",-4.9263645
26742100233300,range,1035,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94789123535156,""y"":39.34850311279297}",-4.9201474
26742102240900,range,1036,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94789123535156,""y"":39.34850311279297}",-4.9181398
26742102416000,attitude,1017,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112970,""roll"":-0.009152130223810673,""pitch"":0.16277223825454712,""yaw"":-3.0606908798217773,""rollspeed"":0.009323513135313988,""pitchspeed"":-0.002806160133332014,""yawspeed"":-0.003307843115180731}",-4.9179647
26742109885100,gimbal,2655,"{""imu_roll"":0.0,""imu_pitch"":22.275705337524414,""imu_yaw"":-0.4631199538707733,""frame_roll"":0.0,""frame_pitch"":22.275705337524414,""frame_yaw"":-0.4631199538707733,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9104956
26742110162700,fov,2655,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.910218
26742118423600,target_offset,373,"{""x_angle_offset"":0.015194490551948547,""y_angle_offset"":0.04562558597988552}",-4.9019571
26742129200700,gimbal,2656,"{""imu_roll"":0.0,""imu_pitch"":22.28154754638672,""imu_yaw"":-0.45790961384773254,""frame_roll"":0.0,""frame_pitch"":22.28154754638672,""frame_yaw"":-0.45790961384773254,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.89118
26742129495300,fov,2656,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8908854
26742143544000,attitude,1018,"{""message_type"":""ATTITUDE"",""time_boot_ms"":113010,""roll"":-0.008830399252474308,""pitch"":0.16268296539783478,""yaw"":-3.0609419345855713,""rollspeed"":0.009383723139762878,""pitchspeed"":-0.002655521733686328,""yawspeed"":-0.0030941180884838104}",-4.8768367
26742143719100,vfr,509,"{""message_type"":""VFR_HUD"",""airspeed"":26.325807571411133,""alt"":196.0500030517578}",-4.8766616
26742143790400,position,509,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469539376,""lon"":393491943}",-4.8765903
