recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
39510337389200,gimbal,2366,"{""imu_roll"":0.0,""imu_pitch"":21.518367767333984,""imu_yaw"":-2.18813419342041,""frame_roll"":0.0,""frame_pitch"":21.518367767333984,""frame_yaw"":-2.18813419342041,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9896526
39510337788600,fov,2366,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9892532
39510363615900,attitude,1003,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112270,""roll"":-0.04402190074324608,""pitch"":0.17086747288703918,""yaw"":-3.028975248336792,""rollspeed"":-0.003788227215409279,""pitchspeed"":0.002876279642805457,""yawspeed"":-0.013163303025066853}",-4.9634259
39510365724400,target_offset,246,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.10873242130985966}",-4.9613174
39510380291500,gimbal,2367,"{""imu_roll"":0.0,""imu_pitch"":21.56298828125,""imu_yaw"":-2.268453359603882,""frame_roll"":0.0,""frame_pitch"":21.56298828125,""frame_yaw"":-2.268453359603882,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9467503
39510380600400,fov,2367,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9464414
39510398183900,position,502,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541289,""lon"":393492730}",-4.9288579
39510398313900,attitude,1004,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112310,""roll"":-0.04430704936385155,""pitch"":0.17077025771141052,""yaw"":-3.030021905899048,""rollspeed"":0.0018901857547461987,""pitchspeed"":0.0028254324570298195,""yawspeed"":-0.015422469936311245}",-4.9287279
39510398567300,vfr,502,"{""message_type"":""VFR_HUD"",""airspeed"":29.535860061645508,""alt"":183.11000061035156}",-4.9284745
39510411225600,target_offset,247,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.10873242130985966}",-4.9158162
39510425642600,gimbal,2368,"{""imu_roll"":0.0,""imu_pitch"":21.60811996459961,""imu_yaw"":-2.304992914199829,""frame_roll"":0.0,""frame_pitch"":21.60811996459961,""frame_yaw"":-2.304992914199829,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9013992
39510426042100,fov,2368,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9009997
39510448233000,range,1037,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94808578491211,""y"":39.34847640991211}",-4.8788088
39510453836800,target_offset,248,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.10873242130985966}",-4.873205
39510458654200,range,1038,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94808578491211,""y"":39.34847640991211}",-4.8683876
39510458734200,attitude,1005,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112370,""roll"":-0.0444522425532341,""pitch"":0.1706342101097107,""yaw"":-3.031747579574585,""rollspeed"":0.0073820664547383785,""pitchspeed"":0.003271555993705988,""yawspeed"":-0.018778057768940926}",-4.8683076
39510467228100,gimbal,2369,"{""imu_roll"":0.0,""imu_pitch"":21.65092658996582,""imu_yaw"":-2.343200922012329,""frame_roll"":0.0,""frame_pitch"":21.65092658996582,""frame_yaw"":-2.343200922012329,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8598137
39510467516100,fov,2369,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8595257
39510498580700,target_offset,249,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.8284611
39510501867500,vfr,503,"{""message_type"":""VFR_HUD"",""airspeed"":29.50899887084961,""alt"":183.38999938964844}",-4.8251743
39510501946400,position,503,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541289,""lon"":393492730}",-4.8250954
39510502015300,attitude,1006,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112410,""roll"":-0.04446154087781906,""pitch"":0.17055700719356537,""yaw"":-3.0330190658569336,""rollspeed"":0.008757062256336212,""pitchspeed"":0.0036709094420075417,""yawspeed"":-0.020988432690501213}",-4.8250265
39510513766300,gimbal,2370,"{""imu_roll"":0.0,""imu_pitch"":21.69625473022461,""imu_yaw"":-2.336935520172119,""frame_roll"":0.0,""frame_pitch"":21.69625473022461,""frame_yaw"":-2.336935520172119,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8132755
39510514065300,fov,2370,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8129765
39510541177700,target_offset,250,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.7858641
39510555325400,gimbal,2371,"{""imu_roll"":0.0,""imu_pitch"":21.740327835083008,""imu_yaw"":-2.295006036758423,""frame_roll"":0.0,""frame_pitch"":21.740327835083008,""frame_yaw"":-2.295006036758423,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7717164
39510555636900,fov,2371,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7714049
39510563816100,attitude,1007,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112470,""roll"":-0.04484270140528679,""pitch"":0.1703731268644333,""yaw"":-3.0351309776306152,""rollspeed"":0.007130025420337915,""pitchspeed"":0.003738687839359045,""yawspeed"":-0.024436164647340775}",-4.7632257
39510586649000,target_offset,251,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.7403928
39510600770800,range,1039,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94808578491211,""y"":39.348506927490234}",-4.726271
39510604345000,attitude,1008,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112510,""roll"":-0.04532106965780258,""pitch"":0.17022863030433655,""yaw"":-3.036668300628662,""rollspeed"":0.004472407978028059,""pitchspeed"":0.003907012287527323,""yawspeed"":-0.02673063427209854}",-4.7226968
39510604784200,gimbal,2372,"{""imu_roll"":0.0,""imu_pitch"":21.787132263183594,""imu_yaw"":-2.249483346939087,""frame_roll"":0.0,""frame_pitch"":21.787132263183594,""frame_yaw"":-2.249483346939087,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7222576
39510604909200,vfr,504,"{""message_type"":""VFR_HUD"",""airspeed"":29.46059226989746,""alt"":183.6699981689453}",-4.7221326
39510604987600,position,504,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540720,""lon"":393492656}",-4.7220542
39510605270800,fov,2372,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.721771
39510621759700,range,1040,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94808578491211,""y"":39.348506927490234}",-4.7052821
39510632616400,target_offset,252,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.6944254
