truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15604,40295128073100,7.2935,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0675,1.572957728,9.121473128,185.273969,-3.021609903102188,-0.011184796575026648,0.32747338901637624,-17.670763670957026,0.6580954938373609,-6.859788871537746,-29.98291353672,-10.0018445124,-2.6277055101360003,31.607151070560004,2.6277055101360003,30.164291290296,4.752437239,198.4479155461524,605.7705190128,7.193961642528,131.97157068168,46.95485394,39.34742851,132.00037970712,46.949405,39.347334,4.444492046736,30.076635412776,-0.7028066860272,2.1878148869472,4.160444283,-1.335072013,0.9723361201,0.2015881675,550.2805673897902,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002571419,0.01370084295,0.9772168802,-11.228039931135864,1.8096836633387647,-129.07624950280444,13.240971528787163,1.8096836633387647,-129.07624950280444,24.469011459923028,0.0,0.0,-0.3454415814988101,-0.04679095873319617,-1.1192914094208204,-1.315767779096244,0.06249579067359661,-1.1225181040150756,-0.9703261975974341,0.1092867494067928,-0.003226694552224574,0.431111,0.431111,-5.4000000001321355,-8.84999999991416,-3.449999999782026,-3.449999999782026,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0072935,200.0000000001819,137.10838417769247,0.6855419208878388,0.9757239927876026,False,-4.784312093419549e-05,-7.999995986246778,8.807243823127919e-11,7.9999959863898376,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.735392821049778,7.966124102840321,4.9610288449999995,4.369035889,-5.4000000001321355,-8.84999999991416,-3.449999999782026,-3.449999999782026,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,605.7705190128,7.193961642528,131.97157068168,605.7705190128,7.193961642528,131.97157068168,601.4826928807255,12.844163124988698,601.6198154660719,-178.77668215839273,128.77157462302657,615.2467153852381,-12.081375247539803,615.2467153852381,False,-17.22459770454509,-4.050651158392725,-16.833812486539802,-21.2028483755398,30.1896121604203,28.970971603802553,21.236661434733673,-574.6379629551816,178.15053716492088,-0.8913553107098053,-0.8277282200222846,-4.9945138
15605,40295132015800,3.9427,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0725,1.557915003,9.121382626,185.2755524,-3.1142546655819525,-0.007956697674167623,0.29290200380006054,-20.305600859840023,0.6255958712388254,-7.025388267565596,-29.979998539248,-10.003574066472002,-2.6267165142984,31.604933254320002,2.6267165142984,30.16142252184,4.75098858,198.45256211927932,605.6206128864001,7.1439482724,131.98472103384,46.95485259,39.34742785,132.01351576416,46.949405,39.347334,4.444492046736,30.073752306528,-0.7022080579128,2.1880892736984,4.161361738,-1.334061535,0.9993140169,0.2182225084,550.1752078375091,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001243306,0.01332317335,0.977199401,-11.233365724600713,1.7597989579290427,-129.07394074233946,13.223519060278115,1.7597989579290427,-129.07394074233946,24.456884789327052,0.0,0.0,-0.5415492631927985,-0.04998997000609302,-1.1462046217100508,-1.5120334999468166,0.05960480928024636,-1.1493958197701823,-0.9704842362116909,0.10959477928633939,-0.003191198098094363,0.431111,0.431111,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0039427,199.99999999961346,253.6332969792274,1.268166484898588,0.978011977143058,False,-4.784218718518335e-05,-7.999995973695276,4.053610225263071e-10,7.999995973838331,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7356129689371174,7.96610377681816,4.960020888000001,4.370394046000001,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,605.6206128864001,7.1439482724,131.98472103384,605.6206128864001,7.1439482724,131.98472103384,601.3327867543255,12.794149754860697,601.4688775769474,-178.78114046554686,128.78472497518658,615.1018745546199,-12.085515741929125,615.1018745546199,False,-17.233702584826176,-4.056692865546893,-16.836504321929127,-21.206898367929128,30.186006242466235,28.967010289485007,21.234565404145325,-574.4654843117053,178.19713249149325,-0.8919733953265856,-0.827957735419281,-4.9905711
15606,40295135108600,3.0928,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0775,1.542355826,9.121313066,185.2769596,-3.2150851643539813,-0.004869229968092926,0.25779547182050083,-19.972167985019972,0.6061961585706794,-7.015553699113605,-29.97708073152,-10.005279218256002,-2.6257281448248,31.602705288240003,2.6257281448248,30.158549534952,4.749542363,198.45716898643107,605.4707213904001,7.093926328248,131.99786644824,46.95485124,39.34742719,132.02664685296,46.949405,39.347334,4.444492046736,30.070865920632002,-0.7015606465584,2.1883659223704,4.162284106,-1.332958347,1.026739012,0.2413422126,550.0697046444511,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1000673554,0.01330330627,0.9772518533,-11.229723836565872,1.7571748029827765,-129.08086893646967,13.216076905277822,1.7571748029827765,-129.08086893646967,24.44580074629192,0.0,0.0,-0.5165588160581924,-0.05222153868354323,-1.144663829247865,-1.4871920638482399,0.0576915521379394,-1.147821152467721,-0.9706332477900476,0.10991309083504082,-0.0031573231913838134,0.431111,0.431111,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0030928,200.0000000001819,323.33160889808585,1.616658044488959,0.9819381008265761,False,-4.7842820444787826e-05,-7.999995979330094,-2.6635248173700887e-10,7.9999959794731526,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7358086184006019,7.966085707560047,4.95902896,4.371770703000001,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,605.4707213904001,7.093926328248,131.99786644824,605.4707213904001,7.093926328248,131.99786644824,601.1828952583255,12.744127810708697,601.3179577767809,-178.78560185717495,128.79787038958656,614.957053591331,-12.08965738388439,614.957053591331,False,-17.242770843606024,-4.062561457174979,-16.83919974688439,-21.210970449884393,30.182396031891543,28.96304456614608,21.232472718359638,-574.2931365598911,178.2433158495453,-0.8925895511928548,-0.8281873105048609,-4.9874783
15607,40295138556300,3.4477,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0825,1.526267865,9.121263818,185.2781896,-3.3142630941355433,-0.0018782703408277322,0.2227385200561934,-19.64571642904625,0.5870315499664408,-7.005523752053475,-29.97416120472,-10.006969913376,-2.624742456372,31.6004713176,2.624742456372,30.155674246824,4.748101661,198.46175264879213,605.3208445248,7.043895889320001,132.01100692488,46.95484989,39.34742653,132.03977303448002,46.949405,39.347334,4.444492046736,30.067978583760002,-0.7008546855623999,2.1886424354064,4.163206523,-1.331743776,1.053681222,0.2643032338,549.9641286733995,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1000176985,0.01328172416,0.977304024,-11.226084061436298,1.7543241179025313,-129.08775994346718,13.209595352631789,1.7543241179025313,-129.08775994346718,24.43567940961987,0.0,0.0,-0.4920971644974673,-0.054446414704645986,-1.1430892571238236,-1.4628710449109508,0.055788767252116275,-1.1462138515763158,-0.9707738798711565,0.11023518195676227,-0.003124594489099329,0.431111,0.431111,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0034477,200.0000000001819,290.04843808916087,1.4502421904444853,0.9851451310896514,False,-4.784261612548156e-05,-7.999995995004559,-3.376975227231682e-10,7.999995995147616,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7359796305726729,7.966069909716282,4.958057294999999,4.373162156999999,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,605.3208445248,7.043895889320001,132.01100692488,605.3208445248,7.043895889320001,132.01100692488,601.0330183927255,12.6940973717807,601.167056072066,-178.79006632767306,128.81101086622658,614.8122525021225,-12.093800173709887,614.8122525021225,False,-17.251818976465188,-4.068255927673022,-16.841901834709887,-21.215063991709886,30.17878283563996,28.959075281294307,21.230382756705342,-574.1208685574977,178.2892526013248,-0.8932047218613864,-0.828417157942594,-4.9840306
15608,40295143497000,4.9407,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0875,1.509659347,9.121234308,185.2792427,-3.4118231016845106,0.0010173532621257923,0.1877321236240098,-19.326121797051957,0.5681003997194344,-6.995299285821898,-29.971240336800005,-10.008645670248,-2.6237595031944,31.59823152528,2.6237595031944,30.152796998832002,4.746666544,198.46631207503845,605.1709819848,6.993857034864001,132.02414249424,46.95484855,39.34742588,132.05289427824,46.949405,39.347334,4.444492046736,30.065090637288,-0.7000905422088,2.1889187088696,4.164128745,-1.330418474,1.080151723,0.2871046042,549.8584914156163,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997481983,0.01325843933,0.9773558744,-11.222447008618355,1.7512485276236636,-129.0946086478771,13.204003493239245,1.7512485276236636,-129.0946086478771,24.426450501857598,0.0,0.0,-0.46815442758057935,-0.05666412468556463,-1.1414810684428258,-1.4390611598494571,0.05389660506433653,-1.144574057965452,-0.9709067325400413,0.11056072974990117,-0.0030929894982211475,0.431111,0.431111,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0049407,199.99999999961346,202.40046956908938,1.012002347847403,0.9854079212565661,False,-4.784437362751609e-05,-7.99999598467796,3.150999183798575e-10,7.999995984821028,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7361260473099932,7.966056381019206,4.957105563,4.374567764,-5.250000000017057,-9.000000001175156,-3.7500000000121836,-3.7500000000121836,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,605.1709819848,6.993857034864001,132.02414249424,605.1709819848,6.993857034864001,132.02414249424,600.8831558527255,12.644058517324698,601.0161721645436,-178.79453387081966,128.82414643558658,614.667471002149,-12.097944120441573,614.667471002149,False,-17.260845945858136,-4.073776570819632,-16.844610664441575,-21.219178428441573,30.175167025231968,28.955102785026302,21.22829525302238,-573.9486833572514,178.3349322925764,-0.8938188599027089,-0.8286472908242521,-4.9790899
15609,40295156722800,13.2258,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0925,1.492536256,9.121223956,185.280119,-3.5127338603844813,0.0037994576189120935,0.15258398270452253,-21.9607914416165,0.5378091058334302,-7.100735030848073,-29.968318234439998,-10.010300545272,-2.62277883114,31.595984143440003,2.62277883114,30.149917467888002,4.745236458,198.47083689463392,605.02113438,6.943809844128,132.03727312584002,46.9548472,39.34742522,132.0660106452,46.949405,39.347334,4.444492046736,30.062201581344002,-0.6992740287288001,2.1891951322944,4.165051579,-1.328993471,1.107855624,0.3046567578,549.7527813798396,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09989861992,0.0129690514,0.9773820297,-11.224045334712708,1.713024558943785,-129.0980633591946,13.194005181032407,1.713024558943785,-129.0980633591946,24.418050515745115,0.0,0.0,-0.6642894592409669,-0.05972735152307779,-1.1585287187490692,-1.6353218222788461,0.051164120063615086,-1.1615914087233494,-0.9710323631734609,0.11089147160025106,-0.0030626900149546884,0.431111,0.431111,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0132258,200.0000000001819,75.60979298038683,0.3780489649015903,0.9697563151117471,False,-4.784481220968147e-05,-7.999995974171084,7.079985209212936e-11,7.999995974314155,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7362478826411988,7.96604512154001,4.956172377,4.375987498,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,605.02113438,6.943809844128,132.03727312584002,605.02113438,6.943809844128,132.03727312584002,600.7333082479255,12.5940113265887,600.8653066701316,-178.79900448222293,128.8372770671866,614.5227096876716,-12.102089209704285,614.5227096876716,False,-17.269841376856846,-4.07912348222294,-16.847325667704286,-21.223313165704283,30.171548586352515,28.951127160361903,21.226210167355358,-573.7766136465442,178.38025224809962,-0.8944313964068443,-0.8288776660816645,-4.9658641
15610,40295157108600,0.3858,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0975,1.47485502,9.121232043,185.2808167,-3.6217876121522408,0.006450155709666966,0.11710324717611738,-21.602144476131485,0.5194601681969321,-7.089689046270681,-29.965395132336003,-10.011931892784002,-2.6218002896376,31.59372859296,2.6218002896376,30.147035690568,4.743811228,198.47532246662044,604.8713014056001,6.893754445128001,132.05039885016,46.95484585,39.34742456,132.0791220744,46.949405,39.347334,4.444492046736,30.059311415928,-0.6984085692456,2.1894710735256,4.165973828,-1.327475247,1.136880893,0.3267038738,549.6470000024768,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09986789125,0.0129431537,0.9774332597,-11.220411395649892,1.7096038462737424,-129.1048301273624,13.190008146983804,1.7096038462737424,-129.1048301273624,24.410419542633697,0.0,0.0,-0.6374520397511025,-0.061928881213275576,-1.1567872791954552,-1.6086033308007919,0.04930026304309543,-1.159821154377625,-0.9711512903717804,0.11122914425637101,-0.0030338751672556495,0.431111,0.431111,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0003858,200.0000000001819,2592.016588906169,12.960082944519058,0.9790009180034066,False,-4.784615667932472e-05,-7.999995966082981,-3.98192853690027e-10,7.999995966226059,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7363448864100759,7.966036155539515,4.955258214999999,4.377420814999999,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,604.8713014056001,6.893754445128001,132.05039885016,604.8713014056001,6.893754445128001,132.05039885016,600.5834752735256,12.543955927588698,600.7144592915496,-178.80347815099614,128.85040279150658,614.3779682748009,-12.10623545051245,614.3779682748009,False,-17.278800617616582,-4.084294850996116,-16.85004667851245,-21.22746749351245,30.16792770446765,28.9471486184909,21.224127335372426,-573.6046738629467,178.42516561438651,-0.8950420771556393,-0.8291082744866445,-4.9654783
15611,40295159791400,2.6828,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1025,1.456603833,9.12125794,185.2813352,-3.7290635950569317,0.009009726011313704,0.08167811542556049,-21.250894693719662,0.5014065080270844,-7.078463800387927,-29.962471676664,-10.013546839008,-2.6208246007584,31.591467678,2.6208246007584,30.144152840352003,4.742391725,198.47978065122436,604.7214827568,6.8436909293040005,132.06351969768,46.9548445,39.3474239,132.09222865728,46.949405,39.347334,4.444492046736,30.05642155836,-0.6974873405064,2.1897454520472,4.166893246,-1.32585075,1.165415556,0.3485774128,549.5411898969588,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09984252049,0.01291561903,0.9774835635,-11.216784907358285,1.7059669131129591,-129.11147452495354,13.186714350083244,1.7059669131129591,-129.11147452495354,24.40349926188975,0.0,0.0,-0.6111721873766371,-0.0641176508668999,-1.155014729585526,-1.5824361813356087,0.04745175868134641,-1.1580208431749672,-0.9712639943657169,0.1115694095482463,-0.003006113532497054,0.431111,0.431111,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0026828,199.99999999961346,372.7448933949605,1.8637244669784045,0.9837226557218846,False,-4.784362983417147e-05,-7.999995973243714,2.7505117627946163e-10,7.999995973386778,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7364169752803936,7.966029491636592,4.954364694,4.3788662149999995,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,604.7214827568,6.8436909293040005,132.06351969768,604.7214827568,6.8436909293040005,132.06351969768,600.4336566247255,12.493892411764698,600.5636297307185,-178.8079548697388,128.86352363902657,614.2332464788938,-12.110382851912078,614.2332464788938,False,-17.287735520963167,-4.089290069738809,-16.85277457691208,-21.231640791912078,30.16430517999159,28.94316778881518,21.222046286041245,-573.4328268287236,178.46979147899108,-0.8956515791113294,-0.8293391984337588,-4.9627955
15612,40295162974800,3.1834,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1075,1.437791547,9.121301079,185.2816748,-3.8345985133478666,0.011479636055549877,0.04630948186861799,-20.906907632645666,0.4836438972964297,-7.0670601640956585,-29.959548160032,-10.015144865784,-2.6198517733416002,31.589201520480003,2.6198517733416002,30.14126917632,4.740977948,198.48421041712163,604.5716790432,6.793619375904,132.07663563792,46.95484315,39.34742325,132.10533033288002,46.949405,39.347334,4.444492046736,30.053532246384002,-0.69651073296,2.190018222444,4.167809714,-1.324120682,1.193470736,0.3702766035,549.4353606393372,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09982211,0.0128864604,0.9775329291,-11.213166212350945,1.702115478699089,-129.11799499509047,13.184071603794738,1.702115478699089,-129.11799499509047,24.397237816145683,0.0,0.0,-0.5854394254411203,-0.06629348375308114,-1.153211236820471,-1.5568103462537504,0.04561854310578451,-1.1561906192388247,-0.9713709205414668,0.11191202685886564,-0.002979382316667555,0.431111,0.431111,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0031834,200.0000000001819,314.1295470251932,1.5706477351245376,0.9874358491574597,False,-4.784457239923566e-05,-7.999995979413862,-6.405495578398757e-11,7.999995979556932,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7364641910246774,7.966025126651524,4.9534913650000005,4.380323131,-5.099999999901978,-9.150000002436151,-3.9000000001272626,-3.9000000001272626,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,604.5716790432,6.793619375904,132.07663563792,604.5716790432,6.793619375904,132.07663563792,600.2838529111255,12.443820858364699,600.4128186034845,-178.81243463402302,128.87663957926657,614.0885448961127,-12.114531399508584,614.0885448961127,False,-17.29664505114465,-4.094109434023039,-16.855509347508583,-21.235832478508584,30.160681298711562,28.93918495063799,21.219966835402342,-573.2610765237441,178.5141195710261,-0.8962598500997905,-0.829570442976866,-4.9596121
15613,40295169285700,6.3109,True,udp,127.0.0.1:52458,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1125,1.418424776,9.12136089,185.2818356,-3.943313844156186,0.013839760946193365,0.010707159688434945,-23.48819035328538,0.45323456190062755,-7.23001443743693,-29.956624366032003,-10.016718026976001,-2.618880397992,31.58692740768,2.618880397992,30.138383820648002,4.739567768,198.48859824250832,604.4218896552001,6.743539885512,132.08974676232,46.95484181,39.34742259,132.11842716216,46.949405,39.347334,4.444492046736,30.050642330904,-0.6954864742008,2.1902907032808003,4.16872589,-1.322299744,1.223566219,0.3850532278,549.329480628641,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0997386412,0.01249755421,0.9775136417,-11.21849403420485,1.6507465827789745,-129.115447409607,13.173095914989931,1.6507465827789745,-129.115447409607,24.391589953643003,0.0,0.0,-0.7776164873184047,-0.06943624684399,-1.179687086373129,-1.7490889700130723,0.042823594392621823,-1.1826409727705463,-0.9714724826946676,0.11225984123661183,-0.0029538863458962415,0.431111,0.431111,-4.9499999997868995,-9.299999997967568,-4.199999999784462,-4.199999999784462,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0063109,200.0000000001819,158.45600469029773,0.7922800234507681,0.9850033340754175,False,-4.78418018395807e-05,-7.999996006506164,3.24856225253356e-10,7.999996006649216,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.7364865475871523,7.966023059741178,4.952635,4.381793122,-4.9499999997868995,-9.299999997967568,-4.199999999784462,-4.199999999784462,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,604.4218896552001,6.743539885512,132.08974676232,604.4218896552001,6.743539885512,132.08974676232,600.1340635231255,12.393741367972698,600.2620253071779,-178.8169174349587,128.88975070366658,613.9438629568084,-12.11868111387545,613.9438629568084,False,-17.305515677467042,-4.0987530349586905,-16.85824888187545,-21.240042003875452,30.157055685042433,28.935200028923102,21.217889019019093,-573.0894646923867,178.55801433839014,-0.8968661316416522,-0.829801874041537,-4.9533012
