recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
40295126197200,gimbal,2272,"{""imu_roll"":0.0,""imu_pitch"":21.4997501373291,""imu_yaw"":-4.039276123046875,""frame_roll"":0.0,""frame_pitch"":21.4997501373291,""frame_yaw"":-4.039276123046875,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9963897
40295126505700,fov,2272,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9960812
40295131224200,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112070,""roll"":0.004196362569928169,""pitch"":0.17034946382045746,""yaw"":-2.9663898944854736,""rollspeed"":-0.0527157261967659,""pitchspeed"":0.0005199789884500206,""yawspeed"":0.006346213631331921}",-4.9913627
40295139208300,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94811248779297,""y"":39.348297119140625}",-4.9833786
40295151335800,range,1010,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94811248779297,""y"":39.348297119140625}",-4.9712511
40295153471600,target_offset,232,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.10873242130985966}",-4.9691153
40295167717200,position,496,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541510,""lon"":393492375}",-4.9548697
40295167815400,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112110,""roll"":0.001824385137297213,""pitch"":0.17021368443965912,""yaw"":-2.9668776988983154,""rollspeed"":-0.06646528840065002,""pitchspeed"":0.0009514588746242225,""yawspeed"":0.001486197579652071}",-4.9547715
40295168056100,vfr,496,"{""message_type"":""VFR_HUD"",""airspeed"":29.440332412719727,""alt"":183.25999450683594}",-4.9545308
40295168915900,gimbal,2273,"{""imu_roll"":0.0,""imu_pitch"":21.544109344482422,""imu_yaw"":-4.123662948608398,""frame_roll"":0.0,""frame_pitch"":21.544109344482422,""frame_yaw"":-4.123662948608398,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.953671
40295171204500,fov,2273,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9513824
40295205519500,target_offset,233,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.0}",-4.9170674
40295227719300,gimbal,2274,"{""imu_roll"":0.0,""imu_pitch"":21.537954330444336,""imu_yaw"":-4.2231340408325195,""frame_roll"":0.0,""frame_pitch"":21.537954330444336,""frame_yaw"":-4.2231340408325195,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8948676
40295228165000,fov,2274,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8944219
40295237317400,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112170,""roll"":-0.002935627708211541,""pitch"":0.1700335592031479,""yaw"":-2.9679362773895264,""rollspeed"":-0.08967915177345276,""pitchspeed"":0.001499144360423088,""yawspeed"":-0.006048978306353092}",-4.8852695
40295255689600,target_offset,234,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.0}",-4.8668973
40295274800300,gimbal,2275,"{""imu_roll"":0.0,""imu_pitch"":21.53571319580078,""imu_yaw"":-4.293752670288086,""frame_roll"":0.0,""frame_pitch"":21.53571319580078,""frame_yaw"":-4.293752670288086,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8477866
40295275071900,fov,2275,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.847515
40295280959400,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540952,""lon"":393492240}",-4.8416275
40295281078500,attitude,993,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112210,""roll"":-0.0069352746941149235,""pitch"":0.16993632912635803,""yaw"":-2.968881368637085,""rollspeed"":-0.10563578456640244,""pitchspeed"":0.0021079913713037968,""yawspeed"":-0.011183938011527061}",-4.8415084
40295281297000,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":29.38290786743164,""alt"":183.52999877929688}",-4.8412899
40295296684600,range,1011,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.348304748535156}",-4.8259023
40295301787700,target_offset,235,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.0}",-4.8207992
40295304605100,range,1012,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.348304748535156}",-4.8179818
40295314088700,gimbal,2276,"{""imu_roll"":0.0,""imu_pitch"":21.534690856933594,""imu_yaw"":-4.348681449890137,""frame_roll"":0.0,""frame_pitch"":21.534690856933594,""frame_yaw"":-4.348681449890137,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8084982
40295314351300,fov,2276,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8082356
40295340006800,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112270,""roll"":-0.015285109169781208,""pitch"":0.16979163885116577,""yaw"":-2.970820426940918,""rollspeed"":-0.1287139654159546,""pitchspeed"":0.002871959935873747,""yawspeed"":-0.018813958391547203}",-4.7825801
40295344087000,target_offset,236,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.10873242130985966}",-4.7784999
40295358336300,gimbal,2277,"{""imu_roll"":0.0,""imu_pitch"":21.583383560180664,""imu_yaw"":-4.403162479400635,""frame_roll"":0.0,""frame_pitch"":21.583383560180664,""frame_yaw"":-4.403162479400635,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7642506
40295358650600,fov,2277,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7639363
40295373710700,attitude,995,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112310,""roll"":-0.021566307172179222,""pitch"":0.16970102488994598,""yaw"":-2.9723289012908936,""rollspeed"":-0.141208216547966,""pitchspeed"":0.003113373415544629,""yawspeed"":-0.023760853335261345}",-4.7488762
40295374006100,vfr,498,"{""message_type"":""VFR_HUD"",""airspeed"":29.312902450561523,""alt"":183.80999755859375}",-4.7485808
40295374106900,position,498,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540952,""lon"":393492240}",-4.74848
40295388979300,target_offset,237,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.10873242130985966}",-4.7336076
40295400377300,gimbal,2278,"{""imu_roll"":0.0,""imu_pitch"":21.62677574157715,""imu_yaw"":-4.448873043060303,""frame_roll"":0.0,""frame_pitch"":21.62677574157715,""frame_yaw"":-4.448873043060303,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7222096
40295400687600,fov,2278,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7218993
40295430165100,target_offset,238,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.10873242130985966}",-4.6924218
40295435707100,attitude,996,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112370,""roll"":-0.03176311403512955,""pitch"":0.16957350075244904,""yaw"":-2.9748871326446533,""rollspeed"":-0.15421758592128754,""pitchspeed"":0.003896365873515606,""yawspeed"":-0.03077198565006256}",-4.6868798
40295445881600,gimbal,2279,"{""imu_roll"":0.0,""imu_pitch"":21.67243766784668,""imu_yaw"":-4.496735572814941,""frame_roll"":0.0,""frame_pitch"":21.67243766784668,""frame_yaw"":-4.496735572814941,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6767053
40295446081900,fov,2279,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.676505
40295468533800,range,1013,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.348304748535156}",-4.6540531
40295474117700,target_offset,239,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.10873242130985966}",-4.6484692
40295478085500,attitude,997,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112410,""roll"":-0.03884126618504524,""pitch"":0.1694870889186859,""yaw"":-2.9767656326293945,""rollspeed"":-0.15745991468429565,""pitchspeed"":0.004251072648912668,""yawspeed"":-0.03498471528291702}",-4.6445014
40295478286700,vfr,499,"{""message_type"":""VFR_HUD"",""airspeed"":29.2637996673584,""alt"":184.0800018310547}",-4.6443002
40295478374500,range,1014,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.348304748535156}",-4.6442124
40295478432800,position,499,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540952,""lon"":393492240}",-4.6441541
40295486376100,gimbal,2280,"{""imu_roll"":0.0,""imu_pitch"":21.715476989746094,""imu_yaw"":-4.579281330108643,""frame_roll"":0.0,""frame_pitch"":21.715476989746094,""frame_yaw"":-4.579281330108643,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6362108
40295486631800,fov,2280,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6359551
40295517334700,target_offset,240,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.10873242130985966}",-4.6052522
40295528015800,gimbal,2281,"{""imu_roll"":0.0,""imu_pitch"":21.758512496948242,""imu_yaw"":-4.659977912902832,""frame_roll"":0.0,""frame_pitch"":21.758512496948242,""frame_yaw"":-4.659977912902832,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5945711
40295529548300,fov,2281,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5930386
