truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15662,41119646912600,7.9797,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4191667,0.923598852,9.189359522,185.5411524,-0.3458575883663475,0.25971048389984397,0.12267419104753285,0.3471444272808008,0.5297807609328972,0.21466820118432145,-29.981743436952,-3.1349847749760005,-2.6345840740776003,30.145199767392,2.6345840740776003,30.260107438008003,4.994757834,185.96933365387412,598.5246914928001,45.91276722432001,132.5016635712,46.95478876,39.34793715,132.52994852352,46.949405,39.347334,4.444492046736,30.178220930712,0.26092410601968,2.2092990371208003,4.187062422,0.494050966,0.2074423296,0.01606550695,553.7537889273564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462902331,-0.007571768161,0.9911212482,-11.21898650571632,-1.0001213203528003,-130.91281589694864,19.3228046362609,-1.0001213203528003,-130.91281589694864,30.541791141977225,0.0,0.0,1.1996576730069923,-0.09119440751658603,0.036125070363370516,0.02584393629564411,0.04814487017100316,0.03512348299785307,-1.1738137367113481,0.13933927764691467,-0.0010015873697204797,0.55,0.55,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0079797,199.99999999961346,125.31799441081746,0.6265899720552983,0.9110794453987828,True,-2.746365936357757e-09,4.62842277549243e-09,2.1289598026031481e-10,5.386106937621483e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.0022971,4.1946016880000006,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.5246914928001,45.91276722432001,132.5016635712,598.5246914928001,45.91276722432001,132.5016635712,594.2368653607256,51.56296870678071,596.4697745029479,-175.04076701492886,129.30166751254657,610.3237772831095,-12.23122853304069,610.3237772831095,False,-1.010100668802977,-0.5819194149288478,-17.22598636704069,-21.42058805504069,30.14051529241962,28.898186343657066,21.119795201856014,-596.3770848484377,10.514968534277251,-0.051047196270245905,-0.8411697831353903,-4.9936608
15663,41119657911500,10.9989,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4241667,0.9219761342,9.190654802,185.541797,-0.34413742324760593,0.2623023880891715,0.12374792707634152,0.3397175398982692,0.5024765933407098,0.214852883186088,-29.981024544816,-3.1353458319120002,-2.6346701127167997,30.144522325008005,2.6346701127167997,30.259440054024,4.995031809,185.97015831202864,598.3747856712,45.897092640480004,132.5148508956,46.95478741,39.34793694,132.54312164424002,46.949405,39.347334,4.444492046736,30.177515199840002,0.26095902238368,2.2097939097912,4.188094559,0.4941279788,0.2058276438,0.01458242826,553.7286608886409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463155695,-0.007572714778,0.9913443854,-11.216815804705623,-1.0002463545245392,-130.9422891016559,19.326147528183434,-1.0002463545245392,-130.9422891016559,30.542963328440834,0.0,0.0,1.1991099216067937,-0.0936661813078339,0.0361272686459174,0.025293273954310594,0.045666596181765606,0.03515425812646053,-1.1738166476524832,0.13933277744892497,-0.0009730105168808192,0.55,0.55,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0109989,200.0000000001819,90.91818272736364,0.45459091363640475,0.901253843598072,True,-5.516718366971951e-09,-2.2925496328458907e-08,1.6127729305344966e-10,2.3580470177923153e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.002560243,4.195622992999999,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.3747856712,45.897092640480004,132.5148508956,598.3747856712,45.897092640480004,132.5148508956,594.0869595391255,51.5472941229407,596.319074846545,-175.0410223069143,129.31485483694658,610.1792939024889,-12.235436641601726,610.1792939024889,False,-1.0111806189429444,-0.5828193069143026,-17.230468450601727,-21.426091443601727,30.13982793372397,28.89683819575969,21.115780549029974,-596.2262103642582,10.523549805778245,-0.05111353248680449,-0.8415624737637513,-4.9826619
15664,41119659369200,1.4577,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4291667,0.920362851,9.191962687,185.5424473,-0.34245396100307945,0.26475837448549294,0.12482253371451991,0.33249713252493257,0.4754639468465725,0.21501223541128114,-29.980304119536,-3.1357054867680003,-2.634767086056,30.143843218416002,2.634767086056,30.258771975096003,4.995326696,185.9709806210562,598.2248835072,45.881416288800004,132.5280386772,46.95478606,39.34793674,132.55629525264,46.949405,39.347334,4.444492046736,30.176809121496003,0.26099001798336,2.2102843656048,4.189118449,0.494197582,0.2041212995,0.01310109144,553.7035079521908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463404791,-0.007573546101,0.9915651435,-11.214659520381183,-1.0003561602095785,-130.97144803950601,19.32943431468673,-1.0003561602095785,-130.97144803950601,30.54409383506791,0.0,0.0,1.1985779151848475,-0.09611129815902696,0.036126811965757864,0.024757961966857214,0.043214778051222966,0.035180875802027584,-1.1738199531366411,0.13932607618313356,-0.0009459361606119035,0.55,0.55,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0014577,200.0000000001819,686.0122110173561,3.430061055083661,0.9086048968816941,True,-8.084476261202753e-10,-4.6748282014197806e-09,3.6870147107002446e-10,4.758523621012972e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.002844238,4.196635991,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.2248835072,45.881416288800004,132.5280386772,598.2248835072,45.881416288800004,132.5280386772,593.9370573751255,51.5316177712607,596.168378693089,-175.04127792761537,129.32804261854656,610.0348173351182,-12.23964671569051,610.0348173351182,False,-1.012258548671582,-0.5837252276153322,-17.23497341169051,-21.431609402690512,30.139138919016656,28.89548565697217,21.11176896547241,-596.0753396351773,10.532104839701823,-0.05117979646138534,-0.841956390735228,-4.9812042
15665,41119663510900,4.1417,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4341667,0.9187650661,9.19327981,185.5431032,-0.3358308448278413,0.26493015680086834,0.12598658851832184,1.807029181110778,-0.1938819352356213,0.24157744226094588,-29.979575921856004,-3.1360672051200003,-2.6349248919888004,30.1431566046,2.6349248919888004,30.258101707704,4.995737587,185.97180843047863,598.0749850008,45.86573807784,132.5412270684,46.95478471,39.34793653,132.56946944016002,46.949405,39.347334,4.444492046736,30.176104978632,0.26102051742960003,2.2107183468552,4.19003546,0.4942662845,0.1749752055,0.01353788432,553.6782755345108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464233593,-0.007486369319,0.9931375471,-11.204802941859674,-0.9888413656275326,-131.1791399104619,19.34037845670384,-0.9888413656275326,-131.1791399104619,30.54518139856351,0.0,0.0,1.3084727941173209,-0.1569769624342202,0.040327441855775865,0.13464917150007713,-0.017658776365846063,0.03938326387608644,-1.1738236226579184,0.13931818613616503,-0.000944177969114047,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0041417,199.99999999961346,241.44674891952582,1.2072337445999621,0.9110582370806793,True,-1.7169708861086211e-10,-2.313174064308356e-08,1.2541117828594228e-10,2.3132717804718932e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.00324435,4.197542223,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.0749850008,45.86573807784,132.5412270684,598.0749850008,45.86573807784,132.5412270684,593.7871588687254,51.515939560300694,596.0176860347128,-175.0415338860343,129.34123100974656,609.8903476079041,-12.243858770733707,609.8903476079041,False,-1.013342316512933,-0.5846370860342631,-17.239596357733706,-21.43713858073371,30.138442331857142,28.89411235854701,21.10777240843309,-595.924471220439,10.54071472024659,-0.0512463723348198,-0.842355998634527,-4.9770625
15666,41119667025400,3.5145,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4391667,0.9172104306,9.194593446,185.5437652,-0.32686470386497224,0.26391710605529717,0.1271938227966635,1.7740320586857725,-0.21471101677336552,0.24126128827488882,-29.978844301272,-3.136428691824,-2.6351083047792,30.142466564832002,2.6351083047792,30.257430263784,4.996197367,185.97263652637992,597.925090152,45.85005809904,132.55441634352002,46.95478337,39.34793633,132.58264451160002,46.949405,39.347334,4.444492046736,30.175401701400002,0.26104918594224,2.211124497732,4.190899831,0.4943315421,0.1705944563,0.0124750728,553.6530005034002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464454121,-0.007487267244,0.9933121054,-11.202942904646587,-0.9889599685604603,-131.20219651100697,19.343288429905883,-0.9889599685604603,-131.20219651100697,30.546231334552466,0.0,0.0,1.3060203202454275,-0.15885845540584276,0.040291041668989835,0.13219269396557326,-0.019548810827844952,0.03933549188828239,-1.1738276262527378,0.13930964448309055,-0.0009555497723013701,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0035145,200.0000000001819,284.53549580310147,1.4226774790142134,0.9146293076770086,True,-7.202715599262632e-09,2.1827338172707787e-08,1.9397395667753287e-10,2.298585281440471e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.003693615,4.198396079000001,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,597.925090152,45.85005809904,132.55441634352002,597.925090152,45.85005809904,132.55441634352002,593.6372640199255,51.5002595815007,595.8669968793579,-175.0417901736632,129.3544202848666,609.7458847891132,-12.248072833052275,609.7458847891132,False,-1.0144267000431455,-0.5855553736631691,-17.244270200052274,-21.442666279052276,30.137742307131216,28.89272979712654,21.10378247643994,-595.7736060842019,10.54932526045836,-0.05131300388916327,-0.8427581499360227,-4.973548
15667,41119675147400,8.122,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4441667,0.9157012559,9.195901722,185.5444331,-0.3180622138004501,0.26280117930521585,0.1283994470063051,1.7416733630783585,-0.23493131346504942,0.24093110593287997,-29.978111367000004,-3.136788825216,-2.6353001904,30.141775086408,2.6353001904,30.256758127968002,4.996673387,185.97346233045005,597.775198656,45.83437629144,132.56760653304,46.95478202,39.34793612,132.59582052792,46.949405,39.347334,4.444492046736,30.174698600952,0.26107505130072,2.2115190741336,4.191742355,0.4943915055,0.1662201328,0.01141846498,553.627700574555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464669406,-0.007488075943,0.9934808553,-11.201118359793767,-0.9890667859302184,-131.22448592677003,19.34612937115668,-0.9890667859302184,-131.22448592677003,30.547247730950446,0.0,0.0,1.3036156545481192,-0.1606845835515452,0.04025340900301423,0.12978371633332755,-0.021383616777860253,0.03928535059505546,-1.173831938160559,0.13930096684147583,-0.0009680584071452816,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.008122,200.0000000001819,123.12238364934744,0.6156119182461773,0.9098497090039395,True,-7.135166793047874e-10,2.1964138550162697e-08,2.2238891012471296e-10,2.197685020947578e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.004159367000001,4.199228335,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,597.775198656,45.83437629144,132.56760653304,597.775198656,45.83437629144,132.56760653304,593.4873725239255,51.484577773900696,595.7163109181329,-175.042046794055,129.36761047438657,609.6014285857294,-12.252288912913441,609.6014285857294,False,-1.0155091245050585,-0.5864798940550031,-17.24896229991344,-21.44819063491344,30.137040849180014,28.891343560345693,21.09979507572736,-595.6227443844421,10.557910108311404,-0.05137956635627664,-0.8431613133798376,-4.965426
15668,41119684965500,9.8181,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4491667,0.9142367284,9.197204132,185.5451069,-0.3094202064641466,0.26158541465933294,0.1296033914182829,1.709941611068406,-0.25454566804077344,0.24058710419262727,-29.977377167808,-3.1371476510160003,-2.6355002653872,30.141082218096003,2.6355002653872,30.256085318544,4.997165108,185.97428601457634,597.6253111224,45.818692716,132.58079769792002,46.95478067,39.34793591,132.60899751960002,46.949405,39.347334,4.444492046736,30.173995686432,0.26109813014712,2.2119020977008,4.192563071,0.4944462055,0.1618549652,0.0103680691,553.6023767055802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146487965,-0.007488796055,0.9936438124,-11.199329204992123,-0.9891619022530174,-131.24601024841525,19.34890393159631,-0.9891619022530174,-131.24601024841525,30.548233136588433,0.0,0.0,1.3012579179130384,-0.16245561654351745,0.04021454518655064,0.12742138343472728,-0.023163451197625893,0.03923287474601965,-1.1738365345189856,0.13929216541368244,-0.0009816704375481945,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0098181,199.99999999961346,101.85270062435706,0.5092635031227696,0.9021352017552523,True,6.062632474338477e-10,-1.9655453824404732e-08,1.9440514672496862e-10,1.9665762470079025e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.004641060999999,4.200039024,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,597.6253111224,45.818692716,132.58079769792002,597.6253111224,45.818692716,132.58079769792002,593.3374849903255,51.4688941984607,595.5656287636629,-175.0423037466837,129.3808016392666,609.4569796117494,-12.256507005011187,609.4569796117494,False,-1.016589761260036,-0.5874106466836793,-17.253672113011188,-21.453711137011187,30.136338010552045,28.88995375858842,21.095810145787087,-595.4718867206553,10.566470082298693,-0.05144606357662599,-0.8435654634972498,-4.9556079
15669,41119685737400,0.7719,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4541667,0.9128160498,9.198500181,185.5457868,-0.30093557080982586,0.26027283532945444,0.1308055873922531,1.67882548444763,-0.2735572522802999,0.2402294914388808,-29.97664171284,-3.1375052057999997,-2.6357082447528,30.140387975136004,2.6357082447528,30.255411829416,4.997671989,185.97510752146297,597.4754272464,45.80300731176,132.59398989912,46.95477932,39.34793571,132.6221755476,46.949405,39.347334,4.444492046736,30.173292954792,0.26111843894064,2.2122735955608,4.19336203,0.4944956731,0.1575016161,0.009323893948,553.5770288964761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465085043,-0.007489428206,0.9938009948,-11.19757531124322,-0.9892454002657797,-131.26677174453565,19.35161462002177,-0.9892454002657797,-131.26677174453565,30.54918992681677,0.0,0.0,1.2989462454639158,-0.16417185306845353,0.040174451575417026,0.12510485222217219,-0.024888601032452457,0.03917809900943991,-1.1738413932281853,0.13928325199532654,-0.0009963525768236596,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0007719,200.0000000001819,1295.5045990413266,6.477522995200742,0.9107292179885126,True,-4.775379745959069e-09,1.1911558997149203e-08,3.15971265205206e-11,1.2833179178951978e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.005138151,4.200828192,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,597.4754272464,45.80300731176,132.59398989912,597.4754272464,45.80300731176,132.59398989912,593.1876011143255,51.4532087942207,595.4149501070575,-175.04256103510616,129.39399384046658,609.3125375806545,-12.260727122419093,609.3125375806545,False,-1.017668556569106,-0.5883478351061626,-17.25839911141909,-21.45922730341909,30.135633803491032,28.888560460375174,21.091827625554917,-595.3210327719081,10.57500592805986,-0.05151249913363063,-0.8439705759705778,-4.954836
15670,41119689022200,3.2848,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4591667,0.9114384375,9.199789393,185.5464726,-0.2926052519411158,0.25886644808349774,0.1320059672619001,1.6483138529379022,-0.29196956391908085,0.23985847559802434,-29.975905026480003,-3.137861529192,-2.6359238456423997,30.139692384960004,2.6359238456423997,30.25473766668,4.998193493,185.97592696570157,597.3255470280001,45.78732013968,132.60718313664,46.95477797,39.3479355,132.63535464240002,46.949405,39.347334,4.444492046736,30.172590406032,0.26113599429288004,2.2126336027656,4.194139295,0.4945399394,0.1531626666,0.008285948861,553.5516566684398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465285765,-0.007489973028,0.9939524242,-11.195856527307525,-0.9893173635950714,-131.28677339543975,19.354263771749405,-0.9893173635950714,-131.28677339543975,30.55012029905693,0.0,0.0,1.2966797877808065,-0.16583362028522436,0.04013312972880401,0.12283329388415047,-0.02655938279803998,0.03912105802646481,-1.1738464939508886,0.13927423743295167,-0.0010120717009833805,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0032848,200.0000000001819,304.43253774963466,1.522162688746789,0.9147198743022872,True,-8.27263563114666e-09,1.9107300382268563e-08,1.642877193390666e-10,2.0821921588524997e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.005650097999999,4.2015959,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,597.3255470280001,45.78732013968,132.60718313664,597.3255470280001,45.78732013968,132.60718313664,593.0377208959255,51.43752162214069,595.2642749536225,-175.04281865372715,129.40718707798658,609.1681025000397,-12.264949266350422,609.1681025000397,False,-1.0187456194287279,-0.58929125372714,-17.263142759350423,-21.464738659350424,30.134928255771943,28.887163750885986,21.08784745201426,-595.1701825325507,10.583518329556675,-0.05157887628946386,-0.8443766259978898,-4.9515512
15671,41119692666100,3.6439,True,udp,127.0.0.1:64995,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4641667,0.9101031236,9.201071302,185.5471643,-0.2844262502520715,0.2573692414120264,0.1332044645068238,1.6183957621591374,-0.3097864121524256,0.23947426408077985,-29.975167117872004,-3.138216657768,-2.6361467848967997,30.138995462808,2.6361467848967997,30.254062824240002,4.998729085,185.97674446188367,597.1756704672,45.77163119976,132.62037747144,46.95477663,39.3479353,132.648534804,46.949405,39.347334,4.444492046736,30.171888034056,0.26115081272400004,2.2129821601584,4.194894945,0.4945790353,0.1488406229,0.00725424365,553.5262600214716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465481982,-0.00749043115,0.9940981254,-11.19417268415262,-0.9893778745329924,-131.3060184038471,19.35685358864891,-0.9893778745329924,-131.3060184038471,30.551026272801533,0.0,0.0,1.2944577104933455,-0.16744127314696886,0.04009058126013496,0.1206058926114444,-0.02817614131956727,0.03906178638401022,-1.1738518178412265,0.13926513175961067,-0.0010287948709726301,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0036439,199.99999999961346,274.4312412525042,1.3721562062651729,0.9180294592094796,True,-2.4475889947915732e-09,1.0856935282001556e-08,-1.1401270042858697e-10,1.1129992565175147e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.006176357000001,4.202342217000001,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,597.1756704672,45.77163119976,132.62037747144,597.1756704672,45.77163119976,132.62037747144,592.8878443351255,51.421832682220696,595.1136033033947,-175.04307660279304,129.42038141278658,609.0236743853078,-12.269173443728626,609.0236743853078,False,-1.0198210646767052,-0.5902409027930275,-17.267902528728627,-21.47024474572863,30.134221379668258,28.88576369940132,21.08386957406047,-595.0193359910521,10.592008002151282,-0.051645198440342155,-0.8447835886780363,-4.9479073
