recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
41275132098300,target_offset,394,"{""x_angle_offset"":-0.02279173582792282,""y_angle_offset"":0.05322985030986645}",-5.0032234
41275135831300,position,507,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469539502,""lon"":393492224}",-4.9994904
41275135902700,vfr,507,"{""message_type"":""VFR_HUD"",""airspeed"":26.822471618652344,""alt"":196.58999633789062}",-4.999419
41275135971200,attitude,1013,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112930,""roll"":-0.003335647052153945,""pitch"":0.16489189863204956,""yaw"":-3.0607857704162598,""rollspeed"":0.002301813568919897,""pitchspeed"":-0.002304345602169633,""yawspeed"":0.0008876465726643801}",-4.9993505
41275152277700,gimbal,2637,"{""imu_roll"":0.0,""imu_pitch"":22.3129825592041,""imu_yaw"":-0.472378134727478,""frame_roll"":0.0,""frame_pitch"":22.3129825592041,""frame_yaw"":-0.472378134727478,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.983044
41275152641400,fov,2637,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9826803
41275157146600,target_offset,395,"{""x_angle_offset"":-0.02279173582792282,""y_angle_offset"":0.060834114639847364}",-4.9781751
41275162657300,range,1038,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94790267944336,""y"":39.34855270385742}",-4.9726644
41275173184500,gimbal,2638,"{""imu_roll"":0.0,""imu_pitch"":22.325176239013672,""imu_yaw"":-0.4755991995334625,""frame_roll"":0.0,""frame_pitch"":22.325176239013672,""frame_yaw"":-0.4755991995334625,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9621372
41275173375100,fov,2638,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9619466
41275176108200,range,1039,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94790267944336,""y"":39.34855270385742}",-4.9592135
