recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
42215833688500,target_offset,334,"{""x_angle_offset"":-0.4330429807305336,""y_angle_offset"":0.12927249360967566}",-5.006548
42215843224100,gimbal,2541,"{""imu_roll"":0.0,""imu_pitch"":21.79519271850586,""imu_yaw"":-1.3870415687561035,""frame_roll"":0.0,""frame_pitch"":21.79519271850586,""frame_yaw"":-1.3870415687561035,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9970124
42215843410300,fov,2541,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9968262
42215858303700,gimbal,2542,"{""imu_roll"":0.0,""imu_pitch"":21.809450149536133,""imu_yaw"":-1.4493815898895264,""frame_roll"":0.0,""frame_pitch"":21.809450149536133,""frame_yaw"":-1.4493815898895264,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9819328
42215860158100,fov,2542,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9800784
42215871422000,target_offset,335,"{""x_angle_offset"":-0.4330429807305336,""y_angle_offset"":0.13687675793965656}",-4.9688145
42215879937300,gimbal,2543,"{""imu_roll"":0.0,""imu_pitch"":21.835857391357422,""imu_yaw"":-1.5420053005218506,""frame_roll"":0.0,""frame_pitch"":21.835857391357422,""frame_yaw"":-1.5420053005218506,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9602992
42215880419700,fov,2543,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9598168
42215889334200,attitude,996,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112370,""roll"":0.14324723184108734,""pitch"":0.16766099631786346,""yaw"":-2.9657440185546875,""rollspeed"":-0.10556075721979141,""pitchspeed"":0.014744886197149754,""yawspeed"":0.04296964406967163}",-4.9509023
42215898098200,gimbal,2544,"{""imu_roll"":0.0,""imu_pitch"":21.851701736450195,""imu_yaw"":-1.6068511009216309,""frame_roll"":0.0,""frame_pitch"":21.851701736450195,""frame_yaw"":-1.6068511009216309,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9421383
42215898340700,fov,2544,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9418958
42215909591100,target_offset,336,"{""x_angle_offset"":-0.4026539996266365,""y_angle_offset"":0.13687675793965656}",-4.9306454
42215916046900,gimbal,2545,"{""imu_roll"":0.0,""imu_pitch"":21.874650955200195,""imu_yaw"":-1.6813533306121826,""frame_roll"":0.0,""frame_pitch"":21.874650955200195,""frame_yaw"":-1.6813533306121826,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9241896
