recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
42858129992700,target_offset,342,"{""x_angle_offset"":-0.3190843015909195,""y_angle_offset"":0.1825023439195421}",-5.0037771
42858136110600,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112170,""roll"":0.2324000746011734,""pitch"":0.1699838489294052,""yaw"":-2.981790781021118,""rollspeed"":-0.08992106467485428,""pitchspeed"":0.016432056203484535,""yawspeed"":0.06283651292324066}",-4.9976592
42858140033200,gimbal,2574,"{""imu_roll"":0.0,""imu_pitch"":21.136571884155273,""imu_yaw"":1.9272387027740479,""frame_roll"":0.0,""frame_pitch"":21.136571884155273,""frame_yaw"":1.9272387027740479,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9937366
42858140268700,fov,2574,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9935011
42858158664600,gimbal,2575,"{""imu_roll"":0.0,""imu_pitch"":21.16082763671875,""imu_yaw"":1.8568038940429688,""frame_roll"":0.0,""frame_pitch"":21.16082763671875,""frame_yaw"":1.8568038940429688,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9751052
42858158938600,fov,2575,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9748312
42858169276300,target_offset,343,"{""x_angle_offset"":-0.32668154686689377,""y_angle_offset"":0.1825023439195421}",-4.9644935
42858174791400,vfr,498,"{""message_type"":""VFR_HUD"",""airspeed"":29.635732650756836,""alt"":188.64999389648438}",-4.9589784
42858174959000,position,498,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469541086,""lon"":393491083}",-4.9588108
42858175074700,attitude,995,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112210,""roll"":0.22928959131240845,""pitch"":0.170082688331604,""yaw"":-2.9793701171875,""rollspeed"":-0.09210189431905746,""pitchspeed"":0.015050995163619518,""yawspeed"":0.05914830043911934}",-4.9586951
42858179714300,gimbal,2576,"{""imu_roll"":0.0,""imu_pitch"":21.20088768005371,""imu_yaw"":1.762133240699768,""frame_roll"":0.0,""frame_pitch"":21.20088768005371,""frame_yaw"":1.762133240699768,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9540555
42858179979000,fov,2576,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9537908
42858198763300,gimbal,2577,"{""imu_roll"":0.0,""imu_pitch"":21.22509765625,""imu_yaw"":1.6923719644546509,""frame_roll"":0.0,""frame_pitch"":21.22509765625,""frame_yaw"":1.6923719644546509,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9350065
42858199137400,fov,2577,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9346324
42858209828200,target_offset,344,"{""x_angle_offset"":-0.35707052797079086,""y_angle_offset"":0.17489807958956116}",-4.9239416
42858216773500,gimbal,2578,"{""imu_roll"":0.0,""imu_pitch"":21.254886627197266,""imu_yaw"":1.6103507280349731,""frame_roll"":0.0,""frame_pitch"":21.254886627197266,""frame_yaw"":1.6103507280349731,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9169963
42858217031600,fov,2578,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9167382
42858235022800,gimbal,2579,"{""imu_roll"":0.0,""imu_pitch"":21.27679443359375,""imu_yaw"":1.542738437652588,""frame_roll"":0.0,""frame_pitch"":21.27679443359375,""frame_yaw"":1.542738437652588,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.898747
42858235363000,fov,2579,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8984068
42858246922100,target_offset,345,"{""x_angle_offset"":-0.35707052797079086,""y_angle_offset"":0.17489807958956116}",-4.8868477
42858250102100,attitude,996,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112270,""roll"":0.22369565069675446,""pitch"":0.1701812595129013,""yaw"":-2.9761581420898438,""rollspeed"":-0.09284753352403641,""pitchspeed"":0.012418405152857304,""yawspeed"":0.05385667830705643}",-4.8836677
42858253364400,range,1031,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94806671142578,""y"":39.34813690185547}",-4.8804054
42858258520200,gimbal,2580,"{""imu_roll"":0.0,""imu_pitch"":21.314186096191406,""imu_yaw"":1.444502830505371,""frame_roll"":0.0,""frame_pitch"":21.314186096191406,""frame_yaw"":1.444502830505371,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8752496
42858258862300,fov,2580,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8749075
42858267420100,range,1032,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94806671142578,""y"":39.34813690185547}",-4.8663497
42858278543700,gimbal,2581,"{""imu_roll"":0.0,""imu_pitch"":21.339847564697266,""imu_yaw"":1.366371750831604,""frame_roll"":0.0,""frame_pitch"":21.339847564697266,""frame_yaw"":1.366371750831604,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8552261
