truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15819,43020260763300,9.0745,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.01,-8.202158525,9.685907836,176.6606201,1.2846282467551768,-0.06665563203450965,-0.7983665428215301,-4.078683666056569,-0.5188376575166358,0.5791997010563393,-29.782395544056,-10.879622234616,-2.904339762048,31.707369249600003,2.904339762048,29.9445694224,5.233589128,200.067440685475,581.3555074416,-52.414915906560005,135.16753834104,46.95463432,39.34664544,135.19428313896,46.949405,39.347334,4.444492046736,29.860902130248,0.30327106708632,2.2162555122096,4.24467063,0.5802871636,-0.6942123105,-1.843017367,542.1263375998399,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508268351,-0.008445978596,0.9842415208,-10.909281264278842,-1.1155919045834568,-130.0041031598873,19.921956436642166,-1.1155919045834568,-130.0041031598873,30.831237700921008,0.0,0.0,0.8736165293072494,-0.1960845721838046,0.0999676659143234,-0.30380539934101913,-0.04522954357499088,0.09531497565172972,-1.1774219286482686,0.15085502856813918,-0.004652690262593681,0.55,0.55,-8.099999999338769,-6.150000000134573,1.9499999997771524,1.9499999997771524,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0090745,199.99999999961346,110.1989090308006,0.550994545155068,0.8739447813574909,True,-7.17701628007994e-05,-11.999996743832142,7.959810588431537e-11,11.999996744046765,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.6989303570384924,11.979625110777505,5.441237206,4.452318708,-8.099999999338769,-6.150000000134573,1.9499999997771524,1.9499999997771524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,581.3555074416,-52.414915906560005,135.16753834104,581.3555074416,-52.414915906560005,135.16753834104,577.0676813095255,-46.76471442409931,578.9594522305682,175.3669588707066,131.96754228238657,593.8092956018565,-12.84057022431215,593.8092956018565,False,-24.70048181476838,-1.2936612292933773,-18.07415935231215,-22.52647806031215,28.806292823017635,27.440454458938596,21.639922053420147,-525.9873623006752,241.9325154399421,-1.3112357638350038,-0.8909352699855027,-4.993569
15820,43020261132600,0.3693,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.015,-8.196453182,9.685001036,176.6566664,1.2585698151165443,-0.07186572708655176,-0.7958830950737501,-5.341006853204501,-1.1309197274637857,0.46954785606415916,-29.7812239782,-10.872389839632,-2.9036217580992,31.703787819120002,2.9036217580992,29.943606053232003,5.232890261,200.0558901428041,581.2066001448001,-52.4692973472,135.18207135744,46.95463298,39.34664472,135.20880304896,46.949405,39.347334,4.444492046736,29.860036245264002,0.2982983884668,2.2155805143216,4.243505167,0.5707903507,-0.7076543956,-1.848056769,542.0906979290679,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509096935,-0.008487980405,0.985265342,-10.899057760852733,-1.1211397377025636,-130.13933519105484,19.932901103549426,-1.1211397377025636,-130.13933519105484,30.83195886440216,0.0,0.0,0.7796460917408482,-0.2515847953719277,0.08217794322741866,-0.3977861285147208,-0.10075396747625727,0.07746758442795432,-1.1774322201199872,0.15083082789567043,-0.004710358800820161,0.55,0.55,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0003693,200.0000000001819,2707.8256160303276,13.539128080139326,0.8832923816044288,True,-7.176874754560858e-05,-11.999996719148477,1.8406098867274068e-10,11.999996719363093,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.6997570103944993,11.9795768525088,5.441495868999999,4.4521107749999995,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,581.2066001448001,-52.4692973472,135.18207135744,581.2066001448001,-52.4692973472,135.18207135744,576.9187740127255,-46.819095864739296,578.8154278748433,175.36040274274262,131.98207529878658,593.6721045712966,-12.845026842583383,593.6721045712966,False,-24.695487400061467,-1.2962636572573842,-18.07791710358338,-22.530027878583383,28.80419380861081,27.437849299264336,21.636976648429005,-525.8775972085667,241.82649213864545,-1.311165353042426,-0.8912345473897285,-4.9931997
15821,43020264363300,3.2307,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.02,-8.190878429,9.684068642,176.6527285,1.2322657341257852,-0.07745542019967198,-0.7935796993130899,-5.149211281327449,-1.0998327380387232,0.44826132846052924,-29.780055463392,-10.865169947544,-2.9028933723576,31.700214862080003,2.9028933723576,29.942646018576003,5.23217124,200.04435638779654,581.0576986392,-52.52364266904001,135.19660080768003,46.95463164,39.34664401,135.22331933184,46.949405,39.347334,4.444492046736,29.859172884024,0.29332513362288,2.214905320752,4.242338903,0.5612917773,-0.6952712045,-1.849535617,542.0551803529563,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509081279,-0.008345829441,0.9849004635,-10.899983235600894,-1.1023636461387694,-130.09113999983776,19.93269457706805,-1.1023636461387694,-130.09113999983776,30.832677812668948,0.0,0.0,0.793950001194903,-0.2487904795274669,0.07873036534873863,-0.38349248097555344,-0.09798187201012809,0.07395814442681489,-1.1774424821704563,0.150808607530897,-0.004772220912433006,0.55,0.55,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0032307,200.0000000001819,309.5304423190021,1.5476522115936029,0.8875575174610966,True,-7.177056195795117e-05,-11.999996742401478,1.9241319648699573e-10,11.999996742616103,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.7005803569194483,11.979528730390836,5.4417297389999995,4.451897402,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,581.0576986392,-52.52364266904001,135.19660080768003,581.0576986392,-52.52364266904001,135.19660080768003,576.7698725071255,-46.87344118657931,578.6714139479826,175.35384696229409,131.9966047490266,593.5349265088181,-12.84948496153453,593.5349265088181,False,-24.690509425502455,-1.2988815377059098,-18.08165620153453,-22.53355360353453,28.802098197053056,27.435249539633876,21.63402689854808,-525.7677579921885,241.72064449778597,-1.3110960942466456,-0.8915330752669576,-4.989969
15822,43020271795200,7.4319,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.025,-8.185430577,9.683110886,176.6488059,1.2069135709454342,-0.08289040806179648,-0.7913827545271025,-4.960794532668572,-1.069097471934231,0.42696610324297773,-29.778890676288,-10.857963945192001,-2.9021492738712,31.696651414799998,2.9021492738712,29.941689409872,5.231422323,200.03284125391733,580.9088032296,-52.577951933040005,135.21112653936,46.9546303,39.34664329,135.23783195712002,46.949405,39.347334,4.444492046736,29.858311717344,0.28835240425416003,2.2142355462216,4.241182599,0.5517935525,-0.6831865404,-1.850824496,542.0197882231232,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509066662,-0.008203729612,0.9845385709,-10.90089338177737,-1.0835943091994977,-130.0433391879491,19.932501764453917,-1.0835943091994977,-130.0433391879491,30.83339514623129,0.0,0.0,0.8080020155372276,-0.24602746585872465,0.07528009980502326,-0.3694506993980301,-0.09523990916403884,0.07044772776221639,-1.1774527150708396,0.15078755669468583,-0.004832372041451046,0.55,0.55,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0074319,199.99999999961346,134.5550935830676,0.6727754679166382,0.8844117973871133,True,-7.177017011483766e-05,-11.999996746771838,3.7782754702675447e-10,11.999996746986461,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.7014005011899279,11.979480738984115,5.441928287,4.451688562999999,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.9088032296,-52.577951933040005,135.21112653936,580.9088032296,-52.577951933040005,135.21112653936,576.6209770975255,-46.92775045057931,578.5274107518647,175.3472915263204,132.01113048070658,593.3977616759697,-12.853944561110296,593.3977616759697,False,-24.685549727596936,-1.3015143736796233,-18.085366884110297,-22.537055447110298,28.80000654518083,27.432656914270154,21.63107144635673,-525.6578367820289,241.61499047222787,-1.311028130207985,-0.8918303619931305,-4.9825371
15823,43020276289900,4.4947,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.03,-8.180105008,9.682128443,176.6448979,1.1824965384850523,-0.0881724647221463,-0.7892923002498762,-4.7757052564584415,-1.038721242956564,0.4056642227195653,-29.777729613840002,-10.850771692368001,-2.9013895909608003,31.69309747728,2.9013895909608003,29.940736239312,5.230643737,200.02134456927914,580.7599133064,-52.63222520016,135.225648522,46.95462896,39.34664258,135.25234080288,46.949405,39.347334,4.444492046736,29.857452733032,0.28338055715952004,2.2135713854976,4.240036631,0.5422963622,-0.6713964911,-1.851924544,541.9845220183713,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509053123,-0.00806169095,0.9841797555,-10.901787665595569,-1.064833051565146,-129.99594485455162,19.932323190597174,-1.064833051565146,-129.99594485455162,30.83411085619274,0.0,0.0,0.8218059664449261,-0.24329646562779664,0.07182748809969737,-0.3556569525117925,-0.09252878984757251,0.0669366562646652,-1.1774629189567187,0.15076767579378228,-0.004890831843167079,0.55,0.55,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0044947,200.0000000001819,222.48425923865886,1.1124212961922826,0.886443204841502,True,-7.176892406424162e-05,-11.999996750539069,4.071212256206991e-10,11.999996750753684,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.7022175895969462,11.979432870366676,5.442091812,4.451484706,-7.949999998077773,-6.150000000134573,1.8000000002350312,1.8000000002350312,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.7599133064,-52.63222520016,135.225648522,580.7599133064,-52.63222520016,135.225648522,576.4720871743255,-46.982023717699306,578.3834176770056,175.34073642443346,132.02565246334657,593.2606094728571,-12.858405652295893,593.2606094728571,False,-24.680608144845678,-1.3041614755665307,-18.089049389295894,-22.540534095295893,28.797918854061027,27.430071397222036,21.628110291136146,-525.5478340133375,241.50952777814587,-1.31096145004391,-0.8921264203498862,-4.9780424
15824,43020280906600,4.6167,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.035,-8.174897034,9.681121932,176.6410035,1.159132729648751,-0.09329731860847137,-0.7875509371251092,-4.561847090399805,-1.007201736859282,0.3261423398763097,-29.776573550112,-10.843588327512,-2.9006146957872,31.68955253136,2.9006146957872,29.939787982128,5.229836221,200.00985733844456,580.6110294792,-52.68646253136,135.24016666416,46.95462762,39.34664187,135.26684580816,46.949405,39.347334,4.444492046736,29.856597485568003,0.27840555639072,2.2129123932672,4.238899928,0.5327924592,-0.6602477997,-1.854513049,541.9494348857878,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509388305,-0.008022282889,0.9838380651,-10.89807090954272,-1.0596278151369805,-129.95081248632772,19.936750732430145,-1.0596278151369805,-129.95081248632772,30.834821641972866,0.0,0.0,0.8377587525410262,-0.2404656039817022,0.058828113905407306,-0.339714341015904,-0.08971397346628944,0.05388056116890128,-1.1774730935569302,0.15075163050185456,-0.0049475527459967505,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0046167,200.0000000001819,216.60493426040247,1.0830246713010274,0.8882417138012801,True,-7.176902032607346e-05,-11.999996731196894,7.672151802751159e-11,11.99999673141151,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.703031831252982,11.979385112893148,5.442222004,4.451285711,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.6110294792,-52.68646253136,135.24016666416,580.6110294792,-52.68646253136,135.24016666416,576.3232033471255,-47.036261048899306,578.2394353291311,175.3341816560343,132.04017060550657,593.1234704707643,-12.862868214230573,593.1234704707643,False,-24.675675682410258,-1.3068218439657073,-18.092704435230573,-22.543990146230573,28.795836784021102,27.427494530974663,21.625142238235902,-525.4377883900069,241.4041737451338,-1.3108955836395577,-0.8924213185425668,-4.9734257
15825,43020284160900,3.2543,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.04,-8.169801817,9.680091894,176.6371209,1.136695728174529,-0.09827122768040174,-0.7859646060664643,-4.3837988873774165,-0.9774673764566818,0.30483992919504943,-29.775421326864002,-10.836418035528,-2.899824485328,31.68601697328,2.899824485328,29.938843309392,5.228999522,199.99838741093538,580.4621514432,-52.7406639876,135.25468090488002,46.95462628,39.34664116,135.281346912,46.949405,39.347334,4.444492046736,29.855744536296,0.2734325053056,2.2122593668872,4.237774218,0.5232916375,-0.6490741265,-1.854931978,541.9144789451141,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509376615,-0.007880301324,0.9834851706,-10.898934069154278,-1.0408740990175553,-129.90420023925466,19.936596601551177,-1.0408740990175553,-129.90420023925466,30.835530670705452,0.0,0.0,0.8510378480173834,-0.23779431085483735,0.05537289412155966,-0.3264453900405998,-0.08705702002593155,0.05037028976663777,-1.1774832380579832,0.1507372908289058,-0.005002604361700984,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0032543,199.99999999961346,307.2857450142888,1.5364287250744133,0.8924332229265597,True,-7.17708860521471e-05,-11.999996753561897,-2.6540769582084067e-10,11.999996753776523,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.7038436025302853,11.979337445031677,5.442317676,4.451092372000001,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.4621514432,-52.7406639876,135.25468090488002,580.4621514432,-52.7406639876,135.25468090488002,576.1743253111255,-47.0904625051393,578.0954634026101,175.32762721316854,132.0546848462266,592.9863443592228,-12.867332248497936,592.9863443592228,False,-24.67076019776684,-1.3094936868314733,-18.096331770497937,-22.54742414249794,28.793758834733595,27.424924878703948,21.622168410010474,-525.3276666380086,241.2990001457607,-1.310830936910161,-0.8927150144818202,-4.9701714
15826,43020292150300,7.9894,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.045,-8.164814984,9.679038975,176.6332496,1.1151423118451942,-0.1030972558297468,-0.7844847821323563,-4.208935804293657,-0.9481138232852905,0.2835404478178125,-29.774272819128004,-10.829261127312002,-2.8990190796744004,31.6824907116,2.8990190796744004,29.937902096136,5.228133852,199.98693535970943,580.3132788936,-52.79482959936,135.26919112224002,46.95462494,39.34664044,135.29584402296,46.949405,39.347334,4.444492046736,29.854893732816002,0.26846220055992004,2.2116125395296002,4.23665997,0.5137954275,-0.6381826315,-1.855166131,541.8796498871266,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509366133,-0.007738433475,0.9831356279,-10.89977982287465,-1.0221354032080583,-129.85803067919673,19.936458413098475,-1.0221354032080583,-129.85803067919673,30.836238235973127,0.0,0.0,0.8640795030283213,-0.2351571631895105,0.05191691940472021,-0.3134138499738836,-0.08443304131187139,0.046860898778317187,-1.177493353002205,0.15072412190475545,-0.00505602063589375,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0079894,200.0000000001819,125.16584474428618,0.6258292237208617,0.8882402102549292,True,-7.176665982799868e-05,-11.99999672532248,-2.918072450341924e-10,11.999996725537082,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.7046530079936026,11.979289861134777,5.442379004999999,4.450905122999999,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.3132788936,-52.79482959936,135.26919112224002,580.3132788936,-52.79482959936,135.26919112224002,576.0254527615255,-47.1446281168993,577.9515015893644,175.3210730908717,132.0691950635866,592.8492308118015,-12.871797751001495,592.8492308118015,False,-24.665862268837742,-1.3121765091283066,-18.099931603001494,-22.550836726001492,28.791684850536754,27.42236226581146,21.619188932929017,-525.2174659390479,241.19401249194843,-1.3107675415458526,-0.8930075157292158,-4.962182
15827,43020298046600,5.8963,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.05,-8.159932259,9.677963822,176.6293888,1.0944566567123613,-0.10777731977221863,-0.7831114458422201,-4.037209773427262,-0.9191471117366067,0.2622458726781754,-29.773128033,-10.822117480944001,-2.8981986281784002,31.6789737768,2.8981986281784002,29.936964348456,5.227239474,199.97550095558358,580.1644121352,-52.848959488560006,135.28369728576,46.95462361,39.34663973,135.31033708008,46.949405,39.347334,4.444492046736,29.854045075128003,0.26349499748952,2.2109720803584003,4.235557506,0.5043045125,-0.6275697285,-1.855216633,541.8449477118254,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509356889,-0.007596689307,0.9827895151,-10.900607734778127,-1.0034130439372655,-129.81231417051035,19.936336576308435,-1.0034130439372655,-129.81231417051035,30.836944311086558,0.0,0.0,0.876887303847895,-0.23255474832605683,0.0484605238284314,-0.3006161348128638,-0.08184262503051505,0.04335270103181474,-1.177503438660759,0.15071212332265813,-0.005107822793905029,0.55,0.55,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0058963,200.0000000001819,169.59788341841494,0.8479894170913034,0.8877710810050597,True,-7.176239454376176e-05,-11.999996727524849,1.8309131988303307e-10,11.999996727739425,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.705460214929171,11.979242351831479,5.4424063160000005,4.4507243480000005,-7.949999998077773,-6.150000000134573,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.1644121352,-52.848959488560006,135.28369728576,580.1644121352,-52.848959488560006,135.28369728576,575.8765860031255,-47.19875800609931,577.8075501963724,175.31451928006118,132.0837012271066,592.7121301220222,-12.876264713018127,592.7121301220222,False,-24.660981675522407,-1.31486951993881,-18.103504187018128,-22.554228535018126,28.78961484066425,27.419806672649646,21.616203833896215,-525.107187456349,241.08920910239038,-1.3107053863578022,-0.8932988350101673,-4.9562857
15828,43020303634000,5.5874,True,udp,127.0.0.1:56899,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,113.055,-8.155159723,9.676871387,176.6255371,1.0685534656964881,-0.10968184809900954,-0.7819542183462093,-5.312463259528366,-0.26163511095583447,0.21484916990391353,-29.7719947104,-10.814991275232002,-2.8973035875504,31.675474825200002,2.8973035875504,29.936031831144,5.226208143,199.96408660498054,580.015551168,-52.90305368568,135.29819918208003,46.95462227,39.34663902,135.32482587,46.949405,39.347334,4.444492046736,29.853195716400002,0.25852712230464003,2.2104006504624003,4.234586838,0.494811644,-0.5873983042,-1.857352514,541.8104360999549,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508766831,-0.007540247769,0.9811266084,-10.909111404488241,-0.9959579312674075,-129.5926681932678,19.92854299845587,-0.9959579312674075,-129.5926681932678,30.83765440294411,0.0,0.0,0.7818568449656411,-0.17279410233413453,0.04084555792284148,-0.39565665128824024,-0.0220915705964119,0.0357166039578002,-1.1775134962538814,0.15070253185974622,-0.005128953955550556,0.55,0.55,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0055874,199.99999999961346,178.97412034219852,0.894870601712722,0.8878495399658685,True,-7.176654717316877e-05,-11.999996735190436,-5.279330306251495e-10,11.999996735405038,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,0.7062655160663782,11.979194900308467,5.442284549,4.450663244,-7.949999998077773,-6.300000001395567,1.6500000001199524,1.6500000001199524,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,580.015551168,-52.90305368568,135.29819918208003,580.015551168,-52.90305368568,135.29819918208003,575.7277250359255,-47.252852203219305,577.6636092193982,175.3079657782256,132.0982031234266,592.5750422392252,-12.880733115278005,592.5750422392252,False,-24.656120826754943,-1.317571321774409,-18.106941258278006,-22.557604502278004,28.78755617402345,27.41727856252708,21.613196980430246,-524.996821438203,240.9846113264601,-1.3106449484284222,-0.8935835173097211,-4.9506983
