recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
43020249329000,fov,2568,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-5.0050033
43020249687500,gimbal,2568,"{""imu_roll"":0.0,""imu_pitch"":21.364322662353516,""imu_yaw"":-4.755369663238525,""frame_roll"":0.0,""frame_pitch"":21.364322662353516,""frame_yaw"":-4.755369663238525,""pitch_speed"":0.0,""yaw_speed"":0.0}",-5.0046448
43020256691300,target_offset,400,"{""x_angle_offset"":-0.007597245275974274,""y_angle_offset"":0.09885543628975196}",-4.997641
43020260370500,vfr,509,"{""message_type"":""VFR_HUD"",""airspeed"":29.114688873291016,""alt"":186.47999572753906}",-4.9939618
43020260468800,position,509,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469539887,""lon"":393491483}",-4.9938635
43020260548100,attitude,1019,"{""message_type"":""ATTITUDE"",""time_boot_ms"":113010,""roll"":-0.1972728967666626,""pitch"":0.17484742403030396,""yaw"":-3.0786900520324707,""rollspeed"":0.02244417369365692,""pitchspeed"":0.00015219507622532547,""yawspeed"":-0.012838774360716343}",-4.9937842
43020269157000,fov,2569,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9851753
43020269362400,gimbal,2569,"{""imu_roll"":0.0,""imu_pitch"":21.381793975830078,""imu_yaw"":-4.753368854522705,""frame_roll"":0.0,""frame_pitch"":21.381793975830078,""frame_yaw"":-4.753368854522705,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9849699
43020274831500,range,1039,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94791793823242,""y"":39.3486328125}",-4.9795008
43020278077600,range,1040,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94791793823242,""y"":39.3486328125}",-4.9762547
43020293363300,fov,2570,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.960969
43020293598600,gimbal,2570,"{""imu_roll"":0.0,""imu_pitch"":21.396259307861328,""imu_yaw"":-4.748108386993408,""frame_roll"":0.0,""frame_pitch"":21.396259307861328,""frame_yaw"":-4.748108386993408,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9607337
43020300677100,target_offset,401,"{""x_angle_offset"":-0.015194490551948547,""y_angle_offset"":0.09885543628975196}",-4.9536552
43020315581100,fov,2571,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9387512
43020315986800,gimbal,2571,"{""imu_roll"":0.0,""imu_pitch"":21.417598724365234,""imu_yaw"":-4.747646331787109,""frame_roll"":0.0,""frame_pitch"":21.417598724365234,""frame_yaw"":-4.747646331787109,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9383455
43020318233600,attitude,1020,"{""message_type"":""ATTITUDE"",""time_boot_ms"":113070,""roll"":-0.19416382908821106,""pitch"":0.17464524507522583,""yaw"":-3.079570770263672,""rollspeed"":0.017508309334516525,""pitchspeed"":-0.0006496105343103409,""yawspeed"":-0.012472061440348625}",-4.9360987
43020340782800,fov,2572,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9135495
43020341597900,gimbal,2572,"{""imu_roll"":0.0,""imu_pitch"":21.433656692504883,""imu_yaw"":-4.743417263031006,""frame_roll"":0.0,""frame_pitch"":21.433656692504883,""frame_yaw"":-4.743417263031006,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9127344
43020349607400,target_offset,402,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.09125117195977105}",-4.9047249
43020362658300,position,510,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469539323,""lon"":393491441}",-4.891674
