recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
873259791100,target_offset,250,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.10873242130985966}",-4.9975963
873269853700,gimbal,2338,"{""imu_roll"":0.0,""imu_pitch"":21.524547576904297,""imu_yaw"":-0.651533305644989,""frame_roll"":0.0,""frame_pitch"":21.524547576904297,""frame_yaw"":-0.651533305644989,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9875337
873270137300,fov,2338,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9872501
873282869600,position,620,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540881,""lon"":393492110}",-4.9745178
873283168300,attitude,1240,"{""message_type"":""ATTITUDE"",""time_boot_ms"":128210,""roll"":-0.008807479403913021,""pitch"":0.17066019773483276,""yaw"":-3.048131227493286,""rollspeed"":-0.0019099230412393808,""pitchspeed"":0.003690157551318407,""yawspeed"":0.00047617824748158455}",-4.9742191
873283286700,vfr,620,"{""message_type"":""VFR_HUD"",""airspeed"":29.434642791748047,""alt"":183.0800018310547}",-4.9741007
873291778600,range,1050,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94804382324219,""y"":39.34844207763672}",-4.9656088
873298920100,target_offset,251,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.10873242130985966}",-4.9584673
873305936400,range,1051,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94804382324219,""y"":39.34844207763672}",-4.951451
873315371200,gimbal,2339,"{""imu_roll"":0.0,""imu_pitch"":21.567298889160156,""imu_yaw"":-0.6868307590484619,""frame_roll"":0.0,""frame_pitch"":21.567298889160156,""frame_yaw"":-0.6868307590484619,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9420162
