truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15775,2181647732600,3.269,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9433333,-5.126960867,6.846391328,182.2448039,0.8071976072080279,2.3431630538060144,-3.514174798245991,31.376933330730605,-1.192567061270318,5.131005290129118,-33.00249300936,-10.21144119252,-1.780383301812,34.5461731224,1.780383301812,33.12433610832,2.950204676,197.1928118472389,575.8327905216,-9.131031982248,122.31754067304,46.95458465,39.34721405,122.34357540888001,46.949405,39.347334,4.444492046736,33.040207986,0.7191450904344,2.2470265126944002,3.890629074,1.244016362,0.1527631742,1.857474164,664.195702858877,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06988430737,-0.01763678203,1.115091942,-13.94691412080233,-2.333174407422742,-147.29144078273387,9.2323277819043,-2.333174407422742,-147.29144078273387,23.179241898258407,0.0,0.0,3.303117488319157,-0.25139777967415206,0.8154999482950556,2.3265204236435624,-0.10601612312483975,0.838290114271538,-0.9765970658958306,0.14538165645440504,0.022790166017156985,0.453333,0.453333,-9.000000001175156,-3.9000000001272626,5.099999999901978,5.099999999901978,13.05000000084454,13.05000000084454,0,0,True,0.005000000000009663,0.003269,199.99999999961346,305.90394616090543,1.5295197308074833,1.003366315635744,False,-4.78426686071759e-05,-7.999995988119834,-1.6632774046954069e-09,7.999995988262891,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.31340122092258443,7.993854858441532,2.955762254,3.8961866520000004,-9.000000001175156,-3.9000000001272626,5.099999999901978,5.099999999901978,13.05000000084454,13.05000000084454,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,575.8327905216,-9.131031982248,122.31754067304,575.8327905216,-9.131031982248,122.31754067304,571.5449643895255,-3.4808304997873023,571.5555637906014,179.65106082011374,119.11754461438656,583.8362372574629,-11.772465153177722,583.8362372574629,False,-17.541751027125144,-2.593743079886252,-14.722669829177722,-18.618856481177723,32.93969228641442,31.883580224324746,18.31150181848274,-544.9768441710773,172.26723953591815,-1.0437785273387172,-0.8305777404212283,-5.0001576
15776,2181656391900,8.6593,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9483333,-5.124822102,6.856484214,182.2261774,0.9625796227733531,2.3371083051172357,-3.488484372815509,30.658705959839057,-1.2361719048338105,5.147962523250708,-32.99963060208,-10.205591193552001,-1.7857473493008003,34.54170975312,1.7857473493008003,33.1213829316,2.959459142,197.18494530859908,575.6677861272001,-9.182074829616,122.32647082536,46.95458317,39.34721338,122.35249074792002,46.949405,39.347334,4.444492046736,33.03710179968,0.7242152564688001,2.2475372748936002,3.891875481,1.252900124,0.1019744564,1.843429277,664.0767060512331,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06994381825,-0.01780000011,1.115259957,-13.942458070317027,-2.354692707955183,-147.31318729304877,9.240163604517543,-2.354692707955183,-147.31318729304877,23.18262167483457,0.0,0.0,3.2497447209685353,-0.2542255965598799,0.8185211200053766,2.2731187028006543,-0.10911163680085639,0.8412435912119349,-0.9766260173543903,0.14511395969123264,0.022722471206558414,0.453333,0.453333,-9.000000001175156,-3.9000000001272626,5.099999999901978,5.099999999901978,13.05000000084454,13.05000000084454,0,0,True,0.0049999999999954525,0.0086593,200.0000000001819,115.48277574399778,0.5774138787194638,0.9961149984240285,False,-4.78316168953663e-05,-7.999995980854636,-8.296618947412071e-11,7.999995980997627,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.3108024521294581,7.9939563207998185,2.964608733,3.897025072,-9.000000001175156,-3.9000000001272626,5.099999999901978,5.099999999901978,13.05000000084454,13.05000000084454,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,575.6677861272001,-9.182074829616,122.32647082536,575.6677861272001,-9.182074829616,122.32647082536,571.3799599951255,-3.5318733471553028,571.3908756826378,179.6458418679628,119.12647476670656,583.6768367887443,-11.776621682092657,583.6768367887443,False,-17.539103440636296,-2.5803355320372248,-14.736080824092657,-18.63310589609266,32.93591752801202,31.878176070108776,18.309605778733395,-544.8277720354802,172.1924261755622,-1.0437918606411896,-0.8314714622597231,-4.9914983
15777,2181661777700,5.3858,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9533333,-5.121897677,6.866561049,182.2076828,1.1188009189490993,2.3335179848422274,-3.462435235698229,31.693162311233475,-0.20949792612608314,5.274506322220232,-32.996759508000004,-10.199746784616,-1.7910703073112,34.5372403488,1.7910703073112,33.118421098560006,2.968648379,197.1770898280447,575.5027960584,-9.233088431424001,122.3354277696,46.95458169,39.34721271,122.3614328484,46.949405,39.347334,4.444492046736,33.03398622552,0.7292416452984001,2.2480608728304,3.893145381,1.261710076,0.08199375149,1.8333721,663.9573721665661,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06983917078,-0.01772352354,1.113720635,-13.960692367153616,-2.3445699509659708,-147.11062849190802,9.226754213599037,-2.3445699509659708,-147.11062849190802,23.187446585200878,0.0,0.0,3.329228412014023,-0.1600104215158615,0.8393033383106678,2.3501914932844166,-0.015160975344189451,0.8619853001174025,-0.9790369191363518,0.14484944625302112,0.022681961874525477,0.454444,0.454444,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,0,0,True,0.0049999999999954525,0.0053858,200.0000000001819,185.67343755802295,0.9283671877892705,0.9953930229381389,False,-4.7846331101067396e-05,-7.999995962143096,8.416446428682889e-10,7.999995962286175,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.3082220535208705,7.9940562287757535,2.9734156680000003,3.8979126700000006,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,575.5027960584,-9.233088431424001,122.3354277696,575.5027960584,-9.233088431424001,122.3354277696,571.2149699263255,-3.582886948963303,571.2262064601221,179.64062284891796,119.13543171094656,583.5174633511627,-11.78078267857034,583.5174633511627,False,-17.536466979126743,-2.5670599510820296,-14.74943105757034,-18.64734372757034,32.932134831430126,31.872771055203835,18.30771043849645,-544.6786786634616,172.11773864493878,-1.0438056658951411,-0.8323616964817729,-4.9861125
15778,2181666046000,4.2683,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9583333,-5.118172448,6.876641202,182.1893209,1.2757578201681536,2.332369700071483,-3.4360277300958706,30.971845202406328,-0.2575447071584751,5.291258766474856,-32.99388070248,-10.193905518168,-1.7963673942024,34.53276521424,1.7963673942024,33.1154522856,2.97779753,197.16924105109655,575.3378203152,-9.284072833392,122.34441120096001,46.9545802,39.34721204,122.370401436,46.949405,39.347334,4.444492046736,33.0308632752,0.7342222242120001,2.2485928338696,3.894430823,1.270442622,0.03534358013,1.819248126,663.8377672796332,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06993160194,-0.01788393916,1.113905972,-13.956078355870533,-2.3657182381935447,-147.1348151631544,9.238916816929223,-2.3657182381935447,-147.1348151631544,23.194995177247975,0.0,0.0,3.275572200074759,-0.16327178803576373,0.8422387112851644,2.296539831470187,-0.01867738776115178,0.8649072107687445,-0.9790323690113173,0.14459440022037923,0.02266849947002203,0.454444,0.454444,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,0,0,True,0.005000000000009663,0.0042683,199.99999999961346,234.28531265374974,1.1714265632710126,0.9968830312535591,False,-4.78551371448227e-05,-7.999996007980511,-6.466904789448336e-11,7.999996008123643,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.3056601376751561,7.994154595912031,2.982210379,3.898843672,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,575.3378203152,-9.284072833392,122.34441120096001,575.3378203152,-9.284072833392,122.34441120096001,571.0499941831255,-3.6338713509313028,571.0615561194281,179.63540375880882,119.14441514230657,583.3581168863128,-11.784948116483015,583.3581168863128,False,-17.53383729228773,-2.5539171411911923,-14.762745646483015,-18.661589318483017,32.92834518540204,31.867363050805587,18.305817019007034,-544.5295771689974,172.043135479727,-1.0438196985868458,-0.8332499216733023,-4.9818442
15779,2181668199800,2.1538,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9633333,-5.11365712,6.886728242,182.1710927,1.429139771278012,2.330984812379239,-3.4095368385078406,30.26566410872922,-0.3038483725027964,5.30783048322512,-32.99099400264,-10.188060301512,-1.8016727417832,34.528282002480005,1.8016727417832,33.11247771192,2.986963264,197.1613878050776,575.1728592024,-9.335028020280001,122.35342111944001,46.95457872,39.34721137,122.37939654120001,46.949405,39.347334,4.444492046736,33.02773651488,0.7391519841264,2.249100681876,3.895675313,1.279089032,-0.01041619828,1.804974619,663.7179392706935,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07002043616,-0.01804252447,1.114077999,-13.951536561465375,-2.386624788151904,-147.15724536513156,9.250607152570515,-2.386624788151904,-147.15724536513156,23.20214371848411,0.0,0.0,3.223048029687272,-0.16640511219327989,0.8451429622721476,2.2440168921653973,-0.022068645762190718,0.8677953645359727,-0.9790311384709475,0.14433646643108916,0.022652402277383236,0.454444,0.454444,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,0,0,True,0.0049999999999954525,0.0021538,200.0000000001819,464.2956634785031,2.321478317390404,1.0025643849091155,False,-4.784135911342635e-05,-7.999995963273383,-1.1377111475141533e-09,7.999995963416432,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.30311684506492864,7.994251434708753,2.9910529290000003,3.8997649780000003,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,575.1728592024,-9.335028020280001,122.35342111944001,575.1728592024,-9.335028020280001,122.35342111944001,570.8850330703254,-3.684826537819303,570.8969249613457,179.6301845997752,119.15342506078657,583.1987976959801,-11.78911799287773,583.1987976959801,False,-17.531203205302404,-2.5409081002248115,-14.77608125687773,-18.67584623487773,32.924548452463306,31.861944953659986,18.303929610831496,-544.3805013618206,171.9685106854546,-1.0438332461033921,-0.8341394150604996,-4.9796904
15780,2181674513400,6.3136,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9683333,-5.108369287,6.896821273,182.1529986,1.5790218383442036,2.3293719934817254,-3.3829634673533695,29.574325475275828,-0.34842990582156114,5.324219942673711,-32.98809934752,-10.182212015520001,-1.8069857730672,34.523790926880004,1.8069857730672,33.10949722512,2.996144628,197.1535315796781,575.0079124152,-9.3859539738,122.36245755552001,46.95457723,39.3472107,122.38841816400002,46.949405,39.347334,4.444492046736,33.0246058836,0.7440307656312001,2.2495845534,3.896879088,1.287649012,-0.05529609819,1.790552369,663.5978847881288,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07010591636,-0.01819928033,1.114236798,-13.94706629891201,-2.407289710712122,-147.17793044080463,9.261857109823676,-2.407289710712122,-147.17793044080463,23.208923404287464,0.0,0.0,3.1716337156024745,-0.16941166872844504,0.8480158024823947,2.192600740947279,-0.02533585789117717,0.8706495707910832,-0.9790329747907766,0.14407581083726786,0.02263376834936311,0.454444,0.454444,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,0,0,True,0.0049999999999954525,0.0063136,200.0000000001819,158.38824125696908,0.7919412062841251,0.9999379681970881,False,-4.784713008984531e-05,-7.999995978590839,5.352952525683463e-10,7.999995978733923,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.30059223243662303,7.994346760861942,2.9999421849999997,3.9006766449999994,-9.150000002436151,-3.9000000001272626,5.250000000017057,5.250000000017057,13.200000002105535,13.200000002105535,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,575.0079124152,-9.3859539738,122.36245755552001,575.0079124152,-9.3859539738,122.36245755552001,570.7200862831255,-3.7357524913393014,570.7323126770507,179.62496537387594,119.16246149686657,583.0395054914263,-11.793292319964548,583.0395054914263,False,-17.52856620580215,-2.5280332261240517,-14.789436947964548,-18.690113592964547,32.92074456744547,31.856516813153107,18.302048177806356,-544.231446680189,171.89387766317734,-1.0438463966532647,-0.8350301215089895,-4.9733768
15781,2181680266500,5.7531,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9733333,-5.102322451,6.906921671,182.1350394,1.729927190270807,2.3302161115748112,-3.3560339513630235,30.665851499848635,0.6760703607366306,5.450306380375102,-32.985196980960005,-10.176372635784002,-1.8122579538360002,34.51929576696,1.8122579538360002,33.1065093012,3.005260961,197.14569122520953,574.8429799536,-9.436850697,122.37152053968,46.95457575,39.34721003,122.39746633488001,46.949405,39.347334,4.444492046736,33.021466260720004,0.7488652209864001,2.2500943560888,3.898128928,1.296134122,-0.06950449137,1.780120683,663.4775415876024,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07001681954,-0.01811677198,1.112695003,-13.965260708545374,-2.3963704053403996,-146.97519544560566,9.250112959597283,-2.3963704053403996,-146.97519544560566,23.215373663694436,0.0,0.0,3.2529458342609043,-0.07547674934857986,0.8686659041923652,2.273908188812878,0.06833287211035237,0.8913079867834584,-0.979037645990354,0.1438096214724904,0.022642082631767663,0.454444,0.454444,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0057531,200.0000000001819,173.81933218612576,0.8690966609298383,0.998449607325273,False,-4.7844601827704e-05,-7.999995989959783,-1.419870554464353e-09,7.999995990102852,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.2980864123348158,7.994440587926488,3.008792743,3.9016607100000003,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,574.8429799536,-9.436850697,122.37152053968,574.8429799536,-9.436850697,122.37152053968,570.5551538215254,-3.7866492145393025,570.5677192626468,179.61974608122165,119.17152448102657,582.8802402824361,-11.797471103845826,582.8802402824361,False,-17.525945143987883,-2.5152933187783617,-14.802732064845825,-18.704392774845825,32.916933695667545,31.8510887103488,18.300166929397655,-544.0823565295829,171.81941560194642,-1.043860352397123,-0.8359173751898643,-4.9676237
15782,2181683981600,3.7151,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9783333,-5.095500282,6.917048727,182.117216,1.8817992428918913,2.3334904742736944,-3.3287486755644404,29.969291542115254,0.6254167949988306,5.466467434782327,-32.98228659816,-10.17053960808,-1.8175046731368,34.51479545592,1.8175046731368,33.10351424496,3.014337817,197.1378627882631,574.6780621224001,-9.487718253888,122.38060973664001,46.95457427,39.34720936,122.40654074904,46.949405,39.347334,4.444492046736,33.018318377760004,0.7536533571048001,2.2506252338688,3.89941638,1.304540883,-0.1105610821,1.765651151,663.3569216391792,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07009921109,-0.01827074053,1.112884838,-13.960552488376702,-2.4166672735925494,-147.00012141128454,9.260966148827025,-2.4166672735925494,-147.00012141128454,23.221518632755508,0.0,0.0,3.2011296638711286,-0.079039846034839,0.8714518206090544,2.222084720055086,0.06449817804047436,0.8941288746259796,-0.9790449432737156,0.14353802402108065,0.02267705392201795,0.454444,0.454444,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0037151,199.99999999961346,269.1717584990983,1.3458587924980925,1.0010118887892108,False,-4.784659285228532e-05,-7.999996008496121,3.245699264908808e-10,7.999996008639202,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.29559951124628253,7.994532928949384,3.017632347,3.90271091,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,574.6780621224001,-9.487718253888,122.38060973664001,574.6780621224001,-9.487718253888,122.38060973664001,570.3902359903256,-3.8375167714273015,570.4031450194417,179.61452671600583,119.18061367798657,582.7210023027587,-11.80165430928863,582.7210023027587,False,-17.52333607225728,-2.5026892839941866,-14.815992126288629,-18.71870303628863,32.91311554613654,31.84565722578154,18.29828783784687,-543.9332429325094,171.74508750177992,-1.0438748568452423,-0.8368026460716702,-4.9639086
15783,2181687173900,3.1923,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9833333,-5.087912652,6.927205915,182.0995292,2.0302191440102626,2.336513828746193,-3.3013829817015643,29.28739406710298,0.575851262362997,5.48244253860193,-32.97936765048,-10.164705790944,-1.822760360568,34.51028737248,1.822760360568,33.1005129708,3.023432414,197.13003526804914,574.5131589216,-9.538556644464,122.38972520736,46.95457278,39.34720869,122.41564140648,46.949405,39.347334,4.444492046736,33.01516549608,0.7583901938592,2.251144341492,3.900684328,1.312860619,-0.1508799301,1.751033748,663.2360618106584,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017916081,-0.01842288506,1.113067881,-13.95587692705113,-2.436723216820752,-147.02414776862392,9.271498688001635,-2.436723216820752,-147.02414776862392,23.22737561505276,0.0,0.0,3.150409734660205,-0.08253378090192132,0.8742063756007805,2.171355064206201,0.0607303508509648,0.8969156163290537,-0.9790546695049314,0.14326413171221158,0.022709240823180467,0.454444,0.454444,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0031923,200.0000000001819,313.2537668765467,1.566268834381309,1.0045979328272727,False,-4.783620680517964e-05,-7.99999598997151,-1.8435541981887127e-10,7.999995990114529,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.2931316416942979,7.994623797511842,3.026521587,3.903773501,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,574.5131589216,-9.538556644464,122.38972520736,574.5131589216,-9.538556644464,122.38972520736,570.2253327895255,-3.888355162003302,570.238589943535,179.6093072786487,119.18972914870656,582.5617915683564,-11.805841945301554,582.5617915683564,False,-17.520727989400427,-2.490221921351292,-14.829274359301554,-18.733047860301554,32.9092896173667,31.84021482740003,18.296415232319163,-543.784139077269,171.670788280314,-1.0438891923324838,-0.8376892371796892,-4.9607163
15784,2181690362700,3.1888,True,udp,127.0.0.1:63571,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.9883333,-5.07957655,6.937392228,182.0819796,2.1752596157211115,2.3392916140806563,-3.2739378025496846,28.619875695615907,0.5273711112377496,5.4982299299886925,-32.97644007696,-10.158872019528,-1.8280247509536,34.505771699520004,1.8280247509536,33.097505417760004,3.032544314,197.12221003966636,574.3482703512,-9.589365865680001,122.39886695184,46.9545713,39.34720803,122.42476836816,46.949405,39.347334,4.444492046736,33.0120075852,0.7630755834216,2.2516514595024,3.901932394,1.321093058,-0.1904707482,1.73626981,663.1149592292246,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07025656416,-0.0185732056,1.113244021,-13.951234536114143,-2.4565382376939398,-147.04726006090357,9.281677099805231,-2.4565382376939398,-147.04726006090357,23.232911635919372,0.0,0.0,3.1007646789372663,-0.08595788729414157,0.8769292539398708,2.1216980596596837,0.057029925398446084,0.8996679664896323,-0.9790666195487463,0.14298781262479676,0.022738712468412397,0.454444,0.454444,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0031888,200.0000000001819,313.5975915704968,1.5679879578510576,1.0081682390657976,False,-4.786718249712163e-05,-7.999995972498668,-8.792989669714757e-10,7.999995972641872,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-0.29068288828441324,7.994713208212267,3.035459834,3.9048479140000003,-9.299999997967568,-3.9000000001272626,5.4000000001321355,5.4000000001321355,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,574.3482703512,-9.589365865680001,122.39886695184,574.3482703512,-9.589365865680001,122.39886695184,570.0604442191254,-3.9391643832193033,570.0740540310045,179.60408776987717,119.19887089318657,582.4026080827207,-11.810034015031706,582.4026080827207,False,-17.51812226978919,-2.477891830122843,-14.842578329031706,-18.747426243031704,32.90545584308239,31.83476150108916,18.294549122436333,-543.6350409246646,171.59653072886704,-1.0439034423452278,-0.8385771224333013,-4.9575275
