truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15857,5447797412900,10.5944,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.71,1.102867082,9.135524234,186.2103356,0.23658975000170432,0.03706912063501598,0.14393736305796828,-1.350014367952423,0.4281316828593598,0.23249494325287248,-30.030414681240003,-3.5144865702,-2.6442704455608,30.235367068896,2.6442704455608,30.350775733176,4.998154357,186.6750131688382,600.4003615032001,52.50602836848001,132.06356663688,46.95480563,39.34802376,132.09207890904,46.949405,39.347334,4.444492046736,30.270697994424,0.28730943141504,2.1844641976872,4.12755562,0.5423869177,0.1431924294,0.0823991348,557.100670261959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187012341,-0.008461887196,0.9842570864,-11.356490332627198,-1.117803154692753,-130.00748612139014,15.68799859281284,-1.117803154692753,-130.00748612139014,27.044488925440035,0.0,0.0,1.0152576981258623,-0.08412560528058617,0.04128203635427327,-0.10061748686903163,0.038912659913640534,0.03824626843668957,-1.1158751848999866,0.1230382651942267,-0.003035767921651151,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0105944,200.0000000001819,94.38948878652873,0.47194744393221444,0.9628219116967304,False,-5.82518033179497e-09,-1.7124841717362904e-09,6.177985482673396e-10,6.103032277697663e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.007968614,4.137369877,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,600.4003615032001,52.50602836848001,132.06356663688,600.4003615032001,52.50602836848001,132.06356663688,596.1125353711255,58.156229850940704,598.9426532624528,-174.4279060384839,128.8635705782266,612.6484487201747,-12.142191361156423,612.6484487201747,False,-1.1029192073220884,-0.6382416384839189,-17.14034571815642,-21.277715595156423,30.229765444223517,28.9972917234784,21.127781675697946,-598.8316887809534,11.52867766997349,-0.05567329050149011,-0.836418439050307,-4.9945745
15858,5447802571800,5.1589,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.715,1.104152728,9.135701427,186.2110704,0.229907557752492,0.03918219749188171,0.14510204003663993,-1.3200968025759563,0.41387296401214896,0.23356083044743722,-30.028476997536,-3.514810654896,-2.6438096711712005,30.233480195352,2.6438096711712005,30.348855898560004,4.997598121,186.67605005056006,600.2502151944001,52.48845655704,132.07680114432,46.95480428,39.34802353,132.10529909088,46.949405,39.347334,4.444492046736,30.268753916016003,0.28750729968072003,2.184703693068,4.128270797,0.542794803,0.1432301112,0.08096388946,557.0294847657225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194664866,-0.008466846059,0.984318339,-11.353873937603538,-1.1184562528212152,-130.0156272565904,15.788436478818046,-1.1184562528212152,-130.0156272565904,27.142310416421587,0.0,0.0,1.0166003342697727,-0.0858578944188669,0.04144300668079605,-0.0983874152586436,0.037617107137598076,0.03841793847171519,-1.1149877494470672,0.12347500155646497,-0.0030250682050133966,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0051589,199.99999999961346,193.83977204442806,0.9691988602240135,0.9628870358383765,False,-9.020425098151111e-10,6.6384106596293425e-09,1.9290006117976757e-10,6.702192716491908e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.007430630000001,4.1381033060000005,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,600.2502151944001,52.48845655704,132.07680114432,600.2502151944001,52.48845655704,132.07680114432,595.9623890623255,58.1386580395007,598.7915102400073,-174.4281844695791,128.87680508566658,612.5034723367678,-12.146375532077098,612.5034723367678,False,-1.10423452013913,-0.6392548695790765,-17.143973653077097,-21.2820769590771,30.227865553468394,28.994878110100835,21.12454034160579,-598.6803090168553,11.539511731063548,-0.055750265368107704,-0.8367349685980778,-4.9894156
15859,5447806644900,4.0731,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.72,1.105406244,9.135888906,186.2118113,0.2233716945696769,0.04122314238289851,0.14627200616060573,-1.2915349670695393,0.3992915723515669,0.23460634939345548,-30.02657362212,-3.515139342072,-2.6433575887632004,30.231627940992002,2.6433575887632004,30.34697130492,4.99705247,186.67708813549325,600.1000786392,52.47088309968001,132.09003333528,46.95480293,39.3480233,132.1185170172,46.949405,39.347334,4.444492046736,30.266845014576003,0.28770168328992,2.1849457246896,4.128986059,0.5431955296,0.1432271512,0.07953438782,556.9595977821097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1201762433,-0.00847171828,0.9843817929,-11.351285023693018,-1.1190978798757762,-130.0240541455472,15.881591144781277,-1.1190978798757762,-130.0240541455472,27.232876168474295,0.0,0.0,1.017912229682177,-0.08758599981479721,0.041600612639987294,-0.09625832364034573,0.036292339874313954,0.03858639576053045,-1.1141705533631974,0.12387833968911117,-0.003014216871321934,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0040731,200.0000000001819,245.5132454395915,1.227566227196841,0.9650257431296844,False,-4.009334118631343e-09,5.110604200958352e-09,-2.328999358808288e-10,6.499790593073581e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.006902847,4.138836436,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,600.1000786392,52.47088309968001,132.09003333528,600.1000786392,52.47088309968001,132.09003333528,595.8122525071254,58.12108458214071,598.6403767794309,-174.4284632886894,128.89003727662657,612.3585080814908,-12.150561283989708,612.3585080814908,False,-1.1055514241826359,-0.6402745886894081,-17.14761375398971,-21.286450189989708,30.22600024614085,28.9924961986013,21.121275791045306,-598.5289383043674,11.550355962721753,-0.05582741565500352,-0.8370531539103993,-4.9853425
15860,5447808845700,2.2008,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.725,1.106628351,9.136086307,186.2125583,0.21697561337912555,0.04319042347102363,0.147447158985012,-1.2642340569716004,0.38442091676016893,0.23563122908189024,-30.024701976384,-3.5154723299760002,-2.6429138859168,30.229807715016005,2.6429138859168,30.345119346216002,4.996517246,186.67812742363787,599.9499515328,52.45330802688001,132.1032633012,46.95480158,39.34802307,132.131732688,46.949405,39.347334,4.444492046736,30.2649687054,0.28789257282432,2.1851899950672,4.129701194,0.5435891237,0.1431808502,0.07810983885,556.8909130717998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1208345822,-0.008476502656,0.9844472218,-11.348721993984078,-1.1197278783893905,-130.032737029658,15.967997943070365,-1.1197278783893905,-130.032737029658,27.316719937054444,0.0,0.0,1.0191949298599547,-0.08930934802517584,0.04175488885943741,-0.09422315229719737,0.034941385814406756,0.03875158691102453,-1.1134180822656177,0.12425073382602442,-0.003003301944345423,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0022008,200.0000000001819,454.3802253725918,2.2719011268608926,0.9707528772651052,False,6.343521332203055e-11,-1.3988616991734503e-08,-8.731477888781361e-11,1.3989033320367233e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.006385112999999,4.1395690609999996,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.9499515328,52.45330802688001,132.1032633012,599.9499515328,52.45330802688001,132.1032633012,595.6621254007255,58.10350950934071,598.4892525803714,-174.42874249035833,128.90326724254658,612.2135556813611,-12.154748632075233,612.2135556813611,False,-1.1068699139962064,-0.6413007903583434,-17.151265878075233,-21.290834939075232,30.22416692654257,28.990143511348286,21.11798982442802,-598.377576344212,11.561210258374992,-0.05590473650323276,-0.8373729181424748,-4.9831417
15861,5447815095300,6.2496,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.73,1.107819739,9.136293257,186.2133115,0.21071322318110947,0.045082671559014034,0.1486273944607231,-1.238106619442038,0.36929269544042115,0.2366352192447765,-30.02285969508,-3.51580934124,-2.6424782706336,30.228017127792,2.6424782706336,30.343297623672,4.995992296,186.6791679722896,599.7998338752001,52.4357312472,132.11649107256,46.95480023,39.34802284,132.14494616424,46.949405,39.347334,4.444492046736,30.263122595808,0.28807995877416004,2.1854362134216,4.130415978,0.5439756079,0.1430888691,0.0766895209,556.8233425351165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1214452936,-0.008481198047,0.9845144093,-11.346183407252916,-1.1203460984569893,-130.0416475292688,16.048154407272982,-1.1203460984569893,-130.0416475292688,27.394337814525898,0.0,0.0,1.0204498752240938,-0.0910273474117247,0.04190586710596093,-0.09227538893731277,0.03356711775985267,0.03891346266633138,-1.1127252641749648,0.12459446517157739,-0.0029924044491202732,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0062496,199.99999999961346,160.01024065540193,0.800051203278556,0.9686455824015708,False,-3.150857625116051e-09,-8.795102138763654e-09,6.538582428848595e-11,9.34269772127167e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.005877279,4.140300961,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.7998338752001,52.4357312472,132.11649107256,599.7998338752001,52.4357312472,132.11649107256,595.5120077431255,58.0859327296607,598.3381376339996,-174.42902208357765,128.91649501390657,612.0686151355857,-12.158937580210058,612.0686151355857,False,-1.108190055867226,-0.6423335835776243,-17.15492987621006,-21.295230837210056,30.22236321354837,28.987817778178357,21.114684100034008,-598.2262231258261,11.572074659820572,-0.05598222408746235,-0.8376941895011564,-4.9768921
15862,5447821144100,6.0488,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.735,1.108981067,9.136509378,186.2140709,0.20457885341233029,0.046898671781538406,0.1498126076791667,-1.2130719522294917,0.3539369809989336,0.23761808943848917,-30.021044574504003,-3.516150119832,-2.6420504692032,30.226253969520002,2.6420504692032,30.3415039092,4.995477473,186.68020972415272,599.6497250568001,52.41815276064,132.12971664936,46.95479888,39.34802261,132.15815747640002,46.949405,39.347334,4.444492046736,30.261304472952002,0.28826383129440003,2.1856840965936004,4.131130176,0.5443550012,0.1429492081,0.0752727769,556.7568038180141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1220118983,-0.008485803366,0.984583148,-11.343667991308143,-1.1209523986251262,-130.05075846574562,16.122522680925623,-1.1209523986251262,-130.05075846574562,27.466190672233765,0.0,0.0,1.021678408305527,-0.0927393915848664,0.0420535764889692,-0.09040902411456679,0.03217226136570594,0.03907197764722426,-1.112087432501443,0.12491165295057233,-0.0029815988390332997,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0060488,200.0000000001819,165.32204734823435,0.82661023674042,0.9669478342815572,False,-5.689423091967362e-09,8.792049293596377e-09,-6.652937719419654e-11,1.0472539904840176e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.005379201999999,4.141031904999999,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.6497250568001,52.41815276064,132.12971664936,599.6497250568001,52.41815276064,132.12971664936,595.3618989247256,58.0683542431007,598.1870313336435,-174.42930206296302,128.92972059070658,611.9236858525376,-12.163128141278463,611.9236858525376,False,-1.1095117871157072,-0.6433729629629852,-17.158605614278464,-21.299637519278463,30.22058688903263,28.985516883234716,21.11136014298491,-598.0748780428344,11.582949097970193,-0.056059874435721475,-0.8380169021887465,-4.9708433
15863,5447824734000,3.5899,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.74,1.110112967,9.136734287,186.2148364,0.19856722203217045,0.04863735570408912,0.1510026923566719,-1.1890555513400303,0.33838230134810043,0.23857962812701017,-30.019254584688003,-3.5164944219120002,-2.6416302240696004,30.224516185848,2.6416302240696004,30.339736136256004,4.994972631,186.68125273652296,599.4996253824,52.400572597680004,132.14294012304,46.95479753,39.34802238,132.17136668544,46.949405,39.347334,4.444492046736,30.259512291624,0.28844418047904,2.1859333684344,4.131843545,0.5447273195,0.142760184,0.07385900996,556.6912217484861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1225376651,-0.008490317577,0.9846532389,-11.34117459406037,-1.1215466418885747,-130.06004377250974,16.191531843933515,-1.1215466418885747,-130.06004377250974,27.532706437993884,0.0,0.0,1.0228817818800384,-0.09444486268480368,0.04219804365028491,-0.0886185100117294,0.03075940235305036,0.039227090230092174,-1.1115002918782095,0.12520426505141222,-0.002970953428327648,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0035899,200.0000000001819,278.5592913451628,1.3927964567245474,0.9699835464149977,False,-1.4230984993652647e-09,-1.890290689335725e-08,2.7403500773981244e-10,1.8958380562255195e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.004890742,4.141761655999999,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.4996253824,52.400572597680004,132.14294012304,599.4996253824,52.400572597680004,132.14294012304,595.2117992503255,58.0507740801407,598.0359339856706,-174.42958242872328,128.94294406438658,611.7787681524302,-12.167320318541627,611.7787681524302,False,-1.1108351652462716,-0.6444188287232464,-17.162292949541627,-21.304054605541626,30.21883590891252,28.98323887910295,21.108019386802404,-597.9235414036501,11.593833422593903,-0.05613768331209424,-0.8383409934976227,-4.9672534
15864,5447827859300,3.1253,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.745,1.111216044,9.136967595,186.2156082,0.19267340549970485,0.05029779379431682,0.1521975413501309,-1.1659886091261202,0.32265571716999425,0.23951964176519638,-30.017487841968002,-3.5168420280240005,-2.6412172923072004,30.222801890063998,2.6412172923072004,30.337992396792,4.994477629,186.68229689480881,599.349534852,52.382990666880005,132.15616152408,46.95479618,39.34802215,132.18457379136,46.949405,39.347334,4.444492046736,30.257744152920004,0.28862099626968,2.1861837601104,4.132555834,0.545092576,0.1425204083,0.07244767916,556.6265254637492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123025628,-0.008494739692,0.9847244915,-11.33870219686684,-1.1221287001385527,-130.0694784060735,16.255580087750992,-1.1221287001385527,-130.0694784060735,27.594282284617833,0.0,0.0,1.0240611656117717,-0.09614313432364441,0.0423392930759802,-0.08689872293854113,0.02933099359992717,0.03937876230289257,-1.1109598884689638,0.1254741279235716,-0.0029605307785109066,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.005000000000009663,0.0031253,199.99999999961346,319.9692829488369,1.5998464147472764,0.9738961113812176,False,-4.011595101161776e-09,-3.0751940095477586e-10,2.0186203054824684e-10,4.028425463752035e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.004411761,4.142489965999999,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.349534852,52.382990666880005,132.15616152408,599.349534852,52.382990666880005,132.15616152408,595.0617087199255,58.03319214934071,597.8848455812538,-174.42986318986013,128.95616546542658,611.6338620345232,-12.171514115898031,611.6338620345232,False,-1.1121600846689716,-0.6454713898601199,-17.16599174489803,-21.30848171089803,30.217108376995995,28.980981959947197,21.104663150469644,-597.7722131969624,11.60472771438834,-0.056215647911328576,-0.8386664053378349,-4.9641281
15865,5447831312500,3.4532,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.75,1.112290882,9.137208909,186.2163862,0.18689281132902238,0.051879188282976295,0.1533970465997036,-1.143807550190814,0.30678289588521696,0.2404379541685258,-30.015742605936,-3.5171927278560005,-2.6408114450112,30.221109326520004,2.6408114450112,30.336270926016002,4.993992327,186.6833423136018,599.199452856,52.365406998720005,132.16938085248,46.95479483,39.34802192,132.19777885512002,46.949405,39.347334,4.444492046736,30.25599830424,0.28879426860792,2.1864350085792,4.133266784,0.5454507812,0.1422287658,0.0710382956,556.5626498466513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234786012,-0.00849906877,0.9847967232,-11.336249892290347,-1.1226984488248548,-130.0790384794868,16.315036788252765,-1.1226984488248548,-130.0790384794868,27.651286680543116,0.0,0.0,1.0252176524255756,-0.09783357440550292,0.04247734717772577,-0.08524492908375174,0.027889361771284777,0.039526959088895086,-1.1104625814957692,0.12572293616322952,-0.0029503880793399543,0.508889,0.508889,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0034532,200.0000000001819,289.5864705200973,1.4479323525991696,0.977147539613621,False,-7.355943801217919e-09,6.191790691675953e-09,3.2966281584182554e-10,9.620647522300673e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.003942125,4.143216582,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.199452856,52.365406998720005,132.16938085248,599.199452856,52.365406998720005,132.16938085248,594.9116267239255,58.015608481180706,597.7337655166796,-174.43014433808145,128.96938479382658,611.4889669101536,-12.175709546214208,611.4889669101536,False,-1.1134866516832744,-0.6465305380814357,-17.16970187321421,-21.31291845521421,30.215402540735656,28.978744456169743,21.101292633123865,-597.6208928230506,11.615631714583657,-0.05629376414313717,-0.8389930848695768,-4.9606749
15866,5447842573600,11.2611,True,udp,127.0.0.1:63586,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,119.755,1.113336422,9.137457832,186.2171704,0.17993330951231906,0.05338300096874942,0.1546003000245805,-1.5035797606677175,0.29235481988109013,0.24110593369082384,-30.014022695736003,-3.517546923744,-2.6404133454264005,30.2194423296,2.6404133454264005,30.334575600984003,4.993517343,186.6843888210146,599.0493793944,52.3478215932,132.1825981692,46.95479348,39.34802169,132.2109819072,46.949405,39.347334,4.444492046736,30.254278662264003,0.2889639264144,2.1866868663432,4.133975395,0.5458017293,0.1415697871,0.06951880125,556.4997380591667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1241410453,-0.008503278528,0.9848698594,-11.333822146345392,-1.123251279145065,-130.08872350344527,16.40663023518636,-1.123251279145065,-130.08872350344527,27.74045238597997,0.0,0.0,1.0266947039541383,-0.09951403226415866,0.04261784434139061,-0.11204545645540397,0.026605337447466085,0.03967284074795993,-1.1387401604366587,0.12611936969806656,-0.0029450035974981307,0.522222,0.522222,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,0,0,True,0.0049999999999954525,0.0112611,200.0000000001819,88.80127163420981,0.4440063581706452,0.9654045062431035,False,-5.464746979635788e-09,-1.0257362570559564e-08,1.3759438860108068e-10,1.1623075267377788e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.003482437000001,4.143940489000001,-7.800000002546357,-6.150000000134573,1.5000000000048734,1.5000000000048734,14.099999998212345,14.099999998212345,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.0493793944,52.3478215932,132.1825981692,599.0493793944,52.3478215932,132.1825981692,594.7615532623255,57.9980230756607,597.5826937919963,-174.43042587366907,128.98260211054657,611.3440827937295,-12.179906616031065,611.3440827937295,False,-1.1148146946836732,-0.6475962736690235,-17.173423959031066,-21.317364448031064,30.21372224026324,28.9765299778916,21.097905210188053,-597.4695802989422,11.626544504055758,-0.056372035015326435,-0.8393211703482276,-4.9494138
