recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
6355331827900,position,479,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545254,""lon"":393492848}",-4.9995269
6355331934400,attitude,957,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110410,""roll"":-0.0021690959110856056,""pitch"":0.16786405444145203,""yaw"":-3.0401244163513184,""rollspeed"":-0.004559183493256569,""pitchspeed"":-0.011421289294958115,""yawspeed"":0.00534208444878459}",-4.9994204
6355332137100,vfr,479,"{""message_type"":""VFR_HUD"",""airspeed"":28.987991333007812,""alt"":198.1199951171875}",-4.9992177
6355344995200,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94929122924805,""y"":39.34857177734375}",-4.9863596
6355350549400,target_offset,223,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.0}",-4.9808054
6355354015100,range,1010,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94929122924805,""y"":39.34857177734375}",-4.9773397
6355362560100,fov,2301,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9687947
6355363036100,gimbal,2301,"{""imu_roll"":0.0,""imu_pitch"":23.70849609375,""imu_yaw"":-0.6682297587394714,""frame_roll"":0.0,""frame_pitch"":23.70849609375,""frame_yaw"":-0.6682297587394714,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9683187
6355391246500,target_offset,224,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.10873242130985966}",-4.9401083
6355396390300,attitude,958,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110470,""roll"":-0.002213711617514491,""pitch"":0.16783465445041656,""yaw"":-3.0399463176727295,""rollspeed"":-0.006350915413349867,""pitchspeed"":-0.013800002634525299,""yawspeed"":0.005223407875746489}",-4.9349645
6355398336700,fov,2302,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9330181
6355398633700,gimbal,2302,"{""imu_roll"":0.0,""imu_pitch"":23.74091911315918,""imu_yaw"":-0.6973140239715576,""frame_roll"":0.0,""frame_pitch"":23.74091911315918,""frame_yaw"":-0.6973140239715576,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9327211
6355427035600,target_offset,225,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.10873242130985966}",-4.9043192
