truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15726,7437869928100,3.2099,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.5966667,2.8117616,8.778541111,189.7830541,-7.645315950989031,0.2697410052355723,3.1224288155216833,-25.55094789080226,-0.2679479163404977,-9.228139115640243,-29.862995124792004,-16.168156078152002,-2.477034591768,33.95891264592,2.477034591768,30.253982289984002,4.171886355,208.43160474410126,592.44584838,-20.588687623152,133.5677222976,46.95473408,39.34706353,133.59530718528,46.949405,39.347334,4.444492046736,30.161906977056,-0.8600050210584,2.1961792493904,4.164528829,-1.628919329,3.070560089,-2.594455644,553.4728543806049,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270615229,0.0153311328,0.9833765402,-11.357908065372191,2.0291211288586295,-129.89230640637092,16.782789332035513,2.0291211288586295,-129.89230640637092,28.140697397407703,0.0,0.0,-0.810648184001692,-0.0809618965107062,-1.5099023764861832,-1.9014540678019427,0.014742422642830653,-1.5105449921633358,-1.0908058842069963,0.09570431915353686,-0.0006426163223864471,0.501111,0.501111,-4.050000000242342,-10.199999999803955,-6.150000000134573,-6.150000000134573,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0032099,200.0000000001819,311.5361849278794,1.5576809246379801,0.9846675021312362,False,-7.176215172445544e-05,-11.99999673706147,-3.71535024967784e-11,11.999996737276046,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.0390867139044073,11.825482942017183,4.614012281999999,4.606654755999999,-4.050000000242342,-10.199999999803955,-6.150000000134573,-6.150000000134573,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,592.44584838,-20.588687623152,133.5677222976,592.44584838,-20.588687623152,133.5677222976,588.1580222479255,-14.938486140691303,588.3477011961268,178.54507088542823,130.36772623894657,602.6182552391521,-12.493890404663777,602.6182552391521,False,-29.886533858673033,-11.237983214571756,-16.66577675966378,-21.272431515663776,29.44284874451913,28.209744494402457,21.362060027120314,-510.1056253149745,293.16423472993046,-1.6478560580816437,-0.8355374835947352,-4.9997583
15727,7437873427000,3.4989,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6016667,2.775673094,8.779130558,189.7988009,-7.7718950590556375,0.26837074091595053,3.0762468731128814,-24.988537268921966,-0.28218783907805617,-9.247890082376525,-29.861285754576002,-16.171032466608,-2.4765036359592,33.95877911304,2.4765036359592,30.25264798836,4.171011608,208.4372456281859,592.2965390520001,-20.66953616148,133.58011976328,46.95473274,39.34706247,133.6076910264,46.949405,39.347334,4.444492046736,30.160359205704005,-0.86650969446,2.1964980903072,4.165344302,-1.641315474,3.11338546,-2.564180724,553.4233753997771,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270018413,0.0155164107,0.9834836626,-11.355363655918934,2.0535433983835785,-129.9062252476628,16.77497256560367,2.0535433983835785,-129.9062252476628,28.1303362215226,0.0,0.0,-0.7686452373613891,-0.08269100477805653,-1.5131916301475556,-1.859574655971675,0.013471298629866207,-1.5138481199097737,-1.0909294183391223,0.09616230340656692,-0.0006564901659805457,0.501111,0.501111,-4.050000000242342,-10.199999999803955,-6.150000000134573,-6.150000000134573,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0034989,200.0000000001819,285.8041098630998,1.4290205493141994,0.9877553874807146,False,-7.176610796941207e-05,-11.999996719403065,-9.920897436899168e-12,11.999996719617664,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.042336675798681,11.824922086062491,4.613786256,4.608118950000001,-4.050000000242342,-10.199999999803955,-6.150000000134573,-6.150000000134573,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,592.2965390520001,-20.66953616148,133.58011976328,592.2965390520001,-20.66953616148,133.58011976328,588.0087129199255,-15.019334679019302,588.2004988810769,178.5368288016795,130.38012370462658,602.477222425198,-12.498069965975146,602.477222425198,False,-29.900416826506415,-11.261972098320513,-16.669081573975145,-21.277200523975146,29.438632042816412,28.20510148939207,21.360576300418188,-509.90696700390566,293.21444692379276,-1.6489568374498835,-0.8357926913970168,-4.9962594
15728,7437885755400,12.3284,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6066667,2.738921928,8.779734027,189.8143134,-7.8956857763389925,0.2669322886026514,3.0299667005278503,-24.437468495565312,-0.29499772029356486,-9.267388930494217,-29.859575125536,-16.173886632096,-2.4759786146064005,33.95863418064,2.4759786146064005,30.251310187632004,4.170148202,208.4428545985213,592.1472382584001,-20.750399025408,133.59251460768002,46.95473139,39.34706141,133.62007221576002,46.949405,39.347334,4.444492046736,30.15881023344,-0.8729383086792,2.1967958643624,4.166120209,-1.653568865,3.155281205,-2.533970612,553.373770972671,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269484128,0.01569940511,0.9835804159,-11.352884065951052,2.077664046900639,-129.91877977490307,16.767975931135698,2.077664046900639,-129.91877977490307,28.120859997086747,0.0,0.0,-0.7274954314369115,-0.08432695126905035,-1.5164370963124687,-1.8185404108851329,0.012298124514508074,-1.5171082899203365,-1.091044979041476,0.09662507578491425,-0.0006711924718277559,0.501111,0.501111,-4.050000000242342,-10.199999999803955,-6.150000000134573,-6.150000000134573,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0123284,199.99999999961346,81.11352649167776,0.4055676324591726,0.9737459288619701,False,-7.176599324473093e-05,-11.999996710473583,1.4747780774371222e-10,11.999996710688182,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.04553812997826,11.824368701861674,4.613613818,4.609585825,-4.050000000242342,-10.199999999803955,-6.150000000134573,-6.150000000134573,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,592.1472382584001,-20.750399025408,133.59251460768002,592.1472382584001,-20.750399025408,133.59251460768002,587.8594121263255,-15.100197542947303,588.0533176433453,178.52858121778866,130.3925185490266,602.3362128287685,-12.502250807041078,602.3362128287685,False,-29.914273380732652,-11.285732182211348,-16.67239900904108,-21.281984834041076,29.43441160373741,28.20045341330708,21.359096749293442,-509.7084677788247,293.2643556007242,-1.6500561323012415,-0.836048460568889,-4.983931
15729,7437890747000,4.9916,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6116667,2.701521845,8.780351095,189.829591,-8.019232276091751,0.26542389716476544,2.9834914117493505,-26.87410813541581,-0.3171079865117611,-9.404343427605216,-29.85786385032,-16.17671468232,-2.4754587565656,33.95847656856,2.4754587565656,30.249968878656,4.169295005,208.44842540986758,591.997946304,-20.831276108256002,133.60490680032,46.95473005,39.34706034,133.63245081432,46.949405,39.347334,4.444492046736,30.157259947488004,-0.8792939799912,2.19707346462,4.16685825,-1.665685391,3.196986798,-2.508739408,553.3240406204836,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268614744,0.01561646192,0.9836314156,-11.355650428318246,2.066678468809537,-129.92531301143603,16.75655119880705,2.066678468809537,-129.92531301143603,28.112201627125298,0.0,0.0,-0.908914852744144,-0.0866303387892271,-1.5386293888752571,-2.000068021990443,0.010463069904769412,-1.5393161242242663,-1.0911531697886263,0.09709340868450579,-0.0006867354634403724,0.501111,0.501111,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0049916,200.0000000001819,200.33656542992227,1.0016828271487004,0.9740220717156097,False,-7.176019634393127e-05,-11.999996748574508,3.9818673358560375e-10,11.999996748789071,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.0486909591784745,11.823822850184339,4.613492845000001,4.61105609,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,591.997946304,-20.831276108256002,133.60490680032,591.997946304,-20.831276108256002,133.60490680032,587.7101201719255,-15.181074625795304,587.9061578001144,178.5203281415017,130.40491074166658,602.1952267536127,-12.506432918932967,602.1952267536127,False,-29.92809726836589,-11.3092628584983,-16.675727923932968,-21.286784013932966,29.430188150263824,28.1958011392683,21.35762072441826,-509.51016009574494,293.3139054639268,-1.6511535622863147,-0.8363047337705274,-4.9789394
15730,7437894054700,3.3077,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6166667,2.66344272,8.780981287,189.8446316,-8.152387123370248,0.2638154814479073,2.9364309548721477,-26.29259258536113,-0.3277016139771078,-9.4228922544028,-29.856152645208002,-16.179509472768,-2.4749429465736004,33.95830350312,2.4749429465736004,30.248623686528003,4.168450483,208.45394683225194,591.8486625792001,-20.912167239336,133.61729640216,46.95472871,39.34705928,133.64482682208,46.949405,39.347334,4.444492046736,30.155707762632,-0.8855838044448,2.1973314637992,4.167559582,-1.677678503,3.242399775,-2.478982898,553.2741704579399,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268191656,0.01579566813,0.9837083206,-11.353288649499847,2.0902952886157005,-129.93523396906897,16.751011428089623,2.0902952886157005,-129.93523396906897,28.104300077589468,0.0,0.0,-0.8655118472735286,-0.08808466656492858,-1.5417205724483758,-1.956766396451096,0.009486618052263538,-1.5424240114745085,-1.0912545494487311,0.09757128461719211,-0.0007034397928478302,0.501111,0.501111,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0033077,200.0000000001819,302.3248783142365,1.5116243915698078,0.9775551533541019,False,-7.176186200403417e-05,-11.9999967501018,2.3021740069850694e-10,11.999996750316374,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.051794736542696,11.823284645049217,4.6134217049999995,4.6125308039999995,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,591.8486625792001,-20.912167239336,133.61729640216,591.8486625792001,-20.912167239336,133.61729640216,587.5608364471256,-15.261965756875302,587.7590187527622,178.51206958451365,130.41730034350658,602.0542636292,-12.510616320080048,602.0542636292,False,-29.94187724773829,-11.33256201548636,-16.679066803080048,-21.29159760708005,29.425962596841508,28.191145797834583,21.356147350188404,-509.3121007829983,293.3629971915662,-1.652248432427411,-0.836561428103882,-4.9756317
15731,7437897368600,3.3139,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6216667,2.624667558,8.781624172,189.8594334,-8.28265876107998,0.26215708226810064,2.889278263822042,-25.722749669553963,-0.336876812972771,-9.441195912559849,-29.854441565064,-16.182280184016,-2.4744318155664002,33.95811940392,2.4744318155664002,30.247275976752004,4.167615154,208.45943250206986,591.6993876936,-20.993072287584,133.62968344368002,46.95472737,39.34705822,133.65720023904,46.949405,39.347334,4.444492046736,30.154155468048003,-0.8917985280072,2.197568510112,4.168221398,-1.689530575,3.286870302,-2.449310342,553.2242107593122,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267816564,0.01597258793,0.983774899,-11.350992086058547,2.1136141936722264,-129.94380555867494,16.74610206823595,2.1136141936722264,-129.94380555867494,28.097094149846274,0.0,0.0,-0.8229848314407127,-0.08944711637473063,-1.5447692999382603,-1.9143344657579784,0.008605973358610979,-1.5454900554712294,-1.0913496339105202,0.09805308973740906,-0.0007207554600258634,0.501111,0.501111,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0033139,199.99999999961346,301.7592564651921,1.5087962823288765,0.9810529307397643,False,-7.176184684308529e-05,-11.999996740092291,-9.922812571616646e-12,11.999996740306864,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.054849097112905,11.822754189564087,4.613402774000001,4.614009018000001,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,591.6993876936,-20.993072287584,133.62968344368002,591.6993876936,-20.993072287584,133.62968344368002,587.4115615615254,-15.342870805123301,587.6119011224097,178.50380555774015,130.4296873850266,601.9133240692121,-12.514801000952607,601.9133240692121,False,-29.95562694432971,-11.35562784225985,-16.682416154952605,-21.29642517295261,29.42173477436834,28.18648708792357,21.354676877314745,-509.1142210190214,293.411752145151,-1.6533416332840691,-0.8368185975896199,-4.9723178
15732,7437904206100,6.8375,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6266667,2.585210576,8.782279393,189.8739959,-8.410105132442764,0.26045570890453223,2.8420345681664627,-25.164378772551906,-0.34467285293740924,-9.459252339428296,-29.852731039656003,-16.185026169888,-2.4739249404816,33.95792430144,2.4739249404816,30.24592603584,4.166788302,208.46488110151842,591.5501210376,-21.073991131080003,133.64206792488,46.95472602,39.34705715,133.66957115664,46.949405,39.347334,4.444492046736,30.152603365488,-0.8979380583240001,2.1977851113552003,4.16884461,-1.701241397,3.330422937,-2.41972031,553.174172058257,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126748556,0.01614725262,0.9838314822,-11.348759372390314,2.1366352391370613,-129.9510627432758,16.74177091491716,2.1366352391370613,-129.9510627432758,28.090530291755694,0.0,0.0,-0.7813183456671222,-0.09072017855792439,-1.5477753557698573,-1.872757245411124,0.007818407633377924,-1.548513956578662,-1.0914388992016748,0.09853858619401396,-0.0007386009442510201,0.501111,0.501111,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0068375,200.0000000001819,146.25228519195613,0.7312614259591156,0.9776831141537033,False,-7.176415523833801e-05,-11.999996727026994,1.6726717233517263e-10,11.999996727241582,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.057853944149333,11.822231539912842,4.613434783,4.615491091,-3.9000000001272626,-10.35000000106495,-6.300000001395567,-6.300000001395567,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,591.5501210376,-21.073991131080003,133.64206792488,591.5501210376,-21.073991131080003,133.64206792488,587.2622949055254,-15.423789648619305,587.4648043115683,178.4955360681298,130.44207186622657,601.7724074910573,-12.518986974311728,601.7724074910573,False,-29.969345033388606,-11.378459831870202,-16.685775276311727,-21.301266367311726,29.41750514006705,28.181825544764802,21.353208880495874,-508.91652707206936,293.4601587570839,-1.654433102806058,-0.8370762139569708,-4.9654803
15733,7437910424800,6.2187,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6316667,2.545085704,8.782946614,189.8883186,-8.537231501147389,0.2587093798399633,2.7945044405958575,-27.546568038702762,-0.36180518287792474,-9.712991328500966,-29.85102153228,-16.187741117976,-2.4734201974728003,33.95771560488,2.4734201974728003,30.244573275528005,4.165966678,208.47028294761094,591.4008632208,-21.154923641808,133.65444990672,46.95472468,39.34705609,133.68193951392,46.949405,39.347334,4.444492046736,30.151050571032002,-0.9040078220544001,2.1979835788272,4.169433703,-1.71282127,3.375928688,-2.398615574,553.124032808658,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266251931,0.01586960184,0.983731702,-11.359037273118556,2.09994129766721,-129.93775971378435,16.72552422139314,2.09994129766721,-129.93775971378435,28.084561494511696,0.0,0.0,-0.9586946035569772,-0.09267022278322712,-1.5891106087107443,-2.0502173891132607,0.006359477638048827,-1.589867602545836,-1.091522785149538,0.09902970042805502,-0.0007569931247788476,0.501111,0.501111,-3.7500000000121836,-10.500000002325946,-6.749999999448973,-6.749999999448973,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0062187,200.0000000001819,160.80531300754177,0.8040265650369777,0.9755498109351691,False,-7.176821163640268e-05,-11.99999671283033,-1.9595758349311154e-10,11.999996713044942,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.060809180842489,11.821716751763097,4.613512911,4.616979936,-3.7500000000121836,-10.500000002325946,-6.749999999448973,-6.749999999448973,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,591.4008632208,-21.154923641808,133.65444990672,591.4008632208,-21.154923641808,133.65444990672,587.1130370887255,-15.504722159347303,587.3177289413165,178.48726112633966,130.45445384806658,601.6315145149754,-12.523174233450316,601.6315145149754,False,-29.98302182127128,-11.40105747366033,-16.689140911450316,-21.306120847450316,29.41327433574249,28.177162255645325,21.351742558619005,-508.71906948012753,293.5081311924065,-1.6555222228005309,-0.8373340920309857,-4.9592616
15734,7437914810000,4.3852,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6366667,2.504263426,8.783625518,189.9023975,-8.67373614617512,0.2568878435903604,2.74590377518956,-26.959137335396512,-0.3674566490346565,-9.730084366943949,-29.849313561096,-16.190413104504,-2.472913834452,33.95748807168,2.472913834452,30.243216229728002,4.165144625,208.47561987758522,591.2516136336001,-21.235869606408002,133.66682932824,46.95472334,39.34705503,133.69430534136,46.949405,39.347334,4.444492046736,30.149495106528004,-0.9100185691896,2.1981671766312,4.169995115,-1.724290636,3.422897008,-2.368890088,553.0737389058224,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266001909,0.0160408203,0.983771364,-11.356894916175992,2.1224998174933125,-129.94274154406457,16.722251642509686,2.1224998174933125,-129.94274154406457,28.0791465631339,0.0,0.0,-0.9148742946763351,-0.09378690299899885,-1.5919606546384804,-2.0064759958874645,0.005747873540086333,-1.5927369119349821,-1.091601700939966,0.09953477653637353,-0.0007762565121610802,0.501111,0.501111,-3.7500000000121836,-10.500000002325946,-6.749999999448973,-6.749999999448973,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0043852,199.99999999961346,228.0397701359117,1.1401988506817622,0.9769812941926017,False,-7.176798796287853e-05,-11.999996722396675,-4.856318125412429e-11,11.999996722611284,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.063713988195131,11.82121000632713,4.613630402999999,4.618480892999999,-3.7500000000121836,-10.500000002325946,-6.749999999448973,-6.749999999448973,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,591.2516136336001,-21.235869606408002,133.66682932824,591.2516136336001,-21.235869606408002,133.66682932824,586.9637875015255,-15.585668123947304,587.1706744116278,178.4789807482401,130.46683326958657,601.490644542706,-12.52736278553032,601.490644542706,False,-29.996639129345112,-11.423416751759902,-16.692507410530318,-21.31098830353032,29.40904321219484,28.17249886348401,21.350276645936173,-508.5219406415837,293.5555088481962,-1.6566078304522032,-0.8375919017493543,-4.9548764
15735,7437919302400,4.4924,True,udp,127.0.0.1:54642,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.6416667,2.462727208,8.784315805,189.9162297,-8.80732828057244,0.25504092542502477,2.697218159049852,-26.383503580990578,-0.3717407503819846,-9.746930254312423,-29.847607296792,-16.193058457608,-2.4724105681992,33.95724965712,2.4724105681992,30.241857714792,4.164329089,208.4809160129645,591.1023728856001,-21.316828872480002,133.67920621992002,46.954722,39.34705396,133.70666863896002,46.949405,39.347334,4.444492046736,30.147940727112,-0.9159535506648001,2.1983305003584,4.170518108,-1.735617573,3.468940297,-2.339267527,553.0233937711098,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265785222,0.01620971421,0.9838008878,-11.354816555797807,2.1447582651822934,-129.946427963246,16.719419228499724,2.1447582651822934,-129.946427963246,28.07423578429753,0.0,0.0,-0.8719373974521053,-0.09481583498899271,-1.5947682309248028,-1.9636134208068723,0.00522706232793776,-1.5955640757232041,-1.091676023219185,0.10004289731015138,-0.0007958447451176618,0.501111,0.501111,-3.7500000000121836,-10.500000002325946,-6.749999999448973,-6.749999999448973,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0044924,200.0000000001819,222.5981657911139,1.1129908289545571,0.9781924308399815,False,-7.176558067904099e-05,-11.999996727087035,1.2440309893335666e-10,11.99999672730163,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.066567774200579,11.820711445314812,4.613797697000001,4.6199867160000005,-3.7500000000121836,-10.500000002325946,-6.749999999448973,-6.749999999448973,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,591.1023728856001,-21.316828872480002,133.67920621992002,591.1023728856001,-21.316828872480002,133.67920621992002,586.8145467535255,-15.666627390019304,587.0236413427685,178.47069494691226,130.4792101612666,601.3497981870712,-12.531552621014042,601.3497981870712,False,-30.010221066052253,-11.445534753087742,-16.695881710014042,-21.315868426014042,29.40481152496723,28.167834108063804,21.348812119527448,-508.32501789970473,293.60250624371076,-1.6576915141360824,-0.8378500753538831,-4.950384
