recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
11530212571100,target_offset,184,"{""x_angle_offset"":0.0,""y_angle_offset"":0.0}",-5.0036398
11530222551000,fov,2331,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9936599
11530222845300,gimbal,2331,"{""imu_roll"":0.0,""imu_pitch"":24.546384811401367,""imu_yaw"":-0.046295151114463806,""frame_roll"":0.0,""frame_pitch"":24.546384811401367,""frame_yaw"":-0.046295151114463806,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9933656
11530252914800,target_offset,185,"{""x_angle_offset"":0.0,""y_angle_offset"":0.0}",-4.9632961
11530260627400,attitude,970,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110770,""roll"":0.04668331891298294,""pitch"":0.16792422533035278,""yaw"":-3.0076167583465576,""rollspeed"":-0.12338028848171234,""pitchspeed"":-0.015520201995968819,""yawspeed"":0.018919650465250015}",-4.9555835
11530267587100,fov,2332,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9486238
11530267863700,gimbal,2332,"{""imu_roll"":0.0,""imu_pitch"":24.545106887817383,""imu_yaw"":-0.06685880571603775,""frame_roll"":0.0,""frame_pitch"":24.545106887817383,""frame_yaw"":-0.06685880571603775,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9483472
11530294498700,target_offset,186,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.10873242130985966}",-4.9217122
11530297710900,range,991,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.95024871826172,""y"":39.34859848022461}",-4.9185
11530300515100,vfr,485,"{""message_type"":""VFR_HUD"",""airspeed"":30.429344177246094,""alt"":191.1999969482422}",-4.9156958
11530300688000,attitude,971,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110810,""roll"":0.04136492684483528,""pitch"":0.16776147484779358,""yaw"":-3.0069310665130615,""rollspeed"":-0.14575041830539703,""pitchspeed"":-0.01535724475979805,""yawspeed"":0.01636141538619995}",-4.9155229
11530300777500,range,992,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.95024871826172,""y"":39.34859848022461}",-4.9154334
11530300847600,position,485,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469546755,""lon"":393493340}",-4.9153633
11530306979400,fov,2333,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9092315
11530307267900,gimbal,2333,"{""imu_roll"":0.0,""imu_pitch"":24.588844299316406,""imu_yaw"":-0.11843737959861755,""frame_roll"":0.0,""frame_pitch"":24.588844299316406,""frame_yaw"":-0.11843737959861755,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.908943
11530334747700,target_offset,187,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.10873242130985966}",-4.8814632
11530348982100,fov,2334,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8672288
11530349241700,gimbal,2334,"{""imu_roll"":0.0,""imu_pitch"":24.63286018371582,""imu_yaw"":-0.2460116147994995,""frame_roll"":0.0,""frame_pitch"":24.63286018371582,""frame_yaw"":-0.2460116147994995,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8669692
11530359736900,attitude,972,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110870,""roll"":0.03196823596954346,""pitch"":0.1675531417131424,""yaw"":-3.0060551166534424,""rollspeed"":-0.17154450714588165,""pitchspeed"":-0.01475049089640379,""yawspeed"":0.012785336934030056}",-4.856474
11530375584200,target_offset,188,"{""x_angle_offset"":-0.375,""y_angle_offset"":0.10873242130985966}",-4.8406267
11530391809200,fov,2335,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8244017
11530392118800,gimbal,2335,"{""imu_roll"":0.0,""imu_pitch"":24.67973518371582,""imu_yaw"":-0.4201231002807617,""frame_roll"":0.0,""frame_pitch"":24.67973518371582,""frame_yaw"":-0.4201231002807617,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8240921
11530400367700,attitude,973,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110910,""roll"":0.02503252401947975,""pitch"":0.16748307645320892,""yaw"":-3.005547285079956,""rollspeed"":-0.18094272911548615,""pitchspeed"":-0.01389696728438139,""yawspeed"":0.01070366520434618}",-4.8158432
11530400462500,vfr,486,"{""message_type"":""VFR_HUD"",""airspeed"":30.253549575805664,""alt"":191.75999450683594}",-4.8157484
11530400528100,position,486,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469546193,""lon"":393493216}",-4.8156828
11530419166000,target_offset,189,"{""x_angle_offset"":-0.375,""y_angle_offset"":0.10873242130985966}",-4.7970449
11530432231200,fov,2336,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7839797
11530432504000,gimbal,2336,"{""imu_roll"":0.0,""imu_pitch"":24.72248077392578,""imu_yaw"":-0.5806884765625,""frame_roll"":0.0,""frame_pitch"":24.72248077392578,""frame_yaw"":-0.5806884765625,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7837069
11530455448700,range,993,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.950199127197266,""y"":39.348567962646484}",-4.7607622
11530460139000,target_offset,190,"{""x_angle_offset"":-0.46875,""y_angle_offset"":0.10873242130985966}",-4.7560719
11530462907800,range,994,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.950199127197266,""y"":39.348567962646484}",-4.7533031
11530463090100,attitude,974,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110970,""roll"":0.014334354549646378,""pitch"":0.1675117313861847,""yaw"":-3.0049030780792236,""rollspeed"":-0.18129362165927887,""pitchspeed"":-0.012032145634293556,""yawspeed"":0.008236834779381752}",-4.7531208
11530469566400,fov,2337,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7466445
11530470095900,gimbal,2337,"{""imu_roll"":0.0,""imu_pitch"":24.763622283935547,""imu_yaw"":-0.7630494832992554,""frame_roll"":0.0,""frame_pitch"":24.763622283935547,""frame_yaw"":-0.7630494832992554,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.746115
11530497717000,target_offset,191,"{""x_angle_offset"":-0.5625,""y_angle_offset"":0.0}",-4.7184939
11530501149800,position,487,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469546193,""lon"":393493216}",-4.7150611
11530501632500,attitude,975,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111010,""roll"":0.0074525694362819195,""pitch"":0.1676061451435089,""yaw"":-3.0045113563537598,""rollspeed"":-0.17394936084747314,""pitchspeed"":-0.010502900928258896,""yawspeed"":0.00708272960036993}",-4.7145784
11530501816800,vfr,487,"{""message_type"":""VFR_HUD"",""airspeed"":30.10091781616211,""alt"":192.30999755859375}",-4.7143941
11530511024600,fov,2338,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7051863
11530511322100,gimbal,2338,"{""imu_roll"":0.0,""imu_pitch"":24.763442993164062,""imu_yaw"":-0.9981427192687988,""frame_roll"":0.0,""frame_pitch"":24.763442993164062,""frame_yaw"":-0.9981427192687988,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7048888
