recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
17990734413300,position,481,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545508,""lon"":393492540}",-4.988385
17990734578400,attitude,958,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110210,""roll"":-0.03385309875011444,""pitch"":0.16774654388427734,""yaw"":-3.0240957736968994,""rollspeed"":-0.010186577215790749,""pitchspeed"":-0.01077969465404749,""yawspeed"":0.0007261305581778288}",-4.9882199
17990734906700,vfr,481,"{""message_type"":""VFR_HUD"",""airspeed"":29.02406120300293,""alt"":195.58999633789062}",-4.9878916
17990738284900,target_offset,201,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.0}",-4.9845134
17990745123600,fov,2268,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9776747
17990745352100,gimbal,2268,"{""imu_roll"":0.0,""imu_pitch"":24.41162109375,""imu_yaw"":-2.3201162815093994,""frame_roll"":0.0,""frame_pitch"":24.41162109375,""frame_yaw"":-2.3201162815093994,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9774462
17990773353400,target_offset,202,"{""x_angle_offset"":-0.28125,""y_angle_offset"":0.0}",-4.9494449
17990783796600,fov,2269,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9390017
17990784072300,gimbal,2269,"{""imu_roll"":0.0,""imu_pitch"":24.41162109375,""imu_yaw"":-2.430756092071533,""frame_roll"":0.0,""frame_pitch"":24.41162109375,""frame_yaw"":-2.430756092071533,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.938726
17990792744100,attitude,959,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110270,""roll"":-0.03350275382399559,""pitch"":0.1676991730928421,""yaw"":-3.024017572402954,""rollspeed"":0.005987172946333885,""pitchspeed"":-0.009951637126505375,""yawspeed"":0.0010901358909904957}",-4.9300542
17990812484000,target_offset,203,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.0}",-4.9103143
17990821307700,fov,2270,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9014906
17990821531600,gimbal,2270,"{""imu_roll"":0.0,""imu_pitch"":24.41162109375,""imu_yaw"":-2.500298500061035,""frame_roll"":0.0,""frame_pitch"":24.41162109375,""frame_yaw"":-2.500298500061035,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9012667
17990834668200,position,482,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544961,""lon"":393492445}",-4.8881301
17990834792000,attitude,960,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110310,""roll"":-0.03280578926205635,""pitch"":0.1676643341779709,""yaw"":-3.0239715576171875,""rollspeed"":0.013303271494805813,""pitchspeed"":-0.00960895512253046,""yawspeed"":0.001177751924842596}",-4.8880063
17990835017800,vfr,482,"{""message_type"":""VFR_HUD"",""airspeed"":28.910877227783203,""alt"":196.05999755859375}",-4.8877805
17990841019900,range,985,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94926071166992,""y"":39.34855651855469}",-4.8817784
17990851309500,target_offset,204,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.0}",-4.8714888
17990857054600,fov,2271,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8657437
17990857379300,gimbal,2271,"{""imu_roll"":0.0,""imu_pitch"":24.41162109375,""imu_yaw"":-2.5400450229644775,""frame_roll"":0.0,""frame_pitch"":24.41162109375,""frame_yaw"":-2.5400450229644775,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.865419
17990859865400,range,986,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94926071166992,""y"":39.34855651855469}",-4.8629329
17990885573200,target_offset,205,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.0}",-4.8372251
17990892199000,gimbal,2272,"{""imu_roll"":0.0,""imu_pitch"":24.41162109375,""imu_yaw"":-2.5954904556274414,""frame_roll"":0.0,""frame_pitch"":24.41162109375,""frame_yaw"":-2.5954904556274414,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8305993
17990892363000,fov,2272,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8304353
17990900904700,attitude,961,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110370,""roll"":-0.03145083039999008,""pitch"":0.16762055456638336,""yaw"":-3.0239176750183105,""rollspeed"":0.01767575554549694,""pitchspeed"":-0.009448697790503502,""yawspeed"":0.0010169283486902714}",-4.8218936
17990920859600,target_offset,206,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.0}",-4.8019387
17990930306200,fov,2273,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7924921
17990930578000,gimbal,2273,"{""imu_roll"":0.0,""imu_pitch"":24.41162109375,""imu_yaw"":-2.631314277648926,""frame_roll"":0.0,""frame_pitch"":24.41162109375,""frame_yaw"":-2.631314277648926,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7922203
17990942998900,position,483,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544961,""lon"":393492445}",-4.7797994
17990943133300,attitude,962,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110410,""roll"":-0.03064613789319992,""pitch"":0.16759757697582245,""yaw"":-3.0239205360412598,""rollspeed"":0.013496704399585724,""pitchspeed"":-0.009261520579457283,""yawspeed"":0.0005176649428904057}",-4.779665
17990943422300,vfr,483,"{""message_type"":""VFR_HUD"",""airspeed"":28.801115036010742,""alt"":196.51998901367188}",-4.779376
17990962419700,target_offset,207,"{""x_angle_offset"":0.0,""y_angle_offset"":0.0}",-4.7603786
17990967563300,fov,2274,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.755235
