event_monotonic_ns,event,value_json,session_time_s
18597655385000,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":null,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-4.7709048
18597655432600,TRACKER_ENABLED,"{""state"":true}",-4.7708572
18597657376100,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.03776433882410011,""gap_limit_s"":0.13217518588435037}",-4.7689137
18598063737400,SIM_MISSION_STATE,"{""time"":1788442826.68059,""from"":""WAIT_TRACKER_LOCK"",""to"":""SET_WIND"",""reason"":""real_tracking_stream_confirmed_apply_wind_best_effort""}",-4.3625524
18601178589500,SIM_MISSION_STATE,"{""time"":1788442829.795712,""from"":""SET_WIND"",""to"":""ENTER_HUNTER"",""reason"":""wind_smooth_ramp_complete_hunter""}",-1.2477003
18601179169100,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-1.2471207
18601181071900,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.2081310418619708,""effective_s"":0.0005559576501555496,""confidence"":0.5855320252106206,""candidate_s"":0.4,""fit_score"":1.3103993654541488,""excitation"":0.6776712092743872,""samples"":81,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999999616811462}",-1.2452179
18601181727600,CHANNELS_RESET,"{""reason"":""hunter_new_engagement_reset""}",-1.2445622
18601194109900,HUNTER_ATTACK_READINESS_WAIT_BEGIN,"{""los_rate_deg_s"":0.3882079736686533,""roll_rate_deg_s"":0.4149107801072672,""crab_lock_confidence"":0.0,""crab_latched"":false,""crab_reference_deg"":0.0,""crab_stability_rate_deg_s"":null,""crab_stability_spread_deg"":null,""crab_stability_ready"":false,""measurement_validity"":0.825}",-1.2321799
18601229922900,SIM_MISSION_STATE,"{""time"":1788442829.84701,""from"":""ENTER_HUNTER"",""to"":""HUNTER"",""reason"":""hunter_confirmed_by_attack_controller""}",-1.1963669
18602425128200,HUNTER_ATTACK_READINESS_TIMEOUT,"{""ready"":false,""timeout"":true,""line_good"":false,""elapsed_s"":1.2436557999972138,""ready_hold_s"":0.0,""los_rate_deg_s"":1.7149609491290874,""roll_rate_deg_s"":7.039665095441518,""crab_lock_confidence"":0.2296215667672634,""crab_latched"":false,""crab_reference_deg"":2.2788807940963776,""crab_stability_rate_deg_s"":0.1054796412914578,""crab_stability_spread_deg"":0.1514525909623785,""crab_stability_ready"":true,""measurement_validity"":0.4644745552498733}",-0.0011616
18602425215400,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.30537413815886716,""effective_s"":0.0,""confidence"":0.7249066637046623,""candidate_s"":0.35,""fit_score"":1.8637165741519008,""excitation"":0.6725023849459483,""samples"":108,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9976520190820437}",-0.0010744
18602426259900,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":8.544116712974377,""hold_pitch_pwm"":1927,""uav_pitch_deg"":8.544116712974377,""frame_pitch_deg"":-26.439708709716797}",-2.99e-05
