truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15613,21545218419200,6.4444,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.0975,-1.661316781,9.29525792,183.0290862,1.1665115746347525,0.2685346686102083,-0.6747828437839225,1.1985909321176018,-0.6049715924909224,1.6303787155051046,-30.079329561312004,-6.108913915752001,-2.6954775743376,30.69340151376,2.6954775743376,30.273383581128,5.018808041,191.4802536645308,599.4679152096,11.666265317664001,131.53901345688,46.95479725,39.34748726,131.56723281624002,46.949405,39.347334,4.444492046736,30.188220324480003,0.45221503440480004,2.2236476031912003,4.212767314,0.8558995894,-0.1178481204,0.02905552388,554.2911754080352,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463297574,-0.01194138176,0.9998827478,-11.214286265657226,-1.5772842272681662,-132.07008355904784,19.32796384382626,-1.5772842272681662,-132.07008355904784,30.54225010948349,0.0,0.0,1.2625688826528072,-0.20196052189766497,0.2680810853617576,0.08893392269963368,-0.053778094535988995,0.26717806451035864,-1.173634959912499,0.14818242734811782,-0.0009030209426455038,0.55,0.55,-8.400000001860755,-5.699999999789336,2.5500000002374676,2.5500000002374676,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0064444,200.0000000001819,155.17348395506176,0.7758674197746032,0.9352140768942379,True,-2.392222621010187e-05,-3.9999979914535313,1.5062331937265583e-10,3.9999979915250656,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.21139539699370505,3.994408084047765,5.0824906059999995,4.276449878999999,-8.400000001860755,-5.699999999789336,2.5500000002374676,2.5500000002374676,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.4679152096,11.666265317664001,131.53901345688,599.4679152096,11.666265317664001,131.53901345688,595.1800890775255,17.3164668001247,595.431942758172,-178.33347809720635,128.3390173982266,609.1059857229391,-12.163414340285893,609.1059857229391,False,-9.813731761737131,-1.3625642972063474,-17.182222381285893,-21.458672260285894,30.244267328490935,28.99736387983135,21.005564100486836,-586.7190330279981,101.48879120110782,-0.5034095779292954,-0.8472893100325869,-5.0001359
15614,21545222659600,4.2404,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1025,-1.656027563,9.296497924,183.0256465,1.1724618628042385,0.2655054413203094,-0.6666329385532925,1.178243825713798,-0.6070039219187063,1.629411371951978,-30.078601052736,-6.106885584528,-2.6959422998496,30.692283934080002,2.6959422998496,30.272559892656005,5.019850754,191.47681362592883,599.317521708,11.635726137696,131.55250622136,46.95479589,39.34748686,131.58071134656,46.949405,39.347334,4.444492046736,30.187393322832,0.4522416946512,2.2236555883416003,4.212897384,0.8559733436,-0.1213801766,0.02298223199,554.260293598598,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463411669,-0.01194122773,0.9998559799,-11.213502333320859,-1.5772638811024977,-132.06654793457918,19.329470910205956,-1.5772638811024977,-132.06654793457918,30.542973243526813,0.0,0.0,1.2610682352821625,-0.20206511647328898,0.26795775365325125,0.08742375416523769,-0.0539697747762759,0.2670210268964932,-1.1736444811440412,0.14809534166989674,-0.0009367267799425511,0.55,0.55,-8.400000001860755,-5.699999999789336,2.5500000002374676,2.5500000002374676,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0042404,199.99999999961346,235.82680879162342,1.1791340439603961,0.9372653171922135,True,-2.3923194211839666e-05,-3.999997990882154,-1.6051476814382681e-10,3.999997990953694,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.21115559595736716,3.9944207677799985,5.083600540000001,4.27664717,-8.400000001860755,-5.699999999789336,2.5500000002374676,2.5500000002374676,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.317521708,11.635726137696,131.55250622136,599.317521708,11.635726137696,131.55250622136,595.0296955759254,17.2859276201567,595.2807252976261,-178.33599527477134,128.35251016270658,608.9610075989558,-12.167653132861028,608.9610075989558,False,-9.812808900700134,-1.3616417747713285,-17.18750388686103,-21.464151056861027,30.243250360503044,28.995605347767928,21.001838047358905,-586.5716624768064,101.45356913417716,-0.5034722382486558,-0.8477154426373471,-4.9958955
15615,21545226414400,3.7548,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1075,-1.650702121,9.297724258,183.0222486,1.178311830074502,0.26246674309535284,-0.6584880083151978,1.1585730512964378,-0.6087062826604431,1.628377660978568,-30.077871858359998,-6.104861867976,-2.6964059052216,30.691166720160002,2.6964059052216,30.271735881096,5.020891406,191.47338206710222,599.1671315592,11.60519708928,131.56600130232002,46.95479454,39.34748646,131.59419222384,46.949405,39.347334,4.444492046736,30.186566744856,0.4522524937152,2.22365668044,4.213014389,0.8560170875,-0.1248431313,0.01692562161,554.2294007767013,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463524227,-0.01194061489,0.9998258301,-11.212738186674237,-1.5771829350344764,-132.06256557521368,19.33095768379864,-1.5771829350344764,-132.06256557521368,30.54369586602466,0.0,0.0,1.2596178963499816,-0.2021400986291035,0.2678235606227426,0.08596389786559558,-0.05413178840470992,0.26685302356264334,-1.1736539984437113,0.1480083102243936,-0.000970536999900877,0.55,0.55,-8.400000001860755,-5.699999999789336,2.5500000002374676,2.5500000002374676,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0037548,200.0000000001819,266.32576968147436,1.3316288484061607,0.9402047555598522,True,-2.3922316212458133e-05,-3.9999979948382314,-3.235123835487741e-10,3.9999979949097657,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.2109187082893885,3.9944332832417917,5.084709869000001,4.276832852000001,-8.400000001860755,-5.699999999789336,2.5500000002374676,2.5500000002374676,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.1671315592,11.60519708928,131.56600130232002,599.1671315592,11.60519708928,131.56600130232002,594.8793054271255,17.2553985717407,595.1295126317707,-178.33851276587856,128.3660052436666,608.81603798483,-12.171894062154834,608.81603798483,False,-9.811894832980784,-1.3607613658786022,-17.192785468154835,-21.469618320154837,30.24223293009618,28.993846069567127,20.99811237612463,-586.424280161077,101.41844232136211,-0.5035353806596128,-0.8481417360256867,-4.9921407
15616,21545230111600,3.6972,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1125,-1.645341984,9.29893732,183.0188924,1.1816233989337277,0.2604985945090188,-0.6504925507337389,-0.31875785899095643,0.03553182226742481,1.5408846954962614,-30.07714616004,-6.102839907072,-2.6968406993736,30.690053377199998,2.6968406993736,30.270913033872002,5.021878122,191.46995211255745,599.0167453728,11.574678148032001,131.5794986388,46.95479319,39.34748605,131.60767538712,46.949405,39.347334,4.444492046736,30.185740069344,0.4522435353384,2.2236789847896,4.21317146,0.8560234001,-0.1018297928,0.007244756385,554.1985520046428,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463388917,-0.01213215887,0.9984459004,-11.215248451578377,-1.6024831300426319,-131.88029675870212,19.329170468421616,-1.6024831300426319,-131.88029675870212,30.544418919999995,0.0,0.0,1.1495403388457672,-0.14347276701182773,0.25365738030798757,-0.024123173236905736,0.004450172481351292,0.2526649023171941,-1.173663512082673,0.1479229393847136,-0.000992477990251124,0.55,0.55,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0036972,200.0000000001819,270.47495401925784,1.3523747700950592,0.9432301346521711,True,-2.392114880824317e-05,-3.9999980095643566,-4.899455841034239e-11,3.9999980096358843,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.21068472704636637,3.9944456313192775,5.08576586,4.277059198,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,599.0167453728,11.574678148032001,131.5794986388,599.0167453728,11.574678148032001,131.5794986388,594.7289192407254,17.2248796304927,594.9783053687977,-178.34103057475775,128.37950258014658,608.6710774648752,-12.176137111854965,608.6710774648752,False,-9.810982687315231,-1.359922974757751,-17.198015233854967,-21.475074431854964,30.241219133622888,28.99209589255417,20.994379975860795,-586.2768986902092,101.38334144087212,-0.5035987183565138,-0.8485657220148513,-4.9884435
15617,21545238071800,7.9602,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1175,-1.639973229,9.300148224,183.0155761,1.180045068657734,0.2606629279146913,-0.6427896333703601,-0.3113003572129239,0.029135776697659575,1.5401475543531047,-30.07642547568,-6.100818528336,-2.6972369466888,30.68894518536,2.6972369466888,30.270091911816003,5.022792656,191.46652118398444,598.8663625392,11.544169320048002,131.59299804792002,46.95479184,39.34748565,131.62116059256002,46.949405,39.347334,4.444492046736,30.184912708032,0.45221311050720003,2.2237383948816003,4.213398687,0.8559890275,-0.1015870645,0.001089529038,554.1677664345262,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463518254,-0.01213025768,0.9984489302,-11.214264549439298,-1.602232010584386,-131.88069696520083,19.33087884796695,-1.602232010584386,-131.88069696520083,30.545143397406253,0.0,0.0,1.1501083648764014,-0.14398759847433173,0.2535340300247753,-0.023564657631944635,0.0038532214645028307,0.25254325290759805,-1.1736730226032532,0.14784081993205547,-0.0009907770553519712,0.55,0.55,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0079602,199.99999999961346,125.62498429687696,0.6281249214855987,0.9382921483338561,True,-2.3924922284562777e-05,-3.9999979870450746,3.6759417731957456e-10,3.999997987116625,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.21045352676647405,3.9944578191348845,5.086749537000001,4.277355568000001,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.8663625392,11.544169320048002,131.59299804792002,598.8663625392,11.544169320048002,131.59299804792002,594.5785364071255,17.1943708025087,594.8271028990976,-178.34354869930323,128.3930019892666,608.5261254072411,-12.180382278588722,608.5261254072411,False,-9.810069883287667,-1.3591247993032312,-17.203174934588723,-21.48053050258872,30.24021045442197,28.990358327171272,20.990638285312215,-586.1295222629396,101.3482386386255,-0.5036621347271739,-0.8489865332856212,-4.9804833
15618,21545245666200,7.5944,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1225,-1.63460604,9.301361289,183.0122988,1.1785044223888839,0.26079528689494447,-0.6350905542512509,-0.30365342149305924,0.0227433305404366,1.5393372052465484,-30.07570395312,-6.0988018465680005,-2.6976336161520003,30.68783720688,2.6976336161520003,30.269270457528002,5.023707999,191.46309890707414,598.715983668,11.51367058704,131.60649940776,46.95479048,39.34748525,131.63464774872,46.949405,39.347334,4.444492046736,30.184085233944,0.4521666967824,2.223798058872,4.213626422,0.8559243945,-0.1013827675,-0.005050781749,554.1369698519501,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146364773,-0.01212789911,0.9984520199,-11.213279343971287,-1.6019204771594504,-131.88110504505184,19.332589055731372,-1.6019204771594504,-131.88110504505184,30.54586839970266,0.0,0.0,1.1506905356133634,-0.14450208040696863,0.2533990081827548,-0.022991994853067108,0.003256666239385664,0.25240957752838206,-1.1736825304121978,0.14775874671278935,-0.0009894306684732884,0.55,0.55,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0075944,200.0000000001819,131.67597176867164,0.6583798588427594,0.9341042260649911,True,-2.3922901580313016e-05,-3.999998013373006,1.8747747798641967e-10,3.9999980134445443,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.21022504473096248,3.994469850473793,5.087734867000001,4.277653290000001,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.715983668,11.51367058704,131.60649940776,598.715983668,11.51367058704,131.60649940776,594.4281575359255,17.163872069500698,594.6759058310445,-178.34606714315623,128.40650334910657,608.3811823834769,-12.184629540399131,608.3811823834769,False,-9.809166050230374,-1.3583659431562296,-17.208337539399132,-21.48599082939913,30.239201161161354,28.988619557659575,20.98689732960141,-585.9821343149523,101.31323328996278,-0.5037260421242146,-0.8494076393621693,-4.9728889
15619,21545253007100,7.3409,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1275,-1.629240227,9.302576348,183.0090606,1.1770023980590878,0.26089569809231583,-0.6273956789234847,-0.2958213418528537,0.016358601007446336,1.5384538372526653,-30.074981595408,-6.096789873960001,-2.698030709592,30.686729441760004,2.698030709592,30.26844866796,5.024624153,191.4596852818265,598.5656081496,11.483181921576001,131.6200027488,46.95478913,39.34748485,131.64813691656002,46.949405,39.347334,4.444492046736,30.183257653176003,0.4521043347024,2.2238578895880003,4.213854499,0.8558295748,-0.1012162221,-0.01117570229,554.1061617781119,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463777321,-0.01212508437,0.9984551275,-11.212293097619416,-1.6015486903486253,-131.88151552694248,19.334300789235805,-1.6015486903486253,-131.88151552694248,30.546593886855224,0.0,0.0,1.1512865301345447,-0.14501584267143855,0.2532523465080661,-0.022405505876614242,0.0026608811229306044,0.2522639079056861,-1.1736920359162517,0.14767672365878737,-0.0009884385211664925,0.55,0.55,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0073409,200.0000000001819,136.22307891402963,0.6811153945695286,0.9304436386510352,True,-2.3922839656933398e-05,-3.999998019398876,4.659860275424421e-10,3.999998019470414,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.2099992879368334,3.994481725436015,5.088721849000001,4.277952195,-8.400000001860755,-5.849999997612584,2.400000000122389,2.400000000122389,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.5656081496,11.483181921576001,131.6200027488,598.5656081496,11.483181921576001,131.6200027488,594.2777820175255,17.1333834040367,594.5247135540618,-178.3485859074461,128.42000669014658,608.2362478057655,-12.188878913568232,608.2362478057655,False,-9.808271189272602,-1.357646507446134,-17.213503066568233,-21.491455261568234,30.238191256529895,28.986879583400952,20.98315708856313,-585.8347342200026,101.27832545968658,-0.5037904426516915,-0.8498290422218222,-4.965548
15620,21545254155300,1.1482,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1325,-1.623876637,9.303792775,183.0058615,1.1730670643722483,0.2598690913371992,-0.6198560155705881,-1.7649202501362808,-0.6455469813002713,1.4471140451659636,-30.07425568068,-6.0947778190560005,-2.6984570025672,30.68561832384,2.6984570025672,30.267626079816,5.025595028,191.45627257331137,598.415235984,11.452703308416,131.63350810152,46.95478778,39.34748445,131.66162809608,46.949405,39.347334,4.444492046736,30.182431712232,0.45202220634240003,2.2238885728896003,4.214027327,0.8556973517,-0.1280302352,-0.0208203833,554.075324976118,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464745774,-0.01231021704,0.9998672718,-11.200223577774752,-1.6260020453806883,-132.06803942328676,19.347092691374343,-1.6260020453806883,-132.06803942328676,30.547316269149096,0.0,0.0,1.0419109835734184,-0.20494954065650486,0.23843917569838452,-0.13179055558267136,-0.05735313208717543,0.23743923528560346,-1.173701539115415,0.14759640852865488,-0.000999940331838736,0.55,0.55,-8.25000000059976,-5.849999997612584,2.25000000000731,2.25000000000731,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0011482,200.0000000001819,870.9284096847239,4.354642048419659,0.9382889519018787,True,-2.3924114515124634e-05,-3.9999979791776936,6.164855848034279e-10,3.999997979249239,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.20977625640911937,3.994493444483698,5.089765448,4.278197747,-8.25000000059976,-5.849999997612584,2.25000000000731,2.25000000000731,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.415235984,11.452703308416,131.63350810152,598.415235984,11.452703308416,131.63350810152,594.1274098519254,17.1029047908767,594.3735260672732,-178.3511049938299,128.43351204286657,608.0913216822854,-12.193130402276543,608.0913216822854,False,-9.807377567141259,-1.3569664938298729,-17.218725430276542,-21.496923177276543,30.23717788115898,28.985129530956293,20.979423984731213,-585.6873356992845,101.24343579273256,-0.5038548826192606,-0.8502533354468326,-4.9643998
15621,21545257587900,3.4326,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1375,-1.618540903,9.304998984,183.0027,1.164313942299411,0.25664002989016266,-0.6126225294042535,-1.7306655770242105,-0.6461268031297879,1.4460992045575365,-30.073525291488004,-6.092763828672,-2.6989225172064004,30.684502512,2.6989225172064004,30.266802540696002,5.026639403,191.4528577448524,598.2648677808,11.422234768896,131.64701574024002,46.95478642,39.34748405,131.6751215616,46.949405,39.347334,4.444492046736,30.181608462672003,0.45191864658,2.2238741320752,4.214114591,0.8555245733,-0.1293863944,-0.02703834723,554.0444546579432,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146485453,-0.012306073,0.9998292571,-11.199504491613094,-1.6254546774766212,-132.06301822624525,19.348529244544995,-1.6254546774766212,-132.06301822624525,30.548033736158086,0.0,0.0,1.044477437806265,-0.20494916834889623,0.23830363037505417,-0.12923359953246188,-0.05742970179734201,0.2372677724466767,-1.173711037433634,0.14751946653799605,-0.0010358579709501773,0.55,0.55,-8.25000000059976,-5.849999997612584,2.25000000000731,2.25000000000731,14.249999999473339,14.249999999473339,0,0,True,0.005000000000009663,0.0034326,199.99999999961346,291.3243605430286,1.4566218027179583,0.9418231476287968,True,-2.3924949023833297e-05,-3.9999979993365344,-1.9743814916317604e-10,3.9999979994080848,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.20955584559661178,3.9945050135595714,5.090884392999999,4.278359580999999,-8.25000000059976,-5.849999997612584,2.25000000000731,2.25000000000731,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.2648677808,11.422234768896,131.64701574024002,598.2648677808,11.422234768896,131.64701574024002,593.9770416487255,17.0724362513567,594.2223439802044,-178.35362440212967,128.4470196815866,607.9464046693674,-12.19738402101574,607.9464046693674,False,-9.806482146982034,-1.3563244021296441,-17.22402342401574,-21.502383005015737,30.236160064765738,28.983366325756798,20.975700263261018,-585.5399447478934,101.20853318748537,-0.5039191854121341,-0.8506814245295703,-4.9609672
15622,21545263109800,5.5219,True,udp,127.0.0.1:54529,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1425,-1.613242629,9.306190359,182.9995757,1.1557315032078277,0.253408674434706,-0.6053942737696307,-1.6966933331440095,-0.6464176239015248,1.445009199907797,-30.072794307936,-6.090754675464001,-2.6993863755624,30.68338718784,2.6993863755624,30.2659787364,5.027680703,191.44945173994347,598.1145032352,11.391776287776,131.66052569544001,46.95478507,39.34748365,131.68861731312,46.949405,39.347334,4.444492046736,30.180785652024003,0.4517990180664,2.223853416648,4.214189952,0.8553213701,-0.1307122066,-0.0332411306,554.013575242519,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1464961905,-0.01230147086,0.9997881731,-11.198803269509442,-1.624846800858744,-132.0575916182857,19.34994757335168,-1.624846800858744,-132.0575916182857,30.548750842861125,0.0,0.0,1.0470227744966571,-0.20492222621253597,0.23815584703217685,-0.12669775562855123,-0.05747964416495956,0.23708404664115265,-1.1737205301929992,0.14744258203401825,-0.0010718003575354662,0.55,0.55,-8.25000000059976,-5.849999997612584,2.25000000000731,2.25000000000731,14.249999999473339,14.249999999473339,0,0,True,0.0049999999999954525,0.0055219,200.0000000001819,181.09708614788389,0.9054854307385959,0.9414262246885721,True,-2.3921412179449958e-05,-3.9999980140834857,4.848356438547086e-10,3.9999980141550147,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.20933802763577153,3.994516434558985,5.0920004070000005,4.278509656000001,-8.25000000059976,-5.849999997612584,2.25000000000731,2.25000000000731,14.249999999473339,14.249999999473339,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,598.1145032352,11.391776287776,131.66052569544001,598.1145032352,11.391776287776,131.66052569544001,593.8266771031255,17.0419777702367,594.071166987307,-178.35614413315338,128.4605296367866,607.8014964774475,-12.201639780037537,607.8014964774475,False,-9.805595873096877,-1.3557198331533868,-17.229320483037537,-21.507830139037537,30.235141880323607,28.981602578244363,20.97197678549723,-585.3925417156235,101.17372954172905,-0.5039839933572533,-0.8511096275217197,-4.9554453
