recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
22185475977500,target_offset,484,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.0380213216499046}",-5.002452
22185492317500,vfr,507,"{""message_type"":""VFR_HUD"",""airspeed"":29.333391189575195,""alt"":184.3300018310547}",-4.986112
22185492394300,position,507,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540997,""lon"":393494178}",-4.9860352
22185492457600,attitude,1012,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112310,""roll"":-0.06565368175506592,""pitch"":0.17174284160137177,""yaw"":3.1164844036102295,""rollspeed"":0.03993244096636772,""pitchspeed"":-0.0016509410925209522,""yawspeed"":0.02872038260102272}",-4.9859719
22185499263500,fov,2645,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.979166
22185502084000,gimbal,2645,"{""imu_roll"":0.0,""imu_pitch"":21.519248962402344,""imu_yaw"":5.8679280281066895,""frame_roll"":0.0,""frame_pitch"":21.519248962402344,""frame_yaw"":5.8679280281066895,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9763455
22185526828500,fov,2646,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.951601
22185527160400,gimbal,2646,"{""imu_roll"":0.0,""imu_pitch"":21.522844314575195,""imu_yaw"":5.843556880950928,""frame_roll"":0.0,""frame_pitch"":21.522844314575195,""frame_yaw"":5.843556880950928,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9512691
22185534002900,range,1121,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.348575592041016}",-4.9444266
22185538633200,target_offset,485,"{""x_angle_offset"":-0.04558347165584564,""y_angle_offset"":0.0380213216499046}",-4.9397963
22185564399300,target_offset,486,"{""x_angle_offset"":-0.053180716931819916,""y_angle_offset"":0.0380213216499046}",-4.9140302
22185569629000,range,1122,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.348575592041016}",-4.9088005
22185570880700,fov,2647,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9075488
22185571243700,gimbal,2647,"{""imu_roll"":0.0,""imu_pitch"":21.535104751586914,""imu_yaw"":5.807617664337158,""frame_roll"":0.0,""frame_pitch"":21.535104751586914,""frame_yaw"":5.807617664337158,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9071858
22185596405000,fov,2648,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8820245
22185596756000,gimbal,2648,"{""imu_roll"":0.0,""imu_pitch"":21.54146385192871,""imu_yaw"":5.787497520446777,""frame_roll"":0.0,""frame_pitch"":21.54146385192871,""frame_yaw"":5.787497520446777,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8816735
22185599456300,target_offset,487,"{""x_angle_offset"":-0.06077796220779419,""y_angle_offset"":0.04562558597988552}",-4.8789732
22185603355700,attitude,1013,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112370,""roll"":-0.06116048991680145,""pitch"":0.17156463861465454,""yaw"":3.117807626724243,""rollspeed"":0.03198596090078354,""pitchspeed"":-0.000732421176508069,""yawspeed"":0.02994411438703537}",-4.8750738
22185622803800,fov,2649,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8556257
22185623388500,gimbal,2649,"{""imu_roll"":0.0,""imu_pitch"":21.551469802856445,""imu_yaw"":5.755487442016602,""frame_roll"":0.0,""frame_pitch"":21.551469802856445,""frame_yaw"":5.755487442016602,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.855041
22185627335400,target_offset,488,"{""x_angle_offset"":-0.06077796220779419,""y_angle_offset"":0.05322985030986645}",-4.8510941
22185642285600,attitude,1014,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112410,""roll"":-0.058371879160404205,""pitch"":0.17146579921245575,""yaw"":3.118680953979492,""rollspeed"":0.028427304700016975,""pitchspeed"":-0.0002805423573590815,""yawspeed"":0.030637141317129135}",-4.8361439
22185642555200,vfr,508,"{""message_type"":""VFR_HUD"",""airspeed"":29.278167724609375,""alt"":184.62998962402344}",-4.8358743
22185642625300,position,508,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540997,""lon"":393494178}",-4.8358042
22185646922700,fov,2650,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8315068
22185647229600,gimbal,2650,"{""imu_roll"":0.0,""imu_pitch"":21.56319808959961,""imu_yaw"":5.7286553382873535,""frame_roll"":0.0,""frame_pitch"":21.56319808959961,""frame_yaw"":5.7286553382873535,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8311999
22185674062800,fov,2651,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8043667
22185674567000,gimbal,2651,"{""imu_roll"":0.0,""imu_pitch"":21.57286834716797,""imu_yaw"":5.694432735443115,""frame_roll"":0.0,""frame_pitch"":21.57286834716797,""frame_yaw"":5.694432735443115,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8038625
22185676972100,target_offset,489,"{""x_angle_offset"":-0.053180716931819916,""y_angle_offset"":0.05322985030986645}",-4.8014574
22185701126700,fov,2652,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7773028
22185701464400,gimbal,2652,"{""imu_roll"":0.0,""imu_pitch"":21.584291458129883,""imu_yaw"":5.668324947357178,""frame_roll"":0.0,""frame_pitch"":21.584291458129883,""frame_yaw"":5.668324947357178,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7769651
22185701800800,range,1123,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.34859848022461}",-4.7766287
22185712763200,target_offset,490,"{""x_angle_offset"":-0.06077796220779419,""y_angle_offset"":0.05322985030986645}",-4.7656663
22185716103100,range,1124,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948055267333984,""y"":39.34859848022461}",-4.7623264
22185720063100,attitude,1015,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112470,""roll"":-0.05456382408738136,""pitch"":0.1714588701725006,""yaw"":3.1199967861175537,""rollspeed"":0.02395317144691944,""pitchspeed"":0.00031748629407957196,""yawspeed"":0.031326744705438614}",-4.7583664
22185740073500,fov,2653,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.738356
22185740350000,gimbal,2653,"{""imu_roll"":0.0,""imu_pitch"":21.59984588623047,""imu_yaw"":5.617608070373535,""frame_roll"":0.0,""frame_pitch"":21.59984588623047,""frame_yaw"":5.617608070373535,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7380795
22185755984900,position,509,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540432,""lon"":393494184}",-4.7224446
22185756151100,attitude,1016,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112510,""roll"":-0.052236203104257584,""pitch"":0.17150162160396576,""yaw"":3.1208367347717285,""rollspeed"":0.02097322605550289,""pitchspeed"":0.0003610796993598342,""yawspeed"":0.03156726434826851}",-4.7222784
22185756481300,vfr,509,"{""message_type"":""VFR_HUD"",""airspeed"":29.23944854736328,""alt"":184.92999267578125}",-4.7219482
22185769084200,fov,2654,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7093453
22185769470700,gimbal,2654,"{""imu_roll"":0.0,""imu_pitch"":21.60573959350586,""imu_yaw"":5.585676670074463,""frame_roll"":0.0,""frame_pitch"":21.60573959350586,""frame_yaw"":5.585676670074463,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7089588
22185773559800,target_offset,491,"{""x_angle_offset"":-0.06837520748376846,""y_angle_offset"":0.060834114639847364}",-4.7048697
22185798427600,fov,2655,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6800019
22185798787500,gimbal,2655,"{""imu_roll"":0.0,""imu_pitch"":21.623064041137695,""imu_yaw"":5.5516486167907715,""frame_roll"":0.0,""frame_pitch"":21.623064041137695,""frame_yaw"":5.5516486167907715,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.679642
22185803838300,target_offset,492,"{""x_angle_offset"":-0.09876418858766556,""y_angle_offset"":0.06843837896982828}",-4.6745912
22185827604000,fov,2656,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6508255
22185827908100,gimbal,2656,"{""imu_roll"":0.0,""imu_pitch"":21.64235496520996,""imu_yaw"":5.508265018463135,""frame_roll"":0.0,""frame_pitch"":21.64235496520996,""frame_yaw"":5.508265018463135,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6505214
22185832186500,target_offset,493,"{""x_angle_offset"":-0.09876418858766556,""y_angle_offset"":0.06843837896982828}",-4.646243
22185836302000,attitude,1017,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112570,""roll"":-0.04889965057373047,""pitch"":0.17155632376670837,""yaw"":3.122105360031128,""rollspeed"":0.01823515258729458,""pitchspeed"":0.00013597053475677967,""yawspeed"":0.03167286142706871}",-4.6421275
22185851476900,fov,2657,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6269526
22185851878400,gimbal,2657,"{""imu_roll"":0.0,""imu_pitch"":21.658945083618164,""imu_yaw"":5.473474502563477,""frame_roll"":0.0,""frame_pitch"":21.658945083618164,""frame_yaw"":5.473474502563477,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6265511
22185856364000,range,1125,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947998046875,""y"":39.34862518310547}",-4.6220655
22185858194500,range,1126,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947998046875,""y"":39.34862518310547}",-4.620235
22185874840900,fov,2658,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6035886
22185875247700,gimbal,2658,"{""imu_roll"":0.0,""imu_pitch"":21.66965675354004,""imu_yaw"":5.4441399574279785,""frame_roll"":0.0,""frame_pitch"":21.66965675354004,""frame_yaw"":5.4441399574279785,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6031818
22185886335000,target_offset,494,"{""x_angle_offset"":-0.10636143386363983,""y_angle_offset"":0.0760426432998092}",-4.5920945
22185891277500,vfr,510,"{""message_type"":""VFR_HUD"",""airspeed"":29.21231460571289,""alt"":185.22999572753906}",-4.587152
22185891811600,position,510,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469540432,""lon"":393494184}",-4.5866179
22185892001600,attitude,1018,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112610,""roll"":-0.04673559218645096,""pitch"":0.17158129811286926,""yaw"":3.1229076385498047,""rollspeed"":0.017542872577905655,""pitchspeed"":-1.1723954230546951e-05,""yawspeed"":0.03160548955202103}",-4.5864279
22185905913600,fov,2659,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5725159
22185906467000,gimbal,2659,"{""imu_roll"":0.0,""imu_pitch"":21.689546585083008,""imu_yaw"":5.391146183013916,""frame_roll"":0.0,""frame_pitch"":21.689546585083008,""frame_yaw"":5.391146183013916,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5719625
22185911281900,target_offset,495,"{""x_angle_offset"":-0.1139586791396141,""y_angle_offset"":0.0760426432998092}",-4.5671476
22185928147600,fov,2660,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5502819
22185928429000,gimbal,2660,"{""imu_roll"":0.0,""imu_pitch"":21.703821182250977,""imu_yaw"":5.357455253601074,""frame_roll"":0.0,""frame_pitch"":21.703821182250977,""frame_yaw"":5.357455253601074,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5500005
