recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
22532012374000,fov,2600,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9913516
22532012730900,gimbal,2600,"{""imu_roll"":0.0,""imu_pitch"":15.009791374206543,""imu_yaw"":-4.6547112464904785,""frame_roll"":0.0,""frame_pitch"":15.009791374206543,""frame_yaw"":-4.6547112464904785,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9909947
22532020668800,target_offset,406,"{""x_angle_offset"":0.030388981103897095,""y_angle_offset"":0.19010660824952302}",-4.9830568
22532030716400,fov,2601,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9730092
22532031015200,gimbal,2601,"{""imu_roll"":0.0,""imu_pitch"":15.046311378479004,""imu_yaw"":-4.640351295471191,""frame_roll"":0.0,""frame_pitch"":15.046311378479004,""frame_yaw"":-4.640351295471191,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9727104
22532040872200,attitude,1005,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112270,""roll"":-0.027783812955021858,""pitch"":0.17602668702602386,""yaw"":-3.012425184249878,""rollspeed"":-0.03917493298649788,""pitchspeed"":0.013564931228756905,""yawspeed"":-0.025140007957816124}",-4.9628534
22532045528000,range,1095,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.946083068847656,""y"":39.34846878051758}",-4.9581976
22532048960300,fov,2602,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9547653
22532049278700,gimbal,2602,"{""imu_roll"":0.0,""imu_pitch"":15.070744514465332,""imu_yaw"":-4.627016067504883,""frame_roll"":0.0,""frame_pitch"":15.070744514465332,""frame_yaw"":-4.627016067504883,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9544469
22532061926400,target_offset,407,"{""x_angle_offset"":0.0,""y_angle_offset"":0.19771087257950393}",-4.9417992
22532064996900,range,1096,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.946083068847656,""y"":39.34846878051758}",-4.9387287
22532073805000,fov,2603,"{""zoom"":12.339999198913574,""hfov"":7.293355464935303,""vfov"":4.106302738189697,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9299206
22532074015400,gimbal,2603,"{""imu_roll"":0.0,""imu_pitch"":15.113690376281738,""imu_yaw"":-4.616370677947998,""frame_roll"":0.0,""frame_pitch"":15.113690376281738,""frame_yaw"":-4.616370677947998,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9297102
22532084477300,position,505,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469537872,""lon"":393491146}",-4.9192483
22532084582900,attitude,1006,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112310,""roll"":-0.030138211324810982,""pitch"":0.17585724592208862,""yaw"":-3.01347017288208,""rollspeed"":-0.04080583527684212,""pitchspeed"":0.01374848186969757,""yawspeed"":-0.025306690484285355}",-4.9191427
