recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
8096590467000,fov,2384,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-5.0012067
8096590672500,gimbal,2384,"{""imu_roll"":0.0,""imu_pitch"":23.18233299255371,""imu_yaw"":-1.3647181987762451,""frame_roll"":0.0,""frame_pitch"":23.18233299255371,""frame_yaw"":-1.3647181987762451,""pitch_speed"":0.0,""yaw_speed"":0.0}",-5.0010012
8096600241800,attitude,1014,"{""message_type"":""ATTITUDE"",""time_boot_ms"":113010,""roll"":-0.01237563882023096,""pitch"":0.16352397203445435,""yaw"":-3.046327590942383,""rollspeed"":0.10647904872894287,""pitchspeed"":-0.003923126496374607,""yawspeed"":0.008783834986388683}",-4.9914319
8096600379900,vfr,509,"{""message_type"":""VFR_HUD"",""airspeed"":26.24553108215332,""alt"":195.1699981689453}",-4.9912938
8096600446000,position,509,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469539078,""lon"":393491602}",-4.9912277
8096619226900,target_offset,297,"{""x_angle_offset"":0.375,""y_angle_offset"":0.10873242130985966}",-4.9724468
8096626468600,fov,2385,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9652051
8096626753100,gimbal,2385,"{""imu_roll"":0.0,""imu_pitch"":23.20604133605957,""imu_yaw"":-1.3548316955566406,""frame_roll"":0.0,""frame_pitch"":23.20604133605957,""frame_yaw"":-1.3548316955566406,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9649206
8096631219800,range,1043,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94866943359375,""y"":39.34856033325195}",-4.9604539
8096640050300,range,1044,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94866943359375,""y"":39.34856033325195}",-4.9516234
