recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
9559127806000,target_offset,354,"{""x_angle_offset"":0.1875,""y_angle_offset"":0.10873242130985966}",-4.9769514
9559132421600,attitude,1076,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116370,""roll"":0.09313790500164032,""pitch"":0.17167361080646515,""yaw"":-2.9371535778045654,""rollspeed"":0.04569631442427635,""pitchspeed"":0.004814246203750372,""yawspeed"":-0.018704982474446297}",-4.9723358
9559133340700,gimbal,2515,"{""imu_roll"":0.0,""imu_pitch"":25.455265045166016,""imu_yaw"":-2.914132833480835,""frame_roll"":0.0,""frame_pitch"":25.455265045166016,""frame_yaw"":-2.914132833480835,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9714167
9559133489300,fov,2515,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9712681
9559160883800,target_offset,355,"{""x_angle_offset"":0.1875,""y_angle_offset"":0.10873242130985966}",-4.9438736
9559166581300,gimbal,2516,"{""imu_roll"":0.0,""imu_pitch"":25.480398178100586,""imu_yaw"":-2.8665902614593506,""frame_roll"":0.0,""frame_pitch"":25.480398178100586,""frame_yaw"":-2.8665902614593506,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9381761
9559166721700,fov,2516,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9380357
9559173675900,vfr,538,"{""message_type"":""VFR_HUD"",""airspeed"":28.3353328704834,""alt"":195.0500030517578}",-4.9310815
9559173820200,position,538,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469532927,""lon"":393490046}",-4.9309372
9559174108000,attitude,1077,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116410,""roll"":0.09445323795080185,""pitch"":0.17184491455554962,""yaw"":-2.937725067138672,""rollspeed"":0.06993809342384338,""pitchspeed"":0.003711148863658309,""yawspeed"":-0.016779405996203423}",-4.9306494
9559197630600,target_offset,356,"{""x_angle_offset"":0.1875,""y_angle_offset"":0.10873242130985966}",-4.9071268
9559203443000,range,1069,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9488639831543,""y"":39.34824752807617}",-4.9013144
9559203715700,range,1070,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9488639831543,""y"":39.34824752807617}",-4.9010417
9559203883900,gimbal,2517,"{""imu_roll"":0.0,""imu_pitch"":25.50775718688965,""imu_yaw"":-2.8139564990997314,""frame_roll"":0.0,""frame_pitch"":25.50775718688965,""frame_yaw"":-2.8139564990997314,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9008735
9559204020700,fov,2517,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9007367
9559233348800,target_offset,357,"{""x_angle_offset"":0.1875,""y_angle_offset"":0.10873242130985966}",-4.8714086
9559241763100,gimbal,2518,"{""imu_roll"":0.0,""imu_pitch"":25.535381317138672,""imu_yaw"":-2.75126314163208,""frame_roll"":0.0,""frame_pitch"":25.535381317138672,""frame_yaw"":-2.75126314163208,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8629943
9559241992900,fov,2518,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8627645
9559247630600,attitude,1078,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116470,""roll"":0.09842687100172043,""pitch"":0.17201317846775055,""yaw"":-2.9384236335754395,""rollspeed"":0.11120250076055527,""pitchspeed"":0.0023501350078731775,""yawspeed"":-0.01268400251865387}",-4.8571268
