truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
16007,10231886328700,5.7219,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3416667,1.476412132,5.852121841,186.8436416,-0.5635560706245446,0.7340202179824362,0.7224640901189093,-1.1821442129858393,-0.11239198075426361,0.10443176500464232,-46.01936806776,-4.410754173648001,-1.5093385555104,46.23026052888,1.5093385555104,34.3373101416,1.869944524,185.47482489627794,479.6813472648,35.25698342544,87.31566713616,46.95371979,39.34779716,87.33382617528001,46.949405,39.347334,4.444492046736,34.2776979672,0.37693514574720005,1.987010466408,3.317610481,0.6289725866,0.2432885856,-0.8048740485,716.1390284268018,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08579237766,-0.01302941854,1.040217194,-15.797428505434636,-1.7198171886272164,-137.3967755201807,11.332347325124188,-1.7198171886272164,-137.3967755201807,27.129775830558824,0.0,0.0,1.0365990394832298,-0.12610462414745685,0.012062618119324684,-0.08739126642163063,-0.009483085446906073,0.017113803972138127,-1.1239903059184189,0.11662153869241584,0.005051185850101807,0.55,0.55,-5.849999997612584,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.005000000000009663,0.0057219,199.99999999961346,174.76712280885718,0.8738356140459748,0.9402516519010211,True,-11.99999672164364,4.382256794127626e-05,1.5789114460318388e-09,11.999996721723658,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.914491921346603,-1.4299663253725565,2.5345113599999998,3.9821773169999997,-5.849999997612584,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,479.6813472648,35.25698342544,87.31566713616,479.6813472648,35.25698342544,87.31566713616,475.3935211327255,40.9071849079007,477.15028839146714,-175.08186452348093,84.11567107750656,484.50783670945873,-9.997810730507032,484.50783670945873,False,-0.5566894197588681,-1.9255061234809432,-11.867755254507031,-15.849932571507033,46.22807844664504,45.26403966149098,10.704034379893418,-477.12776662360096,4.635949615216404,-0.05393582168830122,-1.1248594215938799,-4.9962034
16008,10231893282000,6.9533,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3466667,1.47396226,5.855698607,186.8473675,-0.569340104318167,0.7334547802583664,0.7229695448914069,-1.1215442317048612,-0.11404853684343493,0.0964115981599022,-46.01827566456,-4.4113294044,-1.5114658385304,46.22922801888,1.5114658385304,34.33639534536,1.872619969,185.47566376378578,479.45125374480006,35.23492962144,87.32323660032,46.95371772,39.34779687,87.3413781744,46.949405,39.347334,4.444492046736,34.27680060552,0.375319399728,1.986988084944,3.317659855,0.6262930515,0.2429369635,-0.8059485622,716.1003507535976,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858062625,-0.01297575723,1.040176018,-15.79638532184609,-1.7127285636017737,-137.39133659064728,11.334182430055119,-1.7127285636017737,-137.39133659064728,27.13056775190121,0.0,0.0,1.0411251350851682,-0.1262500979222501,0.01074757662763422,-0.08287589024178812,-0.009630682264485003,0.01579203872028066,-1.124001025286282,0.1166194156577651,0.005044462094002258,0.55,0.55,-5.849999997612584,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.0049999999999954525,0.0069533,200.0000000001819,143.81660506522084,0.7190830253254502,0.9372181341960019,True,-11.99999670774804,4.383783912757788e-05,1.7314167877202635e-09,11.999996707828112,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.914398906556185,-1.430741112495805,2.538038752,3.983078638,-5.849999997612584,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,479.45125374480006,35.23492962144,87.32323660032,479.45125374480006,35.23492962144,87.32323660032,475.1634276127255,40.885131103900704,476.9191513097969,-175.08213437145233,84.12324054166656,484.2815260623598,-10.003440241118454,484.2815260623598,False,-0.5577981352381016,-1.9295018714523167,-11.876060210118455,-15.859138848118455,46.22703726217108,45.2617099656064,10.699585288102394,-476.896550697976,4.642932094031096,-0.054068221029592675,-1.126137703273985,-4.9892501
16009,10231897035100,3.7531,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3516667,1.471484558,5.859272625,186.8510956,-0.5764466589042585,0.7321907809313173,0.7234054047723609,-3.0029739913034064,-0.942305574790964,0.05299168184703094,-46.0171795428,-4.411903611024,-1.5136128509495999,46.228191698879996,1.5136128509495999,34.33547774496,1.875320106,185.4765018291527,479.2211654064,35.21287295232,87.33081667152001,46.95371565,39.34779658,87.34894081104,46.949405,39.347334,4.444492046736,34.2759016284,0.3737003481528,1.9869440343336,3.317673284,0.6236079099,0.2134992312,-0.8088738507,716.0615557737586,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08588102131,-0.01304017879,1.041911398,-15.78739048395344,-1.7212121220123218,-137.61880805728427,11.343969576285437,-1.7212121220123218,-137.61880805728427,27.13136006023888,0.0,0.0,0.901035987341826,-0.20131196678882604,0.003832244157010627,-0.2229757861912414,-0.08469386647784352,0.008861895608939258,-1.1240117735330672,0.11661810036521525,0.005029651451928631,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.0049999999999954525,0.0037531,200.0000000001819,266.4464043057739,1.3322320215276577,0.9401610969699171,True,-11.99999672363015,4.3824247159682944e-05,-4.764411087876397e-10,11.999996723710176,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.914305786415886,-1.431516351045249,2.541599341,3.983952519,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,479.2211654064,35.21287295232,87.33081667152001,479.2211654064,35.21287295232,87.33081667152001,474.9333392743255,40.8630744347807,476.68801915563597,-175.08240487760793,84.13082061286657,484.05522679082634,-10.00907615064792,484.05522679082634,False,-0.5589067067606379,-1.9335004776079359,-11.88439625664792,-15.86834877564792,46.22599227254778,45.25937121660507,10.695138128945832,-476.66533961852895,4.649904609390028,-0.05420072652689153,-1.1274199301812717,-4.985497
16010,10231900423000,3.3879,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3566667,1.468952171,5.862831837,186.854825,-0.5912561964001006,0.727492688012385,0.7236533419449636,-2.9047725271360267,-0.9357475732064945,0.04481817912042543,-46.0160770812,-4.412474641632,-1.5158210690376002,46.22714876472,1.5158210690376002,34.3345562736,1.878096404,185.47733680054756,478.99108285920005,35.1908133876,87.33840768504,46.95371358,39.34779629,87.35651442048001,46.949405,39.347334,4.444492046736,34.275002895120004,0.37207460469360004,1.9868297666424,3.317569709,0.6209115275,0.2083012247,-0.8104605007,716.0226008738549,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08589185012,-0.01298541695,1.041809004,-15.786727521003902,-1.7139804737621054,-137.60570737739408,11.345421747162177,-1.7139804737621054,-137.60570737739408,27.13214926816608,0.0,0.0,0.9083587175080802,-0.20070715782399898,0.002534963926541114,-0.21566383138813147,-0.08408821130636036,0.007510051492511884,-1.1240225488962117,0.11661894650408043,0.0049750875646149524,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.005000000000009663,0.0033879,199.99999999961346,295.1680982319431,1.4758404911625678,0.9437663251042948,True,-11.999996730509267,4.386279811977728e-05,1.198528609691607e-09,11.999996730589432,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.914212583335189,-1.4322918538588436,2.545262128,3.984735433,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,478.99108285920005,35.1908133876,87.33840768504,478.99108285920005,35.1908133876,87.33840768504,474.7032567271255,40.841014870060704,476.45689253379027,-175.0826760528327,84.13841162638656,483.8289395581532,-10.014718494375364,483.8289395581532,False,-0.5600128533802717,-1.9375010528327152,-11.892814898375365,-15.877550331375364,46.224940681580726,45.257013434629954,10.690695272170455,-476.43413418002615,4.656847762658856,-0.05433310850645679,-1.128710888420621,-4.9821091
16011,10231903705100,3.2821,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3616667,1.466347027,5.866367772,186.8585547,-0.6055788509774166,0.7228283990304076,0.7238603773794451,-2.8085434082989433,-0.9287073640391069,0.036628705705213094,-46.01497242504,-4.41304561128,-1.5180242978544,46.226103636000005,1.5180242978544,34.3336325772,1.880866729,185.47817194382975,478.76100549360007,35.16875098824,87.34600973232001,46.95371151,39.347796,87.36409903319999,46.949405,39.347334,4.444492046736,34.27410236352,0.3704461924056,1.9867065384408,3.31745137,0.6182105884,0.2031768716,-0.811967027,715.9835535650512,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08590266812,-0.01293062625,1.041705681,-15.786093040017366,-1.7067423773698356,-137.59195285340866,11.346846410236449,-1.7067423773698356,-137.59195285340866,27.13293945025381,0.0,0.0,0.9155344992441499,-0.2000594886066075,0.001235009478445422,-0.2084988509113291,-0.08343921779378784,0.006155925259246425,-1.124033350155479,0.11662027085349418,0.0049209157812077475,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.0049999999999954525,0.0032821,200.0000000001819,304.68297736205477,1.5234148868088884,0.947546440757863,True,-11.99999675352375,4.382563358040076e-05,-1.4882346466293939e-09,11.999996753603778,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.914119322273446,-1.4330674129863705,2.548916402,3.985501043,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,478.76100549360007,35.16875098824,87.34600973232001,478.76100549360007,35.16875098824,87.34600973232001,474.4731793615255,40.818952470700694,476.2257708421917,-175.08294788449774,84.14601367366657,483.6026637968494,-10.020367304045854,483.6026637968494,False,-0.5611198283274916,-1.941502584497755,-11.901234033045853,-15.886735076045854,46.223886886402966,45.25465244266897,10.68625296392461,-476.2029335096766,4.663789341108817,-0.05446569626356313,-1.130002961443708,-4.978827
16012,10231914125600,10.4205,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3666667,1.463671518,5.869880615,186.8622847,-0.619424406463516,0.718200280301079,0.7240264348724189,-2.7142494372261807,-0.9212059914556591,0.02842436596608488,-46.0138656048,-4.413616459008,-1.520222284416,46.22505640416001,1.520222284416,34.33270668624,1.883630767,185.47900725899927,478.53093391920004,35.14668572376,87.35362275240001,46.95370944,39.34779571,87.3716946492,46.949405,39.347334,4.444492046736,34.27320009456,0.368815260336,1.9865746917144,3.317318834,0.6155053394,0.1981919136,-0.8133931514,715.9444143261503,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08591328587,-0.01287579032,1.041597571,-15.785485822181109,-1.6994984022078792,-137.57757010708454,11.348244819906746,-1.6994984022078792,-137.57757010708454,27.13373064208786,0.0,0.0,0.9225661075026294,-0.19937086582343225,-6.747414419078569e-05,-0.20147806953707587,-0.08274879139311232,0.004799689323088097,-1.1240441770397054,0.11662207444387813,0.0048671634675364886,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.0049999999999954525,0.0104205,200.0000000001819,95.9646849959215,0.47982342497917113,0.9379976321071096,True,-11.999996736273744,4.383917085416453e-05,-1.0822098772678146e-09,11.999996736353822,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.914026003218876,-1.433843028423062,2.5525617809999996,3.9862498479999995,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,478.53093391920004,35.14668572376,87.35362275240001,478.53093391920004,35.14668572376,87.35362275240001,474.2431077871255,40.7968872062207,475.9946546856469,-175.08322038349533,84.15362669374657,483.376400101431,-10.026022568796256,483.376400101431,False,-0.5622276424945767,-1.945505083495334,-11.909653335796255,-15.895903183796255,46.2228309120392,45.25228831065169,10.681811199979728,-475.97173821772105,4.670728777123742,-0.05459848344882346,-1.1312961191508126,-4.9684065
16013,10231919660700,5.5351,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3716667,1.460927987,5.87337056,186.8660147,-0.6328024627662565,0.7136105955806478,0.7241514410852872,-2.621854199012111,-0.9132633938144632,0.020206255472829594,-46.012756711920005,-4.414187120808,-1.522414802256,46.224007069200006,1.522414802256,34.3317786312,1.886388235,185.4798425741688,478.30086783120004,35.12461762464,87.36124674528,46.95370737,39.34779542,87.37930123800001,46.949405,39.347334,4.444492046736,34.272296088240005,0.36718195722720004,1.9864345510752002,3.317172642,0.6127960274,0.1933462042,-0.8147390471,715.9051845935601,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08592371229,-0.01282091348,1.041484859,-15.784904728750401,-1.6922491185382469,-137.56258351467613,11.349618150503577,-1.6922491185382469,-137.56258351467613,27.134522879253975,0.0,0.0,0.9294562589359422,-0.19864309542398054,-0.0013723419849999612,-0.19459877034178513,-0.08201873722679204,0.0034415148384272457,-1.1240550291421456,0.11662435822430484,0.004813856823427207,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.005000000000009663,0.0055351,199.99999999961346,180.66520930064496,0.9033260465049706,0.9376180131776497,True,-11.999996722647802,4.384917904037486e-05,3.457458763733712e-10,11.999996722727916,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.913932633671331,-1.4346186377829668,2.5561979179999996,3.9869823249999996,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,478.30086783120004,35.12461762464,87.36124674528,478.30086783120004,35.12461762464,87.36124674528,474.0130416991255,40.7748191071007,475.76354376315305,-175.0834935439854,84.16125068662656,483.1501481850242,-10.031684303544623,483.1501481850242,False,-0.5633361181542114,-1.949508243985406,-11.918072538544623,-15.905054863544622,46.22177284412187,45.249921159376036,10.67736994465266,-475.7405480109307,4.677665265175641,-0.05473146118347462,-1.132590340211835,-4.9628714
16014,10231921287000,1.6263,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3766667,1.458118731,5.876837814,186.8697445,-0.6457224381658743,0.7090615100766218,0.7242353301279034,-2.531322043076806,-0.9048993301380427,0.011975461298271936,-46.011645776879995,-4.414757541816,-1.524601632528,46.222955661600004,1.524601632528,34.3308483816,1.889138861,185.48067794663407,478.0708072296,35.1025466604,87.36888168048,46.9537053,39.34779513,87.38691879960001,46.949405,39.347334,4.444492046736,34.27139031408,0.36554643212640003,1.9862864386968,3.317013328,0.6100829002,0.1886394867,-0.8160048941,715.8658653248854,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08593395625,-0.01276600007,1.041367727,-15.78434860763584,-1.6849950997367054,-137.54701714106238,11.350967571909225,-1.6849950997367054,-137.54701714106238,27.13531617954506,0.0,0.0,0.9362076128454119,-0.19787796695236226,-0.0026794491568426205,-0.18785829348180583,-0.08125084391698081,0.0020815717394180597,-1.1240659063272178,0.11662712308961415,0.004761020896260681,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.0049999999999954525,0.0016263,200.0000000001819,614.8927012236364,3.074463506115386,0.9445457835620268,True,-11.999996734211031,4.384996495609972e-05,7.033782445375891e-10,11.999996734291148,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.91383921864168,-1.435394199475654,2.559824486,3.9876989529999998,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,478.0708072296,35.1025466604,87.36888168048,478.0708072296,35.1025466604,87.36888168048,473.78298109752546,40.752748142860696,475.53243807216097,-175.08376737058234,84.16888562182656,482.9239080493673,-10.037352513517304,482.9239080493673,False,-0.5644453172163821,-1.9535118705823606,-11.926491374517303,-15.914190327517304,46.22071270824991,45.247551050891744,10.672929182536384,-475.5093628921963,4.684598244373497,-0.05486462328090384,-1.1338856013280816,-4.9612451
16015,10231925213100,3.9261,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3816667,1.455245996,5.880282593,186.8734739,-0.6581935761904781,0.7045550893018523,0.7242780401208259,-2.4426180642584283,-0.8961333634973544,0.0037330618670116506,-46.01053279968,-4.41532766412,-1.5267825661392,46.221902242320006,1.5267825661392,34.32991602888,1.891882385,185.48151320450782,477.8407521144,35.080472831040005,87.37652752752001,46.95370323,39.34779484,87.39454724256001,46.949405,39.347334,4.444492046736,34.27048277208,0.36390883469040003,1.9861306749240002,3.316841426,0.607366206,0.1840713972,-0.8171908787,715.8264574777317,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859440265,-0.01271105445,1.041246357,-15.783816337885579,-1.6777369236272421,-137.53089496215782,11.352294236213089,-1.6777369236272421,-137.53089496215782,27.13611057409867,0.0,0.0,0.9428227733505721,-0.19707725219147235,-0.0039886508721776685,-0.18125403483760463,-0.08044688239240821,0.000720028720997125,-1.1240768081881767,0.11663036982618048,0.0047086795931747935,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.0049999999999954525,0.0039261,200.0000000001819,254.70568757800362,1.2735284378888598,0.9471088950959453,True,-11.999996732673292,4.3844928397793886e-05,-1.0071623535168328e-09,11.999996732753392,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.913745763151619,-1.4361696719119987,2.5634411669999997,3.988400208,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,477.8407521144,35.080472831040005,87.37652752752001,477.8407521144,35.080472831040005,87.37652752752001,473.55292598232546,40.7306743135007,475.30133761273413,-175.0840418642488,84.17653146886657,482.6976796987773,-10.043027203895605,482.6976796987773,False,-0.5655550687566233,-1.9575157642487966,-11.934909588895605,-15.923309796895605,46.21965049942312,45.245178015508635,10.668488905786239,-475.2781828673661,4.691527123306379,-0.05499796313583353,-1.1351818796560529,-4.957319
16016,10231933002800,7.7897,True,udp,127.0.0.1:62193,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,114.3866667,1.452311988,5.883705125,186.8772027,-0.6702249456160496,0.700093303658197,0.7242795160601062,-2.355708089635203,-0.8869848489796753,-0.00451987309385085,-46.00941787176,-4.415897432856,-1.5289574025312,46.22084684184,1.5289574025312,34.32898154256,1.894618558,185.48234829049423,477.6107027904,35.05839616704,87.38418425592,46.95370116,39.34779455,87.40218659736001,46.949405,39.347334,4.444492046736,34.26957349272,0.36226931396640005,1.9859675773584,3.316657463,0.6046461933,0.1796414683,-0.818297194,715.7869615309013,-11.999996726400001,4.384306555728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08595393172,-0.01265608101,1.04112093,-15.783306789651329,-1.6704751702579559,-137.51424073146586,11.353599291056348,-1.6704751702579559,-137.51424073146586,27.1369060851559,0.0,0.0,0.9493042896603291,-0.1962427039427544,-0.005299802465230016,-0.17478344492911144,-0.07960860470881796,-0.0006429467695226495,-1.1240877345894404,0.11663409920682005,0.00465685569597853,0.55,0.55,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,0,0,True,0.005000000000009663,0.0077897,199.99999999961346,128.37464857439952,0.6418732428732382,0.9424264563617228,True,-11.999996741796242,4.383889308586658e-05,-7.91099186159272e-10,11.99999674187632,-11.999996726400001,4.384306555728e-05,0.0,jsbsim_total_wind,11.999996726480093,-11.913652272233668,-1.4369450135041768,2.567047662,3.9890865669999998,-5.699999999789336,-4.650000000129699,1.0500000002325944,1.0500000002325944,10.500000002325946,10.500000002325946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,477.6107027904,35.05839616704,87.38418425592,477.6107027904,35.05839616704,87.38418425592,473.32287665832547,40.7085976495007,475.070242691227,-175.08431702543663,84.18418819726656,482.4714634391698,-10.048708373523024,482.4714634391698,False,-0.5666653159308908,-1.9615197254366308,-11.943326931523023,-15.932413498523022,46.218586304011176,45.24280217315661,10.664049092110147,-475.047008249221,4.698451251839671,-0.055131473466110456,-1.1364791538969214,-4.9495293
