truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15441,21684796989500,5.956,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6291667,1.13681447,9.087001594,186.9355313,-0.6941394608585498,0.213580691994963,0.6313147967588065,-0.4807277232311729,-2.1706571964407253,-0.8828834194116895,-30.552375826800002,-3.8026495864560004,-2.70171620946,30.788111530080002,2.70171620946,30.906424618320003,5.014969136,187.09473689670384,648.5430115728,50.9939127948,127.0295923716,46.95523868,39.34800391,127.0628122188,46.949405,39.347334,4.444492046736,30.8282859684,0.1290746251116,2.1925344610488002,4.068075791,0.2392852894,-0.1829208428,-0.4005462314,577.9655057801177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309629974,-0.004729174629,1.011418019,-11.772900915361353,-0.6239529671992867,-133.58594807627418,17.300598509886452,-0.6239529671992867,-133.58594807627418,29.073499425247807,0.0,0.0,1.1130570619770075,-0.32330619302205865,-0.1433797105825258,-0.03540234470489911,-0.19636312565919825,-0.14470686586152048,-1.1484594066141156,0.12694306738997677,-0.0013271552380489983,0.537778,0.537778,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.005956,200.0000000001819,167.897918065816,0.8394895903283164,0.9965012592734003,False,5.117725392532884e-09,3.9938081265308744e-09,2.262485409390382e-09,6.874624118642727e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.018925803,4.072032458,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,648.5430115728,50.9939127948,127.0295923716,648.5430115728,50.9939127948,127.0295923716,644.2551854407254,56.6441142772607,646.740519566788,-174.97536913137802,123.82959631294656,658.4884726193361,-10.839080582527604,658.4884726193361,False,-2.0701060280818524,-1.9109004313780247,-15.854049718527605,-19.926082176527604,30.768018501470173,29.711031639306626,22.163096879752217,-646.3184415276879,23.361759153360055,-0.09852605266702892,-0.7343281420405723,-5.0017355
15442,21684800528800,3.5393,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6341667,1.133845473,9.087985781,186.9387388,-0.6964767820232176,0.20279672084539724,0.626889827664193,-0.44963161329204016,-2.1375271627041523,-0.8879348548299213,-30.550810617840003,-3.803234052648,-2.7026462341176005,30.786630506879998,2.7026462341176005,30.905030554560003,5.016926758,187.09617610938943,648.3902549568,50.97489949272,127.04311899936,46.95523731,39.34800366,127.07632311888,46.949405,39.347334,4.444492046736,30.826935308160003,0.12799458331944,2.1919378333368003,4.067150102,0.2372937433,-0.187566089,-0.3966660989,577.9126162884429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1311454616,-0.004697383801,1.011062451,-11.773520481460812,-0.619760854612458,-133.53886618596295,17.32453084071732,-0.619760854612458,-133.53886618596295,29.098051322178133,0.0,0.0,1.115162559393763,-0.32046376516421055,-0.14408641672316866,-0.03309738874740336,-0.1933598027498399,-0.14553576482359315,-1.148259948168283,0.1271039624143707,-0.0014493481641479216,0.537778,0.537778,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0035393,200.0000000001819,282.541745542904,1.412708727713235,0.9994267173122249,False,-1.0423917277313228e-08,-1.673510488192793e-08,5.791125493551772e-10,1.9724531886922385e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.020835679,4.071059023,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,648.3902549568,50.97489949272,127.04311899936,648.3902549568,50.97489949272,127.04311899936,644.1024288247255,56.6251009751807,646.5866847363624,-174.97586192447432,123.84312294070656,658.3399273764785,-10.842754508171335,658.3399273764785,False,-2.0720380338637483,-1.914600724474326,-15.859681266171336,-19.930740289171336,30.766500924604724,29.708824986330505,22.159743028524048,-646.1639191724895,23.377990461293237,-0.098636682132267,-0.7347142868959495,-4.9981962
15443,21684803673600,3.1448,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6391667,1.13086144,9.088917008,186.9419228,-0.698660824945574,0.19217917010027272,0.6224397211922336,-0.4195409476253819,-2.1040151059199292,-0.892928577355365,-30.549255772080002,-3.8038183146240003,-2.7035602009968,30.785159755440002,2.7035602009968,30.90364539096,5.018853231,187.09761262917337,648.2375059608001,50.95588326456,127.05665022960001,46.95523593,39.34800341,127.08983865192002,46.949405,39.347334,4.444492046736,30.8255942796,0.12692517941304002,2.1913298429856,4.066202053,0.2353216731,-0.1919318315,-0.3927587941,577.8600610009757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1313136412,-0.004665911607,1.01070173,-11.774183155275946,-0.615610870687725,-133.4911108348992,17.346589295917656,-0.615610870687725,-133.4911108348992,29.120772451193606,0.0,0.0,1.1172101453517462,-0.3175787564878772,-0.14478557529645678,-0.03086711898422219,-0.19032193522613958,-0.146355111912638,-1.1480772644444337,0.1272568211939467,-0.001569536609402148,0.537778,0.537778,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0031448,199.99999999961346,317.9852454846095,1.5899262274261203,1.003117509424965,False,-9.614097071804274e-09,-9.02500344385394e-10,1.4172908745848565e-09,9.759819813955213e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.022714955,4.070063777,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,648.2375059608001,50.95588326456,127.05665022960001,648.2375059608001,50.95588326456,127.05665022960001,643.9496798287256,56.6060847470207,646.4328572882919,-174.97635526961037,123.85665417094657,658.1913929582539,-10.846430364674825,658.1913929582539,False,-2.073967898783735,-1.9182780696103237,-15.865283595674825,-19.935347372674826,30.764993627864655,29.7066309642727,22.156379622779895,-646.0094046803438,23.39418830506834,-0.09874728862639452,-0.7350994550253739,-4.9950514
15444,21684808394200,4.7206,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6441667,1.127863108,9.089796111,186.9450831,-0.7006965394080116,0.1817298898976057,0.6179647678325305,-0.3904220200408432,-2.0701511327283586,-0.8978640627316383,-30.547710710400004,-3.8044022718,-2.704457768112,30.783698727120004,2.704457768112,30.90226848744,5.020748011,187.09904651335148,648.0847645848,50.936864140800004,127.07018597088,46.95523456,39.34800316,127.103358696,46.949405,39.347334,4.444492046736,30.82426221216,0.12586648102752002,2.1907111904256,4.06523302,0.2333692132,-0.1960236491,-0.3888248824,577.8078174139945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1314686369,-0.004634759933,1.010336187,-11.774886072152032,-0.6115032640806763,-133.44272606047687,17.366918291450425,-0.6115032640806763,-133.44272606047687,29.141804363602457,0.0,0.0,1.119201015275642,-0.31465453335344246,-0.14547711756242013,-0.028709022691510135,-0.18725225058706402,-0.14716482727097793,-1.1479100379942684,0.12740228269858755,-0.0016877097600788847,0.537778,0.537778,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0047206,200.0000000001819,211.83747828665847,1.059187391432329,1.0036419252800022,False,1.1273559066839898e-08,8.55157302373252e-10,1.509010690133673e-09,1.1406206262744335e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.024563091,4.0690481,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,648.0847645848,50.936864140800004,127.07018597088,648.0847645848,50.936864140800004,127.07018597088,643.7969384527255,56.5870656232607,646.2790372253719,-174.9768491644717,123.87018991222656,658.0428693526317,-10.850108145314126,658.0428693526317,False,-2.075895677823155,-1.9219322644717067,-15.870856156314126,-19.939904256314126,30.76349602559282,29.70444906574365,22.153007042689538,-645.8548980794608,23.410352063199284,-0.09885786765072568,-0.7354836068142012,-4.9903308
15445,21684820243800,11.8496,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6491667,1.124851188,9.090623933,186.9482196,-0.702588710181077,0.17145058026047008,0.6134652592206016,-0.36224305137702123,-2.035965068447466,-0.9027408084747547,-30.546174975600003,-3.8049858296880004,-2.705338617252,30.782246873280002,2.705338617252,30.90089932584,5.022610591,187.10047764733216,647.9320311336,50.91784209096,127.08372616224,46.95523319,39.34800291,127.11688319016,46.949405,39.347334,4.444492046736,30.822938496240003,0.12481855454832,2.1900825632856002,4.064244355,0.2314364949,-0.1998470839,-0.3848649188,577.7558649389879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1316114658,-0.004603930641,1.009966153,-11.775626451950563,-0.6074382798883229,-133.3937551438923,17.385651322894518,-0.6074382798883229,-133.3937551438923,29.16127777484508,0.0,0.0,1.121136324457924,-0.31169438809363026,-0.14616097600132488,-0.026620730929915157,-0.18415345124894775,-0.14796483402373523,-1.1477570553607228,0.12754093674977524,-0.0018038579247914369,0.537778,0.537778,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0118496,200.0000000001819,84.39103429651634,0.4219551714821979,0.9901755567260315,False,-1.520150801564103e-08,-7.860711007172932e-09,-1.8792952926181447e-10,1.711467034435244e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.026379578,4.0680133419999995,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,647.9320311336,50.91784209096,127.08372616224,647.9320311336,50.91784209096,127.08372616224,643.6442050015255,56.568043573420695,646.12522484869,-174.97734361449275,123.88373010358656,657.8943568462557,-10.853787841074572,657.8943568462557,False,-2.0778212618249086,-1.9255632144927404,-15.876398432074573,-19.944411774074574,30.762007653968613,29.702278898989995,22.149625592150336,-645.7003996998611,23.426481024894763,-0.09896841461577385,-0.7358667061950577,-4.9784812
15446,21684827557900,7.3141,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6541667,1.121825643,9.091402388,186.9513323,-0.7052137953876446,0.16218806645023773,0.6089505351414651,-0.6796947318934033,-1.7475719188885226,-0.9048540893905392,-30.54464811048,-3.8055690949680003,-2.7062023390704004,30.78080382816,2.7062023390704004,30.899537448960004,5.024440266,187.1019063748901,647.7793053024001,50.89881711504,127.09727068176,46.95523181,39.34800266,127.13041207344,46.949405,39.347334,4.444492046736,30.82162264416,0.12378161324400001,2.1894453371280003,4.063238666,0.2295239208,-0.2028210808,-0.3808432413,577.7041877754705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318230209,-0.004568464245,1.009589001,-11.786937719042246,-0.6027598396737203,-133.34391651271724,17.417610945589836,-0.6027598396737203,-133.34391651271724,29.204548669080303,0.0,0.0,1.1231644902219424,-0.28573814424521765,-0.14636466988684657,-0.05029752883380983,-0.1579500504657892,-0.14827611626649262,-1.1734620190964267,0.12778809377942846,-0.0019114463186342579,0.55,0.55,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0073141,199.99999999961346,136.72222146265435,0.6836111073145928,0.9857557248320625,False,-5.297031995559374e-09,1.1165212272301388e-08,7.828315350642279e-12,1.2358016601787298e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.028163722,4.0669621220000005,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,647.7793053024001,50.89881711504,127.09727068176,647.7793053024001,50.89881711504,127.09727068176,643.4914791703255,56.549018597500705,645.971419854744,-174.97783861768588,123.89727462310655,657.7458551204921,-10.857469447632047,657.7458551204921,False,-2.079744992575968,-1.9291709176858376,-15.881909713632048,-19.948871835632048,30.760528066928156,29.700120106278973,22.14623552924409,-645.5459091184123,23.442578562021936,-0.09907894243986148,-0.736248710443007,-4.9711671
15447,21684827952400,0.3945,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6591667,1.118780707,9.092137098,186.9544211,-0.7085280307924487,0.15352675272806954,0.6044165293136492,-0.6411166676553448,-1.7114586612163794,-0.9095084610460407,-30.5431451112,-3.8061537470880005,-2.7070513731864003,30.77938464888,2.7070513731864003,30.8981980968,5.026239096,187.10333223765903,647.6265870912,50.879789213040006,127.11081952944001,46.95523044,39.34800241,127.14394519344,46.949405,39.347334,4.444492046736,30.82032965208,0.12275532399864,2.1888025239864,4.062219549,0.2276307653,-0.2053818482,-0.3769945472,577.6533547409188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323065221,-0.004538237501,1.009214822,-11.787721179867122,-0.5987744065870898,-133.2944596279212,17.48103518398268,-0.5987744065870898,-133.2944596279212,29.268756363849803,0.0,0.0,1.1254526537369136,-0.28280654396974425,-0.14702628843719948,-0.04743322074523704,-0.15467573859611627,-0.14904109708953633,-1.172885874427918,0.12813080534651156,-0.002014808710637025,0.55,0.55,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0003945,200.0000000001819,2534.854245880862,12.674271229392783,0.9949706929553117,False,-2.1988151743380073e-08,-2.5336860822705882e-08,-1.8203087065580584e-09,3.3596857847516746e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.029917549,4.065898002,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,647.6265870912,50.879789213040006,127.11081952944001,647.6265870912,50.879789213040006,127.11081952944001,643.3387609591255,56.5299906955007,645.8176222436612,-174.9783341744293,123.91082347078657,657.5973641778567,-10.861152966113098,657.5973641778567,False,-2.081666412088339,-1.9327552744292689,-15.887392062113097,-19.953290064113098,30.759072350069626,29.69798704581102,22.14282615058964,-645.3914264809921,23.45864073824972,-0.09918948310967896,-0.7366300754486814,-4.9707726
15448,21684833616700,5.6643,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6641667,1.115715862,9.092829491,186.9574861,-0.7116528423394782,0.14504579420228642,0.5998593725531631,-0.6040618552604339,-1.6754001634125482,-0.914105193147352,-30.541666526400004,-3.8067397647120003,-2.707885789704,30.777989884080004,2.707885789704,30.89688184848,5.028007108,187.10475517834325,647.4738761952,50.86075838496,127.12437255288,46.95522906,39.34800216,127.15748255016001,46.949405,39.347334,4.444492046736,30.81906009912,0.12173963295408001,2.1881549215224,4.061188412,0.2257569308,-0.2076862304,-0.3731178865,577.6033869026469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132752191,-0.004508333136,1.008839224,-11.788540466668886,-0.5948315870187114,-133.24482009914567,17.53949611893833,-0.5948315870187114,-133.24482009914567,29.32803658560721,0.0,0.0,1.1276742025265385,-0.2798579348225272,-0.14768078921448724,-0.044682157649078576,-0.15140654507478016,-0.1497964897036312,-1.1723563601349425,0.12845138978842158,-0.00211570054608834,0.55,0.55,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0056643,200.0000000001819,176.54432145190052,0.8827216072586997,0.9937133123252943,False,1.1010845020638483e-08,-1.1469348415636756e-08,1.9544181076837748e-09,1.601887671740534e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.031641079,4.064822383,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,647.4738761952,50.86075838496,127.12437255288,647.4738761952,50.86075838496,127.12437255288,643.1860500631254,56.510959867420695,645.6638317119385,-174.97883028273438,123.92437649422656,657.4488836939532,-10.864838389589396,657.4488836939532,False,-2.0835854610776323,-1.9363163827343897,-15.892845497589395,-19.957667880589398,30.757641048089308,29.69588024201655,22.139397058981,-645.2369515569153,23.47466563087694,-0.09930003048655824,-0.7370108161791524,-4.9651083
15449,21684841018200,7.4015,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6691667,1.112632021,9.093480469,186.9605271,-0.7145956681668292,0.13674489740390566,0.5952793536307358,-0.5684561834200115,-1.6394096940336482,-0.9186438754566918,-30.540210710160004,-3.8073269161920003,-2.7087052509048,30.77661788784,2.7087052509048,30.89558693616,5.029743945,187.10617508235114,647.3211729192001,50.8417246308,127.13792969112,46.95522769,39.34800191,127.17102402168,46.949405,39.347334,4.444492046736,30.817812156480002,0.120734603844,2.187503082948,4.060146508,0.2239025548,-0.2097423204,-0.3692141016,577.5542201011078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331629378,-0.004478752594,1.008462428,-11.789392136524006,-0.5909315713524703,-133.1950274180999,17.59337561693778,-0.5909315713524703,-133.1950274180999,29.382767749013567,0.0,0.0,1.1298309330495984,-0.2768952292361013,-0.14832808165007091,-0.04203882018672312,-0.1481436683092653,-0.15054223635093272,-1.1718697532769962,0.12875156092683607,-0.002214154714419993,0.55,0.55,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0074015,199.99999999961346,135.10774842937244,0.6755387421481677,0.9890720783495058,False,3.091071635262213e-09,-1.332525556513562e-08,5.927633435147629e-10,1.3691914698533409e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.033333960999999,4.063736523999999,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,647.3211729192001,50.8417246308,127.13792969112,647.3211729192001,50.8417246308,127.13792969112,643.0333467871255,56.4919261132607,645.510048563334,-174.97932694534663,123.93793363246655,657.3004139579735,-10.868525708980172,657.3004139579735,False,-2.085502027697771,-1.9398540453466353,-15.898269653980172,-19.96200617798017,30.7562325010481,29.693798131409853,22.135949434595457,-645.0824846727241,23.490652709158972,-0.09941057701138606,-0.7373908756953411,-4.9577068
15450,21684844459400,3.4412,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.6741667,1.109530061,9.094090929,186.963544,-0.7173635900328494,0.1286237012549248,0.5906767641818849,-0.5342307383174653,-1.6035008848915417,-0.9231241189357172,-30.538776108000004,-3.8079149820720004,-2.7095094504648003,30.7752670752,2.7095094504648003,30.89431183584,5.031449288,187.10759189238695,647.1684766536,50.82268792008001,127.15149091368001,46.95522632,39.34800166,127.18456957752001,46.949405,39.347334,4.444492046736,30.816584239200004,0.11974029900000001,2.1868475492832,4.059095054,0.2220677704,-0.2115579635,-0.3652840007,577.5057949647802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1335414548,-0.004449497315,1.008084657,-11.790272893300273,-0.5870745495274292,-133.14511054270665,17.643027009120384,-0.5870745495274292,-133.14511054270665,29.433299902420657,0.0,0.0,1.1319245556704354,-0.27392124460016337,-0.14896807897160175,-0.03949807630251448,-0.1448883406025049,-0.15127828212081387,-1.1714226320407408,0.12903290398410025,-0.002310203179040117,0.55,0.55,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0034412,200.0000000001819,290.59630361501803,1.4529815180737686,0.9922430646811353,False,2.848104472017893e-09,-2.695681172064948e-08,-2.462230114008934e-10,2.7107969732117837e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.034995875,4.062641641,-7.199999997502378,-6.150000000134573,0.9000000001175156,0.9000000001175156,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,647.1684766536,50.82268792008001,127.15149091368001,647.1684766536,50.82268792008001,127.15149091368001,642.8806505215255,56.4728894025407,645.356272188046,-174.9798241606051,123.95149485502657,657.1519543676691,-10.87221493282339,657.1519543676691,False,-2.087416052992012,-1.9433681606051323,-15.90366422082339,-19.96630586182339,30.7548451412521,29.69173923273981,22.132484365990113,-644.9280252431381,23.506601379984566,-0.09952111541138126,-0.7377702029734711,-4.9542656
