recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
21988137073000,target_offset,234,"{""x_angle_offset"":0.0,""y_angle_offset"":0.21746484261971932}",-4.9801851
21988143764200,gimbal,2423,"{""imu_roll"":0.0,""imu_pitch"":18.760761260986328,""imu_yaw"":-0.9898884296417236,""frame_roll"":0.0,""frame_pitch"":18.760761260986328,""frame_yaw"":-0.9898884296417236,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9734939
21988145005000,fov,2423,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9722531
21988168658700,attitude,998,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112670,""roll"":-0.015996703878045082,""pitch"":0.17258955538272858,""yaw"":-3.0437138080596924,""rollspeed"":0.009203586727380753,""pitchspeed"":0.010051729157567024,""yawspeed"":-0.006954732351005077}",-4.9485994
21988173528100,target_offset,235,"{""x_angle_offset"":0.0,""y_angle_offset"":0.21746484261971932}",-4.94373
21988181514000,gimbal,2424,"{""imu_roll"":0.0,""imu_pitch"":18.834157943725586,""imu_yaw"":-0.9894811511039734,""frame_roll"":0.0,""frame_pitch"":18.834157943725586,""frame_yaw"":-0.9894811511039734,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9357441
21988181827800,fov,2424,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9354303
21988209461500,target_offset,236,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.9077966
21988212292000,vfr,499,"{""message_type"":""VFR_HUD"",""airspeed"":30.029268264770508,""alt"":170.41000366210938}",-4.9049661
21988212657000,position,499,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469542992,""lon"":393492479}",-4.9046011
21988212825000,attitude,999,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112710,""roll"":-0.015694981440901756,""pitch"":0.1726548820734024,""yaw"":-3.0440497398376465,""rollspeed"":0.010520828887820244,""pitchspeed"":0.009633226320147514,""yawspeed"":-0.00672584492713213}",-4.9044331
21988218990700,gimbal,2425,"{""imu_roll"":0.0,""imu_pitch"":18.875640869140625,""imu_yaw"":-0.9892033934593201,""frame_roll"":0.0,""frame_pitch"":18.875640869140625,""frame_yaw"":-0.9892033934593201,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8982674
21988219501600,fov,2425,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8977565
21988242459800,range,1011,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947452545166016,""y"":39.3483772277832}",-4.8747983
21988249172300,target_offset,237,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.8680858
21988252007000,range,1012,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947452545166016,""y"":39.3483772277832}",-4.8652511
