truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15460,22285726398500,7.1142,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.4841667,-2.791105794,8.867261648,182.8494132,8.066715723644872,0.8183499711403682,-3.1717880598600003,-37.88730343827117,-1.576391598809311,1.5415753290822294,-30.74342236368,-6.211950732792,-2.5720200567624003,31.364731011840004,2.5720200567624003,30.9299946804,4.687969285,191.42326034943775,656.1804970344,41.452598100479996,126.24217680648,46.95530738,39.34787856,126.27610982472,46.949405,39.347334,4.444492046736,30.843511551360002,0.5725648053888001,2.2393156603488,4.152530176,1.060699206,-1.119351413,2.656348183,578.8912284528747,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344874322,-0.01758726525,1.032099824,-11.744243510050113,-2.323023970484885,-136.32549442842634,17.76078391698618,-2.323023970484885,-136.32549442842634,29.505027431484518,0.0,0.0,-1.6934747318906382,-0.27172000759038606,0.2529291744198108,-2.8258826853335184,-0.10052856215934546,0.2582807638470445,-1.13240795344288,0.17119144539036607,0.005351589416387187,0.532222,0.532222,-7.650000001285362,-6.150000000134573,1.5000000000048734,1.5000000000048734,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0071142,199.99999999961346,140.5639425374603,0.7028197126886597,0.9933354617138357,False,-2.392103474544577e-05,-3.9999979910203525,-1.0752142787229246e-09,3.9999979910918797,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19886837201656504,3.995051354662133,4.7147314719999995,4.179292362999999,-7.650000001285362,-6.150000000134573,1.5000000000048734,1.5000000000048734,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,656.1804970344,41.452598100479996,126.24217680648,656.1804970344,41.452598100479996,126.24217680648,651.8926709023254,47.10279958294069,653.5921726158585,-175.86724972541737,123.04218074782656,665.0730082839771,-10.661454489866017,665.0730082839771,False,-7.290510074855092,1.2833370745826187,-15.349423774866018,-19.528716137866017,31.111162036015585,30.098267079973017,22.096720934691543,-648.3081901585407,82.94105544346291,-0.3489153469127906,-0.7136079966084736,-5.0082988
15461,22285727237300,0.8388,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.4891667,-2.753665818,8.870567404,182.8331976,7.878398184347096,0.8105334459864976,-3.1640054830284488,-37.35185762543548,-1.5449959977000152,1.577380537141736,-30.742307405280002,-6.208595384664,-2.573891340396,31.362973717920003,2.573891340396,30.9288023028,4.691626504,191.41765544710267,656.0267836512,41.42154791112001,126.255057624,46.955306,39.34787815,126.28897460976,46.949405,39.347334,4.444492046736,30.842216852400004,0.5794610007912,2.2389054605088,4.151945849,1.073517559,-1.096171716,2.640997077,578.8458796231865,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342355638,-0.01778371095,1.031851398,-11.744775597423287,-2.3489716134904066,-136.292681009626,17.727743389783022,-2.3489716134904066,-136.292681009626,29.472518987206307,0.0,0.0,-1.6532331861048575,-0.2696927293447966,0.25877136426675773,-2.785958662620511,-0.09874740530186937,0.2640376129534699,-1.1327254773291442,0.17094532402936904,0.005266248759926333,0.532222,0.532222,-7.650000001285362,-6.150000000134573,1.5000000000048734,1.5000000000048734,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0008388,200.0000000001819,1192.1793037672867,5.960896518831012,1.0016550851429906,False,-2.391769602495125e-05,-3.999997999380642,1.860357312644112e-09,3.9999979994521486,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19773770217033157,3.995107477517552,4.718621555000001,4.178940900000001,-7.650000001285362,-6.150000000134573,1.5000000000048734,1.5000000000048734,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,656.0267836512,41.42154791112001,126.255057624,656.0267836512,41.42154791112001,126.255057624,651.7389575191255,47.0717493935807,653.436621516646,-175.8689939045583,123.05506156534656,664.9225267021262,-10.665025016618204,664.9225267021262,False,-7.286649351660969,1.2978084954417,-15.356651520618204,-19.535592420618205,31.10968708625535,30.09595504002616,22.093418395190035,-648.159482593698,82.87764151421186,-0.34879504694092395,-0.7140660582428963,-5.00746
15462,22285730430100,3.1928,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.4941667,-2.717169016,8.873846572,182.8170249,7.682503129239688,0.8028324423021544,-3.1566603124909407,-39.872759091432506,-1.5256615311737474,1.4283520121784445,-30.741180011040004,-6.205248577032,-2.5757527969728002,31.36120624368,2.5757527969728002,30.927597855120002,4.695267779,191.41206968155794,655.8730760592,41.39051445528,126.2679477684,46.95530462,39.34787775,126.30184872168,46.949405,39.347334,4.444492046736,30.840909839520002,0.5863057090728,2.238489562128,4.151352588,1.086241977,-1.073146994,2.61799021,578.800079761459,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1340646817,-0.01837787029,1.031678528,-11.73726794235971,-2.427451489587572,-136.2698473539483,17.705382015138905,-2.427451489587572,-136.2698473539483,29.442649957498617,0.0,0.0,-1.8406839848415841,-0.2685975147912955,0.23462761906854018,-2.9737037389312864,-0.0978805209984564,0.23980970928798173,-1.1330197531406303,0.17071699384707184,0.005182090239778812,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0031928,200.0000000001819,313.2047105988474,1.5660235529928128,1.0052360498232302,False,-2.3934133374585442e-05,-3.999997974108972,-7.550769176578598e-10,3.9999979741805776,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19661000784920146,3.9951631331636257,4.722493984,4.178578793,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.8730760592,41.39051445528,126.2679477684,655.8730760592,41.39051445528,126.2679477684,651.5852499271255,47.0407159377407,653.2810780043532,-175.87073748707755,123.06795170974657,664.7720568860896,-10.668597828765105,664.7720568860896,False,-7.282807168635486,1.312237612922445,-15.363865607765105,-19.542444400765106,31.108200559343413,30.09363279957685,22.090123226845414,-648.0107501187115,82.8144589375231,-0.3486754753019568,-0.7145233789394086,-5.0042672
15463,22285739364900,8.9348,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.4991667,-2.681659734,8.877099266,182.8008922,7.484338152857842,0.7952711664082678,-3.149443980680992,-39.29912661557961,-1.4935208970006244,1.46409246855865,-30.74003947992,-6.201919383792,-2.5776027571032003,31.359429716880005,2.5776027571032003,30.92638115448,4.698889917,191.40651961128384,655.7193742584,41.359497702480006,126.28084717872001,46.95530323,39.34787734,126.31473209952001,46.949405,39.347334,4.444492046736,30.839590025040003,0.593107666716,2.23807094676,4.150755975,1.098888661,-1.048068593,2.601969427,578.7538216856528,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1338515027,-0.01857128801,1.031426286,-11.737798330512225,-2.452999179198179,-136.23652981819228,17.677417322483368,-2.452999179198179,-136.23652981819228,29.41521565299559,0.0,0.0,-1.7976442911274932,-0.26656902512236924,0.2404526900869079,-2.930936865616395,-0.09606700678638533,0.24555207839430074,-1.1332925747600657,0.17050201833598388,0.0050993882599391855,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0089348,199.99999999961346,111.92192326632942,0.5596096163327287,0.9974126841230444,False,-2.39068411163057e-05,-3.99999800350693,1.5674601061554938e-09,3.9999980035783724,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19548508705186624,3.9952183340233844,4.726343291,4.178209349,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.7193742584,41.359497702480006,126.28084717872001,655.7193742584,41.359497702480006,126.28084717872001,651.4315481263254,47.0096991849407,653.1255420757327,-175.8724804751566,123.08085112006657,664.6215988245941,-10.67217292257057,664.6215988245941,False,-7.279000086440419,1.3266273248434004,-15.37106283957057,-19.54927218857057,31.106702408086452,30.0913006237621,22.086835233029593,-647.8619689569294,82.75169418791496,-0.3485574309105968,-0.7149798156540995,-4.9953324
15464,22285747025700,7.6608,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5041667,-2.647129975,8.880325965,182.7848001,7.289022157546084,0.7878702041054587,-3.142049525459863,-38.73466760655636,-1.461572828785825,1.4995549871231422,-30.73888590336,-6.198611928888,-2.5794404252592003,31.35764496048,2.5794404252592003,30.925152444720002,4.702491343,191.40101257014015,655.5656779440001,41.3284975308,126.29375582448,46.95530185,39.34787693,126.3276247128,46.949405,39.347334,4.444492046736,30.838257500400005,0.599871038508,2.2376511557784,4.15015884,1.111465321,-1.023180863,2.585757801,578.707116408228,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1336555302,-0.01876358971,1.031173366,-11.738315947820487,-2.4783994591926777,-136.20312273973514,17.65171012453868,-2.4783994591926777,-136.20312273973514,29.390026072359166,0.0,0.0,-1.7553083699707503,-0.2645497840299957,0.24623311754536373,-2.8888539699168057,-0.09425372878491722,0.251251494238944,-1.1335456008951281,0.1702960552179621,0.00501837666646391,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0076608,200.0000000001819,130.53467000835423,0.6526733500411775,0.9922104327565131,False,-2.3898102124900178e-05,-3.999997973868828,1.9038599585741167e-09,3.999997973940218,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19436298182153372,3.9952730804131154,4.730167125000001,4.177834622000001,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.5656779440001,41.3284975308,126.29375582448,655.5656779440001,41.3284975308,126.29375582448,651.2778518119255,46.978699013260695,652.9700134169524,-175.87422287705772,123.09375976582656,664.4711522067922,-10.675750301839042,664.4711522067922,False,-7.275235447197872,1.3409770229422975,-15.378241644839042,-19.556076266839042,31.105193018059822,30.08895904043722,22.083554014407568,-647.7131282883871,82.68943018673188,-0.34844127567969263,-0.7154353068428819,-4.9876716
15465,22285753490000,6.4643,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5091667,-2.613565459,8.883527189,182.7687492,7.09650961607801,0.780628532664063,-3.1344783391149935,-38.17922387071554,-1.4298463668951948,1.5347381836058878,-30.737720195760005,-6.195325444224,-2.5812658398456003,31.355852736480003,2.5812658398456003,30.9239125488,4.70607202,191.39554678195773,655.4119877256,41.297513818320006,126.30667358376,46.95530047,39.34787653,126.34052650056,46.949405,39.347334,4.444492046736,30.836913088560003,0.6065951450496001,2.2372307030760004,4.149562021,1.123970676,-0.9984832172,2.569356019,578.6599950513524,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1334754254,-0.01895475496,1.030920046,-11.738819993604597,-2.5036496299453703,-136.16966281640518,17.628084832204806,-2.5036496299453703,-136.16966281640518,29.36690482136118,0.0,0.0,-1.7136629018158314,-0.2625417411803846,0.25196861306143004,-2.8474432643512766,-0.0924434846294812,0.2569076620670896,-1.1337803628066085,0.17009825656446156,0.004939049055824816,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0064643,200.0000000001819,154.6957907275343,0.7734789536369681,0.9894186349921446,False,-2.3930509245484455e-05,-3.9999979749549137,-1.531198640103426e-09,3.9999979750264973,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19324373420206212,3.9953273726902414,4.733965168,4.177455169000001,-7.500000000024367,-6.300000001395567,1.1999999997747157,1.1999999997747157,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.4119877256,41.297513818320006,126.30667358376,655.4119877256,41.297513818320006,126.30667358376,651.1241615935255,46.9477153007807,652.8144926262244,-175.87596470682593,123.10667752510656,664.3207176011489,-10.679329948058173,664.3207176011489,False,-7.271511488783631,1.3552860931740724,-15.385401968058172,-19.562857137058174,31.103673242955278,30.08660888634118,22.080278974302733,-647.5642312826772,82.62764758911018,-0.34832693821572486,-0.7158898671200296,-4.9812073
15466,22285759366200,5.8762,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5141667,-2.58095204,8.886703445,182.75274,6.9068620412025075,0.7735412767862017,-3.1269392911187692,-37.60102049227169,-1.3994723867768737,1.507399411310931,-30.736544521200003,-6.192055150536,-2.5830801929352,31.354054203120004,2.5830801929352,30.9226634784,4.709633932,191.39011302211605,655.2583029936001,41.26654653456,126.31960048703999,46.95529909,39.34787612,126.35343737136002,46.949405,39.347334,4.444492046736,30.83555892312,0.6132754192176001,2.2368089440008,4.148964044,1.136396194,-0.9745971044,2.550973799,578.6125294354148,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333463668,-0.0192546096,1.030697353,-11.734497554351952,-2.54325610145505,-136.14024823925882,17.61118911200957,-2.54325610145505,-136.14024823925882,29.345686666361523,0.0,0.0,-1.6703331471215106,-0.26064889377577194,0.24745445326721807,-2.8043314207850654,-0.09073876020560442,0.2523158097014026,-1.1339982737991365,0.16991013357016752,0.00486135641655889,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0058762,199.99999999961346,170.17800619447942,0.8508900309740417,0.9878095025938796,False,-2.394188443252676e-05,-3.999998012065346,-2.1601999078413314e-09,3.9999980121369982,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19212737926469173,3.995381211588344,4.737739401,4.177069513,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.2583029936001,41.26654653456,126.31960048703999,655.2583029936001,41.26654653456,126.31960048703999,650.9704768615255,46.916748017020694,652.6589790923086,-175.8777059628127,123.11960442838655,664.170294415835,-10.682911874946607,664.170294415835,False,-7.267818984928795,1.3695540371872994,-15.392545806946607,-19.569615319946607,31.102144895757686,30.084251722307837,22.07700894629015,-647.4152909283265,82.56624044974382,-0.3482139878551781,-0.7163436269798266,-4.9753311
15467,22285763561000,4.1948,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5191667,-2.549275476,8.889855179,182.7367722,6.719979692426598,0.7666090758927744,-3.119330047198274,-37.063777797846804,-1.3682503718259795,1.5420238415901735,-30.7353586968,-6.188802986352,-2.5848827523984,31.352249634720003,2.5848827523984,30.921405050640004,4.713175717,191.38471478565768,655.1046243576001,41.235595527120005,126.33253641240002,46.9552977,39.34787571,126.36635726424001,46.949405,39.347334,4.444492046736,30.83419479072,0.6199145481288001,2.2363871160408,4.148367224,1.148746861,-0.950295884,2.534520774,578.5647166875997,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331943095,-0.01944334316,1.030443628,-11.734980448842283,-2.5681850812488585,-136.1067348927873,17.59124372666068,-2.5681850812488585,-136.1067348927873,29.32622417550296,0.0,0.0,-1.630077424903262,-0.258666447006462,0.253100037580459,-2.7642780625305132,-0.08893661992318555,0.2578853478129032,-1.1342006378984144,0.1697298270019274,0.0047853101212670815,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0041948,200.0000000001819,238.3903880995518,1.191951940496675,0.9895079268904305,False,-2.3921485864060454e-05,-3.999998018834555,-1.5998314617515774e-09,3.999998018906085,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.19101389629408527,3.9954346005408246,4.741487954999999,4.176679461999999,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.1046243576001,41.235595527120005,126.33253641240002,655.1046243576001,41.235595527120005,126.33253641240002,650.8167982255255,46.8857970095807,652.5034734112517,-175.87944666174516,123.13254035374658,664.019883217148,-10.686496064008859,664.019883217148,False,-7.2641614474028415,1.3837811382548466,-15.399671781008859,-19.576351243008858,31.100607930595103,30.081887643661425,22.073743878139382,-647.266302796442,82.50524879044218,-0.34810259694174167,-0.716796521465062,-4.9711363
15468,22285768554300,4.9933,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5241667,-2.518522124,8.892982902,182.7208464,6.535765665398394,0.7598323763179032,-3.1115482621943955,-36.53509134000761,-1.3373254452321433,1.576368932025978,-30.73416302736,-6.185569561272,-2.5866731887464,31.35043933608,2.5866731887464,30.92013757032,4.716696722,191.37935298931507,654.9509518176001,41.20466076552,126.34548129888002,46.95529632,39.34787531,126.37928617920001,46.949405,39.347334,4.444492046736,30.83282090472,0.6265132959168,2.2359660567864,4.147773081,1.161024084,-0.9261836657,2.517879326,578.5165663839588,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330547126,-0.019630906,1.030190268,-11.735447383113458,-2.5929594261801885,-136.07326972055586,17.572933245132486,-2.5929594261801885,-136.07326972055586,29.308380628245942,0.0,0.0,-1.5904740138163145,-0.2567005775520428,0.2587005193894126,-2.7248626735650037,-0.08714504673671601,0.2634114386026677,-1.1343886598842714,0.1695555307746522,0.004710919304094908,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.0049999999999954525,0.0049933,200.0000000001819,200.2683596018665,1.0013417980084218,0.989624938479799,False,-2.3916607302935933e-05,-3.9999980147030008,1.9232788417422597e-09,3.9999980147745013,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.18990332733310772,3.9954875399685674,4.7452098209999996,4.17628618,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,654.9509518176001,41.20466076552,126.34548129888002,654.9509518176001,41.20466076552,126.34548129888002,650.6631256855255,46.854862247980705,652.3479755798551,-175.88118680583378,123.14548524022658,663.8694839937938,-10.690082511483697,663.8694839937938,False,-7.260539795148816,1.3979667941662228,-15.406779233483697,-19.583065413483695,31.099062693336826,30.07951705403271,22.070483472233473,-647.1172655766948,82.44468348945708,-0.34799281811590027,-0.7172485272706343,-4.966143
15469,22285773974500,5.4202,True,udp,127.0.0.1:53906,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.5291667,-2.488678604,8.89608713,182.7049634,6.354177503945274,0.7532096431076554,-3.1035953364159847,-36.01480938234124,-1.306720879395087,1.6104333424700612,-30.732958092,-6.18235413768,-2.5884515620248,31.34862382536,2.5884515620248,30.918861616560005,4.720196982,191.37402620069372,654.7972850688001,41.173742097360005,126.35843511600001,46.95529494,39.3478749,126.39222399432,46.949405,39.347334,4.444492046736,30.83143781376,0.6330710136624,2.2355462072832,4.147182349,1.17322664,-0.9022604439,2.501050285,578.468100549411,-2.3921526764928003e-05,-3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329266155,-0.01981727877,1.029937507,-11.73589756538203,-2.6175765798560784,-136.03988354874028,17.55613163596196,-2.6175765798560784,-136.03988354874028,29.292029201343993,0.0,0.0,-1.5515104905008077,-0.25475295008579113,0.2642556287507252,-2.6860739422993962,-0.08536631031255763,0.26889379978939926,-1.1345634519341703,0.16938663978679164,0.004638171018336783,0.532222,0.532222,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,0,0,True,0.005000000000009663,0.0054202,199.99999999961346,184.49503708350247,0.9224751854192951,0.9889048147262598,False,-2.3909212917443134e-05,-3.999997970072352,4.290638955239956e-10,3.9999979701438084,-2.3921526764928003e-05,-3.9999979944,0.0,jsbsim_total_wind,3.99999799447153,-0.18879572837224126,3.9955400296736685,4.748904780999999,4.175890148,-7.500000000024367,-6.300000001395567,1.0500000002325944,1.0500000002325944,13.950000002680929,13.950000002680929,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,654.7972850688001,41.173742097360005,126.35843511600001,654.7972850688001,41.173742097360005,126.35843511600001,650.5094589367255,46.82394357982071,652.1924852821578,-175.882926406052,123.15843905734657,663.7190964327905,-10.693671221201983,663.7190964327905,False,-7.256952606745699,1.412110193948024,-15.413868203201982,-19.589758351201983,31.097509706065956,30.077140456892256,22.067227347761296,-646.968181251593,82.38452710626876,-0.34788458487751855,-0.7176996576146898,-4.9607228
