event_monotonic_ns,event,value_json,session_time_s
23042497045700,TRACKER_DISABLED,"{""state"":false}",-4.5009765
23043823500900,TRACKER_LATENCY_CALIBRATION_BEGIN,"{""estimate_s"":0.0,""effective_s"":0.0,""confidence"":0.0,""candidate_s"":0.0,""fit_score"":null,""excitation"":0.0,""samples"":0,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.0}",-3.1745213
23043823543100,TRACKER_ENABLED,"{""state"":true}",-3.1744791
23043825032100,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.5,""expected_dt_s"":0.04092015757167399,""gap_limit_s"":0.14322055150085897}",-3.1729901
23043872666500,SIM_MISSION_STATE,"{""time"":1788528823.6701593,""from"":""WAIT_TRACKER_LOCK"",""to"":""SET_WIND"",""reason"":""real_tracking_stream_confirmed_apply_wind_best_effort""}",-3.1253557
23046988105200,SIM_MISSION_STATE,"{""time"":1788528826.7855942,""from"":""SET_WIND"",""to"":""ENTER_HUNTER"",""reason"":""wind_smooth_ramp_complete_hunter""}",-0.009917
23046988674000,ATTACK_STATE_COMMAND,"{""previous"":-1,""new"":4}",-0.0093482
23046990171900,TRACKER_LATENCY_CALIBRATION_HUNTER,"{""estimate_s"":0.1587305293847657,""effective_s"":0.0,""confidence"":0.37438831743590867,""candidate_s"":0.425,""fit_score"":1.487758946766771,""excitation"":0.681198509307999,""samples"":78,""calibration_active"":true,""locked"":false,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""calibrating"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999999091385787}",-0.0078503
23046990799400,CHANNELS_RESET,"{""reason"":""hunter_new_engagement_reset""}",-0.0072228
23046996376100,HUNTER_ATTACK_PITCH_THRESHOLD,"{""frame_pitch_deg"":-26.214052200317383,""frame_pitch_abs_deg"":26.214052200317383,""camera_pitch_down_deg"":26.214052200317383,""attack_angle_deg"":25.0,""source"":""camera_pitch_threshold_target_tick"",""sole_transition_condition"":true}",-0.0016461
23046996406200,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.161199465537656,""effective_s"":0.0,""confidence"":0.3761927896404112,""candidate_s"":0.375,""fit_score"":1.5138173675706714,""excitation"":0.7033126559265129,""samples"":79,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.999999927310863}",-0.001616
23046997418900,HUNTER_ATTACK_STATE_COMMIT,"{""roll_reinit"":false,""pitch_reinit"":false,""estimator_state_preserved"":true,""transition_condition"":""camera_pitch_only""}",-0.0006033
