truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15495,23365637279000,12.1663,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.7816667,-0.6949434397,9.941099111,185.4809092,-12.890481182442874,-0.335710725543895,-2.0974930322269607,20.072168554998708,-3.3519981380676516,-10.687405341247672,-30.4936068816,10.518677084016,-3.1959158281200004,32.25682297416,3.1959158281200004,30.696380141280002,5.658239537,160.9682812449148,644.7970790088001,105.85959251712,132.50572204416002,46.95520498,39.34872467,132.53923498704,46.949405,39.347334,4.444492046736,30.58953073344,-1.4635882815552,2.0991126182256,3.925592825,-2.732870661,-5.555502278,1.65284638,569.8357868523447,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09572139985,0.03453580016,0.9654235596,-11.830548835507715,4.561680882709157,-127.51852201575925,12.640476058550801,4.561680882709157,-127.51852201575925,24.471024894058516,0.0,0.0,2.466052558123138,-0.48266837994444417,-1.7459847312689292,1.4975434369596197,-0.3476704757033336,-1.7526551833858401,-0.9685091210279365,0.13499790422755242,-0.006670453159535053,0.434444,0.434444,-3.9000000001272626,-8.549999997392172,-4.650000000129699,-4.650000000129699,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0121663,200.0000000001819,82.19425790914246,0.41097128954533857,0.9503707485713787,False,-8.059802474695565e-06,11.999996710228396,2.1603355215837894e-09,11.999996710231104,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1461606521615768,-11.945134456887144,6.015506286,4.282859574,-3.9000000001272626,-8.549999997392172,-4.650000000129699,-4.650000000129699,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.7970790088001,105.85959251712,132.50572204416002,644.7970790088001,105.85959251712,132.50572204416002,640.5092528767256,111.50979399958071,650.1434743028111,-170.12404495293785,129.3057259855066,662.8774456497739,-11.24865619236137,662.8774456497739,False,28.907673802147315,4.395045847062136,-16.90689572936137,-21.18975530336137,28.237616114120673,27.071748703909083,24.48594853992776,-569.13546205079,-314.27911641527146,1.3741727467275517,-0.7470363542381859,-5.0005297
15496,23365641243300,3.9643,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.7866667,-0.7610407019,9.939252615,185.4701726,-12.791091757896309,-0.35228052431793977,-2.1508853098694276,19.60718848944794,-3.260938258209226,-10.66582141376983,-30.489971074800003,10.517914340304,-3.1943155976399997,32.25313718016,3.1943155976399997,30.692638568880003,5.656066862,160.96745601380246,644.6446226208001,105.91218694584,132.52171221792,46.9552036,39.34872536,132.55521059136,46.949405,39.347334,4.444492046736,30.586094296320002,-1.4591893159056002,2.0975380531248002,3.92309674,-2.724982927,-5.511723008,1.694002572,569.6960047454749,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09550641057,0.03439772036,0.9645147082,-11.832010267581857,4.543442533542676,-127.39847585732848,12.612268208308885,4.543442533542676,-127.39847585732848,24.444278475890744,0.0,0.0,2.4317623806448294,-0.4755512103538628,-1.7421742157716873,1.4629640797827475,-0.34011670263423105,-1.7490159605723727,-0.9687983009976638,0.13543450771963178,-0.00684174392347108,0.434444,0.434444,-3.9000000001272626,-8.549999997392172,-4.650000000129699,-4.650000000129699,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0039643,200.0000000001819,252.25134323840277,1.2612567161908668,0.9528162496543601,False,-8.083436029190927e-06,11.999996754173152,2.15499479372383e-09,11.999996754175875,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1439222450059117,-11.94534902508322,6.016155874999999,4.283185752999999,-3.9000000001272626,-8.549999997392172,-4.650000000129699,-4.650000000129699,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.6446226208001,105.91218694584,132.52171221792,644.6446226208001,105.91218694584,132.52171221792,640.3567964887255,111.56238842830071,650.0023025506372,-170.11717268240497,129.32171615926657,662.7421063969815,-11.252392759874427,662.7421063969815,False,28.91537130379254,4.412654717595046,-16.908459621874428,-21.191645374874426,28.23229469402478,27.06627813325975,24.485897290126,-568.9696618562874,-314.28731633375236,1.3746484940438037,-0.7471160823768773,-4.9965654
15497,23365645247800,4.0045,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.7916667,-0.8266916445,9.93730837,185.4591685,-12.691465203307077,-0.36839694193247213,-2.2039686125724187,22.197191536056298,-3.170388625915254,-10.4038479898571,-30.48634032768,10.51720573212,-3.1926744142320005,32.24947384992,3.1926744142320005,30.6888952896,5.653817702,160.96654260448545,644.4921842159999,105.96477768648,132.53769425352002,46.95520223,39.34872605,132.57117805752,46.949405,39.347334,4.444492046736,30.582659444160004,-1.4546855658072,2.0959782808824,3.920627463,-2.716897624,-5.472116637,1.74330947,569.5561761947539,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09540076986,0.03471670846,0.9638573504,-11.821213762040156,4.585576257714845,-127.31164839516946,12.598489641685642,4.585576257714845,-127.31164839516946,24.419703403725798,0.0,0.0,2.6250164476270785,-0.46867176269650673,-1.6992810927569009,1.6559472095969274,-0.3327938217010209,-1.7062895652023284,-0.9690692383013145,0.13587794099548586,-0.00700847187733978,0.434444,0.434444,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0040045,200.0000000001819,249.71906605069296,1.2485953302523292,0.9551663225768331,False,-8.068183474319035e-06,11.999996740983217,-1.422425510710923e-10,11.99999674098593,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1416280267526309,-11.945568503935212,6.016680907,4.283490668000001,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.4921842159999,105.96477768648,132.53769425352002,644.4921842159999,105.96477768648,132.53769425352002,640.2043580839254,111.6149791689407,649.8611572363238,-170.1102980188399,129.3376981948666,662.6067943047976,-11.256129717373746,662.6067943047976,False,28.923159376674676,4.430533481160069,-16.909947419373744,-21.193438087373746,28.22696823289859,27.060810778577594,24.485844113338366,-568.8033960444817,-314.29638930919737,1.3751291819035498,-0.7471922116858829,-4.9925609
15498,23365653239300,7.9915,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.7966667,-0.8918626152,9.935268178,185.4479013,-12.581540288119427,-0.38406452996421664,-2.2559419189822827,21.68933748560297,-3.0821607108533566,-10.381696003373275,-30.48271558512,10.516539625248,-3.1909990139760005,32.24583002688,3.1909990139760005,30.68515237608,5.651504413,160.96556101319084,644.3397644040001,106.01736501336,132.55366799856,46.95520086,39.34872675,132.5871372636,46.949405,39.347334,4.444492046736,30.57922904208,-1.4500665689999999,2.0944291421976002,3.918176876,-2.708594936,-5.423088234,1.783596908,569.416380202609,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09521824294,0.0345719732,0.9629618833,-11.822589365678231,4.566458815406984,-127.19337009345524,12.574542516069684,4.566458815406984,-127.19337009345524,24.397131881747917,0.0,0.0,2.587498425549731,-0.4617155154093764,-1.6953882262332955,1.6181751668920525,-0.3253965763226534,-1.7025588978915178,-0.9693232587932603,0.13631893908672293,-0.007170672050053671,0.434444,0.434444,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,0,0,True,0.005000000000009663,0.0079915,199.99999999961346,125.13295376337358,0.6256647688180771,0.949982748310604,True,-8.100390222878784e-06,11.99999673584924,-1.8149551306301248e-09,11.999996735851974,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1392789117833997,-11.945792773811274,6.017091301999999,4.283763765,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.3397644040001,106.01736501336,132.55366799856,644.3397644040001,106.01736501336,132.55366799856,640.0519382719256,111.66756649582071,649.7200390112247,-170.1034209468317,129.35367193990658,662.4715099814364,-11.25986704072774,662.4715099814364,False,28.93101803997746,4.448677753168283,-16.91137145372774,-21.19513521872774,28.221639637349707,27.05534818701472,24.485787630683358,-568.636775110042,-314.30613593310403,1.3756138161839437,-0.7472653587843843,-4.9845694
15499,23365656907200,3.6679,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.8016667,-0.9565336601,9.933133812,185.4363742,-12.474139234830595,-0.3992937985790799,-2.3078033582474364,21.1888527953923,-2.9952886001460226,-10.359014002281068,-30.479097316512,10.515932472792,-3.189280258968,32.242211593680004,3.189280258968,30.681408639600004,5.649109864,160.96448396712756,644.1873622704001,106.06994913984,132.56963327016,46.95519949,39.34872744,132.60308799624,46.949405,39.347334,4.444492046736,30.575800316400002,-1.4453499773664,2.0929008137328,3.915764327,-2.700107897,-5.374947125,1.823596056,569.2765712827942,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09505039001,0.03442447889,0.9620774478,-11.823898686366018,4.546976948095071,-127.07654894017776,12.552521568274006,4.546976948095071,-127.07654894017776,24.376420250191803,0.0,0.0,2.550514485922773,-0.4548792947533398,-1.6914160267340792,1.580952890739593,-0.3181118669523788,-1.698744470859495,-0.9695615939629436,0.136767427800961,-0.0073284446338474935,0.434444,0.434444,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0036679,200.0000000001819,272.635568036206,1.3631778401797903,0.9529917911292292,False,-8.088850743520615e-06,11.999996710323192,-2.749107441690768e-09,11.999996710325918,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1368755642913297,-11.946021738846506,6.017369485,4.284023948,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.1873622704001,106.06994913984,132.56963327016,644.1873622704001,106.06994913984,132.56963327016,639.8995361383255,111.72015062230071,649.5789470149981,-170.09654143316158,129.36963721150659,662.3362525465071,-11.263604728727813,662.3362525465071,False,28.938974599710832,4.467084366838435,-16.912714592727813,-21.196738540727814,28.216306515447236,27.049889804469252,24.48572830921752,-568.469647835818,-314.3168272532265,1.3761038392926044,-0.7473347071811806,-4.9809015
15500,23365659999600,3.0924,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.8066667,-1.020717159,9.930906976,185.424588,-12.369225477274094,-0.41409154786935765,-2.3595502936161066,20.695603582376304,-2.909782009438583,-10.33580761302602,-30.475486177176002,10.51538383584,-3.1875187222320003,32.23861900752,3.1875187222320003,30.6776647812,5.646634967,160.96331249761965,644.0349784248001,106.12253037072,132.58558982448,46.95519812,39.34872813,132.61903001160002,46.949405,39.347334,4.444492046736,30.57237387672,-1.4405363514336,2.091393583524,3.913390289,-2.691437428,-5.327685441,1.86330777,569.1367757694519,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09489614716,0.03427424402,0.9612041932,-11.82514162624264,4.5271330889563295,-126.96120459647655,12.532287181966774,4.5271330889563295,-126.96120459647655,24.357428808209416,0.0,0.0,2.5140557210222827,-0.4481637878569331,-1.6873652467382136,1.5442703358843692,-0.31094105428908986,-1.694847096241211,-0.9697853863581496,0.13722273356784323,-0.0074818499843130395,0.434444,0.434444,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0030924,200.0000000001819,323.3734316388566,1.6168671581928122,0.9570724891980281,False,-8.07435786071009e-06,11.999996701905,-4.792000130038332e-10,11.999996701907715,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1344181480591338,-11.946255350486615,6.017516686999999,4.2842720089999995,-4.050000000242342,-8.400000001860755,-4.199999999784462,-4.199999999784462,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.0349784248001,106.12253037072,132.58558982448,644.0349784248001,106.12253037072,132.58558982448,639.7471522927256,111.7727318531807,649.4378819044781,-170.08965945973924,129.38559376582657,662.2010225956393,-11.2673427493627,662.2010225956393,False,28.947028042641136,4.485752540260762,-16.913977716362698,-21.1982497253627,28.21096956192466,27.044436213726726,24.48566564162766,-568.3020206121604,-314.3284521336088,1.3765992257023663,-0.747400312991194,-4.9778091
15501,23365664620500,4.6209,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.8116667,-1.08442531,9.928589347,185.4125435,-12.261639690932958,-0.4284548962584107,-2.4109325407752182,26.33857833269694,-2.8141351744306626,-10.01513722412348,-30.471882758424,10.514885439072,-3.185718030888,32.23505010432,3.185718030888,30.67392217248,5.644086452,160.9620608140204,643.8826125624,106.1751090108,132.60153744816,46.95519675,39.34872882,132.63496309632,46.949405,39.347334,4.444492046736,30.56895155184,-1.4356183872791999,2.0899049961024003,3.911049961,-2.682569688,-5.283213296,1.914598302,568.9970444156567,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09486004065,0.03476309866,0.9605629328,-11.812379064573877,4.591703731920304,-126.87650333976741,12.527646623697093,4.591703731920304,-126.87650333976741,24.34002568382275,0.0,0.0,2.9346811277137737,-0.4409159368043293,-1.6351897371385018,1.964685432163169,-0.3032343414302889,-1.6428205842549315,-0.9699956952794412,0.13768159537404034,-0.007630846023640281,0.434444,0.434444,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,0,0,True,0.005000000000009663,0.0046209,199.99999999961346,216.40805903611852,1.0820402951826837,0.9582168407987536,False,-8.06964261841625e-06,11.999996747411439,9.559831259942086e-10,11.999996747414153,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1319068268261203,-11.946493559578913,6.017539386000001,4.284502895000001,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,643.8826125624,106.1751090108,132.60153744816,643.8826125624,106.1751090108,132.60153744816,639.5947864303255,111.8253104932607,649.296843435857,-170.08277499459044,129.40154138950658,662.0658198470511,-11.271081088402264,662.0658198470511,False,28.955164191389144,4.504681505409565,-16.915167540402265,-21.199670435402265,28.20563075444555,27.038988655969522,24.48559849152804,-568.133971000306,-314.34086894833007,1.3770992702566276,-0.7474625150135645,-4.9731882
15502,23365674107800,9.4873,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.8166667,-1.147580172,9.92618283,185.4002456,-12.131182947748353,-0.44235535800353865,-2.460959825254768,25.746958351068763,-2.7327449262367005,-9.991799656181238,-30.468287679000003,10.514421207336001,-3.1838846832720002,32.23150022064,3.1838846832720002,30.670182886080003,5.641476549,160.96075630371243,643.7302646832001,106.22768524296,132.6174759888,46.95519538,39.34872951,132.65088712848,46.949405,39.347334,4.444492046736,30.565536298320005,-1.4305800076176,2.0884323933072,3.908738015,-2.673474363,-5.224248151,1.953955231,568.8574543086254,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09472986864,0.03460553469,0.9597076265,-11.81351477562024,4.570891806311434,-126.76352976474047,12.510571880374725,4.570891806311434,-126.76352976474047,24.324086655994964,0.0,0.0,2.890868358807906,-0.4343997489756704,-1.6311240634824737,1.9206748589093654,-0.2962668003152308,-1.6388991831867852,-0.9701934993562135,0.13813294879602142,-0.007775119808709473,0.434444,0.434444,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0094873,200.0000000001819,105.40406648888514,0.5270203324439463,0.9501874146801544,False,-8.076576912985356e-06,11.999996725835029,-8.544184804115673e-10,11.999996725837747,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1293426191800857,-11.94673623556574,6.017444815,4.284706281,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,643.7302646832001,106.22768524296,132.6174759888,643.7302646832001,106.22768524296,132.6174759888,639.4424385511255,111.87788672542071,649.1558316447262,-170.07588802093952,129.41747993014658,661.930644304844,-11.274819732057386,661.930644304844,False,28.963355675348055,4.5238663790604505,-16.916296281057384,-21.201002562057386,28.20029344993715,27.03354916256302,24.485525016504607,-567.9656489303801,-314.35380607437895,1.3776025883056608,-0.7475219191227055,-4.9637009
15503,23365681615700,7.5079,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.8216667,-1.210131365,9.923689241,185.3876983,-12.003665856204917,-0.45585221332357806,-2.510869305600934,25.164163432094185,-2.6529589845062906,-9.967927793635882,-30.464701286376002,10.514014253616,-3.182010126696,32.227977281280005,3.182010126696,30.666445245600002,5.638788817,160.9593602920446,643.5779347872001,106.28025928056,132.63340526352002,46.95519401,39.3487302,132.66680189472,46.949405,39.347334,4.444492046736,30.562124641440004,-1.4254447256352,2.0869857405744003,3.906473507,-2.664195498,-5.166433018,1.993006107,568.7179432040214,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09461067335,0.0344452461,0.9588658678,-11.814571659731364,4.5497199973327795,-126.65234557582272,12.494938205167946,4.5497199973327795,-126.65234557582272,24.309509864899308,0.0,0.0,2.847701904250554,-0.42802371923416566,-1.626977980331384,1.8773221963149895,-0.2894342868722103,-1.6348932712742839,-0.9703797083423098,0.13858943249753716,-0.007915290443958728,0.434444,0.434444,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0075079,200.0000000001819,133.193036668043,0.6659651833396093,0.945982727244389,True,-8.075811119861998e-06,11.999996716550633,9.008902512874783e-10,11.999996716553351,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1267263560762013,-11.946983265753712,6.0172157340000005,4.284900424,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,643.5779347872001,106.28025928056,132.63340526352002,643.5779347872001,106.28025928056,132.63340526352002,639.2901086551256,111.9304607630207,649.0148465720213,-170.06899851934773,129.4334092048666,661.7954959723576,-11.278558663849124,661.7954959723576,False,28.97164118860769,4.543303180652288,-16.917347480849124,-21.202247904849123,28.19495398647466,27.02811582380654,24.4854469429735,-567.7968421994453,-314.36764633028406,1.3781111978482454,-0.7475777348826744,-4.956193
15504,23365683996000,2.3803,True,udp,127.0.0.1:61350,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.8266667,-1.272093331,9.921110182,185.3749023,-11.879044613679207,-0.46895346936101157,-2.560658324435463,24.590039564717866,-2.574770125387551,-9.943527652544258,-30.461123992032,10.513664090232,-3.18009503172,32.2244814996,3.18009503172,30.66270979968,5.636024367,160.95787375304513,643.4256225696,106.3328314284,132.64932505896002,46.95519264,39.34873089,132.68270715120002,46.949405,39.347334,4.444492046736,30.558717007920002,-1.4202131097840003,2.085565039428,3.904256401,-2.654734053,-5.109755616,2.031752977,568.5785302539484,-8.07845903736e-06,11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450167209,0.03428225199,0.958037657,-11.815550321865379,4.528190827126001,-126.54295086197857,12.480642870846776,4.528190827126001,-126.54295086197857,24.296193192712153,0.0,0.0,2.805171076128831,-0.4217872168533055,-1.6227522821945504,1.834615909080937,-0.2827366731120131,-1.6308037148850958,-0.9705551662344031,0.13905054374129236,-0.008051432967132396,0.434444,0.434444,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,0,0,True,0.005000000000009663,0.0023803,199.99999999961346,420.1151115405621,2.10057555770687,0.951453238955039,False,-8.074889676107366e-06,11.999996708410789,1.2764878043469707e-10,11.999996708413507,-8.07845903736e-06,11.999996726400001,0.0,jsbsim_total_wind,11.99999672640272,1.1240581803771512,-11.947234602233406,6.016853781,4.2850858149999995,-4.349999999899541,-8.099999999338769,-3.7500000000121836,-3.7500000000121836,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,643.4256225696,106.3328314284,132.64932505896002,643.4256225696,106.3328314284,132.64932505896002,639.1377964375255,111.9830329108607,648.8738879743356,-170.06210645776386,129.4493290003066,661.6603745680712,-11.282297869513737,661.6603745680712,False,28.980019789191033,4.562991242236137,-16.91832223651374,-21.203408051513737,28.1896128237647,27.02268896955769,24.485363958911055,-567.62755601536,-314.38237887477106,1.378625067929808,-0.7476300246519021,-4.9538127
