truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15486,28408429376300,8.9978,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1016667,-0.7462448043,9.198955913,185.0676839,4.473472397301783,0.17003612256019426,-0.16065524861833402,28.07474094301102,-0.02029433852066961,2.6454806820684635,-30.512817998880003,-2.9953113969192002,-2.770283447484,30.65948388792,2.770283447484,30.784386020640003,5.16302535,185.60651592233353,634.0868428728,49.352371155360004,128.68763216448,46.95510865,39.34798234,128.71938363768,46.949405,39.347334,4.444492046736,30.706705759440002,0.26008913205336,2.170022588064,4.042334435,0.48408264,0.03799928739,0.2109448791,573.3187060575648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345665529,-0.002187528338,0.9941748945,-11.889517059001031,-0.28937274702255283,-131.31541651751138,17.7731685755394,-0.28937274702255283,-131.31541651751138,29.66268563454043,0.0,0.0,3.2342332294810574,-0.14103281479659618,0.43281150708832855,2.0911699787080464,-0.00259794181395781,0.4309322826712972,-1.1430632499595206,0.13843487291213585,-0.0018792244455035831,0.536667,0.536667,-9.750000001750552,-3.7500000000121836,5.849999997612584,5.849999997612584,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0089978,200.0000000001819,111.13827824579342,0.5556913912284617,0.950459114004264,False,-8.147221318163716e-10,9.985770858681545e-09,-1.172128311072734e-10,1.0019637251015684e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.156621478000001,4.035930563000001,-9.750000001750552,-3.7500000000121836,5.849999997612584,5.849999997612584,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,634.0868428728,49.352371155360004,128.68763216448,634.0868428728,49.352371155360004,128.68763216448,629.7990167407255,55.002572637820705,632.196238904,-175.00882097817,125.48763610582655,644.530240795412,-11.226981292331118,644.530240795412,False,-0.6153369005035074,-0.07650487816999885,-16.390006642331116,-20.425937205331117,30.657715775035513,29.531672961857563,21.825050061602425,-632.1597804412162,6.7894386275099805,-0.02984128522041732,-0.7721644731379638,-4.9997138
15487,28408435641000,6.2647,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1066667,-0.7237136064,9.199797222,185.0668869,4.612760220342744,0.16992019910347755,-0.14743338164187028,27.555861282359494,-0.02696941346523248,2.642841817799881,-30.511603157520003,-2.9944852453584003,-2.7704130213168003,30.6581941572,2.7704130213168003,30.78311320632,5.163481566,185.60520109878527,633.9342831576,49.33739803824,128.70149922336,46.95510727,39.34798214,128.73323536512,46.949405,39.347334,4.444492046736,30.70542416688,0.26065181223864003,2.1700336855272,4.042523202,0.4851499953,0.03746764215,0.2143269034,573.2705332502021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344388358,-0.002207217066,0.9941406882,-11.888228969675014,-0.2919772437206237,-131.31087194741593,17.75643067379885,-0.2919772437206237,-131.31087194741593,29.644659643473865,0.0,0.0,3.1957707405534492,-0.14143114583932648,0.43243590877397436,2.0525188155105663,-0.0032264275116772882,0.4305573609100992,-1.1432519246361377,0.13820471834120734,-0.0018785478977706373,0.536667,0.536667,-9.750000001750552,-3.7500000000121836,5.849999997612584,5.849999997612584,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0062647,199.99999999961346,159.6245630277587,0.7981228151403361,0.9485740502984736,True,2.376913373562196e-08,-1.0621385184594284e-08,1.691326964976349e-09,2.6089195631215942e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.157274020000001,4.036315656000001,-9.750000001750552,-3.7500000000121836,5.849999997612584,5.849999997612584,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,633.9342831576,49.33739803824,128.70149922336,633.9342831576,49.33739803824,128.70149922336,629.6464570255255,54.9875995207007,632.042954984743,-175.00896994463824,125.50150316470656,644.3825915110112,-11.230844282850148,644.3825915110112,False,-0.6141710434235392,-0.07585684463822417,-16.394325848850148,-20.43064150485015,30.656432808766056,29.52980361955701,21.821431656397785,-632.0066433426108,6.774932962904174,-0.029790721071928643,-0.7725075211045189,-4.9934491
15488,28408438316100,2.6751,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1116667,-0.7004806063,9.200639017,185.0661572,4.746904560576813,0.1695545048373265,-0.13432759505526337,23.97327442497706,-0.2935502115228769,2.516629248596511,-30.51038191536,-2.9936735120568003,-2.7705408108504,30.65689945824,2.7705408108504,30.78183524088,5.163935348,185.6039142355774,633.7817295384,49.32242900544,128.71536689184,46.9551059,39.34798195,128.74708776312002,46.949405,39.347334,4.444492046736,30.704137514640003,0.26122000332984,2.1700424375544,4.04270829,0.4862277782,0.03613252277,0.2123852236,573.2221713158165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344245298,-0.002520572584,0.99414161,-11.873476175794705,-0.33334710842335924,-131.31090179498298,17.754654076326823,-0.33334710842335924,-131.31090179498298,29.628130252121526,0.0,0.0,2.929089265381845,-0.1652322727236194,0.4121187600229384,1.785662076464417,-0.02724946092975911,0.4102379472651805,-1.1434271887818463,0.13798281175318575,-0.0018808127970765967,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0026751,200.0000000001819,373.8178012036933,1.8690890060167666,0.9534727802296797,False,-2.2095209041327694e-08,-2.5715301825448532e-08,-2.0612282064053688e-09,3.396650809654661e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.157930727,4.036703669,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,633.7817295384,49.32242900544,128.71536689184,633.7817295384,49.32242900544,128.71536689184,629.4939034063254,54.9726304879007,631.8896774979723,-175.00911866253028,125.51537083318657,644.2349515851215,-11.234708985753073,644.2349515851215,False,-0.61303289810769,-0.07527586253024765,-16.398644333753072,-20.435348002753074,30.655144725258783,29.527929228319138,21.81781684058155,-631.8535090877766,6.7607382699330785,-0.029741472317012768,-0.7728505303509103,-4.990774
15489,28408447238100,8.922,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1166667,-0.6766035971,9.201477279,185.065493,4.86584015554424,0.16807572626471573,-0.1217488263931821,23.528510739779556,-0.29858914454365265,2.514544490092726,-30.509157655680003,-2.9928698715000004,-2.7706679368344,30.655602595199998,2.7706679368344,30.780555080880003,5.1643883,185.60264284223,633.6291820152001,49.307464026480005,128.7292352004,46.95510453,39.34798175,128.76094077072,46.949405,39.347334,4.444492046736,30.702849033600003,0.26178593058000005,2.1700462438968002,4.042884454,0.4873014717,0.03447401361,0.2154072117,573.1737289425956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343184246,-0.002539703958,0.9941017448,-11.872223516553854,-0.33588225236444,-131.30558683738596,17.740750870533923,-0.33588225236444,-131.30558683738596,29.612974382639553,0.0,0.0,2.896122301141846,-0.16551815276804227,0.4118392009373725,1.7525322215444703,-0.027745011006939928,0.4099436120688683,-1.1435900804108672,0.13777314182889322,-0.0018955888129156405,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.008922,200.0000000001819,112.08249271463798,0.5604124635726803,0.9465819715296948,True,-5.261626233294467e-09,-1.214975206245335e-08,8.737013118921926e-10,1.3268931372962334e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.158592825,4.037088979000001,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,633.6291820152001,49.307464026480005,128.7292352004,633.6291820152001,49.307464026480005,128.7292352004,629.3413558831255,54.95766550894071,631.7364064410119,-175.00926713441447,125.52923914174657,644.0873210229412,-11.23857540477236,644.0873210229412,False,-0.6119099766444833,-0.07476013441447549,-16.40296370477236,-20.44005268377236,30.65385434454233,29.52605233551051,21.814203731133663,-631.7003791522963,6.746717857498865,-0.02969294182109762,-0.7731936475782344,-4.981852
15490,28408451452100,4.214,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1216667,-0.6521262781,9.202309101,185.0648929,4.98256872052257,0.1665725357366236,-0.10918028216295496,23.091743849447006,-0.30326751946384023,2.5125555009114393,-30.50792641608,-2.9920853489136,-2.7707925341976005,30.654300642000003,2.7707925341976005,30.779269647840003,5.164837452,185.60140817547727,633.4766402832,49.292503009920004,128.74310414904002,46.95510316,39.34798155,128.7747944184,46.949405,39.347334,4.444492046736,30.70155549288,0.26235998385912,2.1700452593928,4.043052396,0.4883904654,0.03283632755,0.2184684535,573.125092654326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342219559,-0.002559032891,0.9940593584,-11.870981395150007,-0.3384389617732159,-131.2999321691042,17.728109972174558,-0.3384389617732159,-131.2999321691042,29.59909136732456,0.0,0.0,2.8637395846163254,-0.1657828257860263,0.41157469509174144,1.7199980249028535,-0.028213326023292747,0.409663920384307,-1.1437415584932356,0.1375694997356172,-0.001910774769802088,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.004214,199.99999999961346,237.3042240151875,1.1865211200782306,0.948587277951142,True,-2.000646219998178e-08,-1.8049231870703196e-08,-2.1014898702676256e-09,2.7026830383094228e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.159256705000001,4.037471649,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,633.4766402832,49.292503009920004,128.74310414904002,633.4766402832,49.292503009920004,128.74310414904002,629.1888141511255,54.9427044923807,631.5831415022385,-175.00941536596565,125.54310809038658,643.9396995207169,-11.242443546342992,643.9396995207169,False,-0.6108235414429259,-0.0743082659656693,-16.40728099834299,-20.444752647342995,30.65255867823998,29.524170372813078,21.810594214484002,-631.5472507400793,6.733105708664823,-0.029646158060240367,-0.7735366588484084,-4.977638
15491,28408454759600,3.3075,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1266667,-0.6270596071,9.203134317,185.0643569,5.097129904764183,0.1650467108546095,-0.09662148434589343,22.662816391120973,-0.3075962996589621,2.5106618931602234,-30.506688623280002,-2.9913204801360003,-2.7709145505143997,30.652994116800002,2.7709145505143997,30.77797939896,5.165282625,185.60021115205168,633.3241052568001,49.277545864320004,128.75697370728003,46.95510179,39.34798136,128.78864870616002,46.949405,39.347334,4.444492046736,30.70025741064,0.2629422704568,2.170039577616,4.04321223,0.4894949544,0.03122180088,0.2215684333,573.0762792090982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1341343474,-0.002578528879,0.994014453,-11.86974995837448,-0.3410178353358342,-131.29394615279435,17.71663123398728,-0.3410178353358342,-131.29394615279435,29.586381192361763,0.0,0.0,2.831930274684966,-0.1660266697796155,0.41132517062769414,1.6880477654934036,-0.028655255046249516,0.4093988305878856,-1.143882509462726,0.13737141473336595,-0.0019263400479433937,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0033075,200.0000000001819,302.34315948601665,1.511715797428708,0.9522878935353962,False,-1.3895737783383149e-08,-1.3689839714358134e-08,-6.49341975942552e-10,1.9517297070831305e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.159922087,4.037851692,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,633.3241052568001,49.277545864320004,128.75697370728003,633.3241052568001,49.277545864320004,128.75697370728003,629.0362791247255,54.927747346780706,631.4298835846079,-175.00956337248795,125.55697764862659,643.7920879600255,-11.24631339317116,643.7920879600255,False,-0.6097745245396027,-0.0739202724879533,-16.41159601817116,-20.44944771017116,30.651258197819317,29.5222838160536,21.806987967846336,-631.3941246701544,6.719911880450624,-0.029601168075317173,-0.7738795657280635,-4.9743305
15492,28408458158100,3.3985,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1316667,-0.6014143449,9.203952767,185.063885,5.209562580590691,0.16349997541949587,-0.08407195681406979,22.24157475481659,-0.31158607241504416,2.5088632669145374,-30.505444643040004,-2.9905757885088002,-2.7710339297016,30.65168341584,2.7710339297016,30.776684760960002,5.165723644,185.5990526886857,633.1715760216,49.26259249824,128.77084384464,46.95510041,39.34798116,128.80250357304,46.949405,39.347334,4.444492046736,30.698955183120002,0.26353289421840004,2.1700292927496,4.043364072,0.4906151275,0.02963135161,0.2247060264,573.0273048862001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1340548958,-0.002598196344,0.9939670907,-11.868529308536372,-0.3436194541679667,-131.28763701766636,17.706222448786228,-0.3436194541679667,-131.28763701766636,29.574751761770823,0.0,0.0,2.8006837471583252,-0.1662500695299436,0.41109055446664305,1.6566699961451827,-0.02907161686782743,0.4091482990222663,-1.1440137510131427,0.13717845255365071,-0.0019422554850513074,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0033985,200.0000000001819,294.2474621156392,1.4712373105768581,0.9557913795287304,False,7.553542587873222e-09,2.1746186330440633e-08,1.095389276364396e-09,2.3046746043895907e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.160588695,4.038229123000001,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,633.1715760216,49.26259249824,128.77084384464,633.1715760216,49.26259249824,128.77084384464,628.8837498895255,54.9127939807007,631.2766317692095,-175.0097111548611,125.57084778598657,643.6444854355311,-11.25018495956582,643.6444854355311,False,-0.6087638435467966,-0.07359615486109305,-16.415908603565818,-20.45413772656582,30.64995331300986,29.520393076415427,21.803384655801032,-631.2409999429111,6.70714611081096,-0.029558017689670108,-0.7742223720022492,-4.970932
15493,28408468504800,10.3467,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1366667,-0.5752010592,9.204764297,185.063477,5.319904857716878,0.16193400126483312,-0.07153122544490856,21.82786890007604,-0.3152470831341957,2.507159213082516,-30.504194871600003,-2.9898517836576004,-2.7711506129328,30.650368965840002,2.7711506129328,30.775386160560004,5.16616033,185.59793370211182,633.0190531872,49.247642820239996,128.7847145916,46.95509904,39.34798096,128.81635901904002,46.949405,39.347334,4.444492046736,30.69764917608,0.26413195578888,2.1700144989768,4.043508047,0.4917511681,0.02806580015,0.227880114,572.9781845285122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339829539,-0.002618039578,0.9939173326,-11.867319530151892,-0.3462443825265252,-131.2810127260369,17.696798695572546,-0.3462443825265252,-131.2810127260369,29.56411822572444,0.0,0.0,2.7699895785080173,-0.16645341619048867,0.41087077325883725,1.625853540850843,-0.029463203000986527,0.4089122799963841,-1.144136037521593,0.13699021323017668,-0.001958493296348614,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0103467,199.99999999961346,96.64917316632356,0.48324586583255175,0.9462110556693614,True,-1.035489023809788e-08,3.2446348572713205e-09,-1.1709135390322327e-09,1.0914322961868218e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.16125625,4.038603967,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,633.0190531872,49.247642820239996,128.7847145916,633.0190531872,49.247642820239996,128.7847145916,628.7312270551255,54.89784430270069,631.1233866553571,-175.00985872600117,125.58471853294655,643.4968925428675,-11.254058238812442,643.4968925428675,False,-0.6077924281129867,-0.07333572600117577,-16.420218568812444,-20.458822535812445,30.6486444626397,29.518498597340425,21.799783970071083,-631.0878770790288,6.694817937191637,-0.029516751803515758,-0.7745650789661388,-4.9605853
15494,28408472516600,4.0118,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1416667,-0.5484301287,9.205568762,185.063133,5.428194105023103,0.16035040968929412,-0.0589988182357781,21.421552270024904,-0.3185892553308369,2.5055493145508843,-30.502939613760002,-2.9891489645400005,-2.7712645389432,30.649051132560004,2.7712645389432,30.77408396352,5.166592507,185.59685499447093,632.8665367536,49.23269667792,128.7985858872,46.95509767,39.34798077,128.83021507464002,46.949405,39.347334,4.444492046736,30.69633978576,0.26473955249088,2.1699952901760002,4.043644281,0.4929032543,0.02652587601,0.2310895836,572.9289315425069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339179255,-0.002638062748,0.993865239,-11.866120667703257,-0.348893167854144,-131.2740812402227,17.6882817657138,-0.348893167854144,-131.2740812402227,29.554402433417053,0.0,0.0,2.739837545866712,-0.16663710715149144,0.4106657532477803,1.5955874812084465,-0.029830779455751272,0.4086907261921926,-1.1442500646582652,0.13680632770929835,-0.0019750269783060594,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0040118,200.0000000001819,249.26466922578393,1.246323346127786,0.9485998697543909,True,-1.5934254960427392e-08,8.435071726305174e-09,-5.731531948142834e-10,1.8038276546182115e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.161924481000001,4.038976255000001,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,632.8665367536,49.23269667792,128.7985858872,632.8665367536,49.23269667792,128.7985858872,628.5787106215255,54.882898160380705,630.9701482297734,-175.01000609953596,125.59858982854657,643.3493092589916,-11.257933226839908,643.3493092589916,False,-0.6068610940068879,-0.07313909953597886,-16.424525733839907,-20.46350198883991,30.64733199350761,29.516600732080516,21.796185648158286,-630.934755986761,6.682936856538454,-0.029477415181417783,-0.774907686978914,-4.9565735
15495,28408476662300,4.1457,True,udp,127.0.0.1:59439,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.1466667,-0.5211117461,9.206366019,185.0628529,5.534466965452191,0.1587507732328434,-0.046474265281072326,21.022481665321454,-0.32162220919553103,2.5040331444660846,-30.501679143840004,-2.9884678179215998,-2.7713756437248005,30.647730281760005,2.7713756437248005,30.772778444160004,5.167019999,185.59581748249553,632.714026416,49.21775401032001,128.81245776192,46.9550963,39.34798057,128.84407167888,46.949405,39.347334,4.444492046736,30.69502731696,0.2653557785076,2.1699717599208004,4.043772902,0.4940715582,0.02501222392,0.2343333299,572.8795588558542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1338592614,-0.002658269896,0.993810869,-11.86493274343157,-0.3515663413574483,-131.2668503890938,17.680599642502028,-0.3515663413574483,-131.2668503890938,29.545532385933598,0.0,0.0,2.7102176229606796,-0.16680154400622815,0.41047541999906695,1.5658611482865572,-0.03017508827128477,0.408483588664664,-1.1443564744029584,0.13662645581629246,-0.0019918312476305423,0.536667,0.536667,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0041457,200.0000000001819,241.2137877801095,1.2060689388994505,0.9507170940408515,False,-5.550559291503361e-09,2.598037297001853e-09,-2.0048231559150336e-09,6.4480867031701825e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.162593117000001,4.039346020000001,-9.600000000489556,-3.9000000001272626,5.699999999789336,5.699999999789336,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,632.714026416,49.21775401032001,128.81245776192,632.714026416,49.21775401032001,128.81245776192,628.4262002839255,54.86795549278071,630.8169161834916,-175.01015327842472,125.61246170326656,643.2017352887077,-11.261809932706283,643.2017352887077,False,-0.605970760920286,-0.07300617842474821,-16.428829931706282,-20.468175951706286,30.646016221043883,29.514699801663774,21.79258944224294,-630.7816362817022,6.671512049653913,-0.02944005126465621,-0.7752501965537625,-4.9524278
