truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15567,28862490356800,3.4777,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9183333,1.089646039,9.345279079,188.0821013,-0.7563504126751946,0.2680505809808773,-2.073590263192219,0.0843419483354183,-2.4653900689988437,-0.10758125493252779,-30.386533592064005,-0.484382196588,-2.8188916542552,30.390394039512,2.8188916542552,30.84472526496,5.299364529,180.91325670454404,642.9793609272,69.41054607576001,129.01499346048,46.95518863,39.34824584,129.04782276744,46.949405,39.347334,4.444492046736,30.765268903680003,0.20966179917696,2.2025771845752002,4.09498859,0.3894613626,-0.3171712236,2.201179624,575.5501861158547,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370785847,-0.006924261399,1.014362462,-11.68911488024955,-0.9145950199534779,-133.9826449281447,18.105041769600497,-0.9145950199534779,-133.9826449281447,29.794156645401824,0.0,0.0,1.1582753001047108,-0.3866508209232889,-0.016910228856268732,0.005753761609321253,-0.2263150333345681,-0.01771092189695512,-1.1525215384669174,0.16033578758872077,-0.0008006930448894219,0.542222,0.542222,-7.349999998763373,-5.999999998873578,1.1999999997747157,1.1999999997747157,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0034777,200.0000000001819,287.54636685165485,1.4377318342569667,0.9670245087432743,False,-2.705420995591668e-06,3.999997980214495,-2.42175367606845e-09,3.9999979802154098,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.5623648533263512,-3.9602688957890857,5.250290489000001,4.045914550000001,-7.349999998763373,-5.999999998873578,1.1999999997747157,1.1999999997747157,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,642.9793609272,69.41054607576001,129.01499346048,642.9793609272,69.41054607576001,129.01499346048,638.6915347951254,75.06074755822071,643.0870799844698,-173.29719179434008,125.81499740182657,655.2788765206564,-11.069654438023239,655.2788765206564,False,5.789551501115852,-1.3792930943400847,-16.369018967023237,-20.41493351702324,30.235376315239208,29.131598323451957,22.493749544567002,-639.8067705788465,-64.87132466983566,0.27313173344355285,-0.7494861844414857,-5.0064856
15568,28862493784600,3.4278,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9233333,1.084162902,9.34679154,188.07162,-0.7561979869940827,0.25579634844821275,-2.0740735995019928,-0.04437811944737385,-2.430364945269239,-0.08139454256993198,-30.385017964920003,-0.48479027410560005,-2.8200111602712,30.388885111872,2.8200111602712,30.843393807120002,5.301718889,180.9140715651203,642.8274333672,69.40812507984,129.02910609672,46.95518727,39.34824581,129.06192001128,46.949405,39.347334,4.444492046736,30.76393753728,0.2156755217088,2.2019473531704,4.093998167,0.4006497443,-0.3222268517,2.196882907,575.499717450074,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1369979727,-0.007099576182,1.013992556,-11.690281057165755,-0.9377515729278454,-133.93378561744046,18.09446549995919,-0.9377515729278454,-133.93378561744046,29.784746552676722,0.0,0.0,1.1488251424375502,-0.3834217815774741,-0.01246681614018588,-0.003808256941808035,-0.22312619643139367,-0.013402984682289893,-1.1526333994132536,0.16029558528166227,-0.0009361685412905223,0.542222,0.542222,-7.349999998763373,-5.999999998873578,1.1999999997747157,1.1999999997747157,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0034278,200.0000000001819,291.7323064356147,1.4586615321767469,0.9703720262799007,False,-2.709291893122131e-06,3.9999979995919785,-2.5245588015920806e-09,3.999997999592896,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.5616403792790192,-3.960371704723509,5.252793373,4.045072651,-7.349999998763373,-5.999999998873578,1.1999999997747157,1.1999999997747157,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,642.8274333672,69.40812507984,129.02910609672,642.8274333672,69.40812507984,129.02910609672,638.5396072351255,75.0583265623007,642.9359084654716,-173.29582578671113,125.82911003806656,655.1332286850462,-11.073404172227404,655.1332286850462,False,5.790102648168556,-1.36744578671113,-16.375123061227406,-20.420195712227404,30.233845594742082,29.129320043145523,22.490508797139153,-639.6557462488239,-64.86222849379735,0.2732083077060684,-0.7498899183956071,-5.0030578
15569,28862497704900,3.9203,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9283333,1.078678353,9.348242158,188.0611351,-0.75668344553953,0.24371850458241331,-2.074426077980937,-0.1703635898843951,-2.39474232338918,-0.055244807728870436,-30.383502261576,-0.48518478162240003,-2.8211121716328003,30.387375897720002,2.8211121716328003,30.842058691680002,5.30403894,180.91486087177887,642.6755134272,69.40570204176001,129.04322424984002,46.9551859,39.34824578,129.07602283296,46.949405,39.347334,4.444492046736,30.762602421840004,0.22167695409504,2.2013033781312,4.092981947,0.4118163243,-0.3270684677,2.192419591,575.4491142407654,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1369233843,-0.007274479781,1.013615848,-11.691485101792574,-0.9608538148955791,-133.88402803286326,18.084679247821416,-0.9608538148955791,-133.88402803286326,29.77616434516577,0.0,0.0,1.1395708078615574,-0.3801430921783915,-0.00803172584141527,-0.013167003215276502,-0.21988520392338282,-0.00910146818214295,-1.1527378110890363,0.16025788825500864,-0.0010697423407276794,0.542222,0.542222,-7.349999998763373,-5.999999998873578,1.1999999997747157,1.1999999997747157,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0039203,199.99999999961346,255.0825191949596,1.2754125959772629,0.9727451208851082,False,-2.682681847626916e-06,3.9999979846026834,1.1886353117052106e-09,3.999997984603583,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.560915637592699,-3.9604744163692374,5.2552602109999995,4.044203218,-7.349999998763373,-5.999999998873578,1.1999999997747157,1.1999999997747157,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,642.6755134272,69.40570204176001,129.04322424984002,642.6755134272,69.40570204176001,129.04322424984002,638.3876872951255,75.05590352422071,642.7847446415137,-173.29445939665868,125.84322819118658,654.9875922683078,-11.07715591832707,654.9875922683078,False,5.790679731562477,-1.3555944966586821,-16.38119485832707,-20.42539807632707,30.232313204154305,29.127043145989635,22.487266866925005,-639.504700512483,-64.85341907945455,0.2732861268698893,-0.7502922696490876,-4.9991375
15570,28862508799700,11.0948,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9333333,1.073192482,9.349630397,188.0506477,-0.7541020787316044,0.2301374309409128,-2.074267955953426,1.1738283923557686,-3.0296809853830258,0.12268844067978511,-30.38197866696,-0.4855742843232,-2.8222336829279997,30.385858719144004,2.8222336829279997,30.840717023040003,5.306398912,180.91564112570427,642.5236011072001,69.40327708344,129.05734795032,46.95518453,39.34824575,129.09013117152,46.949405,39.347334,4.444492046736,30.761263404960005,0.22767440134320002,2.2006052718312,4.091865838,0.422976573,-0.3580776052,2.193305302,575.3982673209385,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368378577,-0.007141131199,1.014619302,-11.69490303521375,-0.9432403910459605,-134.01656973511567,18.073443026676603,-0.9432403910459605,-134.01656973511567,29.768346061890355,0.0,0.0,1.2398675077023613,-0.4378342971049124,0.02114619346353807,0.08703215225035768,-0.2776161318753176,0.019926093149440053,-1.152835355411329,0.16021816536517663,-0.0012201003184366345,0.542222,0.542222,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0110948,200.0000000001819,90.13231423730035,0.4506615711860919,0.9614117780939065,False,-2.69581485360694e-06,3.9999979865683635,-8.708722493144805e-10,3.9999979865692716,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.5601907043099166,-3.960577019831332,5.257764559,4.043231485000001,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,642.5236011072001,69.40327708344,129.05734795032,642.5236011072001,69.40327708344,129.05734795032,638.2357749751255,75.0534785659007,642.6335885268845,-173.2930926131654,125.85735189166657,654.8419672929675,-11.080909679861245,654.8419672929675,False,5.791266261130318,-1.3437403131654264,-16.387308591861245,-20.430540076861245,30.230772380664025,29.124753503527604,22.48403466191234,-639.3536519219267,-64.84471356276481,0.2733643525062278,-0.750696471921509,-4.9880427
15571,28862516281800,7.4821,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9383333,1.067730268,9.350944515,188.0401611,-0.7485408208836029,0.21507683726211885,-2.073601133920466,1.026650044369864,-2.987373305662638,0.1483033770872941,-30.380450070576003,-0.4859564038536,-2.8233625225296,30.384336426024003,2.8233625225296,30.839370050880003,5.308773691,180.9164076286426,642.3716964072,69.40085014392,129.0714772896,46.95518317,39.34824572,129.10424517936,46.949405,39.347334,4.444492046736,30.75992137056,0.23366441717112002,2.1998601248328002,4.090662856,0.4341240759,-0.3641107614,2.188286856,575.347226486063,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367717543,-0.007315702838,1.014187009,-11.696462924225127,-0.9662987860035882,-133.95947009386916,18.06476757999237,-0.9662987860035882,-133.95947009386916,29.7612305042175,0.0,0.0,1.2290289421552634,-0.4339221237337227,0.02553014536937873,0.07610237310171328,-0.2737459773360736,0.024143174873397594,-1.1529265690128756,0.16017614626206733,-0.0013869704892020443,0.542222,0.542222,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0074821,200.0000000001819,133.6523168629128,0.6682615843139563,0.9570896964581582,False,-2.681619553711323e-06,3.9999979933581855,1.9614606848461502e-09,3.9999979933590843,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.559465807560294,-3.9606794827885508,5.260281659,4.042170824,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,642.3716964072,69.40085014392,129.0714772896,642.3716964072,69.40085014392,129.0714772896,638.0838702751255,75.0510516263807,642.4824401145208,-173.29172544140124,125.87148123094657,654.696353772328,-11.084665465966035,654.696353772328,False,5.7918669299562,-1.331886541401218,-16.393439156966036,-20.435609980966035,30.229225716153824,29.122456186390732,22.48080826638089,-639.2025953064284,-64.8361628185629,0.27344322534993565,-0.7511014389844093,-4.9805606
15572,28862516627500,0.3457,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9433333,1.062294441,9.352182735,188.0296766,-0.7437089961775403,0.20022944261128756,-2.072806318845651,0.8825615443274565,-2.9442792470980113,0.17387841443282356,-30.378922720824,-0.48632515912320007,-2.8244699057352003,30.382815172272,2.8244699057352003,30.83802048792,5.311108392,180.91714903602949,642.2197993272001,69.39842137560001,129.08561220672001,46.9551818,39.34824568,129.11836476504,46.949405,39.347334,4.444492046736,30.75857692824,0.23964016308600003,2.1990963743664,4.089425602,0.4452460931,-0.3698658054,2.183107653,575.2960894118668,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367101791,-0.007489802026,1.013745795,-11.698075422353545,-0.9892947764153533,-133.90119211871675,18.056685859688237,-0.9892947764153533,-133.90119211871675,29.75476127759356,0.0,0.0,1.21841411978718,-0.4299426528472678,0.029904783361799712,0.06540217345381459,-0.2698068545071066,0.028353270297956437,-1.1530119462249,0.16013579847574294,-0.0015515130638432738,0.542222,0.542222,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,0,0,True,0.005000000000009663,0.0003457,199.99999999961346,2892.6815157651145,14.463407578853525,0.966421512624349,False,-2.7084210188084955e-06,3.999998008569162,-2.014951473033877e-09,3.999998008570079,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.5587410372396925,-3.960781792590396,5.262757132999999,4.041074342999999,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,642.2197993272001,69.39842137560001,129.08561220672001,642.2197993272001,69.39842137560001,129.08561220672001,637.9319731951256,75.04862285806071,642.3312994222824,-173.29035786763944,125.88561614806657,654.550751714866,-11.088423272274406,654.550751714866,False,5.7924930963311,-1.3200344676394025,-16.399531664274406,-20.440606007274404,30.227678716192052,29.12016213254448,22.4775792365299,-639.0515176990374,-64.8278947990354,0.27352334143132173,-0.7515047910463154,-4.9802149
15573,28862519028700,2.4012,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9483333,1.05688151,9.353346123,188.0191948,-0.7395912653873252,0.18559906489268677,-2.0718837158478727,0.7415100494770168,-2.9004532653168678,0.19941130941471824,-30.377396946888002,-0.48668063791439997,-2.8255554463632,30.381295284024002,2.8255554463632,30.83666860848,5.313402234,180.91786540516077,642.067910172,69.39599077848,129.09975264072,46.95518043,39.34824565,129.13248983712,46.949405,39.347334,4.444492046736,30.757230382800003,0.24560120169983998,2.198315043036,4.088155935,0.4563418073,-0.3753457351,2.177768123,575.2448680684148,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1366527678,-0.007663416802,1.013296183,-11.699737464774314,-1.0122267831625824,-133.84180480157573,18.049150100760492,-1.0122267831625824,-133.84180480157573,29.74888756998303,0.0,0.0,1.2080195461129308,-0.4259005354434376,0.03426970996921128,0.054927603686954485,-0.26580365463724714,0.03255602700535727,-1.153091942466651,0.16009688080619044,-0.0017136829665656485,0.542222,0.542222,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,0,0,True,0.0049999999999954525,0.0024012,200.0000000001819,416.4584374479427,2.0822921872378197,0.9717547575765543,False,-2.7028664279166517e-06,3.9999979965043693,-1.1302522875955567e-09,3.9999979965052828,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.5580164348619147,-3.960883943469598,5.265190188,4.039943889,-7.349999998763373,-5.849999997612584,1.5000000000048734,1.5000000000048734,13.349999997636951,13.349999997636951,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,642.067910172,69.39599077848,129.09975264072,642.067910172,69.39599077848,129.09975264072,637.7800840399254,75.0461922609407,642.1801667529452,-173.28898989482278,125.89975658206656,654.4051614086369,-11.092183089615837,654.4051614086369,False,5.793144700016455,-1.3081846948227849,-16.40558532361584,-20.44552921261584,30.22613171716111,29.117871751653425,22.47434726651948,-638.9004195870584,-64.81990760808995,0.27360469700675855,-0.7519064987976145,-4.9778137
15574,28862522763100,3.7344,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9533333,1.051497917,9.354437707,188.0087171,-0.724281146697991,0.17353084774916955,-2.0701359928915797,5.414168304463106,-1.922556660965711,0.5038547190423512,-30.37587042924,-0.48703910466,-2.8265748408192004,30.379774709976,2.8265748408192004,30.83531041968,5.315572726,180.91858750386996,641.916028332,69.39355841352,129.11389834776,46.95517907,39.34824562,129.14662021272,46.949405,39.347334,4.444492046736,30.75587438856,0.25156434001992,2.1975611376096,4.086938239,0.4674425087,-0.3493497573,2.183395991,575.1934140269042,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1362818727,-0.007236310291,1.011350035,-11.731025094630215,-0.9558121760516239,-133.58474670058033,17.997168494340073,-0.9558121760516239,-133.58474670058033,29.72819358897029,0.0,0.0,1.5373601127865677,-0.3372621269187295,0.0838330106155651,0.40295942828849435,-0.1772843091638169,0.08198733850327744,-1.1344006842269097,0.15997781775491257,-0.001845672117710936,0.533333,0.533333,-7.650000001285362,-5.699999999789336,1.9499999997771524,1.9499999997771524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0037344,200.0000000001819,267.78063410454155,1.33890317052149,0.9744765868447194,False,-2.6783452518486933e-06,3.999998003526171,2.607992009850957e-09,3.9999980035270677,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.5572920972507933,-3.9609859219079646,5.2674994680000005,4.038864981000001,-7.650000001285362,-5.699999999789336,1.9499999997771524,1.9499999997771524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,641.916028332,69.39355841352,129.11389834776,641.916028332,69.39355841352,129.11389834776,637.6282021999255,75.0437598959807,642.0290415082752,-173.2876215109583,125.91390228910656,654.2595822223051,-11.095944908274182,654.2595822223051,False,5.793790985171768,-1.296338610958287,-16.411517634274183,-20.450382615274183,30.224584314904583,29.115593178873667,22.47110605656618,-638.7493351413627,-64.81185845585426,0.27368582805341274,-0.7523027473596064,-4.9740793
15575,28862530692800,7.9297,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9583333,1.046231084,9.355476001,187.9982498,-0.6976833847301817,0.16399109879866375,-2.0675644397047694,5.188032481924745,-1.8874425947057367,0.5289421101176842,-30.374333795280002,-0.4873945752216,-2.8275404310648002,30.378243976944002,2.8275404310648002,30.833936929920004,5.317644582,180.91930427407166,641.764154112,69.39112421976,129.12804896208,46.9551777,39.34824559,129.1607554956,46.949405,39.347334,4.444492046736,30.75450022824,0.25752485084208,2.1968305259136,4.08576601,0.4785395602,-0.3473638702,2.178104343,575.1413916467194,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1359692704,-0.007410386555,1.010931915,-11.732402766691342,-0.9788051385589356,-133.5295191378828,17.956155321675006,-0.9788051385589356,-133.5295191378828,29.68855808836635,0.0,0.0,1.5209175661999734,-0.3337508598308811,0.08807288960483306,0.3861337725628576,-0.17399196342403145,0.08612552956011356,-1.1347837929592068,0.15975889654243142,-0.0019473600528544265,0.533333,0.533333,-7.650000001285362,-5.699999999789336,1.9499999997771524,1.9499999997771524,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0079297,199.99999999961346,126.1081755930237,0.6305408779663372,0.9691071292392812,False,-2.6833973196522913e-06,3.9999980197507883,2.1570074719423626e-09,3.9999980197516884,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.5565684599967818,-3.961087666859708,5.269709990999999,4.037831419,-7.650000001285362,-5.699999999789336,1.9499999997771524,1.9499999997771524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,641.764154112,69.39112421976,129.12804896208,641.764154112,69.39112421976,129.12804896208,637.4763279799255,75.0413257022207,641.8779239839273,-173.28625272438723,125.92805290342655,654.1140143782004,-11.099708692985676,654.1140143782004,False,5.79444300154114,-1.2845025243872215,-16.417353274985675,-20.455184693985675,30.223026502157932,29.113314235942937,22.46786501451076,-638.5982522212332,-64.80386992998527,0.2737671665743441,-0.7526944235242948,-4.9661496
15576,28862534941000,4.2482,True,udp,127.0.0.1:53624,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.9633333,1.04109671,9.356465794,187.9877947,-0.6722062743516154,0.15462751064970795,-2.064867522779426,4.966689219867704,-1.8520530921637828,0.5539942712214059,-30.372787203504,-0.48773539160880003,-2.8284835298136,30.376703051400003,2.8284835298136,30.832549510800003,5.319676348,180.91999388607388,641.6122878168001,69.38868831912,129.14220436176,46.95517634,39.34824556,129.17489556384,46.949405,39.347334,4.444492046736,30.753111376560003,0.2634702079836,2.1960947728512,4.084586084,0.4896096791,-0.3453317398,2.172657643,575.08885072333,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356811579,-0.007583960062,1.010511156,-11.733779193250417,-1.0017316944553973,-133.47394287909287,17.9183549882771,-1.0017316944553973,-133.47394287909287,29.652134181527515,0.0,0.0,1.5048033133039345,-0.3302325921126383,0.09230461364742176,0.36966463377651554,-0.17067862311447973,0.09025723019440739,-1.1351386792562552,0.15955396899815855,-0.0020473834530143863,0.533333,0.533333,-7.650000001285362,-5.699999999789336,1.9499999997771524,1.9499999997771524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0042482,200.0000000001819,235.39381385057203,1.1769690692517896,0.970858328536693,False,-2.7042772322532875e-06,3.999997982833307,-2.4809345029741525e-09,3.9999979828342216,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.55584564762387,-3.9611891612530794,5.27187971,4.036789446,-7.650000001285362,-5.699999999789336,1.9499999997771524,1.9499999997771524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,641.6122878168001,69.38868831912,129.14220436176,641.6122878168001,69.38868831912,129.14220436176,637.3244616847255,75.03888980158071,641.7268144969313,-173.28488352724517,125.94220830310657,653.9684581664792,-11.103474429052731,653.9684581664792,False,5.795122586680918,-1.2726782272451374,-16.423150777052733,-20.459940223052733,30.221457072577905,29.11102772161697,22.464629707348394,-638.4471462658058,-64.79618715192824,0.27384974826220093,-0.7530841948860884,-4.9619014
