truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15177,29470965810200,5.1422,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.92,14.91748726,9.544811456,190.2687378,-16.1988263232821,2.443931449682629,6.250651748106634,-62.865652182604045,-1.9903205146138732,-11.360416321071561,-30.54106296144,3.567850963344,-3.0341498837328,30.74875749144,3.0341498837328,31.009775440320002,5.635448029,173.33682630615928,674.6276346384,79.73243948832001,129.16838771808003,46.95547331,39.34838145,129.20461079016002,46.949405,39.347334,4.444492046736,30.91811260104,-0.5004801570768,2.3293789098384,4.308539744,-0.9247614783,-3.792812211,-3.578036774,581.717424898736,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296111019,-0.001823219831,1.066598773,-11.994690690770266,-0.24082103226644153,-140.88230785352945,17.121249479353814,-0.24082103226644153,-140.88230785352945,29.11594017012408,0.0,0.0,-3.513964112095046,-0.08278513250691034,-1.890594679196049,-4.662559952906739,-0.018032732689757577,-1.8671739830324419,-1.1485958417607653,0.06475239981715276,0.023420696339863628,0.538889,0.538889,-1.6500000001199524,-13.499999998897946,-11.850000002215738,-11.850000002215738,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0051422,200.0000000001819,194.46929329858813,0.9723464664920564,0.9633906015660232,False,-5.380500166130009e-06,7.999995998846546,1.4580185947465907e-09,7.999995998848355,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.4261168094537677,-7.871856621321205,5.236271712,3.9093634269999997,-1.6500000001199524,-13.499999998897946,-11.850000002215738,-11.850000002215738,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,674.6276346384,79.73243948832001,129.16838771808003,674.6276346384,79.73243948832001,129.16838771808003,670.3398085063254,85.38264097078071,675.75561725186,-172.74119821573618,125.96839165942659,687.3963121407512,-10.5593765008514,687.3963121407512,False,13.921975478104514,-3.009936015736173,-16.1948245298514,-20.104187956851398,29.84549035837904,28.784051396470133,23.881152193365264,-655.9048041032976,-162.58702962308237,0.6272732559060622,-0.7044972538381975,-4.9981567
15178,29470975773700,9.9635,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.925,14.84142916,9.548607478,190.302428,-16.510506001702893,2.4339302559364895,6.193812318018217,-61.5989822992718,-2.0135162090387158,-11.378354185783463,-30.53660129904,3.5550760424880004,-3.0360362878848,30.74284607832,3.0360362878848,31.00739458656,5.640006447,173.3595094187896,674.4749423352,79.75024901328,129.18357910248,46.95547194,39.34838168,129.21978623352,46.949405,39.347334,4.444492046736,30.915575628720003,-0.5082494883504001,2.3296751611128004,4.30943792,-0.9391906395,-3.886016061,-3.577801488,581.6272529646036,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1298097517,-0.001592166372,1.066626716,-11.991063633106291,-0.2103022041655641,-140.88599867645027,17.14735111000557,-0.2103022041655641,-140.88599867645027,29.138414743111863,0.0,0.0,-3.4200105190752534,-0.08410816744160188,-1.893735428761723,-4.568450118138217,-0.01863069752625599,-1.8704248561993329,-1.1484395983850542,0.06547746991534589,0.02331057269797177,0.538889,0.538889,-1.6500000001199524,-13.499999998897946,-11.850000002215738,-11.850000002215738,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0099635,200.0000000001819,100.36633713052642,0.5018316856521757,0.9543728144916392,False,-5.376216945185419e-06,7.999996001883831,2.183459413274136e-09,7.999996001885638,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.430745253035932,-7.871016696828959,5.2391695579999995,3.908601030999999,-1.6500000001199524,-13.499999998897946,-11.850000002215738,-11.850000002215738,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,674.4749423352,79.75024901328,129.18357910248,674.4749423352,79.75024901328,129.18357910248,670.1871162031255,85.4004504957407,675.6063999619431,-172.7380637972455,125.98358304382656,687.2524069554779,-10.562901260644317,687.2524069554779,False,13.90242678396487,-3.0404917972455223,-16.202907707644318,-20.111508738644318,29.842274538560986,28.780024249745093,23.879493672127985,-655.8153926577072,-162.32738038530158,0.6264277283739141,-0.7048978517966091,-4.9881932
15179,29470976660100,0.8864,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.93,14.76377881,9.552472146,190.3358215,-16.815901857178837,2.423819551621051,6.136883099713726,-60.355995168035065,-2.0336216086129815,-11.396334970763798,-30.532145458320002,3.5423589360960004,-3.03793974072,30.73695191688,3.03793974072,31.00501870104,5.644594866,173.38209547236946,674.3222722824,79.76799480456,129.19877999664,46.95547056,39.34838191,129.23497115616001,46.949405,39.347334,4.444492046736,30.913045087680004,-0.5159787734760001,2.3299341124872,4.310266602,-0.9535479113,-3.977431544,-3.57683482,581.5372730303096,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299953663,-0.001362464913,1.066636282,-11.98755844336991,-0.17996195588204827,-140.8872622827645,17.171741585421703,-0.17996195588204827,-140.8872622827645,29.15930003323983,0.0,0.0,-3.3278065209896153,-0.08526157047459863,-1.8968727413288977,-4.476104409960619,-0.019064322110046515,-1.8736736739462145,-1.148297888564258,0.06619724836455211,0.023199066447168917,0.538889,0.538889,-1.6500000001199524,-13.499999998897946,-11.850000002215738,-11.850000002215738,15.15000000130973,15.15000000130973,0,0,True,0.005000000000009663,0.0008864,199.99999999961346,1128.158844765343,5.6407942238376165,0.96266619985256,False,-5.378291050406325e-06,7.999995969745241,-3.9034109278190954e-10,7.999995969747049,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.4353324470735256,-7.8701814837539175,5.242205544,3.9078772799999992,-1.6500000001199524,-13.499999998897946,-11.850000002215738,-11.850000002215738,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,674.3222722824,79.76799480456,129.19877999664,674.3222722824,79.76799480456,129.19877999664,670.0344461503255,85.4181962870207,675.4571987068473,-172.73493359539455,125.99878393798657,687.1085218790063,-10.566428031198239,687.1085218790063,False,13.882970932235992,-3.0707550953945884,-16.21102289719824,-20.11890017719824,29.839059084144118,28.775993774529553,23.877838147406937,-655.7256332946112,-162.06887771957503,0.6255865253758224,-0.705300045588825,-4.9873068
15180,29470979937900,3.2778,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.935,14.68451285,9.556401076,190.3689135,-17.1472592267635,2.4106019842344737,6.0781314000657485,-66.7773750808473,-2.7721900784458517,-11.829628052361938,-30.527683917840005,3.529724186664,-3.0399264478464003,30.7310663508,3.0399264478464003,31.002639249359998,5.649337126,173.40453639573977,674.16962448,79.78567722792,129.21399055296,46.95546919,39.34838215,129.25016580192,46.949405,39.347334,4.444492046736,30.91051668024,-0.5237055546696,2.3300922954576,4.310909392,-0.9679029251,-4.102542256,-3.592717481,581.4471671709344,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1300788479,-0.00195856757,1.067964888,-11.996076133874555,-0.25869851558443135,-141.06275196505223,17.18265153395926,-0.25869851558443135,-141.06275196505223,29.17872766783381,0.0,0.0,-3.8064958400469524,-0.150993068867658,-1.9672724466972933,-4.954665415763143,-0.08406157760502517,-1.9442195378452578,-1.148169575173864,0.06693149130330739,0.023052908946942487,0.538889,0.538889,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0032778,200.0000000001819,305.08267740557693,1.5254133870264972,0.9663313182625489,False,-5.388959017027517e-06,7.99999597872653,-2.1693273843936822e-09,7.999995978728346,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.4398777437221086,-7.869351174269632,5.245491684,3.9070639500000004,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,674.16962448,79.78567722792,129.21399055296,674.16962448,79.78567722792,129.21399055296,669.8817983479255,85.4358787103807,675.3080135233593,-172.7318075824085,126.01399449430657,686.9646569782733,-10.569956825412582,686.9646569782733,False,13.863656021851739,-3.1007210824084837,-16.21929395141258,-20.126357901412582,29.835829445684254,28.77193351848069,23.876207573502995,-655.6353916816834,-161.8120709442628,0.62475159295931,-0.7057090421107101,-4.984029
15181,29470983551700,3.6138,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.94,14.60352752,9.560383804,190.4016928,-17.478356611019034,2.3967174177709767,6.018947822020536,-65.44327241950741,-2.782844934530313,-11.846650187277774,-30.52322737608,3.51715340256,-3.0419329291776003,30.72519776208,3.0419329291776003,31.000263120000003,5.654114535,173.42686845712905,674.0169992328,79.80329661864,129.2292111372,46.95546782,39.34838238,129.26537044512,46.949405,39.347334,4.444492046736,30.907994064,-0.531397412184,2.3302001608248,4.311458735,-0.9821955419,-4.203126763,-3.593302638,581.3571925034689,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302393063,-0.00172969439,1.067891926,-11.993063673646496,-0.22846767095568513,-141.0531147594761,17.203738043840218,-0.22846767095568513,-141.0531147594761,29.19680171748671,0.0,0.0,-3.707511826195999,-0.15123792470818206,-1.9702161416823565,-4.855565437447251,-0.08357276582102394,-1.9473169432669415,-1.148053611115671,0.06766515891427448,0.02289919913399846,0.538889,0.538889,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0036138,200.0000000001819,276.7170291659749,1.3835851458286161,0.9693254218436229,False,-5.401638044966184e-06,7.999995963501271,-2.204973093000717e-09,7.999995963503094,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.444379616458091,-7.868526122750402,5.248925069,3.906269269000001,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,674.0169992328,79.80329661864,129.2292111372,674.0169992328,79.80329661864,129.2292111372,669.7291731007255,85.4534981011007,675.1588447468464,-172.72868573632786,126.02921507854656,686.8208126529152,-10.573487669121963,686.8208126529152,False,13.844445806543092,-3.1303785363278394,-16.227602204121965,-20.133871473121964,29.83259854485469,28.767867813492714,23.87458177664395,-655.5447722554446,-161.5565449260834,0.6239215025475945,-0.7061198378831107,-4.9804152
15182,29470991489500,7.9378,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.945,14.52085068,9.56441985,190.4341584,-17.802835163906913,2.382786813002726,5.959678999314563,-64.1338814278715,-2.7900445399833482,-11.863735760080685,-30.51877683888,3.50464639176,-3.0439522861752,30.719347126080002,3.0439522861752,30.997890648240002,5.658914188,173.449092229495,673.8643959312001,79.820853312,129.24444177984,46.95546644,39.34838261,129.28058514672,46.949405,39.347334,4.444492046736,30.905477178,-0.5390508962928,2.3302640868336,4.311926374,-0.9964193536,-4.301723764,-3.593103284,581.2673614767805,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1303891795,-0.001502107018,1.067797353,-11.990191470294187,-0.19840666298678683,-141.04062295216062,17.223434782497254,-0.19840666298678683,-141.04062295216062,29.21362625279144,0.0,0.0,-3.610356058278383,-0.1512884716350228,-1.9731596875274453,-4.758305087156373,-0.08289366581502335,-1.9504148422063583,-1.1479490287424083,0.06839480587423215,0.022744844941458134,0.538889,0.538889,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,0,0,True,0.0049999999999954525,0.0079378,200.0000000001819,125.97949053894025,0.6298974526941284,0.9640210098988634,False,-5.3582410126651325e-06,7.999995984767573,1.926958148601443e-09,7.999995984769368,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.4488379399988942,-7.8677064284621645,5.252493476000001,3.9055056620000004,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.8643959312001,79.820853312,129.24444177984,673.8643959312001,79.820853312,129.24444177984,669.5765697991255,85.4710547944607,675.009691805711,-172.7255680253516,126.04444572118656,686.6769883495457,-10.577020574564889,686.6769883495457,False,13.825339745153428,-3.1597264253516073,-16.235934762564888,-20.14144042456489,29.82936738670185,28.763798908155614,23.87295887244042,-655.4537771524487,-161.30229399555705,0.623096254012546,-0.7065318845332226,-4.9724774
15183,29470995609700,4.1202,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.95,14.43651505,9.568509183,190.4663095,-18.12081745828824,2.3688272515204667,5.900324628280199,-62.848736463139495,-2.7938825057954406,-11.880878949519476,-30.514332428160003,3.492204983064,-3.0459837531816,30.713514595200003,3.0459837531816,30.99552146832,5.663734638,173.4712041032036,673.7118151848,79.83834764328,129.25968254184,46.95546507,39.34838284,129.29580999816,46.949405,39.347334,4.444492046736,30.902965534560003,-0.5466658631304,2.3302852036824,4.312314433,-1.010574087,-4.398357692,-3.592127647,581.1776597267911,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1305292372,-0.001275801909,1.067681748,-11.98745545369485,-0.1685150235468937,-141.02535318596418,17.241842742353924,-0.1685150235468937,-141.02535318596418,29.229298196048777,0.0,0.0,-3.5149945920359498,-0.15115080893080252,-1.9761026069846421,-4.662849528504144,-0.08202999686099119,-1.953512558110352,-1.1478549366037756,0.06912081213760224,0.022590048494661244,0.538889,0.538889,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,0,0,True,0.005000000000009663,0.0041202,199.99999999961346,242.70666472501335,1.2135333236274122,0.9660602867122591,False,-5.3847855750466245e-06,7.99999597158965,-7.016900394063441e-10,7.999995971591463,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.4532526165340687,-7.866892185188632,5.25619475,3.9047745449999995,-1.1999999997747157,-13.800000001419933,-12.450000001530139,-12.450000001530139,15.15000000130973,15.15000000130973,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.7118151848,79.83834764328,129.25968254184,673.7118151848,79.83834764328,129.25968254184,669.4239890527255,85.4885491257407,674.8605553378325,-172.72245443075175,126.05968648318655,686.533184709324,-10.580555537967506,686.533184709324,False,13.806341466044614,-3.1887639307517475,-16.244290175967507,-20.149064720967505,29.826135845221753,28.759726817122164,23.87133887170983,-655.3623986448049,-161.0493576311795,0.6222760062274354,-0.7069451171701934,-4.9683572
15184,29470998799500,3.1898,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.955,14.3505433,9.572646915,190.4981431,-18.437531900201346,2.3516606779551847,5.8402314568169045,-62.735489578762724,-3.5591235103072583,-12.054802379527388,-30.50988564,3.479828664408,-3.048091083384,30.707691696000005,3.048091083384,30.99315353808,5.668695242,173.4932032761139,673.559256384,79.85577994776,129.27493360608003,46.9554637,39.34838307,129.31104515184,46.949405,39.347334,4.444492046736,30.900461907360004,-0.5542543559544001,2.3301978534888,4.312501461,-1.024682056,-4.522683541,-3.595467865,581.0880111238893,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1305829498,-0.001327676216,1.068944767,-11.961648731239745,-0.17536687102574067,-141.19217973424506,17.244803056079988,-0.17536687102574067,-141.19217973424506,29.206451787319736,0.0,0.0,-3.532578253308032,-0.22000609027863757,-2.0045669662533117,-4.654652517573033,-0.1503084426290491,-1.9821704861516867,-1.1220742641294186,0.06969764766314664,0.022396480616835763,0.526667,0.526667,-1.0500000002325944,-13.800000001419933,-12.74999999832255,-12.74999999832255,15.000000000048734,15.000000000048734,0,0,True,0.0049999999999954525,0.0031898,200.0000000001819,313.4992789516584,1.5674963947568665,0.9698728856509512,False,-5.366192753042398e-06,7.999995966718815,2.74884559559041e-11,7.999995966720615,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.457623246214433,-7.8660835422044935,5.260145454,3.903951673,-1.0500000002325944,-13.800000001419933,-12.74999999832255,-12.74999999832255,15.000000000048734,15.000000000048734,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.559256384,79.85577994776,129.27493360608003,673.559256384,79.85577994776,129.27493360608003,669.2714302519255,85.5059814302207,674.7114347717869,-172.71934492067427,126.07493754742659,686.3894012070632,-10.584092584084804,686.3894012070632,False,13.787451803211866,-3.2174880206742955,-16.252787826084806,-20.156739499084804,29.82289553274318,28.755631579187984,23.869738326451525,-655.2706348988166,-160.7977464117733,0.6214606298898486,-0.7073646406002897,-4.9651674
15185,29471002195300,3.3958,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.96,14.26294653,9.576820902,190.5296526,-18.74858858442276,2.3338778298395435,5.779921306236592,-61.48196111271538,-3.5522866203700936,-12.072154818882538,-30.50542812288,3.467524924728,-3.0502099676400003,30.70187086944,3.0502099676400003,30.99077106888,5.67367862,173.51507387729495,673.4067198336,79.87315053024001,129.29019527736,46.95546233,39.3483833,129.32629091256,46.949405,39.347334,4.444492046736,30.897946636800004,-0.5618041422264001,2.3300560504704,4.312589731,-1.038721156,-4.619320999,-3.593024102,580.997824825679,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1303489084,-0.001103481148,1.068741303,-11.959449730643131,-0.14575393735767353,-141.16530513612324,17.214125628817047,-0.14575393735767353,-141.16530513612324,29.1735753639084,0.0,0.0,-3.4391623437910983,-0.21891717797370572,-2.007464429202155,-4.561579585255035,-0.14868162677200472,-1.985269077914075,-1.1224172418706815,0.07023555116102645,0.022195351193172463,0.526667,0.526667,-1.0500000002325944,-13.800000001419933,-12.74999999832255,-12.74999999832255,15.000000000048734,15.000000000048734,0,0,True,0.0049999999999954525,0.0033958,200.0000000001819,294.4814182225102,1.4724070911112117,0.9732628735191494,False,-5.379711581543489e-06,7.999995981738862,-9.264233824524126e-10,7.99999598174067,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.4619489351184103,-7.865280740822368,5.264231171,3.903142282,-1.0500000002325944,-13.800000001419933,-12.74999999832255,-12.74999999832255,15.000000000048734,15.000000000048734,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.4067198336,79.87315053024001,129.29019527736,673.4067198336,79.87315053024001,129.29019527736,669.1188937015255,85.52335201270071,674.5623304394055,-172.7162394756408,126.09019921870656,686.245638227927,-10.58763173385246,686.245638227927,False,13.768686647064214,-3.245892075640768,-16.26131035385246,-20.16445263585246,29.819637200345344,28.75151590208095,23.868155006681178,-655.1784435877418,-160.5476399882163,0.6206506697903883,-0.7077850390832853,-4.9617716
15186,29471005802700,3.6074,True,udp,127.0.0.1:57678,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,109.965,14.17375568,9.581030817,190.5608372,-19.053424929423024,2.3161366729978656,5.719524332496796,-60.2510608699416,-3.5418690049091577,-12.089536100933094,-30.5009614008,3.455295653784,-3.052333679928,30.696053730960003,3.052333679928,30.98837457888,5.678672046,173.5368127554789,673.2542058384,79.89045978696001,129.30546755568,46.95546096,39.34838352,129.34154728032001,46.949405,39.347334,4.444492046736,30.895419753360002,-0.5693138713776,2.329866799236,4.312592137,-1.052688879,-4.713986523,-3.589807987,580.9071185478564,-5.385638127864e-06,7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130134706,-0.0008805717277,1.068514079,-11.957383238120217,-0.11631081935384835,-141.13529209524074,17.18605012651285,-0.11631081935384835,-141.13529209524074,29.14343336463307,0.0,0.0,-3.3474535460087274,-0.21763012738287726,-2.0103580009534863,-4.470189796521908,-0.1468448912490017,-1.9883629880370879,-1.1227362499708538,0.07078523616099192,0.02199501183174402,0.526667,0.526667,-1.0500000002325944,-13.800000001419933,-12.74999999832255,-12.74999999832255,15.000000000048734,15.000000000048734,0,0,True,0.005000000000009663,0.0036074,199.99999999961346,277.20796141265174,1.3860398070659377,0.9762196440314109,False,-5.398129940992202e-06,7.999996012198413,7.244675970241587e-10,7.999996012200234,-5.385638127864e-06,7.9999959888,0.0,jsbsim_total_wind,7.999995988801813,1.4662295857520322,-7.864483875163743,5.26843868,3.9023587710000003,-1.0500000002325944,-13.800000001419933,-12.74999999832255,-12.74999999832255,15.000000000048734,15.000000000048734,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,673.2542058384,79.89045978696001,129.30546755568,673.2542058384,79.89045978696001,129.30546755568,668.9663797063255,85.54066126942071,674.413242684185,-172.71313806845586,126.10547149702656,686.1018961125852,-10.591172983016417,686.1018961125852,False,13.750049176065204,-3.2739752684558425,-16.269845029016416,-20.17220380001642,29.816362102732267,28.74738225419422,23.866586878966466,-655.0858175257171,-160.2990754323315,0.6198463059333343,-0.7082057793980006,-4.9581642
