event_monotonic_ns,event,value_json,session_time_s
29626655853600,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_1.31deg_22.0px"",""count"":2,""operator_like"":true,""tracker_state_preserved"":true}",-4.7957046
29626656171100,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":981,""pixel_y"":530,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-4.7953871
29626656227600,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":2,""operator_like"":true,""control_interruption"":false}",-4.7953306
29629467960800,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_0.94deg_15.8px"",""count"":3,""operator_like"":true,""tracker_state_preserved"":true}",-1.9835974
29629468188200,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":967,""pixel_y"":535,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-1.98337
29629468231000,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":3,""operator_like"":true,""control_interruption"":false}",-1.9833272
29631450053100,HUNTER_ATTACK_PITCH_THRESHOLD,"{""frame_pitch_deg"":-25.014537811279297,""frame_pitch_abs_deg"":25.014537811279297,""camera_pitch_down_deg"":25.014537811279297,""attack_angle_deg"":25.0,""source"":""camera_pitch_threshold_gimbal"",""sole_transition_condition"":true}",-0.0015051
29631450111400,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.3485886720968603,""effective_s"":0.0,""confidence"":0.45749346982146094,""candidate_s"":0.4,""fit_score"":3.9247569456751803,""excitation"":0.5441353581663998,""samples"":322,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9996107480448385}",-0.0014468
29631451023000,HUNTER_ATTACK_STATE_COMMIT,"{""roll_reinit"":false,""pitch_reinit"":false,""estimator_state_preserved"":true,""transition_condition"":""camera_pitch_only""}",-0.0005352
29631451521100,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.721202486230402,""hold_pitch_pwm"":1986,""uav_pitch_deg"":9.721202486230402,""frame_pitch_deg"":-25.014537811279297}",-3.71e-05
