truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15429,48186299230500,5.4482,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0116667,1.209549949,9.117023974,185.4833565,0.10857258456160664,0.028025373816492314,0.2963642182751204,-1.0174300997768237,-0.19612523305207982,0.3387551725408891,-30.545848595760003,-3.194003302608,-2.7387035446800003,30.712383878640004,2.7387035446800003,30.83425078248,5.095736253,185.9693966219358,640.4180390496,49.54323676296,128.79007203072,46.9551656,39.34798485,128.82245837184,46.949405,39.347334,4.444492046736,30.7572477564,0.30611278975440004,2.1561603197256,4.010017747,0.5688239081,0.004797130469,-0.06027964992,575.1718334365765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272076086,-0.009018515865,0.9906673576,-11.858497167604153,-1.1912158164509643,-130.85286347773362,16.80458491068305,-1.1912158164509643,-130.85286347773362,28.663082078287204,0.0,0.0,1.061150560894333,-0.14656224361014947,0.05895750033080009,-0.0758052884557418,-0.017784151319116932,0.0556246719008044,-1.1369558493771912,0.12877809222324166,-0.0033328284286398787,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0054482,199.99999999961346,183.54685951323373,0.9177342975679423,0.9612880519994573,False,1.8417518916470407e-08,2.125011553020855e-08,2.605781945348397e-09,2.82411492795966e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.107006227,4.021287721,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,640.4180390496,49.54323676296,128.79007203072,640.4180390496,49.54323676296,128.79007203072,636.1302129175255,55.193438245420694,638.5201354787861,-175.04118621700107,125.59007597206657,650.7540476973745,-11.127423274234028,650.7540476973745,False,-1.010582838936898,-0.5245427170010544,-16.223159527234028,-20.244447248234028,30.707606707348543,29.601769327330242,21.983619982355474,-638.4208165749329,11.261632903056679,-0.04860582647541203,-0.7583798915231531,-5.0046494
15430,48186303452200,4.2217,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0166667,1.210321041,9.117132047,185.4848633,0.10353588991504917,0.027047699868696966,0.29805620670459615,-0.9933313316206497,-0.19474390268289865,0.3378930654637971,-30.544267019040003,-3.1944555557039997,-2.7386122134936004,30.710857927920003,2.7386122134936004,30.832722728640004,5.09581907,185.97054265211762,640.2653150472,49.52726698032,128.80378080696,46.95516422,39.34798464,128.83615166424002,46.949405,39.347334,4.444492046736,30.75572418312,0.3059335643064,2.1560672450832,4.010043202,0.5685190321,0.005273090898,-0.06200307129,575.114069255735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1274420214,-0.009012491202,0.9905731824,-11.857268808997985,-1.1904200456175917,-130.84042433736204,16.83535849070443,-1.1904200456175917,-130.84042433736204,28.692627304150637,0.0,0.0,1.062703332957165,-0.14655313386935465,0.05882817878129614,-0.07401032981897163,-0.017658322573578755,0.05548087630323485,-1.1367136627354621,0.12889481124154314,-0.0033473024821287414,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0042217,200.0000000001819,236.8714025155743,1.1843570125767944,0.9631557428006849,False,6.003196809233596e-09,1.2633340600468367e-08,1.483099733933873e-09,1.4065534169686893e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.107088845,4.021312977,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,640.2653150472,49.52726698032,128.80378080696,640.2653150472,49.52726698032,128.80378080696,635.9774889151255,55.177468462780695,638.3666026921754,-175.04142932432956,125.60378474830655,650.6060483701705,-11.131217265579695,650.6060483701705,False,-1.011971976447171,-0.5262926243295851,-16.227036335579694,-20.248349312579695,30.706067841795974,29.5997066112012,21.980151929072377,-638.2670345084827,11.274399873038632,-0.04868192008992788,-0.7586909724670098,-5.0004277
15431,48186307173100,3.7209,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0216667,1.211068543,9.117235049,185.4863785,0.09861842337388338,0.02607655570316876,0.29974384019646266,-0.9698339743437129,-0.1935416632787276,0.33700963020466873,-30.542696811360003,-3.194909707704,-2.7385180851576,30.70934346816,2.7385180851576,30.831205891440003,5.095894817,185.97169011469393,640.1125989696001,49.511294942160006,128.81748909552002,46.95516285,39.34798443,128.84984446896001,46.949405,39.347334,4.444492046736,30.75421176552,0.30574984153440005,2.155976241252,4.01007105,0.5682055613,0.005751275484,-0.06371603921,575.0567264211724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1276596696,-0.00900634375,0.9904803784,-11.856044742925675,-1.189608055678566,-130.82816623961023,16.863932224967087,-1.189608055678566,-130.82816623961023,28.719976967892762,0.0,0.0,1.0642314780783653,-0.14655025777274083,0.05869508405823288,-0.07226016182124438,-0.017548741435122563,0.05533364900841447,-1.1364916399538423,0.12900151636473461,-0.0033614350498184127,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0037209,200.0000000001819,268.75218361149183,1.343760918056237,0.9659672080319437,False,2.068974585672852e-09,-2.4215084528621178e-08,2.0922104070534914e-09,2.4393202310312023e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.107163999,4.021340232,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,640.1125989696001,49.511294942160006,128.81748909552002,640.1125989696001,49.511294942160006,128.81748909552002,635.8247728375255,55.16149642462071,638.2130776172597,-175.04167281184888,125.61749303686658,650.458059369366,-11.135012810075802,650.458059369366,False,-1.0133629265428112,-0.5280513118489125,-16.2309076270758,-20.2522478590758,30.70454045772273,29.597655388448192,21.976675207294843,-638.1132595520694,11.28717969768421,-0.04875814846601496,-0.7590021864231297,-4.9967068
15432,48186317001500,9.8284,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0266667,1.211793039,9.117333009,185.4879022,0.09381724239876087,0.02511106491793469,0.3014270120659785,-0.9469074600746847,-0.19250946159074153,0.3361048956405767,-30.54113714976,-3.195365670216,-2.7384210993216,30.707839737360004,2.7384210993216,30.82969950888,5.095963514,185.97283900966474,639.959890512,49.495320618,128.8311968964,46.95516147,39.34798422,128.86353681648,46.949405,39.347334,4.444492046736,30.752709680640002,0.30556164186,2.1558872558064,4.010101298,0.5678835473,0.006230100934,-0.06541870539,574.9997757259307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278618425,-0.009000073803,0.9903888948,-11.854824364429085,-1.188779886223059,-130.81608260111017,16.89047530158016,-1.188779886223059,-130.81608260111017,28.745299666009245,0.0,0.0,1.065735695859995,-0.14655356935807964,0.058558247765726684,-0.07055250798999207,-0.01745458767456415,0.05518299152130116,-1.1362882038093125,0.12909898175130638,-0.0033752562444255233,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0098284,199.99999999961346,101.7459606853608,0.5087298034277872,0.9571526498248852,False,6.057907039721718e-09,-2.663698430031549e-08,-9.863745510352544e-10,2.733496122316792e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.107231710999999,4.021369494999999,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,639.959890512,49.495320618,128.8311968964,639.959890512,49.495320618,128.8311968964,635.6720643799255,55.145522100460695,638.0595599477908,-175.04191668018598,125.63120083774656,650.310080396039,-11.138809913831102,650.310080396039,False,-1.0147556898507446,-0.5298188801859851,-16.2347734278311,-20.256142922831103,30.70302372757694,29.595614857847675,21.97319040403719,-637.9594913994698,11.29997230519907,-0.04883451024146733,-0.7593135149836385,-4.9868784
15433,48186322800500,5.799,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0316667,1.212495102,9.117425958,185.4894344,0.08912955290369785,0.024150395360552256,0.30310561602947267,-0.9245233437508685,-0.19163873465010067,0.3351788983262286,-30.539587394160005,-3.19582336704,-2.7383212069128002,30.706346004,2.7383212069128002,30.82820281896,5.096025181,185.9739892797342,639.8071899792,49.47934400784,128.84490424008,46.9551601,39.34798401,128.87722867632002,46.949405,39.347334,4.444492046736,30.751217257920004,0.3053689866192,2.155800239064,4.010133944,0.5675530413,0.006708106623,-0.06711119888,574.9431898782626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1280497309,-0.008993681695,0.9902986845,-11.8536071352734,-1.1879355812884649,-130.80416710538714,16.91514399546544,-1.1879355812884649,-130.80416710538714,28.76875113073884,0.0,0.0,1.0672166511951766,-0.14656300802030875,0.05841770099268312,-0.06888525023929949,-0.017375085452198947,0.05502890683825261,-1.1361019015429414,0.1291879225681098,-0.0033887941584979635,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.005799,200.0000000001819,172.4435247456458,0.8622176237274448,0.9560642170356961,False,-9.888890029094422e-09,1.814700804927342e-08,-1.9233749784002385e-09,2.075580445213949e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.107292014,4.021400777,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,639.8071899792,49.47934400784,128.84490424008,639.8071899792,49.47934400784,128.84490424008,635.5193638471254,55.1295454903007,637.9060499874744,-175.04216093197323,125.64490818142657,650.1621117556307,-11.142608575214455,650.1621117556307,False,-1.0161502117074406,-0.5315953319732216,-16.238633756214455,-20.260034533214455,30.70151700703734,29.59358439699484,21.969697993787232,-637.8057303564484,11.312777514803535,-0.04891100377281963,-0.7596249427430337,-4.9810794
15434,48186325059700,2.2592,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0366667,1.21317529,9.117513918,185.4909749,0.08455269877094769,0.02319375673314591,0.30477954568868265,-0.902655178213399,-0.1909213701765669,0.33423168111886736,-30.53804684352,-3.196282718928,-2.7382183612968,30.704861628000003,2.7382183612968,30.8267151816,5.096079845,185.9751409821982,639.6544973712,49.46336514216,128.85861103512,46.95515873,39.3479838,128.89092004848,46.949405,39.347334,4.444492046736,30.7497338268,0.3051718965384,2.1557151392088003,4.010168981,0.5672140939,0.007183965629,-0.06879362785,574.8869449380384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282244351,-0.008987167778,0.9902097006,-11.85239257060246,-1.1870751866914662,-130.79241361389535,16.938082709241222,-1.1870751866914662,-130.79241361389535,28.790475284291905,0.0,0.0,1.068674974810419,-0.14657849959618638,0.05827347420433147,-0.06725641917580578,-0.017309499765558976,0.05487139920297898,-1.135931394013341,0.1292689998170692,-0.0034020750081315827,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0022592,200.0000000001819,442.6345609065156,2.213172804530565,0.9617187868690977,False,-1.4280790498473434e-09,1.9323603035930195e-08,2.0191424941442074e-11,1.9376311613835715e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.107344937000001,4.021434073,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,639.6544973712,49.46336514216,128.85861103512,639.6544973712,49.46336514216,128.85861103512,635.3666712391255,55.1135666246207,637.7525477389906,-175.0424055647506,125.65861497646655,650.0141534346598,-11.14640878717148,650.0141534346598,False,-1.017546546948779,-0.5333804647506213,-16.24248863217148,-20.26392270517148,30.700019590835947,29.591563324078273,21.966198484206195,-637.6519764275708,11.325595153727427,-0.048987627392352205,-0.7599364535651171,-4.9788202
15435,48186331288500,6.2288,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0416667,1.213834147,9.117596908,185.4925237,0.08008415222530982,0.022240398409437825,0.30644869521830354,-0.8812783388821568,-0.19034968050892404,0.33326329369393376,-30.536514888240003,-3.1967436588240004,-2.7381125231544,30.703385999760002,2.7381125231544,30.82523595672,5.096127532,185.97629405976093,639.5018120784001,49.44738392952,128.872317312,46.95515735,39.34798359,128.904610872,46.949405,39.347334,4.444492046736,30.748258747200005,0.30497039325840003,2.1556319053392,4.010206395,0.5668667551,0.007656462386,-0.07046608131,574.8310169651287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1283869717,-0.00898053243,0.9901218985,-11.85118023449055,-1.186198752696967,-130.78081621050003,16.959424822832638,-1.186198752696967,-130.78081621050003,28.810605052874966,0.0,0.0,1.0701112666551644,-0.1465999581268546,0.058125597404922937,-0.06566418102861946,-0.01725713407673147,0.0547104741472175,-1.135775447697342,0.1293428240636813,-0.003415123256349621,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0062288,200.0000000001819,160.54456717184692,0.8027228358585045,0.9597624501698527,False,3.2981376144818447e-09,-1.5227941876905262e-08,6.18065309836927e-10,1.559326554181929e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.1073905129999995,4.021469376,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,639.5018120784001,49.44738392952,128.872317312,639.5018120784001,49.44738392952,128.872317312,635.2139859463256,55.0975854119807,637.5990525871641,-175.0426505822368,125.67232125334657,649.8662048370062,-11.150210563721991,649.8662048370062,False,-1.0189446419977344,-0.5351742822367669,-16.246338095721992,-20.26780747172199,30.69853086579783,29.58955104310395,21.96269229939743,-637.4982289974517,11.338425162333259,-0.049064380156175424,-0.7602480351273398,-4.9725914
15436,48186338104300,6.8158,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0466667,1.214472208,9.117674944,185.4940809,0.07572150506787552,0.021289607360640696,0.30811295873573497,-0.8603698862458983,-0.18991637206632742,0.33227379180022143,-30.534990979680003,-3.1972061196720003,-2.7380036589576,30.701918509680002,2.7380036589576,30.82376459568,5.096168274,185.97744851242234,639.3491347104,49.431400430880004,128.88602307072,46.95515598,39.34798338,128.91830114688003,46.949405,39.347334,4.444492046736,30.74679147048,0.30476449808472,2.155550487468,4.010246166,0.5665110745,0.008124488175,-0.07212863059,574.7753848922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285382791,-0.008973776055,0.990035235,-11.849969731045945,-1.1853063335732712,-130.76936924595975,16.97929349415155,-1.1853063335732712,-130.76936924595975,28.829263225197494,0.0,0.0,1.0715260977999332,-0.14662728680691195,0.05797410013773062,-0.06410682772473103,-0.01721732750581569,0.05454613840938337,-1.1356329254704314,0.12940995935532898,-0.003427961732414694,0.53,0.53,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.005000000000009663,0.0068158,199.99999999961346,146.71792012676428,0.7335896006352391,0.9567208147120434,False,-2.360449392150562e-10,-1.5730458919234846e-08,1.867765528696284e-09,1.5842714511511285e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.107428777999999,4.021506669999999,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,639.3491347104,49.431400430880004,128.88602307072,639.3491347104,49.431400430880004,128.88602307072,635.0613085783255,55.081601913340705,637.4455651446285,-175.04289598397753,125.68602701206656,649.7182665653112,-11.154013895329802,649.7182665653112,False,-1.0203444963998436,-0.5369768839775588,-16.250182169329804,-20.2716888393298,30.697050279519868,29.587547020167303,21.959179857743994,-637.3444886814804,11.351267325601363,-0.049141260349748736,-0.76055967414491,-4.9657756
15437,48186342693200,4.5889,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0516667,1.215089991,9.117748038,185.4956464,0.071462460597323,0.02034070625896743,0.3097722309313341,-0.8080047139464215,-0.1896100629275852,0.33128327410963404,-30.533474569200003,-3.19767004356,-2.7378917394456,30.700458670080003,2.7378917394456,30.82230058032,5.096202101,185.97860434018244,639.1964646576,49.41541461576,128.89972825032,46.95515461,39.34798317,128.9319909036,46.949405,39.347334,4.444492046736,30.745331448,0.30455423293248,2.1554708346936002,4.010288268,0.5661471015,0.008587033669,-0.07378133085,574.7200290884044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286792241,-0.008966899083,0.9899496687,-11.848760713307362,-1.1843979844783268,-130.7580671599975,16.997414098891873,-1.1843979844783268,-130.7580671599975,28.846174812199234,0.0,0.0,1.0729200121988858,-0.14666037906906765,0.057819011593514935,-0.060206048918742636,-0.017191230505015337,0.05437844851352688,-1.1331260610633958,0.12946914860472686,-0.003440563077276422,0.528889,0.528889,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0045889,200.0000000001819,217.9171479003683,1.0895857395008504,0.9579291327177771,False,-5.478451660779966e-09,-2.6918736175912907e-08,3.1183990755321933e-10,2.747233215502186e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.10745977,4.021545937,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,639.1964646576,49.41541461576,128.89972825032,639.1964646576,49.41541461576,128.89972825032,634.9086385255255,55.0656160982207,637.292084801477,-175.04314176823596,125.69973219166657,649.5703380109576,-11.157818788027802,649.5703380109576,False,-1.0217461084183697,-0.5387881682359534,-16.254020889027803,-20.275566826027802,30.695577280401594,29.585550719019604,21.95566153829848,-637.1907548695877,11.364121582328785,-0.049218267107428305,-0.7608713598183676,-4.9611867
15438,48186346044700,3.3515,True,udp,127.0.0.1:49869,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.0566667,1.215688337,9.117816197,185.4972203,0.06746197759847238,0.01939259388526536,0.31142650424205803,-0.7890942625446093,-0.18966087093409667,0.33025053235163027,-30.53196422424,-3.1981352780880004,-2.7377765841768,30.69900501792,2.7377765841768,30.820842447600004,5.09622892,185.97976154304126,639.0438022248001,49.39942648416,128.9134328508,46.95515323,39.34798296,128.94568005072,46.949405,39.347334,4.444492046736,30.743877247200004,0.30433963215264004,2.1553928952000003,4.010332797,0.5657749257,0.009085075945,-0.07540721003,574.6648954489912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1287766083,-0.008959907284,0.9898651288,-11.847551917979859,-1.1834744687269634,-130.74690065583005,17.010207522322204,-1.1834744687269634,-130.74690065583005,28.857759440302065,0.0,0.0,1.0742508826902226,-0.1466993733423342,0.05765972302357528,-0.05879750969121042,-0.01719537175603126,0.05420723294867753,-1.1330483923543166,0.12950400154562844,-0.003452490069474463,0.528889,0.528889,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,0,0,True,0.0049999999999954525,0.0033515,200.0000000001819,298.37386244964944,1.4918693122468902,0.9614843034318643,False,-1.5104090615484706e-09,2.4197789576126464e-08,1.1808119559215804e-10,2.4245170634014e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.1074834,4.021587277,-7.500000000024367,-5.849999997612584,1.6500000001199524,1.6500000001199524,13.499999998897946,13.499999998897946,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,639.0438022248001,49.39942648416,128.9134328508,639.0438022248001,49.39942648416,128.9134328508,634.7559760927255,55.049627966620704,637.1386118614159,-175.04338793764856,125.71343679214657,649.4224194734772,-11.161625237541895,649.4224194734772,False,-1.023149480689824,-0.5406082376485983,-16.257854157541892,-20.279441434541894,30.694110428022558,29.583560762256706,21.952138374837666,-637.0370278649922,11.37698789791284,-0.049295398104859625,-0.7611830515276516,-4.9578352
