recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
48637985056300,target_offset,225,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.0}",-5.0023389
48637998808000,gimbal,2314,"{""imu_roll"":0.0,""imu_pitch"":21.81884765625,""imu_yaw"":-2.099106788635254,""frame_roll"":0.0,""frame_pitch"":21.81884765625,""frame_yaw"":-2.099106788635254,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9885872
48637999310000,fov,2314,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9880852
48638011672500,attitude,972,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111070,""roll"":-0.032591063529253006,""pitch"":0.15754248201847076,""yaw"":-3.0289366245269775,""rollspeed"":-0.03090602159500122,""pitchspeed"":-0.0056110527366399765,""yawspeed"":-0.011160919442772865}",-4.9757227
48638022324500,range,1009,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94916915893555,""y"":39.34855651855469}",-4.9650707
48638027407100,target_offset,226,"{""x_angle_offset"":-0.1875,""y_angle_offset"":0.0}",-4.9599881
48638035439300,gimbal,2315,"{""imu_roll"":0.0,""imu_pitch"":21.81884765625,""imu_yaw"":-2.166388511657715,""frame_roll"":0.0,""frame_pitch"":21.81884765625,""frame_yaw"":-2.166388511657715,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9519559
48638035950000,fov,2315,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9514452
48638041571300,range,1010,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94916915893555,""y"":39.34855651855469}",-4.9458239
48638062697900,target_offset,227,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.0}",-4.9246973
48638065618400,position,486,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543491,""lon"":393492382}",-4.9217768
48638066052000,vfr,486,"{""message_type"":""VFR_HUD"",""airspeed"":29.78211212158203,""alt"":190.55999755859375}",-4.9213432
48638074780400,gimbal,2316,"{""imu_roll"":0.0,""imu_pitch"":21.81884765625,""imu_yaw"":-2.1961705684661865,""frame_roll"":0.0,""frame_pitch"":21.81884765625,""frame_yaw"":-2.1961705684661865,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9126148
48638075063400,fov,2316,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9123318
48638080579400,attitude,973,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111130,""roll"":-0.03399692475795746,""pitch"":0.15747025609016418,""yaw"":-3.0296285152435303,""rollspeed"":-0.014928176067769527,""pitchspeed"":-0.003576739225536585,""yawspeed"":-0.010629633441567421}",-4.9068158
48638103075800,target_offset,228,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.0}",-4.8843194
48638113784800,gimbal,2317,"{""imu_roll"":0.0,""imu_pitch"":21.81884765625,""imu_yaw"":-2.230292558670044,""frame_roll"":0.0,""frame_pitch"":21.81884765625,""frame_yaw"":-2.230292558670044,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8736104
48638114091200,fov,2317,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.873304
48638122582800,attitude,974,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111170,""roll"":-0.03441419452428818,""pitch"":0.15748406946659088,""yaw"":-3.0300850868225098,""rollspeed"":-0.004463742487132549,""pitchspeed"":-0.0022157756611704826,""yawspeed"":-0.01025062333792448}",-4.8648124
48638142443900,target_offset,229,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.0}",-4.8449513
48638152594800,gimbal,2318,"{""imu_roll"":0.0,""imu_pitch"":21.81884765625,""imu_yaw"":-2.2592954635620117,""frame_roll"":0.0,""frame_pitch"":21.81884765625,""frame_yaw"":-2.2592954635620117,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8348004
48638153371700,fov,2318,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8340235
48638165387700,vfr,487,"{""message_type"":""VFR_HUD"",""airspeed"":29.740692138671875,""alt"":190.9099884033203}",-4.8220075
48638165488700,position,487,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543491,""lon"":393492382}",-4.8219065
48638178967500,range,1011,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.949119567871094,""y"":39.348567962646484}",-4.8084277
48638180566200,target_offset,230,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.806829
48638189631000,gimbal,2319,"{""imu_roll"":0.0,""imu_pitch"":21.853010177612305,""imu_yaw"":-2.2522659301757812,""frame_roll"":0.0,""frame_pitch"":21.853010177612305,""frame_yaw"":-2.2522659301757812,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7977642
