truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15529,48792238826700,5.6171,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.645,-2.377175172,10.03760033,186.0485957,-0.17574048675888262,-0.13872204566751087,-1.1974252787042556,24.754548444444666,0.9545824967387947,1.7790958063940638,-24.106426967136,-3.376856373528,-2.6927181153912,24.341794923120002,2.6927181153912,28.436332635984,6.312461688,187.9741713634362,645.55926006,46.42646534856,140.17219105968,46.95521183,39.3479439,140.20507291416,46.949405,39.347334,4.444492046736,28.341844767048002,0.30143399274168003,2.2965161611368,4.632508561,0.6073645033,0.6342011772,0.1276637525,488.6545779259422,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05980320965,-0.00573011615,0.9553659281,-9.739242317548262,-0.7568656631446042,-126.19005404699371,7.897804066506847,-0.7568656631446042,-126.19005404699371,17.637046384055107,0.0,0.0,2.5729282662614184,-0.007975606864810303,0.29264769946709795,1.8440957813965804,0.08464338826385641,0.2890937692626148,-0.7288324848648382,0.09261899512731091,-0.00355393015974118,0.292222,0.292222,-10.35000000106495,-6.150000000134573,4.050000000242342,4.050000000242342,16.50000000119952,16.50000000119952,0,0,True,0.0049999999999954525,0.0056171,200.0000000001819,178.0278079436008,0.8901390397171944,0.9605878721851775,False,3.999997992246726,-1.0983077967929855e-08,-1.8270609469794863e-09,3.999997992246726,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.977729530887563,0.4214875256861473,5.405091769,3.725138642,-10.35000000106495,-6.150000000134573,4.050000000242342,4.050000000242342,16.50000000119952,16.50000000119952,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.55926006,46.42646534856,140.17219105968,645.55926006,46.42646534856,140.17219105968,641.2714339279255,52.0766668310207,643.3824921461625,-175.35728592955994,136.97219500102656,657.8011959578715,-12.018490191247652,657.8011959578715,False,-3.331457292996106,-1.4058816295599286,-18.330951879247653,-22.056090521247654,24.300658788897692,23.207301834379866,28.344578816283963,-642.2952153545524,37.388334181343815,-0.12597166518300867,-0.6701413468823983,-4.997103
15530,48792245330700,6.504,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.65,-2.378847524,10.03667052,186.0425682,-0.05285771064948594,-0.1341034600964566,-1.1885347441634122,24.3287832605111,0.8806407680635113,1.7767297422286457,-24.10141964568,-3.3741027006000004,-2.6902743234792004,24.3364540956,2.6902743234792004,28.430825140776005,6.308151878,187.96938647829748,645.4387415304001,46.4095889688,140.18566087272,46.95521075,39.34794368,140.21853038280003,46.949405,39.347334,4.444492046736,28.336225943640002,0.30209042459112,2.2975767136512,4.635553582,0.6088051254,0.628862128,0.1259687579,488.4646795519977,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05982284688,-0.005746933588,0.9556859425,-9.73154578654668,-0.7590870040446347,-126.23232331737493,7.900447359926613,-0.7590870040446347,-126.23232331737493,17.63199314647329,0.0,0.0,2.541335233697541,-0.014319922613097084,0.2922530414707715,1.8123742918611883,0.0781894751330586,0.28874378533210404,-0.7289609422430982,0.09250939774615569,-0.0035092562498445193,0.292222,0.292222,-10.35000000106495,-6.150000000134573,4.050000000242342,4.050000000242342,16.50000000119952,16.50000000119952,0,0,True,0.005000000000009663,0.006504,199.99999999961346,153.75153751537516,0.7687576875783615,0.958124587550342,False,3.9999979912077244,-8.496018201464839e-09,-1.2007176364292604e-09,3.9999979912077244,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.977773849246718,0.42106906731909544,5.4011169379999995,3.728518641999999,-10.35000000106495,-6.150000000134573,4.050000000242342,4.050000000242342,16.50000000119952,16.50000000119952,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.4387415304001,46.4095889688,140.18566087272,645.4387415304001,46.4095889688,140.18566087272,641.1509153983255,52.059790451260696,643.2610030912335,-175.35791530339384,136.98566481406658,657.6851757965142,-12.021841760974956,657.6851757965142,False,-3.3273017816912898,-1.4004835033938434,-18.329993638974955,-22.058512280974956,24.295429495458826,23.20224613937247,28.345754624181485,-642.1766411027205,37.33469860555508,-0.1258108612010097,-0.6700747138776638,-4.990599
15531,48792248984100,3.6534,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.655,-2.379883346,10.03576511,186.036586,0.07910437669124024,-0.129645631929588,-1.1790124841193492,26.595770240462805,0.8564126890625542,1.9286116565992995,-24.096399830472002,-3.371360427192,-2.6878408825752,24.3311026458,2.6878408825752,28.425307919399998,6.303866914,187.96463006916122,645.3182482992,46.392726366000005,140.19911849376,46.95520966,39.34794346,140.23197565944002,46.949405,39.347334,4.444492046736,28.330597400160002,0.3027615198504,2.2986336747072,4.638594154,0.6102760732,0.6253779757,0.130920199,488.2744847992501,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595679972,-0.005440728598,0.9559149502,-9.751786542707265,-0.718641742950341,-126.26257193607415,7.86574550201814,-0.718641742950341,-126.26257193607415,17.617532044725404,0.0,0.0,2.7020849808424825,-0.016270439896840166,0.3168667458450933,1.981234994816243,0.07607888480311095,0.3134019491462603,-0.7208499858906577,0.09234932469995112,-0.0034647966703607665,0.288889,0.288889,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,0,0,True,0.0049999999999954525,0.0036534,200.0000000001819,273.71763288991076,1.368588164448309,0.9611020074026433,False,3.999997990669593,1.4606877776768279e-08,-7.564368020851475e-10,3.999997990669593,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9778177910019474,0.42065374929080374,5.397170956,3.7318981959999995,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.3182482992,46.392726366000005,140.19911849376,645.3182482992,46.392726366000005,140.19911849376,641.0304221671255,52.04292784846071,643.1395404442205,-175.35854387404902,136.99912243510659,657.5691811747206,-12.025192994975633,657.5691811747206,False,-3.323173943210236,-1.3951298740490188,-18.329059908975633,-22.060958104975633,24.29018873992513,23.197177449969026,28.346947924718258,-642.0580707520527,37.28139301253918,-0.1256510530469335,-0.6700086442957272,-4.9869456
15532,48792252118100,3.134,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.66,-2.380245941,10.0348833,186.0306517,0.21112760740069073,-0.1255182678280761,-1.1693752010790401,26.13860255185147,0.7823089319335124,1.9258485882587617,-24.091373715048,-3.36861730644,-2.6854216362072,24.325745005512,2.6854216362072,28.419786001056,6.299614615,187.95987171196842,645.1977800616,46.375877448720004,140.21256395328,46.95520858,39.34794324,140.24540883552,46.949405,39.347334,4.444492046736,28.324964647392,0.30343479561840003,2.2996829042064,4.641621057,0.6117520897,0.6196517795,0.1295891333,488.0841669942369,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05950033902,-0.005457959661,0.9562281631,-9.744113218077848,-0.7209177177978944,-126.30394284361797,7.856922347686953,-0.7209177177978944,-126.30394284361797,17.6010355657648,0.0,0.0,2.6682450623699077,-0.02255667437151227,0.3164135006503289,1.947174991839387,0.06962190805251892,0.31299029298915204,-0.7210700698526115,0.0921785824240312,-0.003423207558134688,0.288889,0.288889,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,0,0,True,0.0049999999999954525,0.003134,200.0000000001819,319.0810465858328,1.5954052329277129,0.9650530548548043,False,3.999997991205592,2.066420896895682e-08,2.144310062845989e-09,3.999997991205592,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9778613380679047,0.42024175221964916,5.393262243000001,3.7352686850000003,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.1977800616,46.375877448720004,140.21256395328,645.1977800616,46.375877448720004,140.21256395328,640.9099539295255,52.026078931180706,643.018103893584,-175.3591716469165,137.01256789462659,657.4532117922763,-12.028543900948916,657.4532117922763,False,-3.319043358884926,-1.3898233469165007,-18.328158515948918,-22.063427200948915,24.284941704018475,23.19210003075503,28.348153505738075,-641.9395239342141,37.22807470195699,-0.12549110923111026,-0.6699435605359935,-4.9838116
15533,48792255386600,3.2685,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.665,-2.379944704,10.03402333,186.0247654,0.3408813000298771,-0.1217597819191828,-1.1597516357942623,25.68923050408237,0.7089965263494137,1.9231322761390957,-24.086342579568,-3.3658726921680002,-2.6830169038056,24.320382354312,2.6830169038056,28.414260598848003,6.295395442,187.95510940136685,645.0773371224,46.35904224744,140.22599737320002,46.9552075,39.34794302,140.25882991104,46.949405,39.347334,4.444492046736,28.319328995976,0.30410913291336,2.3007234191688,4.644632096,0.6132308963,0.6137480171,0.1283772989,487.8937673139809,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944249738,-0.005475165473,0.9565366173,-9.736466587226346,-0.7231903573688807,-126.34468517296533,7.849388412530073,-0.7231903573688807,-126.34468517296533,17.585854995308196,0.0,0.0,2.634976044939926,-0.02878601278658978,0.3159711544693058,1.9136963324149625,0.06322823524186705,0.3125858324290592,-0.7212797118470543,0.09201424802845684,-0.003385322128374795,0.288889,0.288889,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,0,0,True,0.005000000000009663,0.0032685,199.99999999961346,305.95074193054916,1.5297537096557023,0.9687205287583305,False,3.9999979914911457,4.4155255840561125e-09,1.737596511119932e-09,3.9999979914911457,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.97790449074468,0.41983308316202234,5.3893912340000005,3.738627888,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.0773371224,46.35904224744,140.22599737320002,645.0773371224,46.35904224744,140.22599737320002,640.7895109903254,52.0092437299007,642.8966937452522,-175.35979862095795,137.0260013145466,657.3372679719527,-12.031894483181553,657.3372679719527,False,-3.3149080223248006,-1.3845640209579528,-18.327289925181553,-22.065917813181553,24.27968961138073,23.18701500913551,28.34937001217995,-641.8210022019052,37.17472207184165,-0.12533096296936486,-0.6698795122853994,-4.9805431
15534,48792261742300,6.3557,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.67,-2.378990907,10.03318343,186.0189272,0.46840412900078754,-0.11836617638989252,-1.1501415544982352,25.24750884662487,0.6364950703316403,1.9204631654285078,-24.081306835512,-3.36312717264,-2.680626553392,24.315015182928,2.680626553392,28.408732176072004,6.291208981,187.95034439786366,644.9569191768,46.342220792640006,140.239418784,46.95520641,39.3479428,140.27223900792,46.949405,39.347334,4.444492046736,28.313690961024,0.30478470111264,2.3017546115184,4.647625956,0.6147128265,0.6076752136,0.1272825046,487.70330203777013,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05939379956,-0.005492351745,0.9568400588,-9.728848567336271,-0.7254604156368636,-126.38476542900747,7.843055328176891,-0.7254604156368636,-126.38476542900747,17.571903895513163,0.0,0.0,2.602267751783018,-0.03495607425796452,0.3155396938794262,1.880788175422655,0.05689983244276225,0.3121886080049383,-0.7214795766315262,0.09185590670072678,-0.0033510858392366604,0.288889,0.288889,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,0,0,True,0.0049999999999954525,0.0063557,200.0000000001819,157.33908145444246,0.7866954072714969,0.9664357770222803,False,3.999997988410588,2.030966716332072e-08,-1.252482895175433e-09,3.999997988410588,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9779472493268764,0.41942774917351733,5.385557474,3.7419744489999998,-10.500000002325946,-5.999999998873578,4.349999999899541,4.349999999899541,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.9569191768,46.342220792640006,140.239418784,644.9569191768,46.342220792640006,140.239418784,640.6690930447255,51.99242227510071,642.7753096975517,-175.36042479073774,137.03942272534658,657.2213494232211,-12.03524474920533,657.2213494232211,False,-3.310769188601398,-1.3793519907377458,-18.32645373020533,-22.068428179205327,24.274432919811037,23.181922857064446,28.350596862716237,-641.7025044474859,37.12134887915352,-0.1251706633229356,-0.6698164976185333,-4.9741874
15535,48792272018400,10.2761,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.675,-2.377386475,10.03236594,186.0131374,0.5991688375159356,-0.11290286573426445,-1.1402133200518119,26.10682884500697,1.1456153603769978,1.9973440839409742,-24.07627157304,-3.3603915072960002,-2.6781949034928,24.309650017128,2.6781949034928,28.403201784288004,6.286923918,187.94560013543264,644.8365262248,46.32541302336,140.2528281552,46.95520533,39.34794257,140.2856360652,46.949405,39.347334,4.444492046736,28.30804684836,0.3054690637368,2.3028338851536003,4.650718654,0.6162131182,0.6277998842,0.1295423809,487.51280659699614,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05926477394,-0.005347204574,0.9559077202,-9.733003348668017,-0.7062885689097146,-126.26161694737557,7.82610562436413,-0.7062885689097146,-126.26161694737557,17.559108973032146,0.0,0.0,2.666422710177191,0.011591713748295967,0.32799770654860105,1.9447524217525802,0.10329178047524881,0.3247002789319817,-0.7216702877467018,0.09170006672152958,-0.003297427600349564,0.288889,0.288889,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,0,0,True,0.0049999999999954525,0.0102761,200.0000000001819,97.3131830169033,0.486565915084074,0.9567720073723531,False,3.9999979879180283,1.8746197649743834e-08,2.1445569764466654e-09,3.9999979879180283,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9779896126408723,0.41902577119473716,5.381647286,3.7454420219999998,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.8365262248,46.32541302336,140.2528281552,644.8365262248,46.32541302336,140.2528281552,640.5487000927254,51.9756145058207,642.6539517452126,-175.36105016114107,137.05283209654658,657.1054561327445,-12.038594695974442,657.1054561327445,False,-3.3066502965737072,-1.3741875611410705,-18.32551861397444,-22.070960635974444,24.269177572793552,23.17684099895107,28.35181274973943,-641.5840154819177,37.06821781305819,-0.12501112982821008,-0.6697498766557387,-4.9639113
15536,48792272589200,0.5708,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.68,-2.375119699,10.03157923,186.007397,0.7287661720827747,-0.10733329277896536,-1.130232121386807,25.658650021953274,1.069658842230913,1.9947032108823617,-24.071232674304,-3.3576569270400003,-2.675773901172,24.304281568632,2.675773901172,28.397669219280004,6.282662535,187.94085747728343,644.716158876,46.3086189396,140.26622539536,46.95520425,39.34794235,140.29902099144002,46.949405,39.347334,4.444492046736,28.302400440552002,0.3061559707704,2.303912948172,4.653812511,0.617719176,0.6230442281,0.1287131524,487.3222752460279,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05923413661,-0.00536469291,0.9562357127,-9.725243070202465,-0.7085985259462978,-126.30494000145747,7.822145559485372,-0.7085985259462978,-126.30494000145747,17.547388629687838,0.0,0.0,2.6332128931821055,0.005096874847338204,0.3275521171154637,1.911360462818498,0.09664572780727593,0.32430917724613373,-0.7218524298212804,0.09154885296942844,-0.0032429397581529703,0.288889,0.288889,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,0,0,True,0.005000000000009663,0.0005708,199.99999999961346,1751.927119831815,8.759635599176004,0.9656695989582018,False,3.9999979886687917,1.5061409452954422e-08,6.899338877985883e-10,3.9999979886687917,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9780315743985137,0.4186272187668923,5.377766719,3.748916695,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.716158876,46.3086189396,140.26622539536,644.716158876,46.3086189396,140.26622539536,640.4283327439255,51.9588204220607,642.5326204955014,-175.36167473603462,137.06622933670658,656.9895886735183,-12.041944304097264,656.9895886735183,False,-3.3025322133180453,-1.3690717360345843,-18.324606839097264,-22.073523534097262,24.263918756348534,23.171753898798098,28.353036699030184,-641.4655483178079,37.01511477964253,-0.12485161328868163,-0.6696839893959526,-4.9633405
15537,48792275660500,3.0713,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.685,-2.372200897,10.03082188,186.001706,0.8561384840668761,-0.10214214337856017,-1.1202640251206608,25.218061835442725,0.9943595628257073,1.9921112781597363,-24.066190017384,-3.354923078304,-2.6733685518552,24.298909663704002,2.6733685518552,28.392134788896,6.278436552,187.93611562127518,644.5958165208,46.291838510880005,140.27961053496,46.95520316,39.34794213,140.3123938476,46.949405,39.347334,4.444492046736,28.29675251484,0.3068449364232,2.3049861523248003,4.65689604,0.6192300161,0.6180788353,0.1280009627,487.1317175609172,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592109815,-0.005382185606,0.956560278,-9.717503720619614,-0.710909058582758,-126.34781040450777,7.819168164588305,-0.710909058582758,-126.34781040450777,17.53667188520792,0.0,0.0,2.600561167461638,-0.0013515806355801122,0.3271178833355527,1.8785346188896515,0.09005097199616731,0.3239256840038664,-0.7220265485719862,0.09140255262022297,-0.003192199328974667,0.288889,0.288889,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,0,0,True,0.0049999999999954525,0.0030713,200.0000000001819,325.5950249080194,1.6279751245386165,0.9697130396408946,False,3.9999979964994044,-7.768250723239056e-09,1.796947368681856e-09,3.9999979964994044,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.978073135630266,0.4182320920025244,5.373925839999999,3.752385328,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.5958165208,46.291838510880005,140.27961053496,644.5958165208,46.291838510880005,140.27961053496,640.3079903887254,51.9420399933407,642.4113153380146,-175.36229851320343,137.07961447630657,656.873746453069,-12.04529358672186,656.873746453069,False,-3.2984141344786053,-1.3640045132034402,-18.32373013872186,-22.07611546672186,24.258656320292896,23.166660361723014,28.354270153603363,-641.3471028593266,36.962030900184836,-0.12469208322618641,-0.6696192614792381,-4.9602692
15538,48792281674900,6.0144,True,udp,127.0.0.1:55591,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.69,-2.368641119,10.03009205,185.9960645,0.981323433411156,-0.09732607936634291,-1.1103087860274377,24.784924581176128,0.9197423289420783,1.9895686730925668,-24.061143913176004,-3.35219053716,-2.6709787683696002,24.293534692488002,2.6709787683696002,28.386598849752,6.27424569,187.9313758852107,644.4754994640001,46.27507176768,140.29298369592001,46.95520208,39.34794191,140.32575469464,46.949405,39.347334,4.444492046736,28.291103482704,0.307536125592,2.3060527993152,4.659967762,0.6207459674,0.6129122998,0.1274036341,486.9411459905314,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05919479222,-0.005399688061,0.956881116,-9.709787363894293,-0.7132208803138422,-126.39018847838973,7.817105595396854,-0.7132208803138422,-126.39018847838973,17.526892959291146,0.0,0.0,2.5684576165633137,-0.0077509010686107535,0.3266949888034707,1.8462644610143826,0.08350994847058724,0.32354982740619304,-0.7221931554133493,0.09126084953784216,-0.003145161437952201,0.288889,0.288889,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,0,0,True,0.0049999999999954525,0.0060144,200.0000000001819,166.26762436818305,0.8313381218401591,0.9680683392022891,False,3.9999979981370215,-1.2434704217689774e-08,-2.0868342609503543e-09,3.9999979981370215,3.9999979944,0.0,0.0,jsbsim_total_wind,3.9999979944,3.9781142966284753,0.41784039795614764,5.370124288,3.7558463600000005,-10.64999999785736,-5.999999998873578,4.50000000001462,4.50000000001462,16.650000002460516,16.650000002460516,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,644.4754994640001,46.27507176768,140.29298369592001,644.4754994640001,46.27507176768,140.29298369592001,640.1876733319256,51.92527325014069,642.290036578683,-175.36292149160758,137.0929876372666,656.7579297941958,-12.048642548132126,656.7579297941958,False,-3.2942973768182924,-1.3589859916075966,-18.322888238132126,-22.078734598132126,24.25339062098468,23.161560751317595,28.355512689568414,-641.2286786141581,36.908980085973006,-0.12453258854132443,-0.6695556923067332,-4.9542548
