recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
49095939924300,fov,2312,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9966149
49095940231700,gimbal,2312,"{""imu_roll"":0.0,""imu_pitch"":18.602270126342773,""imu_yaw"":-0.3955078125,""frame_roll"":0.0,""frame_pitch"":18.602270126342773,""frame_yaw"":-0.3955078125,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9963075
49095967048600,target_offset,238,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.9694906
49095972587700,range,1012,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94751739501953,""y"":39.348514556884766}",-4.9639515
49095988620600,fov,2313,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9479186
49095988916000,gimbal,2313,"{""imu_roll"":0.0,""imu_pitch"":18.649322509765625,""imu_yaw"":-0.3955078125,""frame_roll"":0.0,""frame_pitch"":18.649322509765625,""frame_yaw"":-0.3955078125,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9476232
49095991113800,range,1013,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94751739501953,""y"":39.348514556884766}",-4.9454254
49095991251600,attitude,986,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":0.0030056482646614313,""pitch"":0.1727226972579956,""yaw"":-3.0601580142974854,""rollspeed"":-0.00041692762169986963,""pitchspeed"":0.00839003175497055,""yawspeed"":0.003466023365035653}",-4.9452876
49096017225300,target_offset,239,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.9193139
49096029802000,attitude,987,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111710,""roll"":0.0030359395314007998,""pitch"":0.1727440059185028,""yaw"":-3.060063600540161,""rollspeed"":-0.0003487997455522418,""pitchspeed"":0.008308393880724907,""yawspeed"":0.003836051793769002}",-4.9067372
49096030257300,vfr,493,"{""message_type"":""VFR_HUD"",""airspeed"":30.032527923583984,""alt"":170.5399932861328}",-4.9062819
49096030375900,position,493,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543689,""lon"":393492715}",-4.9061633
49096031139000,fov,2314,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9054002
49096031412800,gimbal,2314,"{""imu_roll"":0.0,""imu_pitch"":18.689945220947266,""imu_yaw"":-0.3955078125,""frame_roll"":0.0,""frame_pitch"":18.689945220947266,""frame_yaw"":-0.3955078125,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9051264
49096061493500,target_offset,240,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.8750457
49096075635700,fov,2315,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8609035
49096075969100,gimbal,2315,"{""imu_roll"":0.0,""imu_pitch"":18.731626510620117,""imu_yaw"":-0.3955078125,""frame_roll"":0.0,""frame_pitch"":18.731626510620117,""frame_yaw"":-0.3955078125,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8605701
49096088279500,attitude,988,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":0.003113563172519207,""pitch"":0.1727854311466217,""yaw"":-3.0598952770233154,""rollspeed"":0.00016685330774635077,""pitchspeed"":0.00854461919516325,""yawspeed"":0.004266777075827122}",-4.8482597
49096105552300,target_offset,241,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.8309869
49096114722600,range,1014,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94751739501953,""y"":39.348514556884766}",-4.8218166
49096118681700,fov,2316,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8178575
49096118943100,gimbal,2316,"{""imu_roll"":0.0,""imu_pitch"":18.775257110595703,""imu_yaw"":-0.3955078125,""frame_roll"":0.0,""frame_pitch"":18.775257110595703,""frame_yaw"":-0.3955078125,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8175961
