truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15296,49666220778800,12.4717,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.505,4.218065094,9.272087591,189.1735335,-11.686632672140803,0.6926887660987463,0.8843878020357702,-18.750598440153986,-2.4154801405996813,-7.400355718120952,-30.55264490424,-0.27071215094952,-2.8213099767744003,30.553844200800004,2.8213099767744003,30.978423163680002,5.275671913,180.50765678739887,655.779831948,64.85919353256,128.24916697080002,46.95530377,39.34818605,128.28325345584,46.949405,39.347334,4.444492046736,30.894330032400003,-0.49228473552000007,2.2272690779904,4.123498337,-0.9105377896,-1.738529767,-0.3722873756,580.5932347220848,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1365880864,0.00504749565,1.02792017,-11.916440934521923,0.6667013444101415,-135.77342253000123,18.04116149952765,0.6667013444101415,-135.77342253000123,29.95760243404958,0.0,0.0,-0.2301704049839761,-0.32981149810679167,-1.217412780305858,-1.395156846115718,-0.20168019569030385,-1.2134824997148048,-1.1649864408605783,0.12813130238937143,0.003930280662911661,0.55,0.55,-3.9000000001272626,-9.750000001750552,-5.699999999789336,-5.699999999789336,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0124717,200.0000000001819,80.18153098615265,0.4009076549303986,0.9901445291198158,False,-2.712484975082863e-06,3.999997987734238,-2.421105149696956e-09,3.9999979877351577,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6376977626703159,-3.948838502483553,5.148589254,3.996415678,-3.9000000001272626,-9.750000001750552,-5.699999999789336,-5.699999999789336,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.779831948,64.85919353256,128.24916697080002,655.779831948,64.85919353256,128.24916697080002,651.4920058159255,70.5093950150207,655.296427906823,-173.8230595443908,125.04917091214658,667.1212060587321,-10.803770373312643,667.1212060587321,False,5.669283668210369,-2.9965930443908064,-16.07944228631264,-20.075857964312643,30.40439534406357,29.336631800049375,22.740211303248838,-652.0911584103127,-64.73429964507619,0.2639048336889637,-0.7274883742094578,-4.9940522
15297,49666226713800,5.935,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.51,4.160186194,9.275200758,189.1781787,-11.77965850655828,0.6807187575882444,0.8473895709420018,-18.40291693002826,-2.3638251649571296,-7.398630840137866,-30.550551172080002,-0.27437105665176,-2.8229336677104,30.55178320416,2.8229336677104,30.97701078144,5.279045051,180.51455307930837,655.6270753320001,64.85783260056,128.26329335352,46.9553024,39.34818604,128.2973640804,46.949405,39.347334,4.444492046736,30.892956573120003,-0.49310516781360003,2.2264947662040004,4.122252374,-0.9120969898,-1.75507742,-0.3590908175,580.5395068470754,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1365875163,0.005071334022,1.027470959,-11.917628903275824,0.6698500496628771,-135.71408814669743,18.041086400202122,0.6698500496628771,-135.71408814669743,29.958715303477945,0.0,0.0,-0.2043015265190273,-0.32611177340877956,-1.2170118710397173,-1.3693048117906321,-0.19756197134408926,-1.2132154948255314,-1.16500328567835,0.1285498020511321,0.0037963762304556604,0.55,0.55,-3.9000000001272626,-9.750000001750552,-5.699999999789336,-5.699999999789336,13.800000001419933,13.800000001419933,0,0,True,0.005000000000009663,0.005935,199.99999999961346,168.49199663016006,0.8424599831524285,0.9884120777568611,False,-2.698159230089814e-06,3.999998011588465,-3.662358472045213e-10,3.999998011589375,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6380179088428154,-3.9487867887753976,5.152948384,3.9961557070000007,-3.9000000001272626,-9.750000001750552,-5.699999999789336,-5.699999999789336,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.6270753320001,64.85783260056,128.26329335352,655.6270753320001,64.85783260056,128.26329335352,651.3392491999256,70.5080340830207,655.144411880751,-173.8217404171452,125.06329729486656,666.9745338083302,-10.807410192786312,666.9745338083302,False,5.66370650354645,-2.9999191171451685,-16.08645524378631,-20.08261095078631,30.40263805303704,29.334063060305976,22.737202563352408,-651.9461826416921,-64.65582230163491,0.2636894493869475,-0.7279171501446847,-4.9881172
15298,49666230335000,3.6212,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.515,4.101846984,9.278266293,189.1826309,-11.85177437229317,0.6652162522763768,0.8115393816848729,-13.49927871378881,-3.218261630338073,-7.123948198193836,-30.54846100608,-0.27800907291648,-2.8246061449343998,30.54972601752,2.8246061449343998,30.97560412944,5.282508673,180.5214110976372,655.4743290792,64.85645344152,128.27742790488,46.95530103,39.34818602,128.31148290408,46.949405,39.347334,4.444492046736,30.8915956716,-0.4938649732536,2.2256378429496,4.120852192,-0.9135440094,-1.799253875,-0.3351574915,580.4859944332311,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368324752,0.005661259184,1.028506028,-11.886361953202213,0.747770651301178,-135.85080583940226,18.073442225996715,0.747770651301178,-135.85080583940226,29.959804179198922,0.0,0.0,0.1610034887451353,-0.40499354555097883,-1.172282412332641,-1.0040166162616093,-0.27603818891669313,-1.1686593870694566,-1.1650201050067446,0.1289553566749602,0.0036230252442027914,0.55,0.55,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0036212,200.0000000001819,276.1515519717221,1.3807577598573546,0.991233170641796,False,-2.697087363265349e-06,3.9999980146397847,-2.4874390602835916e-09,3.999998014640694,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6383247495614184,-3.9487371993219083,5.157414101,3.99575762,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.4743290792,64.85645344152,128.27742790488,655.4743290792,64.85645344152,128.27742790488,651.1865029471254,70.5066549239807,654.9924045430419,-173.82042236033018,125.07743184622656,666.8278743171459,-10.811052162828274,666.8278743171459,False,5.658166542032632,-3.003053260330148,-16.093560835828274,-20.089318455828273,30.400882276837468,29.331486060296115,22.734200133820767,-651.8011644523552,-64.57779825628684,0.26347575526846184,-0.7283503121289763,-4.984496
15299,49666237730300,7.3953,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.52,4.043135734,9.281269112,189.186894,-11.918744332182651,0.6492489865194109,0.7759213480508375,-13.247602155054649,-3.1585647090374387,-7.123102541136113,-30.54637894776,-0.28159830331992003,-2.8262641401960003,30.54767690808,2.8262641401960003,30.974197965120002,5.2859444,180.52817841674704,655.3215934944001,64.85505620784001,128.29157083824,46.95529965,39.348186,128.32561007928,46.949405,39.347334,4.444492046736,30.89023769616,-0.4945869191808,2.2247555984352,4.119404771,-0.9149211046,-1.81488951,-0.3214960583,580.4325026078983,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136828416,0.00568172508,1.027997448,-11.88798392159445,0.7504739009656296,-135.78362977517733,18.072906357635166,0.7504739009656296,-135.78362977517733,29.960890279229613,0.0,0.0,0.17971930003443012,-0.40056852509243424,-1.1719508059720924,-0.9853175924389871,-0.2712102312951024,-1.1685063168500716,-1.1650368924734174,0.1293582937430991,0.0034444892047259365,0.55,0.55,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0073953,200.0000000001819,135.2210187551553,0.6761050937751616,0.986640170535465,False,-2.6886365069207774e-06,3.9999980192282947,-8.318326027989542e-10,3.9999980192291984,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6386185541041753,-3.9486896937547735,5.161864341,3.9953247120000004,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.3215934944001,64.85505620784001,128.29157083824,655.3215934944001,64.85505620784001,128.29157083824,651.0337673623255,70.50525769030071,654.8404062120467,-173.8191053643574,125.09157477958657,666.6812279409066,-10.81469629754068,666.6812279409066,False,5.652716218895534,-3.0059993643574217,-16.10064069754068,-20.095965409540682,30.399129524900015,29.328914142263955,22.731193685080775,-651.6560453049881,-64.50082344762498,0.2632662222674092,-0.7287825466372713,-4.9771007
15300,49666245890500,8.1602,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.525,3.984062021,9.2842097,189.1909683,-11.984466693661968,0.6335818406391969,0.7403078218757763,-13.001086949108055,-3.0980958325321004,-7.122122720281082,-30.544305606720005,-0.2851356890112,-2.8279010844456,30.54563645496,2.8279010844456,30.97279186176,5.289339912,180.5348491924684,655.1688682728,64.85364114336001,128.30572197072001,46.95529828,39.34818598,128.33974551456,46.949405,39.347334,4.444492046736,30.888881610480002,-0.4952734086384,2.2238552366088,4.117923534,-0.9162327253,-1.829896404,-0.3078393247,580.3790155705914,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368239346,0.00570114805,1.027480375,-11.889660878902296,0.7530393949893446,-135.71533186946107,18.072314708574563,0.7530393949893446,-135.71533186946107,29.961975583028636,0.0,0.0,0.1980522558582205,-0.39608184081336334,-1.1716002046020881,-0.9670013928980565,-0.2663206757457377,-1.1683308939380812,-1.165053648756277,0.12976116505406748,0.003269310639602159,0.55,0.55,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0081602,199.99999999961346,122.5460160290189,0.6127300801462787,0.9806358019926437,False,-2.701966564259972e-06,3.9999979761012794,5.8003019054453375e-11,3.999997976102192,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.638899343614872,-3.9486442716380212,5.166286166,3.994869788,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.1688682728,64.85364114336001,128.30572197072001,655.1688682728,64.85364114336001,128.30572197072001,650.8810421407254,70.50384262582071,654.6884166099193,-173.81778940593097,125.10572591206657,666.534594375407,-10.818342587193706,666.534594375407,False,5.6473614016006195,-3.008757705930975,-16.107682499193707,-20.102552287193706,30.397380069073684,29.326348809924433,22.72818204187228,-651.510818772828,-64.42496305907063,0.2630611263970997,-0.7292133027448052,-4.9689405
15301,49666249905900,4.0154,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.53,3.924632045,9.287089204,189.1948542,-12.0489670851333,0.6182185348506986,0.7046994758121409,-12.759642041496221,-3.0369220701156396,-7.121007790248381,-30.542241104880002,-0.28862091351648,-2.8295165546208,30.543604780080003,2.8295165546208,30.97138588032,5.292694385,180.54142285184352,655.0161534144,64.8522085224,128.31988124136,46.95529691,39.34818596,128.35388905752,46.949405,39.347334,4.444492046736,30.887527384080002,-0.49592455044000006,2.2229380358016,4.116410838,-0.9174790619,-1.844286415,-0.2941889471,580.3255352365208,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368190618,0.005719531021,1.026955454,-11.891388714968976,0.7554675199227816,-135.64599748362622,18.07167136673057,0.7554675199227816,-135.64599748362622,29.963060081699545,0.0,0.0,0.21600910683407124,-0.39153933059468826,-1.1712305549389823,-0.9490612675635802,-0.2613753676065197,-1.1681330241041386,-1.1650703742620694,0.13016396301528488,0.0030975309202603374,0.55,0.55,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0040154,200.0000000001819,249.04119141305975,1.2452059570641663,0.9827435848117285,False,-2.700734564931029e-06,3.999997968259535,-1.523403903025411e-09,3.9999979682604465,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6391671461075389,-3.948600931285412,5.170678366000001,3.994394819000001,-4.050000000242342,-9.449999999228561,-5.250000000017057,-5.250000000017057,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,655.0161534144,64.8522085224,128.31988124136,655.0161534144,64.8522085224,128.31988124136,650.7283272823255,70.5024100048607,654.5364357651504,-173.81647446195234,125.11988518270657,666.3879736401915,-10.821991027406314,666.3879736401915,False,5.642102686204112,-3.011328661952348,-16.114685412406313,-20.109080231406317,30.395633991491298,29.323790227533415,22.725165078233648,-651.3654845444336,-64.35022368525196,0.26286050053677346,-0.7296425449258156,-4.9649251
15302,49666254000400,4.0945,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.535,3.864884562,9.28991355,189.1985538,-12.092901093523054,0.6060840192710165,0.6699973129217909,-7.916999834965749,-2.277025787231183,-6.903882586183314,-30.540194372880002,-0.29207217778488004,-2.8310469279888,30.54159096648,2.8310469279888,30.96998547672,5.295887912,180.5479334285654,654.8634486144001,64.8507585888,128.33404840632,46.95529553,39.34818594,128.3680404948,46.949405,39.347334,4.444492046736,30.8861760228,-0.4965188397264,2.222071142844,4.114990467,-0.9186201532,-1.827464532,-0.2713687696,580.2722660543922,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368416848,0.006207866761,1.02504258,-11.889481304195685,0.8199696251329308,-135.3933343590333,18.074659824354793,0.8199696251329308,-135.3933343590333,29.96414112855048,0.0,0.0,0.5766748921657421,-0.3238737404489571,-1.135963472259253,-0.588412177096216,-0.1933171274308436,-1.133001655682656,-1.1650870692619582,0.13055661297743898,0.002961816588799476,0.55,0.55,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0040945,200.0000000001819,244.23006472096714,1.221150323603725,0.9846800399644505,False,-2.701764809327767e-06,3.9999980015389465,-1.3635155227120777e-09,3.9999980015398586,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6394221067307476,-3.9485596519028667,5.1749230829999995,3.994025637999999,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,654.8634486144001,64.8507585888,128.33404840632,654.8634486144001,64.8507585888,128.33404840632,650.5756224823256,70.5009600712607,654.3844633999457,-173.81516050907965,125.13405234766655,666.2413654196079,-10.825641603292654,666.2413654196079,False,5.636906062354967,-3.01371430907966,-16.121529515292654,-20.115555153292654,30.39390212670078,29.3212609922869,22.722125272677253,-651.2200807926383,-64.2762188656467,0.26266284893502295,-0.730065072856216,-4.9608306
15303,49666259019000,5.0186,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.54,3.804906135,9.292695745,189.2020718,-12.13217693212008,0.594815466946275,0.6354799054291009,-7.769263905080104,-2.2210423337433376,-6.902889060177823,-30.538157364,-0.29547254155056,-2.8325514110352,30.539586754080002,2.8325514110352,30.96858577416,5.299032007,180.55434912347636,654.7107541776,64.84929149496,128.34822313032,46.95529416,39.34818592,128.3821995216,46.949405,39.347334,4.444492046736,30.88482600264,-0.49707462332400004,2.2212036838728,4.113568747,-0.9196900777,-1.834778861,-0.2570476898,580.2190251216163,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368384496,0.006222906534,1.024549169,-11.890989669456092,0.821956162206778,-135.32816190727058,18.07423277283862,0.821956162206778,-135.32816190727058,29.965222442294714,0.0,0.0,0.5876578835081501,-0.31980233114068046,-1.135658200221879,-0.5774458502477928,-0.18885514168059214,-1.1328224227866492,-1.165103733755943,0.1309471894465301,0.002835777444720441,0.55,0.55,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0050186,199.99999999961346,199.25875742238873,0.9962937871138692,0.9847954510630597,False,-2.6791009943953614e-06,3.999997996221922,6.889385728570119e-10,3.999997996222819,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6396645497850976,-3.9485203835056373,5.179126997999999,3.9936637379999995,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,654.7107541776,64.84929149496,128.34822313032,654.7107541776,64.84929149496,128.34822313032,650.4229280455255,70.4994929774207,654.232499832734,-173.81384753766142,125.14822707166657,666.0947699663838,-10.829294282599422,666.0947699663838,False,5.631803338862255,-3.015919337661444,-16.12832628959942,-20.121990027599423,30.392174646260386,29.31874034678452,22.71907872192867,-651.0745725935606,-64.20330801057516,0.26246957308722957,-0.730485724103497,-4.955812
15304,49666269307000,10.288,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.545,3.744703773,9.295437304,189.2054087,-12.170721137990194,0.5838270875456057,0.6009677955041848,-7.624900061001921,-2.1649449212418728,-6.901736893618017,-30.536129407680004,-0.2988201339816,-2.834035639512,30.537591472320003,2.834035639512,30.967186345920002,5.302137267,180.56066655612545,654.5580701040001,64.84780754568001,128.36240529144,46.95529278,39.3481859,128.39636598552,46.949405,39.347334,4.444492046736,30.88347714072,-0.49759389584400004,2.2203310914600003,4.112137266,-0.9206925299,-1.841676077,-0.2427471739,580.1657956801027,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368351149,0.006236868913,1.024053706,-11.892511739687293,0.8238003908850657,-135.26271838088257,18.073792581275793,0.8238003908850657,-135.26271838088257,29.966304320963086,0.0,0.0,0.5983908309726547,-0.3157251234057842,-1.1353302957866567,-0.5667295379916053,-0.18438742529461846,-1.132617424739843,-1.16512036896426,0.13133769807049114,0.0027128709830902867,0.55,0.55,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.010288,200.0000000001819,97.20062208398133,0.48600311041946465,0.974739216935388,False,-2.6935883851823827e-06,3.99999801003668,3.2377545089445903e-10,3.999998010037587,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6398945101000787,-3.9484831228150203,5.183300038,3.993300037,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,654.5580701040001,64.84780754568001,128.36240529144,654.5580701040001,64.84780754568001,128.36240529144,650.2702439719255,70.49800902814071,654.080545095357,-173.81253552188983,125.16240923278657,665.9481872917704,-10.832949055702922,665.9481872917704,False,5.626797921984689,-3.0179442218898203,-16.13508632270292,-20.128386359702922,30.390450676828568,29.31622637985661,22.716026908202217,-650.9289563694573,-64.13153071624372,0.26228083386520745,-0.7309049592100306,-4.945524
15305,49666274873600,5.5666,True,udp,127.0.0.1:60383,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.55,3.684281111,9.298139262,189.2085646,-12.208550452960166,0.5731193583428521,0.5664617777822085,-7.483848491666968,-2.10877804219141,-6.90042584586162,-30.53411059536,-0.30211476808320004,-2.8354994863176,30.535605151680002,2.8354994863176,30.965787192,5.305203432,180.5668852108507,654.405395784,64.84630701528,128.37659485920003,46.95529141,39.34818589,128.4105398256,46.949405,39.347334,4.444492046736,30.88212943704,-0.49807677189120003,2.2194542452584,4.110697649,-0.9216277113,-1.848166222,-0.2284688134,580.1125796450616,-2.6928190633224e-06,3.9999979944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368317014,0.006249756867,1.023556631,-11.89404473030256,0.82550270350094,-135.1970619626081,18.07334195418506,0.82550270350094,-135.1970619626081,29.96738668448762,0.0,0.0,0.608878157508567,-0.31164600234059914,-1.1349797505475154,-0.5562588185985785,-0.17991787272439735,-1.1323866481196398,-1.1651369761071455,0.13172812967043454,0.002593102383133577,0.55,0.55,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0055666,200.0000000001819,179.64286997449074,0.8982143498716367,0.9738966309635356,False,-2.7055056521091414e-06,3.999997994459399,-7.439739657666422e-10,3.9999979944603137,-2.6928190633224e-06,3.9999979944,0.0,jsbsim_total_wind,3.9999979944009065,0.6401119949195632,-3.948447870894508,5.187441613,3.9929358299999995,-4.349999999899541,-9.299999997967568,-4.9499999997868995,-4.9499999997868995,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,654.405395784,64.84630701528,128.37659485920003,654.405395784,64.84630701528,128.37659485920003,650.1175696519255,70.4965084977407,653.9285986103515,-173.81122443283024,125.17659880054659,665.8016168257413,-10.83660593055716,665.8016168257413,False,5.6218903563190565,-3.0197890328302037,-16.14180936255716,-20.134745192557162,30.388730283831713,29.31371918185692,22.712969742775748,-650.7832314610746,-64.0608907960203,0.26209665319547426,-0.7313227686023935,-4.9399574
