recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
49818823804800,target_offset,194,"{""x_angle_offset"":-0.5625,""y_angle_offset"":0.326197263929579}",-4.9948674
49818837211200,gimbal,2310,"{""imu_roll"":0.0,""imu_pitch"":20.01240348815918,""imu_yaw"":0.0037592947483062744,""frame_roll"":0.0,""frame_pitch"":20.01240348815918,""frame_yaw"":0.0037592947483062744,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.981461
49818837478500,attitude,965,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110470,""roll"":0.17172250151634216,""pitch"":0.16866908967494965,""yaw"":-3.0131077766418457,""rollspeed"":-0.16845501959323883,""pitchspeed"":0.021113606169819832,""yawspeed"":0.06170922517776489}",-4.9811937
49818838947400,fov,2310,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9797248
49818848957500,range,992,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947792053222656,""y"":39.34856414794922}",-4.9697147
49818853678800,range,993,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947792053222656,""y"":39.34856414794922}",-4.9649934
49818868221800,target_offset,195,"{""x_angle_offset"":-0.5625,""y_angle_offset"":0.326197263929579}",-4.9504504
49818881815600,vfr,483,"{""message_type"":""VFR_HUD"",""airspeed"":30.161958694458008,""alt"":179.37998962402344}",-4.9368566
49818881948300,attitude,966,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110510,""roll"":0.16467687487602234,""pitch"":0.1691521406173706,""yaw"":-3.010913848876953,""rollspeed"":-0.20635588467121124,""pitchspeed"":0.01914851926267147,""yawspeed"":0.05564207583665848}",-4.9367239
49818882342500,gimbal,2311,"{""imu_roll"":0.0,""imu_pitch"":20.147945404052734,""imu_yaw"":-0.2362794131040573,""frame_roll"":0.0,""frame_pitch"":20.147945404052734,""frame_yaw"":-0.2362794131040573,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9363297
49818882534700,position,483,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545837,""lon"":393492414}",-4.9361375
