recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
49972511580600,attitude,967,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110570,""roll"":-0.028130872175097466,""pitch"":0.17367254197597504,""yaw"":-3.1103992462158203,""rollspeed"":0.20658420026302338,""pitchspeed"":-0.00020127692550886422,""yawspeed"":0.024436889216303825}",-4.9820655
49972513609100,target_offset,207,"{""x_angle_offset"":0.65625,""y_angle_offset"":0.0}",-4.980037
49972529764000,fov,2286,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9638821
49972530028600,gimbal,2286,"{""imu_roll"":0.0,""imu_pitch"":19.90730857849121,""imu_yaw"":4.407105445861816,""frame_roll"":0.0,""frame_pitch"":19.90730857849121,""frame_yaw"":4.407105445861816,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9636175
49972555380600,vfr,484,"{""message_type"":""VFR_HUD"",""airspeed"":29.86456871032715,""alt"":178.4499969482422}",-4.9382655
49972555532400,position,484,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544928,""lon"":393493453}",-4.9381137
49972555635700,attitude,968,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110610,""roll"":-0.019146282225847244,""pitch"":0.17374187707901,""yaw"":-3.1093621253967285,""rollspeed"":0.18431948125362396,""pitchspeed"":-0.001229361747391522,""yawspeed"":0.027598390355706215}",-4.9380104
49972559950600,target_offset,208,"{""x_angle_offset"":0.375,""y_angle_offset"":0.0}",-4.9336955
49972572437500,fov,2287,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9212086
49972572734100,gimbal,2287,"{""imu_roll"":0.0,""imu_pitch"":19.9072265625,""imu_yaw"":4.530521869659424,""frame_roll"":0.0,""frame_pitch"":19.9072265625,""frame_yaw"":4.530521869659424,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.920912
49972602314600,target_offset,209,"{""x_angle_offset"":0.375,""y_angle_offset"":0.0}",-4.8913315
49972608340900,attitude,969,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110670,""roll"":-0.00747190834954381,""pitch"":0.17375634610652924,""yaw"":-3.1075870990753174,""rollspeed"":0.14648349583148956,""pitchspeed"":-0.0027914405800402164,""yawspeed"":0.03161878511309624}",-4.8853052
49972617738400,fov,2288,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8759077
49972618672300,gimbal,2288,"{""imu_roll"":0.0,""imu_pitch"":19.9072265625,""imu_yaw"":4.653667449951172,""frame_roll"":0.0,""frame_pitch"":19.9072265625,""frame_yaw"":4.653667449951172,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8749738
49972625875300,range,991,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94765853881836,""y"":39.348182678222656}",-4.8677708
49972628046700,range,992,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94765853881836,""y"":39.348182678222656}",-4.8655994
49972645185700,target_offset,210,"{""x_angle_offset"":0.375,""y_angle_offset"":-0.10873242130985966}",-4.8484604
49972650437100,vfr,485,"{""message_type"":""VFR_HUD"",""airspeed"":29.82777214050293,""alt"":178.75}",-4.843209
49972650524900,position,485,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544354,""lon"":393493410}",-4.8431212
49972650590900,attitude,970,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110710,""roll"":-0.0008082340355031192,""pitch"":0.17352743446826935,""yaw"":-3.1062450408935547,""rollspeed"":0.11945287138223648,""pitchspeed"":-0.0042679947800934315,""yawspeed"":0.03463294357061386}",-4.8430552
49972663513500,fov,2289,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8301326
49972663748300,gimbal,2289,"{""imu_roll"":0.0,""imu_pitch"":19.857141494750977,""imu_yaw"":4.775035381317139,""frame_roll"":0.0,""frame_pitch"":19.857141494750977,""frame_yaw"":4.775035381317139,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8298978
49972691272800,target_offset,211,"{""x_angle_offset"":0.375,""y_angle_offset"":-0.10873242130985966}",-4.8023733
49972705297400,fov,2290,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7883487
