recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
50125474216600,target_offset,192,"{""x_angle_offset"":0.9375,""y_angle_offset"":0.21746484261971932}",-4.9910389
50125490008400,gimbal,2294,"{""imu_roll"":0.0,""imu_pitch"":19.647567749023438,""imu_yaw"":-2.6666126251220703,""frame_roll"":0.0,""frame_pitch"":19.647567749023438,""frame_yaw"":-2.6666126251220703,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9752471
50125490271500,fov,2294,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.974984
50125492305500,range,991,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947696685791016,""y"":39.34811019897461}",-4.97295
50125498184400,range,992,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947696685791016,""y"":39.34811019897461}",-4.9670711
50125498267600,attitude,968,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110670,""roll"":-0.14673051238059998,""pitch"":0.16944341361522675,""yaw"":-3.0415256023406982,""rollspeed"":0.2615772485733032,""pitchspeed"":0.012948861345648766,""yawspeed"":-0.0704619511961937}",-4.9669879
50125517331700,target_offset,193,"{""x_angle_offset"":1.03125,""y_angle_offset"":0.10873242130985966}",-4.9479238
50125534611600,position,485,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544821,""lon"":393492670}",-4.9306439
50125534743000,attitude,969,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110710,""roll"":-0.13694952428340912,""pitch"":0.16946245729923248,""yaw"":-3.0443930625915527,""rollspeed"":0.2708568871021271,""pitchspeed"":0.011693503707647324,""yawspeed"":-0.06604563444852829}",-4.9305125
50125535042100,vfr,485,"{""message_type"":""VFR_HUD"",""airspeed"":30.11947250366211,""alt"":178.19000244140625}",-4.9302134
50125536691100,gimbal,2295,"{""imu_roll"":0.0,""imu_pitch"":19.696243286132812,""imu_yaw"":-2.1880667209625244,""frame_roll"":0.0,""frame_pitch"":19.696243286132812,""frame_yaw"":-2.1880667209625244,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9285644
50125536955000,fov,2295,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9283005
50125567519000,target_offset,194,"{""x_angle_offset"":1.03125,""y_angle_offset"":0.10873242130985966}",-4.8977365
50125580253500,gimbal,2296,"{""imu_roll"":0.0,""imu_pitch"":19.741579055786133,""imu_yaw"":-1.7193303108215332,""frame_roll"":0.0,""frame_pitch"":19.741579055786133,""frame_yaw"":-1.7193303108215332,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.885002
50125580624800,fov,2296,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8846307
50125599079000,attitude,970,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110770,""roll"":-0.1218651682138443,""pitch"":0.16954773664474487,""yaw"":-3.0484378337860107,""rollspeed"":0.2759428024291992,""pitchspeed"":0.011103038676083088,""yawspeed"":-0.06061156094074249}",-4.8661765
50125609322200,target_offset,195,"{""x_angle_offset"":1.03125,""y_angle_offset"":0.10873242130985966}",-4.8559333
50125624737400,gimbal,2297,"{""imu_roll"":0.0,""imu_pitch"":19.78693962097168,""imu_yaw"":-1.2471327781677246,""frame_roll"":0.0,""frame_pitch"":19.78693962097168,""frame_yaw"":-1.2471327781677246,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8405181
50125625056900,fov,2297,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8401986
50125639045900,position,486,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544821,""lon"":393492670}",-4.8262096
50125639131200,attitude,971,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110810,""roll"":-0.11185099929571152,""pitch"":0.16964372992515564,""yaw"":-3.050976276397705,""rollspeed"":0.27230170369148254,""pitchspeed"":0.010977386496961117,""yawspeed"":-0.05708851292729378}",-4.8261243
50125639311200,vfr,486,"{""message_type"":""VFR_HUD"",""airspeed"":30.09372901916504,""alt"":178.47000122070312}",-4.8259443
50125647320500,range,993,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9476432800293,""y"":39.34816360473633}",-4.817935
50125653284000,target_offset,196,"{""x_angle_offset"":1.03125,""y_angle_offset"":0.10873242130985966}",-4.8119715
50125661238800,range,994,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9476432800293,""y"":39.34816360473633}",-4.8040167
