recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
50604619728900,fov,2552,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-5.0009136
50604620304700,gimbal,2552,"{""imu_roll"":0.0,""imu_pitch"":19.879554748535156,""imu_yaw"":-3.51949405670166,""frame_roll"":0.0,""frame_pitch"":19.879554748535156,""frame_yaw"":-3.51949405670166,""pitch_speed"":0.0,""yaw_speed"":0.0}",-5.0003378
50604630058100,attitude,1164,"{""message_type"":""ATTITUDE"",""time_boot_ms"":120570,""roll"":-0.06599964946508408,""pitch"":0.061379484832286835,""yaw"":-3.0685160160064697,""rollspeed"":0.09143175184726715,""pitchspeed"":-0.0012858249247074127,""yawspeed"":-0.020636554807424545}",-4.9905844
50604648416700,range,1127,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947811126708984,""y"":39.34883117675781}",-4.9722258
50604651919400,target_offset,458,"{""x_angle_offset"":0.375,""y_angle_offset"":0.10873242130985966}",-4.9687231
50604656494300,range,1128,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947811126708984,""y"":39.34883117675781}",-4.9641482
50604670786700,fov,2553,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9498558
50604671102900,attitude,1165,"{""message_type"":""ATTITUDE"",""time_boot_ms"":120610,""roll"":-0.06270592659711838,""pitch"":0.061339955776929855,""yaw"":-3.0695409774780273,""rollspeed"":0.07521868497133255,""pitchspeed"":-0.000142544973641634,""yawspeed"":-0.02216421067714691}",-4.9495396
50604671416800,vfr,584,"{""message_type"":""VFR_HUD"",""airspeed"":29.19145393371582,""alt"":207.52999877929688}",-4.9492257
50604671596700,position,584,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469522124,""lon"":393490689}",-4.9490458
50604671803500,gimbal,2553,"{""imu_roll"":0.0,""imu_pitch"":19.924909591674805,""imu_yaw"":-3.336601734161377,""frame_roll"":0.0,""frame_pitch"":19.924909591674805,""frame_yaw"":-3.336601734161377,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.948839
50604699530600,target_offset,459,"{""x_angle_offset"":0.375,""y_angle_offset"":0.10873242130985966}",-4.9211119
50604715440400,fov,2554,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9052021
50604715886200,gimbal,2554,"{""imu_roll"":0.0,""imu_pitch"":19.967622756958008,""imu_yaw"":-3.1548399925231934,""frame_roll"":0.0,""frame_pitch"":19.967622756958008,""frame_yaw"":-3.1548399925231934,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9047563
50604727944600,attitude,1166,"{""message_type"":""ATTITUDE"",""time_boot_ms"":120670,""roll"":-0.059146154671907425,""pitch"":0.061379898339509964,""yaw"":-3.0711891651153564,""rollspeed"":0.04711008444428444,""pitchspeed"":0.0017847975250333548,""yawspeed"":-0.024677643552422523}",-4.8926979
50604746609800,target_offset,460,"{""x_angle_offset"":0.375,""y_angle_offset"":0.10873242130985966}",-4.8740327
