recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
51070703239000,gimbal,2322,"{""imu_roll"":0.0,""imu_pitch"":16.83733558654785,""imu_yaw"":-1.303123950958252,""frame_roll"":0.0,""frame_pitch"":16.83733558654785,""frame_yaw"":-1.303123950958252,""pitch_speed"":0.0,""yaw_speed"":0.0}",-5.0038849
51070703666300,fov,2322,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-5.0034576
51070734315000,target_offset,244,"{""x_angle_offset"":0.0,""y_angle_offset"":0.21746484261971932}",-4.9728089
51070746926600,gimbal,2323,"{""imu_roll"":0.0,""imu_pitch"":16.931133270263672,""imu_yaw"":-1.2962943315505981,""frame_roll"":0.0,""frame_pitch"":16.931133270263672,""frame_yaw"":-1.2962943315505981,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9601973
51070747921000,fov,2323,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9592029
51070760724600,attitude,996,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112070,""roll"":-0.016448186710476875,""pitch"":0.17579378187656403,""yaw"":-3.059014081954956,""rollspeed"":0.025548066943883896,""pitchspeed"":0.01586632803082466,""yawspeed"":-0.005079309456050396}",-4.9463993
51070784137600,target_offset,245,"{""x_angle_offset"":0.0,""y_angle_offset"":0.21746484261971932}",-4.9229863
51070789576900,gimbal,2324,"{""imu_roll"":0.0,""imu_pitch"":16.97382164001465,""imu_yaw"":-1.2909214496612549,""frame_roll"":0.0,""frame_pitch"":16.97382164001465,""frame_yaw"":-1.2909214496612549,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.917547
51070789976600,fov,2324,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9171473
51070808471500,range,1016,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94582748413086,""y"":39.348453521728516}",-4.8986524
