event_monotonic_ns,event,value_json,session_time_s
51693040810600,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_1.04deg_17.5px"",""count"":3,""operator_like"":true,""tracker_state_preserved"":true}",-3.0844848
51693040996800,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":979,""pixel_y"":526,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-3.0842986
51693041037200,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":3,""operator_like"":true,""control_interruption"":false}",-3.0842582
51695531160200,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.8287212736721236,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":54.82215692294197}",-0.5941352
51696009450300,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_1.13deg_18.9px"",""count"":4,""operator_like"":true,""tracker_state_preserved"":true}",-0.1158451
51696009964400,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":944,""pixel_y"":552,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-0.115331
51696011009400,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":4,""operator_like"":true,""control_interruption"":false}",-0.114286
51696123357300,HUNTER_ATTACK_PITCH_THRESHOLD,"{""frame_pitch_deg"":-25.167667388916016,""frame_pitch_abs_deg"":25.167667388916016,""camera_pitch_down_deg"":25.167667388916016,""attack_angle_deg"":25.0,""source"":""camera_pitch_threshold_gimbal"",""sole_transition_condition"":true}",-0.0019381
51696123394500,TRACKER_LATENCY_LOCKED_FOR_ATTACK,"{""estimate_s"":0.3537156462190251,""effective_s"":0.0,""confidence"":0.5107227324303131,""candidate_s"":0.375,""fit_score"":4.177457515050409,""excitation"":0.5618528624585675,""samples"":295,""calibration_active"":false,""locked"":true,""locked_s"":0.0,""locked_confidence"":0.0,""lock_source"":""insufficient_confidence"",""source_latency_s"":0.0,""source_latency_confidence"":0.0,""source_latency_samples"":0,""source_time_kind"":""none"",""source_time_valid"":false,""los_motion_confidence"":0.9999995813442751}",-0.0019009
51696124669000,HUNTER_ATTACK_STATE_COMMIT,"{""roll_reinit"":false,""pitch_reinit"":false,""estimator_state_preserved"":true,""transition_condition"":""camera_pitch_only""}",-0.0006264
51696125235500,FBWA_BUMPLESS_PITCH_HANDOFF,"{""hold_pitch_deg"":9.818609521531247,""hold_pitch_pwm"":1990,""uav_pitch_deg"":9.818609521531247,""frame_pitch_deg"":-25.167667388916016}",-5.99e-05
