truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15193,51850574811600,9.7768,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0583333,-3.908820948,8.889805097,187.7422165,-16.26140935159907,0.27476186395892593,-7.06642749263912,29.441019327032365,0.07454860883774538,-7.011926412174613,-30.748027708800002,-11.425394298264,-2.6610379940424003,32.80214693304,2.6610379940424003,31.052419276800002,4.637900577,200.3841282098309,670.4207710176,33.17380377672,126.07074783768,46.95543548,39.34776981,126.1061154276,46.949405,39.347334,4.444492046736,30.968827023360003,-0.8929421449224001,2.0945522798736,3.869262367,-1.64782233,4.268199972,4.908724542,583.4924883035062,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296152022,0.01942506297,0.9757117478,-12.174847936481068,2.5657705322877913,-128.8774432214183,17.117194396013133,2.5657705322877913,-128.8774432214183,29.2920423324942,0.0,0.0,3.3187749159831395,-0.3877936273984123,-1.1531308833206904,2.1916164022027935,-0.17424224755287526,-1.1537915555101155,-1.127158513644764,0.21355137970995527,-0.0006606722090843337,0.53,0.53,-4.50000000001462,-7.949999998077773,-3.300000000239905,-3.300000000239905,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0097768,200.0000000001819,102.2829555682841,0.5114147778409553,0.948080702462902,True,-4.784982346239808e-05,-7.999995996472123,-1.8014989500159118e-09,7.999995996615223,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0777774439468712,7.9270632395878105,5.02054273,4.25190452,-4.50000000001462,-7.949999998077773,-3.300000000239905,-3.300000000239905,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,670.4207710176,33.17380377672,126.07074783768,670.4207710176,33.17380377672,126.07074783768,666.1329448855255,38.824005259180694,667.2633690277231,-176.66442253104495,122.87075177902656,678.4818533232635,-10.433639732029345,678.4818533232635,False,-17.04855074087584,-4.406639031044961,-15.071540309029345,-19.323444829029345,31.360711207480175,30.360266786315634,22.347690753135197,-637.9415915555015,195.62957192066122,-0.8257809097940171,-0.7006026924937382,-5.0036447
15194,51850578349200,3.5376,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0633333,-3.995362732,8.888737582,187.7063698,-16.115955306346624,0.27512063162370015,-7.10136122215195,28.60346147465028,0.06763007052401336,-6.9514513528817075,-30.747235289760003,-11.422926104064,-2.6601944042640002,32.800544508,2.6601944042640002,31.051290175680002,4.636662222,200.38056893871178,670.2670338600001,33.11668386048,126.0840674148,46.95543409,39.34776905,126.11941851504001,46.949405,39.347334,4.444492046736,30.96809035224,-0.8791458612120001,2.0945414061336,3.869334105,-1.622415019,4.242774034,4.916884662,583.4493089283526,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1293597481,0.01901031972,0.9756733653,-12.174222236283999,2.510988932720653,-128.87237344979675,17.083687690736472,2.510988932720653,-128.87237344979675,29.25790992702047,0.0,0.0,3.256677803156946,-0.38785735734991006,-1.1431264674118338,2.1291992282126273,-0.1740970098937777,-1.1437796421991682,-1.1274785745375733,0.21376034745613237,-0.0006531746956809971,0.53,0.53,-4.50000000001462,-7.949999998077773,-3.300000000239905,-3.300000000239905,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0035376,200.0000000001819,282.6775214834916,1.4133876074161726,0.9513497129736617,False,-4.783678467602803e-05,-7.999995974105382,6.298372934310237e-11,7.999995974248405,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0728177221751953,7.927735991952045,5.019403476999999,4.252075359999999,-4.50000000001462,-7.949999998077773,-3.300000000239905,-3.300000000239905,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,670.2670338600001,33.11668386048,126.0840674148,670.2670338600001,33.11668386048,126.0840674148,665.9792077279255,38.7668853429407,667.1065705905677,-176.6685518160345,122.88407135614656,678.330060898211,-10.437144646205974,678.330060898211,False,-17.04912075474624,-4.374921616034499,-15.073806868205974,-19.325882228205973,31.35908352114708,30.358311289334054,22.344130226259725,-637.7897376668052,195.58994619360135,-0.8259614466591776,-0.7008213565674482,-5.0001071
15195,51850581725100,3.3759,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0683333,-4.081212151,8.887606249,187.670349,-15.97465763444993,0.2754425963185323,-7.13599214919963,27.78093334228809,0.059663661616288735,-6.890774062405432,-30.746443907040003,-11.420365832832001,-2.6593425053328,32.7989110848,2.6593425053328,31.0501514124,4.635413681,200.37685789107272,670.1133009696,33.059576502,126.09738272472,46.95543271,39.3477683,126.13271736576,46.949405,39.347334,4.444492046736,30.967336734240003,-0.8653227898488001,2.0945585389416,3.869459538,-1.596957227,4.217835311,4.924712836,583.4057690148488,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1291258558,0.0185949619,0.9756487464,-12.173502518474873,2.4561261588917236,-128.86912166634934,17.053010441402396,2.4561261588917236,-128.86912166634934,29.226512959877265,0.0,0.0,3.1956769125281532,-0.3880505237158083,-1.1330900733164295,2.0679021971159237,-0.1740705010768337,-1.133736444744881,-1.1277747144631565,0.2139800226389746,-0.0006463713861498383,0.53,0.53,-4.50000000001462,-7.949999998077773,-3.300000000239905,-3.300000000239905,12.450000001530139,12.450000001530139,0,0,True,0.005000000000009663,0.0033759,199.99999999961346,296.217305014959,1.4810865250776575,0.9549024029295811,False,-4.784343096282673e-05,-7.999995976709913,3.46557893493582e-10,7.999995976852976,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0678334890686407,7.928408885944805,5.018146710999999,4.252192567999999,-4.50000000001462,-7.949999998077773,-3.300000000239905,-3.300000000239905,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,670.1133009696,33.059576502,126.09738272472,670.1133009696,33.059576502,126.09738272472,665.8254748375255,38.7097779844607,666.949780608872,-176.67268198686764,122.89738666606657,678.1782785548141,-10.440650645337268,678.1782785548141,False,-17.049539877940333,-4.343030986867632,-15.076064326337267,-19.328256894337265,31.35745156219682,30.35635296308174,22.340571654954374,-637.6384076448174,195.54864088099458,-0.8261341818129778,-0.7010393832904457,-4.9967312
15196,51850585285500,3.5604,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0733333,-4.16637639,8.886411542,187.6341564,-15.821819286215527,0.27641436723113344,-7.169554807897447,33.183403047775286,0.32575957650989235,-6.52434202141992,-30.74565228048,-11.417733095400001,-2.6584880601024,32.797252393680004,2.6584880601024,31.04900448048,4.634164151,200.3730278973954,669.9595717368001,33.00248215848,126.11069376744,46.95543133,39.34776755,126.1460119188,46.949405,39.347334,4.444492046736,30.9665683944,-0.8514544797648,2.094599187984,3.869630122,-1.571414785,4.188268151,4.945115122,583.3619226676876,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1289573723,0.01885630427,0.9757608982,-12.166678065769181,2.4906457139992715,-128.88393531190135,17.030955700467107,2.4906457139992715,-128.88393531190135,29.19763376623629,0.0,0.0,3.598339937320055,-0.36361623839129764,-1.0735796107160775,2.470291158223568,-0.1494154498139414,-1.0742122180162992,-1.1280487792320686,0.21420078857735625,-0.0006326072188726159,0.53,0.53,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,0,0,True,0.0049999999999954525,0.0035604,200.0000000001819,280.86731827884506,1.4043365913929482,0.958080106109984,False,-4.783334206688583e-05,-7.999995974283826,-3.065103726385132e-11,7.999995974426828,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0628250587569943,7.929081833200062,5.016781419999999,4.252247390999999,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,669.9595717368001,33.00248215848,126.11069376744,669.9595717368001,33.00248215848,126.11069376744,665.6717456047255,38.652683640940694,666.792998500351,-176.67681300177716,122.91069770878656,678.0265057210889,-10.444157738928373,678.0265057210889,False,-17.049840899172523,-4.310969401777129,-15.078321889928374,-19.330569280928373,31.35581521635492,30.354390650746534,22.33701587102733,-637.4874886172843,195.50602217199588,-0.826300797068998,-0.7012572503552366,-4.9931708
15197,51850591354400,6.0689,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0783333,-4.250758127,8.885158865,187.597799,-15.657800623448662,0.2780124121254208,-7.202050813986379,32.27538665591735,0.3107798097580744,-6.463964571216993,-30.744861751200002,-11.415023051544,-2.6576302032456,32.795567946960006,2.6576302032456,31.04785002,4.632912189,200.3690702487213,669.8058464664001,32.9454011652,126.12400051248001,46.95542994,39.3477668,126.15930223512001,46.949405,39.347334,4.444492046736,30.965785546080003,-0.8375464002912,2.0946675735216003,3.86985361,-1.545797725,4.158719005,4.953531333,583.3177962210113,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1287619336,0.0184379012,0.9757611641,-12.165751341070745,2.435380706172205,-128.8839704083699,17.005324851798225,2.435380706172205,-128.8839704083699,29.17107619286897,0.0,0.0,3.530917235316259,-0.364104069146106,-1.0636005434507463,2.4026147623443705,-0.14968240209747838,-1.0642126716631857,-1.1283024722939798,0.21442166704862767,-0.000612128217184689,0.53,0.53,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,0,0,True,0.0049999999999954525,0.0060689,200.0000000001819,164.77450608841798,0.8238725304413407,0.9564706565746036,False,-4.7837053649843475e-05,-7.999995995064436,-1.346549094449756e-09,7.99999599520746,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0577933959876364,7.92975465916254,5.0153052549999995,4.2522466759999995,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,669.8058464664001,32.9454011652,126.12400051248001,669.8058464664001,32.9454011652,126.12400051248001,665.5180203343256,38.5956026476607,666.6362245883852,-176.6809448339823,122.92400445382657,677.8747427102003,-10.44766592008994,677.8747427102003,False,-17.050015082703567,-4.278743833982276,-15.080578109089942,-19.33282478508994,31.354175562434026,30.352425571752224,22.333461986677957,-637.3370106392032,195.4619932440578,-0.8264608643752415,-0.7014749015519691,-4.9871019
15198,51850598054600,6.7002,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0833333,-4.334353396,8.883849231,187.5612797,-15.49828800445034,0.27953326980712584,-7.234244516083446,31.383653581357592,0.29471690170335335,-6.403387932236588,-30.74407436136,-11.412222817368,-2.6567660044152004,32.79385518432,2.6567660044152004,31.046688457680002,4.631653064,200.36496259969644,669.6521251584,32.8883339184,126.13730299032,46.95542856,39.34776605,126.17258822328,46.949405,39.347334,4.444492046736,30.96498803688,-0.8236131992016,2.0947656151848,3.870133563,-1.52013304,4.129677818,4.961622663,583.2734054753055,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285835433,0.01801894868,0.9757760168,-12.164729046330905,2.3800431229405525,-128.8859322520311,16.98193137853383,2.3800431229405525,-128.8859322520311,29.146660424864734,0.0,0.0,3.464689549896305,-0.3647256200221226,-1.053589493117923,2.336152181464868,-0.1500753838960753,-1.0541822286595022,-1.128537368567019,0.21465023612604736,-0.0005927355659836809,0.53,0.53,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,0,0,True,0.005000000000009663,0.0067002,199.99999999961346,149.2492761410107,0.7462463807064958,0.9536908181352829,False,-4.781411681448189e-05,-7.999995999219674,1.934756577171015e-09,7.999995999362562,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0527388983759256,7.930427266859668,5.013715668,4.252196166999999,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,669.6521251584,32.8883339184,126.13730299032,669.6521251584,32.8883339184,126.13730299032,665.3642990263255,38.538535400860695,666.4794588954989,-176.68507744992192,122.93730693166655,677.7229895504856,-10.45117519160185,677.7229895504856,False,-17.05004004961836,-4.2463571499218915,-15.08282825560185,-19.335024422601848,31.352533916556226,30.350459552245272,22.32990865867627,-637.1870498633865,195.41630591133162,-0.8266132615332613,-0.7016921133287761,-4.9804017
15199,51850601603500,3.5489,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0883333,-4.417184264,8.882482378,187.5246002,-15.343200607793975,0.28097168699811215,-7.2661349344308155,30.507922083559393,0.2776484126684278,-6.342620452473781,-30.743290659600003,-11.409333060384,-2.6558961475824003,32.792114928720004,2.6558961475824003,31.045520494559998,4.630387851,200.3607055805744,669.4984078128,32.83128090576,126.15060107904002,46.95542718,39.34776531,126.18586988328,46.949405,39.347334,4.444492046736,30.96417653736,-0.8096559274464,2.0948916768072,3.870466878,-1.49442261,4.10114231,4.969381495,583.2287753283047,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284208804,0.01759948,0.975804656,-12.163616844135776,2.3246373631506696,-128.88971506417494,16.960601960166905,2.3246373631506696,-128.88971506417494,29.124218804302682,0.0,0.0,3.3996374047353646,-0.36547293806242626,-1.0435477385250966,2.270882483111756,-0.15058731106095216,-1.044122207538203,-1.1287549224370992,0.21488562700147407,-0.000574468998734803,0.53,0.53,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,0,0,True,0.0049999999999954525,0.0035489,200.0000000001819,281.77745216827753,1.4088872608401062,0.9568989408330292,False,-4.7845697568230094e-05,-7.999995962981182,-1.8511787658326284e-09,7.999995963124258,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0476617975940745,7.931099582086143,5.0120155,4.252094527000001,-4.800000000244778,-7.650000001285362,-2.849999999894668,-2.849999999894668,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,669.4984078128,32.83128090576,126.15060107904002,669.4984078128,32.83128090576,126.15060107904002,665.2105816807255,38.4814823882207,666.3227014493833,-176.68921080815318,122.95060502038658,677.5712462477161,-10.454685543493445,677.5712462477161,False,-17.04991638872758,-4.213811008153186,-15.085073394493445,-19.337167921493446,31.350890891511252,30.34849307336496,22.326355533032363,-637.0376036258798,195.36896896232125,-0.8267580356752944,-0.7019089511863635,-4.9768528
15200,51850604814100,3.2106,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0933333,-4.499262529,8.881059514,187.4877624,-15.180732334443267,0.2840661471945643,-7.297041108688974,34.30937918537479,0.953921224375038,-6.009745208827841,-30.74251576656,-11.406374887992001,-2.6549855618496,32.7903593112,2.6549855618496,31.04435055024,4.629053954,200.3563307040339,669.3446944296,32.774242554,126.16389477864001,46.9554258,39.34776456,126.19914712368002,46.949405,39.347334,4.444492046736,30.96335342496,-0.7956588183312,2.0950829257008,3.87092174,-1.468637092,4.09583909,4.987845487,583.1840719245077,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1283316479,0.01776574175,0.9745357858,-12.154633847409066,2.3465981411870236,-128.72211563738838,16.948959380632875,2.3465981411870236,-128.72211563738838,29.103593228041937,0.0,0.0,3.68291386381713,-0.3034643937725441,-0.9894039124907325,2.55395738765314,-0.08834492482274198,-0.9899419150175552,-1.1289564764351532,0.21511946885489486,-0.0005380024710986498,0.53,0.53,-5.099999999901978,-7.500000000024367,-2.400000000122389,-2.400000000122389,12.600000002791134,12.600000002791134,0,0,True,0.0049999999999954525,0.0032106,200.0000000001819,311.4682613841649,1.5573413069194084,0.9607299019863851,False,-4.7824395457252145e-05,-7.999995985510918,7.195624096567599e-10,7.999995985653867,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0425623531109658,7.931771527406774,5.010137774,4.252005560000001,-5.099999999901978,-7.500000000024367,-2.400000000122389,-2.400000000122389,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,669.3446944296,32.774242554,126.16389477864001,669.3446944296,32.774242554,126.16389477864001,665.0568682975255,38.4244440364607,666.1659522740736,-176.69334487242773,122.96389871998657,677.4195128261678,-10.458196975981686,677.4195128261678,False,-17.049675576461595,-4.1811072724277665,-15.087250929981685,-19.339256489981686,31.349252842400197,30.34653875165704,22.322793329739394,-636.888564555946,195.32033254909703,-0.8268969666336823,-0.7021225954017467,-4.9736422
15201,51850608702500,3.8884,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.0983333,-4.580521426,8.879593742,187.4507722,-15.01113183089257,0.2887777765851812,-7.326963096153704,33.37838963819147,0.9258587485160937,-5.948876017597242,-30.7417486764,-11.40334296924,-2.6540466077711997,32.78858555808,2.6540466077711997,31.043178076080004,4.627673211,200.35182983407424,669.1909850088,32.71721910696,126.1771838148,46.95542441,39.34776381,126.21241970064001,46.949405,39.347334,4.444492046736,30.962518303440003,-0.7816273674,2.0953337325144,3.871487828,-1.44278664,4.065871524,4.995646358,583.1392765906135,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281989996,0.01734371588,0.9746291544,-12.153072899720947,2.2908546132507626,-128.7344482873345,16.931570913136426,2.2908546132507626,-128.7344482873345,29.084643812857372,0.0,0.0,3.6136848747074874,-0.3049597352852298,-0.9793880720530976,2.4845416061489383,-0.08960868686762641,-0.9798718338626614,-1.1291432685585492,0.21535104839048702,-0.0004837618749140414,0.53,0.53,-5.099999999901978,-7.500000000024367,-2.400000000122389,-2.400000000122389,12.600000002791134,12.600000002791134,0,0,True,0.0049999999999954525,0.0038884,200.0000000001819,257.17518773788703,1.2858759386882657,0.9632389850474589,False,-4.783848431923199e-05,-7.999995987643263,3.140853133132282e-10,7.9999959877862965,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0374413783039267,7.932442953446807,5.0081059140000015,4.251920531000001,-5.099999999901978,-7.500000000024367,-2.400000000122389,-2.400000000122389,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,669.1909850088,32.71721910696,126.1771838148,669.1909850088,32.71721910696,126.1771838148,664.9031588767255,38.3674205894207,666.0092113829459,-176.69747962216925,122.97718775614656,677.267789249824,-10.461709466625617,677.267789249824,False,-17.049309456243464,-4.148251822169243,-15.089382677625618,-19.341303208625618,31.347618476337498,30.344593081748865,22.319224628428948,-636.739960206655,195.2703068133014,-0.8270295965130297,-0.7023340514732621,-4.9697538
15202,51850617136000,8.4335,True,udp,127.0.0.1:51893,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.1033333,-4.660964171,8.878087588,187.4136321,-14.846151332415864,0.29334664947314104,-7.356580367474249,32.46411335010621,0.896640943370314,-5.887831249179904,-30.74098640208,-11.400223332096001,-2.6531058593352004,32.786785988400005,2.6531058593352004,31.042000877520003,4.626292821,200.34718177125703,669.0372792456001,32.660211082800004,126.19046812655999,46.95542303,39.34776306,126.22568758368,46.949405,39.347334,4.444492046736,30.96167047176,-0.7675745204232,2.095616727732,3.872114824,-1.41689524,4.036357508,5.003111144,583.0943069725765,-4.7843053523760005e-05,-7.9999959888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1280789092,0.0169212603,0.9747383247,-12.15141190708048,2.235054326896335,-128.74886808734468,16.915830747504177,2.235054326896335,-128.74886808734468,29.06724265903288,0.0,0.0,3.545688526129753,-0.306595531402455,-0.9693429462189426,2.4163720816562995,-0.09100827621885808,-0.9697742278408531,-1.1293164440667083,0.21558725519715508,-0.0004312815408324602,0.53,0.53,-5.099999999901978,-7.500000000024367,-2.400000000122389,-2.400000000122389,12.600000002791134,12.600000002791134,0,0,True,0.005000000000009663,0.0084335,199.99999999961346,118.57473172466948,0.5928736586244931,0.9570956526738287,False,-4.786968785977508e-05,-7.9999959904709605,-2.2759498730096084e-09,7.99999599061418,-4.7843053523760005e-05,-7.9999959888,0.0,jsbsim_total_wind,7.99999598894306,-1.0322992160970943,7.933113774020285,5.005972763999999,4.251794767,-5.099999999901978,-7.500000000024367,-2.400000000122389,-2.400000000122389,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,669.0372792456001,32.660211082800004,126.19046812655999,669.0372792456001,32.660211082800004,126.19046812655999,664.7494531135255,38.310412565260705,665.8524785007951,-176.70161501170682,122.99047206790655,677.1160752375757,-10.465223015153914,677.1160752375757,False,-17.048796782963848,-4.115247111706822,-15.091515836153913,-19.343310603153913,31.345984031081134,30.342647542147443,22.315655688813177,-636.5918620545314,195.21865764213297,-0.8271547336184499,-0.7025454717192352,-4.9613203
