recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
52009038607200,attitude,964,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111010,""roll"":-0.17274868488311768,""pitch"":0.16989438235759735,""yaw"":-3.052887439727783,""rollspeed"":0.5562140345573425,""pitchspeed"":0.0332515574991703,""yawspeed"":-0.04463963210582733}",-4.9807187
52009047467300,target_offset,185,"{""x_angle_offset"":1.40625,""y_angle_offset"":0.326197263929579}",-4.9718586
52009062549600,gimbal,2330,"{""imu_roll"":0.0,""imu_pitch"":19.70269203186035,""imu_yaw"":-1.0387012958526611,""frame_roll"":0.0,""frame_pitch"":19.70269203186035,""frame_yaw"":-1.0387012958526611,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9567763
52009063090700,fov,2330,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9562352
52009091491500,target_offset,186,"{""x_angle_offset"":1.40625,""y_angle_offset"":0.0}",-4.9278344
52009100066500,position,484,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469547364,""lon"":393493845}",-4.9192594
52009100236700,vfr,484,"{""message_type"":""VFR_HUD"",""airspeed"":30.104236602783203,""alt"":176.37998962402344}",-4.9190892
52009100342100,attitude,965,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111070,""roll"":-0.14071618020534515,""pitch"":0.1713670939207077,""yaw"":-3.055070161819458,""rollspeed"":0.5186988115310669,""pitchspeed"":0.025776436552405357,""yawspeed"":-0.032901469618082047}",-4.9189838
52009107552100,gimbal,2331,"{""imu_roll"":0.0,""imu_pitch"":19.69599151611328,""imu_yaw"":-0.38484126329421997,""frame_roll"":0.0,""frame_pitch"":19.69599151611328,""frame_yaw"":-0.38484126329421997,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9117738
52009107773200,fov,2331,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9115527
52009133920800,target_offset,187,"{""x_angle_offset"":1.3125,""y_angle_offset"":0.0}",-4.8854051
52009140021100,range,999,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947933197021484,""y"":39.34811019897461}",-4.8793048
52009140243600,attitude,966,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111110,""roll"":-0.12096075713634491,""pitch"":0.1721794456243515,""yaw"":-3.056101083755493,""rollspeed"":0.4818071126937866,""pitchspeed"":0.020629800856113434,""yawspeed"":-0.025753943249583244}",-4.8790823
52009147830100,gimbal,2332,"{""imu_roll"":0.0,""imu_pitch"":19.69226837158203,""imu_yaw"":0.2174767255783081,""frame_roll"":0.0,""frame_pitch"":19.69226837158203,""frame_yaw"":0.2174767255783081,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8714958
52009150286200,fov,2332,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8690397
52009159500500,range,1000,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947933197021484,""y"":39.34811019897461}",-4.8598254
52009178587000,target_offset,188,"{""x_angle_offset"":1.3125,""y_angle_offset"":0.0}",-4.8407389
52009195033400,gimbal,2333,"{""imu_roll"":0.0,""imu_pitch"":19.690082550048828,""imu_yaw"":0.837431788444519,""frame_roll"":0.0,""frame_pitch"":19.690082550048828,""frame_yaw"":0.837431788444519,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8242925
52009195347600,fov,2333,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8239783
52009198689100,position,485,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469546784,""lon"":393493799}",-4.8206368
52009198795000,vfr,485,"{""message_type"":""VFR_HUD"",""airspeed"":30.08305549621582,""alt"":176.67999267578125}",-4.8205309
52009198890900,attitude,967,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111170,""roll"":-0.09299370646476746,""pitch"":0.17313987016677856,""yaw"":-3.0568230152130127,""rollspeed"":0.4137146472930908,""pitchspeed"":0.013035941869020462,""yawspeed"":-0.016091229394078255}",-4.820435
52009222032400,target_offset,189,"{""x_angle_offset"":1.21875,""y_angle_offset"":0.0}",-4.7972935
52009235353000,attitude,968,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111210,""roll"":-0.07674676179885864,""pitch"":0.17357325553894043,""yaw"":-3.0569498538970947,""rollspeed"":0.3633292615413666,""pitchspeed"":0.008350452408194542,""yawspeed"":-0.010158931836485863}",-4.7839729
52009239181800,gimbal,2334,"{""imu_roll"":0.0,""imu_pitch"":19.688980102539062,""imu_yaw"":1.3648829460144043,""frame_roll"":0.0,""frame_pitch"":19.688980102539062,""frame_yaw"":1.3648829460144043,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7801441
52009240232300,fov,2334,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7790936
52009267115500,target_offset,190,"{""x_angle_offset"":0.9375,""y_angle_offset"":0.0}",-4.7522104
52009279446000,gimbal,2335,"{""imu_roll"":0.0,""imu_pitch"":19.688371658325195,""imu_yaw"":1.7471466064453125,""frame_roll"":0.0,""frame_pitch"":19.688371658325195,""frame_yaw"":1.7471466064453125,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7398799
52009279876100,fov,2335,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7394498
52009294520400,range,1001,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94786834716797,""y"":39.347984313964844}",-4.7248055
52009306099100,range,1002,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94786834716797,""y"":39.347984313964844}",-4.7132268
52009306280600,position,486,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469546784,""lon"":393493799}",-4.7130453
52009306429600,attitude,969,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111270,""roll"":-0.05614955723285675,""pitch"":0.17394377291202545,""yaw"":-3.0566654205322266,""rollspeed"":0.2857778072357178,""pitchspeed"":0.002390013076364994,""yawspeed"":-0.0018735543126240373}",-4.7128963
52009306617300,vfr,486,"{""message_type"":""VFR_HUD"",""airspeed"":30.03919792175293,""alt"":176.97999572753906}",-4.7127086
52009307583000,target_offset,191,"{""x_angle_offset"":0.9375,""y_angle_offset"":-0.10873242130985966}",-4.7117429
52009319744700,gimbal,2336,"{""imu_roll"":0.0,""imu_pitch"":19.64238166809082,""imu_yaw"":2.1358914375305176,""frame_roll"":0.0,""frame_pitch"":19.64238166809082,""frame_yaw"":2.1358914375305176,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6995812
52009320045300,fov,2336,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6992806
