event_monotonic_ns,event,value_json,session_time_s
53592911443300,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_0.94deg_15.8px"",""count"":4,""operator_like"":true,""tracker_state_preserved"":true}",-3.9079406
53592911855900,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":981,""pixel_y"":521,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-3.907528
53592911970100,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":4,""operator_like"":true,""control_interruption"":false}",-3.9074138
53593066503000,CONTROL_CALLBACK_GAP_RECOVERY,"{""raw_dt_s"":0.1456733000013628,""expected_dt_s"":0.041474218987432636,""gap_limit_s"":0.14515976645601422}",-3.7528809
53593359578700,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.9002925042416088,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":312.31456322808333}",-3.4598052
53594668504600,JSBSIM_RTF_WARNING_EXIT,"{""rtf_filtered"":0.9502031805466042,""allowed_low"":0.95,""allowed_high"":1.05}",-2.1508793
53595379629500,SIM_ACTIVE_COORDINATE_RECAPTURE_BEGIN,"{""mode"":""HUNTER"",""attack_state"":4,""reason"":""correlator_drift_1.97deg_33.0px"",""count"":5,""operator_like"":true,""tracker_state_preserved"":true}",-1.4397544
53595379995200,SIM_ACTIVE_COORDINATE_CAPTURE_SENT,"{""mode"":""HUNTER"",""attack_state"":4,""pixel_x"":923,""pixel_y"":575,""operator_like"":true,""tracker_state_preserved"":true,""bridge_preserved"":true}",-1.4393887
53595380056100,SIM_ACTIVE_COORDINATE_RECAPTURE_COMPLETE,"{""mode"":""HUNTER"",""attack_state"":4,""count"":5,""operator_like"":true,""control_interruption"":false}",-1.4393278
53595970836400,JSBSIM_RTF_WARNING_ENTER,"{""rtf_filtered"":0.8380096714640012,""allowed_low"":0.95,""allowed_high"":1.05,""sim_rate_hz"":200.0000000001819,""receive_rate_hz"":63.948023046867505}",-0.8485475
53596817352600,HUNTER_ATTACK_PITCH_THRESHOLD,"{""frame_pitch_deg"":-25.00709342956543,""frame_pitch_abs_deg"":25.00709342956543,""camera_pitch_down_deg"":25.00709342956543,""attack_angle_deg"":25.0,""source"":""camera_pitch_threshold_gimbal"",""sole_transition_condition"":true}",-0.0020313
