recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
618047441200,target_offset,205,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.21746484261971932}",-4.9995435
618051737300,range,1028,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94768142700195,""y"":39.34848403930664}",-4.9952474
618056937900,attitude,1026,"{""message_type"":""ATTITUDE"",""time_boot_ms"":114210,""roll"":-0.02479081228375435,""pitch"":0.16967494785785675,""yaw"":-3.0462231636047363,""rollspeed"":-0.014572768472135067,""pitchspeed"":0.00927846971899271,""yawspeed"":0.0006454272661358118}",-4.9900468
618057303900,range,1029,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94768142700195,""y"":39.34848403930664}",-4.9896808
618057434900,vfr,515,"{""message_type"":""VFR_HUD"",""airspeed"":30.075990676879883,""alt"":179.0800018310547}",-4.9895498
618057526000,position,515,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544742,""lon"":393494077}",-4.9894587
618061703800,gimbal,2370,"{""imu_roll"":0.0,""imu_pitch"":19.905366897583008,""imu_yaw"":-0.7860976457595825,""frame_roll"":0.0,""frame_pitch"":19.905366897583008,""frame_yaw"":-0.7860976457595825,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9852809
618061983900,fov,2370,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9850008
618091567200,target_offset,206,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.21746484261971932}",-4.9554175
618103605500,gimbal,2371,"{""imu_roll"":0.0,""imu_pitch"":19.98897361755371,""imu_yaw"":-0.8256791234016418,""frame_roll"":0.0,""frame_pitch"":19.98897361755371,""frame_yaw"":-0.8256791234016418,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9433792
618103931900,fov,2371,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9430528
618125460600,attitude,1027,"{""message_type"":""ATTITUDE"",""time_boot_ms"":114270,""roll"":-0.02484268695116043,""pitch"":0.1700233519077301,""yaw"":-3.0463287830352783,""rollspeed"":0.0015778476372361183,""pitchspeed"":0.008496501483023167,""yawspeed"":0.0008828821592032909}",-4.9215241
618136444500,target_offset,207,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.21746484261971932}",-4.9105402
618141847700,gimbal,2372,"{""imu_roll"":0.0,""imu_pitch"":20.0642032623291,""imu_yaw"":-0.8540552854537964,""frame_roll"":0.0,""frame_pitch"":20.0642032623291,""frame_yaw"":-0.8540552854537964,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.905137
