recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
1069349364000,target_offset,353,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.0}",-4.990276
1069352324200,attitude,1068,"{""message_type"":""ATTITUDE"",""time_boot_ms"":115970,""roll"":-2.890924042731058e-05,""pitch"":0.10317365825176239,""yaw"":-3.049065589904785,""rollspeed"":0.0002633088734000921,""pitchspeed"":-0.01995692402124405,""yawspeed"":0.0011619506403803825}",-4.9873158
1069363875900,fov,2467,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9757641
1069364114200,gimbal,2467,"{""imu_roll"":0.0,""imu_pitch"":22.30224609375,""imu_yaw"":-0.9451772570610046,""frame_roll"":0.0,""frame_pitch"":22.30224609375,""frame_yaw"":-0.9451772570610046,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9755258
1069393067700,position,534,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469530987,""lon"":393491084}",-4.9465723
1069393261600,attitude,1069,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116010,""roll"":3.630343417171389e-05,""pitch"":0.10223207622766495,""yaw"":-3.0490846633911133,""rollspeed"":0.0005873627960681915,""pitchspeed"":-0.020020660012960434,""yawspeed"":0.0012357309460639954}",-4.9463784
1069393344600,vfr,534,"{""message_type"":""VFR_HUD"",""airspeed"":29.129375457763672,""alt"":203.1699981689453}",-4.9462954
1069403986400,fov,2468,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9356536
1069404234200,gimbal,2468,"{""imu_roll"":0.0,""imu_pitch"":22.30224609375,""imu_yaw"":-0.9684799313545227,""frame_roll"":0.0,""frame_pitch"":22.30224609375,""frame_yaw"":-0.9684799313545227,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9354058
1069445319800,fov,2469,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8943202
1069445721000,gimbal,2469,"{""imu_roll"":0.0,""imu_pitch"":22.30224609375,""imu_yaw"":-0.9864236116409302,""frame_roll"":0.0,""frame_pitch"":22.30224609375,""frame_yaw"":-0.9864236116409302,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.893919
1069453746200,attitude,1070,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116070,""roll"":0.00016152812168002129,""pitch"":0.10086457431316376,""yaw"":-3.0491063594818115,""rollspeed"":0.0011192818637937307,""pitchspeed"":-0.01879357546567917,""yawspeed"":0.0012982855550944805}",-4.8858938
1069463875800,range,1058,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948665618896484,""y"":39.34861755371094}",-4.8757642
1069473465000,target_offset,354,"{""x_angle_offset"":-0.5625,""y_angle_offset"":-0.7611269491690176}",-4.866175
1069476311700,range,1059,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948665618896484,""y"":39.34861755371094}",-4.8633283
1069486445900,fov,2470,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8531941
1069486823900,gimbal,2470,"{""imu_roll"":0.0,""imu_pitch"":21.987777709960938,""imu_yaw"":-1.2149238586425781,""frame_roll"":0.0,""frame_pitch"":21.987777709960938,""frame_yaw"":-1.2149238586425781,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8528161
1069495782400,vfr,535,"{""message_type"":""VFR_HUD"",""airspeed"":29.165157318115234,""alt"":203.2899932861328}",-4.8438576
1069495868100,position,535,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469530987,""lon"":393491084}",-4.8437719
1069496090700,attitude,1071,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116110,""roll"":0.0002607140922918916,""pitch"":0.10000449419021606,""yaw"":-3.0491199493408203,""rollspeed"":0.0013917258474975824,""pitchspeed"":-0.01771877519786358,""yawspeed"":0.0013897353783249855}",-4.8435493
1069514943900,target_offset,355,"{""x_angle_offset"":-0.46875,""y_angle_offset"":-0.7611269491690176}",-4.8246961
1069532546000,fov,2471,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.807094
1069533550300,gimbal,2471,"{""imu_roll"":0.0,""imu_pitch"":21.65415382385254,""imu_yaw"":-1.4179246425628662,""frame_roll"":0.0,""frame_pitch"":21.65415382385254,""frame_yaw"":-1.4179246425628662,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8060897
1069558571700,attitude,1072,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116170,""roll"":0.0004272186488378793,""pitch"":0.09878876060247421,""yaw"":-3.049133062362671,""rollspeed"":0.0017760081682354212,""pitchspeed"":-0.01625675894320011,""yawspeed"":0.0014168713241815567}",-4.7810683
1069570925400,target_offset,356,"{""x_angle_offset"":-0.46875,""y_angle_offset"":-0.7611269491690176}",-4.7687146
1069586030100,fov,2472,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7536099
1069586507100,gimbal,2472,"{""imu_roll"":0.0,""imu_pitch"":21.209314346313477,""imu_yaw"":-1.680102825164795,""frame_roll"":0.0,""frame_pitch"":21.209314346313477,""frame_yaw"":-1.680102825164795,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7531329
1069599945600,position,536,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469530409,""lon"":393491006}",-4.7396944
1069600172700,attitude,1073,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116210,""roll"":0.0005388084682635963,""pitch"":0.09814650565385818,""yaw"":-3.0491392612457275,""rollspeed"":0.0012839448172599077,""pitchspeed"":-0.015717096626758575,""yawspeed"":0.001535331830382347}",-4.7394673
1069600248200,vfr,536,"{""message_type"":""VFR_HUD"",""airspeed"":29.219928741455078,""alt"":203.38999938964844}",-4.7393918
1069617636500,target_offset,357,"{""x_angle_offset"":-0.28125,""y_angle_offset"":-0.43492968523943865}",-4.7220035
1069618416000,range,1060,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94780349731445,""y"":39.34861373901367}",-4.721224
1069622090700,range,1061,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94780349731445,""y"":39.34861373901367}",-4.7175493
1069630282200,fov,2473,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7093578
1069630575300,gimbal,2473,"{""imu_roll"":0.0,""imu_pitch"":21.01088523864746,""imu_yaw"":-1.806993007659912,""frame_roll"":0.0,""frame_pitch"":21.01088523864746,""frame_yaw"":-1.806993007659912,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7090647
1069660721600,target_offset,358,"{""x_angle_offset"":-0.1875,""y_angle_offset"":-0.10873242130985966}",-4.6789184
1069663964400,attitude,1074,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116270,""roll"":0.0007018806645646691,""pitch"":0.09723182022571564,""yaw"":-3.0491416454315186,""rollspeed"":0.001543001038953662,""pitchspeed"":-0.014596578665077686,""yawspeed"":0.001637937966734171}",-4.6756756
1069672839000,fov,2474,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.666801
1069673116500,gimbal,2474,"{""imu_roll"":0.0,""imu_pitch"":20.962549209594727,""imu_yaw"":-1.8822705745697021,""frame_roll"":0.0,""frame_pitch"":20.962549209594727,""frame_yaw"":-1.8822705745697021,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6665235
1069703021300,target_offset,359,"{""x_angle_offset"":0.0,""y_angle_offset"":0.21746484261971932}",-4.6366187
1069708603000,attitude,1075,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116310,""roll"":0.0008083656430244446,""pitch"":0.09665104001760483,""yaw"":-3.0491392612457275,""rollspeed"":0.00115399737842381,""pitchspeed"":-0.014196490868926048,""yawspeed"":0.0017516505904495716}",-4.631037
1069708698300,vfr,537,"{""message_type"":""VFR_HUD"",""airspeed"":29.258207321166992,""alt"":203.5}",-4.6309417
1069708768600,position,537,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469530409,""lon"":393491006}",-4.6308714
1069718255000,fov,2475,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.621385
1069718492600,gimbal,2475,"{""imu_roll"":0.0,""imu_pitch"":21.050020217895508,""imu_yaw"":-1.8795723915100098,""frame_roll"":0.0,""frame_pitch"":21.050020217895508,""frame_yaw"":-1.8795723915100098,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6211474
1069746585700,target_offset,360,"{""x_angle_offset"":0.0,""y_angle_offset"":0.326197263929579}",-4.5930543
1069758702300,fov,2476,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5809377
1069763385200,gimbal,2476,"{""imu_roll"":0.0,""imu_pitch"":21.174121856689453,""imu_yaw"":-1.878182291984558,""frame_roll"":0.0,""frame_pitch"":21.174121856689453,""frame_yaw"":-1.878182291984558,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5762548
1069769213600,attitude,1076,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116370,""roll"":0.0007832447881810367,""pitch"":0.09581730514764786,""yaw"":-3.049140214920044,""rollspeed"":-0.005274699069559574,""pitchspeed"":-0.013394667766988277,""yawspeed"":0.001454510260373354}",-4.5704264
1069785459700,target_offset,361,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.326197263929579}",-4.5541803
1069789483800,range,1062,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94780349731445,""y"":39.3486328125}",-4.5501562
1069798122100,fov,2477,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5415179
1069798579900,gimbal,2477,"{""imu_roll"":0.0,""imu_pitch"":21.299440383911133,""imu_yaw"":-1.8419049978256226,""frame_roll"":0.0,""frame_pitch"":21.299440383911133,""frame_yaw"":-1.8419049978256226,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5410601
1069808754100,range,1063,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94780349731445,""y"":39.3486328125}",-4.5308859
1069808995600,attitude,1077,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116410,""roll"":0.0002107160398736596,""pitch"":0.09534613788127899,""yaw"":-3.0491762161254883,""rollspeed"":-0.018902456387877464,""pitchspeed"":-0.013400720432400703,""yawspeed"":0.0005292324349284172}",-4.5306444
1069809074900,vfr,538,"{""message_type"":""VFR_HUD"",""airspeed"":29.28497314453125,""alt"":203.59999084472656}",-4.5305651
1069809148800,position,538,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469529831,""lon"":393490928}",-4.5304912
1069825853800,target_offset,362,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.326197263929579}",-4.5137862
1069839686100,fov,2478,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.4999539
1069840338900,gimbal,2478,"{""imu_roll"":0.0,""imu_pitch"":21.426963806152344,""imu_yaw"":-1.8018141984939575,""frame_roll"":0.0,""frame_pitch"":21.426963806152344,""frame_yaw"":-1.8018141984939575,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4993011
1069867881100,target_offset,363,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.326197263929579}",-4.4717589
1069872884800,attitude,1078,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116470,""roll"":-0.0020101701375097036,""pitch"":0.09476127475500107,""yaw"":-3.049299478530884,""rollspeed"":-0.04819352552294731,""pitchspeed"":-0.013115123845636845,""yawspeed"":-0.0014414452016353607}",-4.4667552
1069881675100,fov,2479,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.4579649
1069882028600,gimbal,2479,"{""imu_roll"":0.0,""imu_pitch"":21.572723388671875,""imu_yaw"":-1.7534608840942383,""frame_roll"":0.0,""frame_pitch"":21.572723388671875,""frame_yaw"":-1.7534608840942383,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4576114
1069911318700,target_offset,364,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.4283213
1069915815700,vfr,539,"{""message_type"":""VFR_HUD"",""airspeed"":29.333444595336914,""alt"":203.67999267578125}",-4.4238243
1069915901500,position,539,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469529831,""lon"":393490928}",-4.4237385
1069916077900,attitude,1079,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116510,""roll"":-0.004591958597302437,""pitch"":0.09437228739261627,""yaw"":-3.049443244934082,""rollspeed"":-0.07085742056369781,""pitchspeed"":-0.013233750127255917,""yawspeed"":-0.003172047436237335}",-4.4235621
1069929458000,fov,2480,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.410182
1069933960200,gimbal,2480,"{""imu_roll"":0.0,""imu_pitch"":21.615703582763672,""imu_yaw"":-1.7031210660934448,""frame_roll"":0.0,""frame_pitch"":21.615703582763672,""frame_yaw"":-1.7031210660934448,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4056798
1069944940500,range,1064,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94855880737305,""y"":39.34866714477539}",-4.3946995
1069957090200,target_offset,365,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.0}",-4.3825498
1069963243600,range,1065,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94855880737305,""y"":39.34866714477539}",-4.3763964
1069972089700,fov,2481,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.3675503
1069974058100,gimbal,2481,"{""imu_roll"":0.0,""imu_pitch"":21.60830307006836,""imu_yaw"":-1.656049370765686,""frame_roll"":0.0,""frame_pitch"":21.60830307006836,""frame_yaw"":-1.656049370765686,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.3655819
1069982580700,attitude,1080,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116570,""roll"":-0.010158175602555275,""pitch"":0.09375730901956558,""yaw"":-3.0497665405273438,""rollspeed"":-0.10414537787437439,""pitchspeed"":-0.013858086429536343,""yawspeed"":-0.006145748309791088}",-4.3570593
1070002196100,target_offset,366,"{""x_angle_offset"":0.0,""y_angle_offset"":0.0}",-4.3374439
1070015667800,fov,2482,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.3239722
1070016011500,gimbal,2482,"{""imu_roll"":0.0,""imu_pitch"":21.604501724243164,""imu_yaw"":-1.6484369039535522,""frame_roll"":0.0,""frame_pitch"":21.604501724243164,""frame_yaw"":-1.6484369039535522,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.3236285
1070025199200,position,540,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469529250,""lon"":393490851}",-4.3144408
1070025451200,attitude,1081,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116610,""roll"":-0.014909312129020691,""pitch"":0.0933246836066246,""yaw"":-3.050036668777466,""rollspeed"":-0.1239604651927948,""pitchspeed"":-0.01430486049503088,""yawspeed"":-0.008013799786567688}",-4.3141888
1070025534500,vfr,540,"{""message_type"":""VFR_HUD"",""airspeed"":29.367326736450195,""alt"":203.77999877929688}",-4.3141055
1070045700100,target_offset,367,"{""x_angle_offset"":-0.09375,""y_angle_offset"":-0.10873242130985966}",-4.2939399
1070060416500,fov,2483,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.2792235
1070060717200,gimbal,2483,"{""imu_roll"":0.0,""imu_pitch"":21.552968978881836,""imu_yaw"":-1.6797146797180176,""frame_roll"":0.0,""frame_pitch"":21.552968978881836,""frame_yaw"":-1.6797146797180176,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.2789228
1070090053500,range,1066,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94849395751953,""y"":39.3486328125}",-4.2495865
1070090822100,target_offset,368,"{""x_angle_offset"":-0.28125,""y_angle_offset"":-0.10873242130985966}",-4.2488179
1070090935700,range,1067,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94849395751953,""y"":39.3486328125}",-4.2487043
1070091093500,attitude,1082,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116670,""roll"":-0.023378754034638405,""pitch"":0.09258817136287689,""yaw"":-3.0505611896514893,""rollspeed"":-0.14557059109210968,""pitchspeed"":-0.014659025706350803,""yawspeed"":-0.010966889560222626}",-4.2485465
1070101026300,fov,2484,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.2386137
1070101315400,gimbal,2484,"{""imu_roll"":0.0,""imu_pitch"":21.498960494995117,""imu_yaw"":-1.7858277559280396,""frame_roll"":0.0,""frame_pitch"":21.498960494995117,""frame_yaw"":-1.7858277559280396,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.2383246
1070128903300,target_offset,369,"{""x_angle_offset"":-0.28125,""y_angle_offset"":-0.10873242130985966}",-4.2107367
1070130671400,vfr,541,"{""message_type"":""VFR_HUD"",""airspeed"":29.420913696289062,""alt"":203.86000061035156}",-4.2089686
1070130752400,position,541,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469529250,""lon"":393490851}",-4.2088876
1070130916200,attitude,1083,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116710,""roll"":-0.029505794867873192,""pitch"":0.09208069741725922,""yaw"":-3.0509488582611084,""rollspeed"":-0.1526038646697998,""pitchspeed"":-0.015025747939944267,""yawspeed"":-0.012523574754595757}",-4.2087238
1070139842800,fov,2485,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.1997972
1070140158700,gimbal,2485,"{""imu_roll"":0.0,""imu_pitch"":21.45245361328125,""imu_yaw"":-1.887265682220459,""frame_roll"":0.0,""frame_pitch"":21.45245361328125,""frame_yaw"":-1.887265682220459,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.1994813
1070171608900,target_offset,370,"{""x_angle_offset"":-0.375,""y_angle_offset"":-0.10873242130985966}",-4.1680311
1070182378000,fov,2486,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.157262
1070182752600,gimbal,2486,"{""imu_roll"":0.0,""imu_pitch"":21.40423011779785,""imu_yaw"":-2.021836519241333,""frame_roll"":0.0,""frame_pitch"":21.40423011779785,""frame_yaw"":-2.021836519241333,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.1568874
1070191721100,attitude,1084,"{""message_type"":""ATTITUDE"",""time_boot_ms"":116770,""roll"":-0.03883529454469681,""pitch"":0.0913008525967598,""yaw"":-3.0516085624694824,""rollspeed"":-0.15286897122859955,""pitchspeed"":-0.015142868272960186,""yawspeed"":-0.014378167688846588}",-4.1479189
1070213060700,target_offset,371,"{""x_angle_offset"":-0.375,""y_angle_offset"":0.0}",-4.1265793
1070225786900,fov,2487,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.1138531
1070226031700,gimbal,2487,"{""imu_roll"":0.0,""imu_pitch"":21.402986526489258,""imu_yaw"":-2.1711342334747314,""frame_roll"":0.0,""frame_pitch"":21.402986526489258,""frame_yaw"":-2.1711342334747314,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.1136083
