recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
1668219243200,range,993,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94757080078125,""y"":39.34850311279297}",-4.9940081
1668222116000,target_offset,233,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.9911353
1668227618100,range,994,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94757080078125,""y"":39.34850311279297}",-4.9856332
1668227885300,attitude,984,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111470,""roll"":1.3593028597824741e-05,""pitch"":0.17281505465507507,""yaw"":-3.0611412525177,""rollspeed"":-0.004185844212770462,""pitchspeed"":0.0074550313875079155,""yawspeed"":0.0029343250207602978}",-4.985366
1668237835000,fov,2359,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9754163
1668238161100,gimbal,2359,"{""imu_roll"":0.0,""imu_pitch"":18.553823471069336,""imu_yaw"":-0.15832674503326416,""frame_roll"":0.0,""frame_pitch"":18.553823471069336,""frame_yaw"":-0.15832674503326416,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9750902
1668268991700,target_offset,234,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.9442596
1668270196800,vfr,493,"{""message_type"":""VFR_HUD"",""airspeed"":30.130069732666016,""alt"":169.70999145507812}",-4.9430545
1668270270400,position,493,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544177,""lon"":393492887}",-4.9429809
1668270453000,attitude,985,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111510,""roll"":-9.688071440905333e-05,""pitch"":0.17278091609477997,""yaw"":-3.0611119270324707,""rollspeed"":-0.004104627296328545,""pitchspeed"":0.007083459757268429,""yawspeed"":0.0028378027491271496}",-4.9427983
1668284894700,fov,2360,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9283566
1668285208800,gimbal,2360,"{""imu_roll"":0.0,""imu_pitch"":18.601085662841797,""imu_yaw"":-0.1562117487192154,""frame_roll"":0.0,""frame_pitch"":18.601085662841797,""frame_yaw"":-0.1562117487192154,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9280425
1668316283300,target_offset,235,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.896968
1668327627200,attitude,986,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111570,""roll"":-0.00019467332458589226,""pitch"":0.1727411150932312,""yaw"":-3.0610547065734863,""rollspeed"":-0.002859072992578149,""pitchspeed"":0.007512770593166351,""yawspeed"":0.0029506185092031956}",-4.8856241
1668328849100,fov,2361,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8844022
1668329297500,gimbal,2361,"{""imu_roll"":0.0,""imu_pitch"":18.646055221557617,""imu_yaw"":-0.15510500967502594,""frame_roll"":0.0,""frame_pitch"":18.646055221557617,""frame_yaw"":-0.15510500967502594,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8839538
1668361761300,target_offset,236,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.85149
1668371795300,vfr,494,"{""message_type"":""VFR_HUD"",""airspeed"":30.130229949951172,""alt"":169.9199981689453}",-4.841456
1668371935400,position,494,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543592,""lon"":393492818}",-4.8413159
1668372172500,attitude,987,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":-0.00021614739671349525,""pitch"":0.17272734642028809,""yaw"":-3.061013698577881,""rollspeed"":-0.002399178221821785,""pitchspeed"":0.00786653533577919,""yawspeed"":0.0029883827082812786}",-4.8410788
1668372354500,range,995,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947505950927734,""y"":39.34849548339844}",-4.8408968
1668375857600,fov,2362,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8373937
1668376157000,gimbal,2362,"{""imu_roll"":0.0,""imu_pitch"":18.691749572753906,""imu_yaw"":-0.15449190139770508,""frame_roll"":0.0,""frame_pitch"":18.691749572753906,""frame_yaw"":-0.15449190139770508,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8370943
1668390408400,range,996,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947505950927734,""y"":39.34849548339844}",-4.8228429
1668407711500,target_offset,237,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.8055398
1668423217600,fov,2363,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7900337
1668424375800,gimbal,2363,"{""imu_roll"":0.0,""imu_pitch"":18.732566833496094,""imu_yaw"":-0.15419791638851166,""frame_roll"":0.0,""frame_pitch"":18.732566833496094,""frame_yaw"":-0.15419791638851166,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7888755
1668431231900,attitude,988,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":-0.0002281362540088594,""pitch"":0.1727360635995865,""yaw"":-3.0609495639801025,""rollspeed"":-0.0019258569227531552,""pitchspeed"":0.008232196792960167,""yawspeed"":0.0030146162025630474}",-4.7820194
1668449615700,target_offset,238,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.7636356
1668461826000,fov,2364,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7514253
1668462258000,gimbal,2364,"{""imu_roll"":0.0,""imu_pitch"":18.775148391723633,""imu_yaw"":-0.1540287584066391,""frame_roll"":0.0,""frame_pitch"":18.775148391723633,""frame_yaw"":-0.1540287584066391,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7509933
1668473572400,position,495,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543592,""lon"":393492818}",-4.7396789
1668473834100,attitude,989,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111710,""roll"":-0.0002448210143484175,""pitch"":0.17272624373435974,""yaw"":-3.060903549194336,""rollspeed"":-0.0024127154611051083,""pitchspeed"":0.007722627371549606,""yawspeed"":0.0030855881050229073}",-4.7394172
1668473953700,vfr,495,"{""message_type"":""VFR_HUD"",""airspeed"":30.130342483520508,""alt"":170.12998962402344}",-4.7392976
1668492656800,target_offset,239,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.7205945
1668506808300,fov,2365,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.706443
1668507010700,gimbal,2365,"{""imu_roll"":0.0,""imu_pitch"":18.81822395324707,""imu_yaw"":-0.1539333164691925,""frame_roll"":0.0,""frame_pitch"":18.81822395324707,""frame_yaw"":-0.1539333164691925,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7062406
1668529216500,range,997,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947505950927734,""y"":39.34849548339844}",-4.6840348
1668535865000,target_offset,240,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.6773863
1668536052700,range,998,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947505950927734,""y"":39.34849548339844}",-4.6771986
1668536273900,attitude,990,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111770,""roll"":-0.0002983087033499032,""pitch"":0.1726771742105484,""yaw"":-3.06083083152771,""rollspeed"":-0.0029911655001342297,""pitchspeed"":0.007090989965945482,""yawspeed"":0.0030583878979086876}",-4.6769774
1668551246700,fov,2366,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6620046
1668551447000,gimbal,2366,"{""imu_roll"":0.0,""imu_pitch"":18.861310958862305,""imu_yaw"":-0.15387970209121704,""frame_roll"":0.0,""frame_pitch"":18.861310958862305,""frame_yaw"":-0.15387970209121704,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6618043
1668576937400,target_offset,241,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.6363139
1668578238900,vfr,496,"{""message_type"":""VFR_HUD"",""airspeed"":30.130420684814453,""alt"":170.34999084472656}",-4.6350124
1668578346000,position,496,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543007,""lon"":393492747}",-4.6349053
1668578565100,attitude,991,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111810,""roll"":-0.00033589600934647024,""pitch"":0.17262649536132812,""yaw"":-3.0607800483703613,""rollspeed"":-0.003281194716691971,""pitchspeed"":0.006658424623310566,""yawspeed"":0.003086622804403305}",-4.6346862
1668596593500,fov,2367,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.6166578
1668596876900,gimbal,2367,"{""imu_roll"":0.0,""imu_pitch"":18.90711212158203,""imu_yaw"":-0.15380859375,""frame_roll"":0.0,""frame_pitch"":18.90711212158203,""frame_yaw"":-0.15380859375,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.6163744
1668625830800,target_offset,242,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.5874205
1668634911800,fov,2368,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.5783395
1668635208900,gimbal,2368,"{""imu_roll"":0.0,""imu_pitch"":18.948692321777344,""imu_yaw"":-0.15380859375,""frame_roll"":0.0,""frame_pitch"":18.948692321777344,""frame_yaw"":-0.15380859375,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5780424
1668639857800,attitude,992,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111870,""roll"":-0.00041273864917457104,""pitch"":0.17253190279006958,""yaw"":-3.0606980323791504,""rollspeed"":-0.003692873287945986,""pitchspeed"":0.0063576302491128445,""yawspeed"":0.0030740504153072834}",-4.5733935
1668666068500,target_offset,243,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.5471828
1668676937600,attitude,993,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111910,""roll"":-0.00047075640759430826,""pitch"":0.17246603965759277,""yaw"":-3.0606441497802734,""rollspeed"":-0.003712744452059269,""pitchspeed"":0.006436547730118036,""yawspeed"":0.0030898693948984146}",-4.5363137
1668677091000,vfr,497,"{""message_type"":""VFR_HUD"",""airspeed"":30.130474090576172,""alt"":170.55999755859375}",-4.5361603
1668677183700,position,497,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543007,""lon"":393492747}",-4.5360676
1668677676300,fov,2369,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.535575
1668677934800,gimbal,2369,"{""imu_roll"":0.0,""imu_pitch"":18.991626739501953,""imu_yaw"":-0.15380859375,""frame_roll"":0.0,""frame_pitch"":18.991626739501953,""frame_yaw"":-0.15380859375,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.5353165
1668702530500,range,999,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947452545166016,""y"":39.34848403930664}",-4.5107208
1668707302400,target_offset,244,"{""x_angle_offset"":0.0,""y_angle_offset"":0.21746484261971932}",-4.5059489
1668715347200,range,1000,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.947452545166016,""y"":39.34848403930664}",-4.4979041
1668721459200,fov,2370,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.4917921
1668721778900,gimbal,2370,"{""imu_roll"":0.0,""imu_pitch"":19.085044860839844,""imu_yaw"":-0.15380859375,""frame_roll"":0.0,""frame_pitch"":19.085044860839844,""frame_yaw"":-0.15380859375,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.4914724
1668733415500,attitude,994,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111970,""roll"":-0.0005229238886386156,""pitch"":0.17240741848945618,""yaw"":-3.060556411743164,""rollspeed"":-0.0032354011200368404,""pitchspeed"":0.007489281706511974,""yawspeed"":0.003109556157141924}",-4.4798358
1668751532700,target_offset,245,"{""x_angle_offset"":0.0,""y_angle_offset"":0.21746484261971932}",-4.4617186
