recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
3368330098700,target_offset,247,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.9876116
3368340895400,gimbal,2400,"{""imu_roll"":0.0,""imu_pitch"":16.743162155151367,""imu_yaw"":-0.45319172739982605,""frame_roll"":0.0,""frame_pitch"":16.743162155151367,""frame_yaw"":-0.45319172739982605,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9768149
3368341097400,fov,2400,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9766129
3368349347100,vfr,502,"{""message_type"":""VFR_HUD"",""airspeed"":30.355627059936523,""alt"":158.47999572753906}",-4.9683632
3368349603900,attitude,1005,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112710,""roll"":-0.015449524857103825,""pitch"":0.1757843792438507,""yaw"":-3.05777645111084,""rollspeed"":0.010344050824642181,""pitchspeed"":0.013090010732412338,""yawspeed"":-0.008625649847090244}",-4.9681064
3368349710600,position,502,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544071,""lon"":393493053}",-4.9679997
3368368042300,target_offset,248,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.949668
3368377499300,gimbal,2401,"{""imu_roll"":0.0,""imu_pitch"":16.776363372802734,""imu_yaw"":-0.4090251624584198,""frame_roll"":0.0,""frame_pitch"":16.776363372802734,""frame_yaw"":-0.4090251624584198,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.940211
3368377732100,fov,2401,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9399782
3368405774300,target_offset,249,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.911936
3368406513200,attitude,1006,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112770,""roll"":-0.015041948296129704,""pitch"":0.17554646730422974,""yaw"":-3.058358669281006,""rollspeed"":0.011041263118386269,""pitchspeed"":0.012971346266567707,""yawspeed"":-0.00811746995896101}",-4.9111971
3368411915300,range,1011,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.945945739746094,""y"":39.34830093383789}",-4.905795
3368421334300,gimbal,2402,"{""imu_roll"":0.0,""imu_pitch"":16.818815231323242,""imu_yaw"":-0.3579391539096832,""frame_roll"":0.0,""frame_pitch"":16.818815231323242,""frame_yaw"":-0.3579391539096832,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.896376
3368421651400,fov,2402,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8960589
3368426155600,range,1012,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.945945739746094,""y"":39.34830093383789}",-4.8915547
3368448162100,vfr,503,"{""message_type"":""VFR_HUD"",""airspeed"":30.374563217163086,""alt"":158.6199951171875}",-4.8695482
3368448256800,position,503,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544071,""lon"":393493053}",-4.8694535
3368448437200,attitude,1007,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112810,""roll"":-0.014751606620848179,""pitch"":0.17538712918758392,""yaw"":-3.0587258338928223,""rollspeed"":0.0112741868942976,""pitchspeed"":0.012957806698977947,""yawspeed"":-0.00775856152176857}",-4.8692731
3368449784000,target_offset,250,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.8679263
3368462808400,gimbal,2403,"{""imu_roll"":0.0,""imu_pitch"":16.85924530029297,""imu_yaw"":-0.3501830995082855,""frame_roll"":0.0,""frame_pitch"":16.85924530029297,""frame_yaw"":-0.3501830995082855,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8549019
3368463072400,fov,2403,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8546379
3368489801200,target_offset,251,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.8279091
3368500385800,gimbal,2404,"{""imu_roll"":0.0,""imu_pitch"":16.89960479736328,""imu_yaw"":-0.3377850651741028,""frame_roll"":0.0,""frame_pitch"":16.89960479736328,""frame_yaw"":-0.3377850651741028,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8173245
3368500669700,fov,2404,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8170406
3368509350400,attitude,1008,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112870,""roll"":-0.014297503978013992,""pitch"":0.17515508830547333,""yaw"":-3.0592453479766846,""rollspeed"":0.011619437485933304,""pitchspeed"":0.013175701722502708,""yawspeed"":-0.007197943050414324}",-4.8083599
3368527960000,target_offset,252,"{""x_angle_offset"":0.0,""y_angle_offset"":0.10873242130985966}",-4.7897503
3368540513100,gimbal,2405,"{""imu_roll"":0.0,""imu_pitch"":16.942832946777344,""imu_yaw"":-0.3294065594673157,""frame_roll"":0.0,""frame_pitch"":16.942832946777344,""frame_yaw"":-0.3294065594673157,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7771972
3368540790400,fov,2405,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7769199
3368548947200,position,504,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543478,""lon"":393492988}",-4.7687631
3368549132900,attitude,1009,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112910,""roll"":-0.01391387078911066,""pitch"":0.17518049478530884,""yaw"":-3.059555768966675,""rollspeed"":0.01225719228386879,""pitchspeed"":0.013744756579399109,""yawspeed"":-0.0067339674569666386}",-4.7685774
