recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
4133624020600,target_offset,206,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.0}",-5.0006639
4133639149600,fov,2255,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9855349
4133639478300,gimbal,2255,"{""imu_roll"":0.0,""imu_pitch"":20.305356979370117,""imu_yaw"":1.1321256160736084,""frame_roll"":0.0,""frame_pitch"":20.305356979370117,""frame_yaw"":1.1321256160736084,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9852062
4133642205600,range,988,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94852828979492,""y"":39.348846435546875}",-4.9824789
4133660992300,attitude,960,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110270,""roll"":0.07506715506315231,""pitch"":0.17119945585727692,""yaw"":-3.0868892669677734,""rollspeed"":-0.13781815767288208,""pitchspeed"":-0.0005950067425146699,""yawspeed"":-0.02328994683921337}",-4.9636922
4133669256800,target_offset,207,"{""x_angle_offset"":0.09375,""y_angle_offset"":0.10873242130985966}",-4.9554277
4133678517300,gimbal,2256,"{""imu_roll"":0.0,""imu_pitch"":20.350740432739258,""imu_yaw"":1.189092755317688,""frame_roll"":0.0,""frame_pitch"":20.350740432739258,""frame_yaw"":1.189092755317688,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9461672
4133680793800,fov,2256,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9438907
4133694257000,position,481,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545471,""lon"":393492520}",-4.9304275
4133694451200,attitude,961,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110310,""roll"":0.06715027242898941,""pitch"":0.17126275599002838,""yaw"":-3.0888946056365967,""rollspeed"":-0.15292875468730927,""pitchspeed"":-0.001163274748250842,""yawspeed"":-0.02982369251549244}",-4.9302333
4133694543000,vfr,481,"{""message_type"":""VFR_HUD"",""airspeed"":29.764047622680664,""alt"":181.27999877929688}",-4.9301415
4133707486400,target_offset,208,"{""x_angle_offset"":0.0,""y_angle_offset"":0.43492968523943865}",-4.9171981
4133725478800,fov,2257,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8992057
4133725844700,gimbal,2257,"{""imu_roll"":0.0,""imu_pitch"":20.53676414489746,""imu_yaw"":1.2285621166229248,""frame_roll"":0.0,""frame_pitch"":20.53676414489746,""frame_yaw"":1.2285621166229248,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8988398
4133754161600,target_offset,209,"{""x_angle_offset"":0.0,""y_angle_offset"":0.43492968523943865}",-4.8705229
4133757286900,attitude,962,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110370,""roll"":0.054166343063116074,""pitch"":0.17131823301315308,""yaw"":-3.092318534851074,""rollspeed"":-0.17252375185489655,""pitchspeed"":-0.0016498054610565305,""yawspeed"":-0.03925655037164688}",-4.8673976
4133766356500,fov,2258,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.858328
4133766707400,gimbal,2258,"{""imu_roll"":0.0,""imu_pitch"":20.71597671508789,""imu_yaw"":1.2574543952941895,""frame_roll"":0.0,""frame_pitch"":20.71597671508789,""frame_yaw"":1.2574543952941895,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8579771
4133790486500,range,989,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.9484748840332,""y"":39.348785400390625}",-4.834198
4133795899400,target_offset,210,"{""x_angle_offset"":-0.09375,""y_angle_offset"":0.43492968523943865}",-4.8287851
4133799165100,attitude,963,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110410,""roll"":0.04494436830282211,""pitch"":0.1713395118713379,""yaw"":-3.0948612689971924,""rollspeed"":-0.18160974979400635,""pitchspeed"":-0.001586850150488317,""yawspeed"":-0.04512256383895874}",-4.8255194
4133799252600,vfr,482,"{""message_type"":""VFR_HUD"",""airspeed"":29.69867515563965,""alt"":181.59999084472656}",-4.8254319
4133799315800,position,482,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469545471,""lon"":393492520}",-4.8253687
