recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
4291988037100,range,999,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94850540161133,""y"":39.34815979003906}",-5.0014007
4292009539400,vfr,499,"{""message_type"":""VFR_HUD"",""airspeed"":30.003870010375977,""alt"":178.5500030517578}",-4.9798984
4292010269800,position,499,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544511,""lon"":393493389}",-4.979168
4292010553000,attitude,998,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112010,""roll"":-0.1226288229227066,""pitch"":0.17001797258853912,""yaw"":-3.0248701572418213,""rollspeed"":0.05118396505713463,""pitchspeed"":0.012611624784767628,""yawspeed"":-0.06281407177448273}",-4.9788848
4292012999600,target_offset,200,"{""x_angle_offset"":0.65625,""y_angle_offset"":0.10873242130985966}",-4.9764382
4292025143800,gimbal,2350,"{""imu_roll"":0.0,""imu_pitch"":20.401580810546875,""imu_yaw"":-1.1928019523620605,""frame_roll"":0.0,""frame_pitch"":20.401580810546875,""frame_yaw"":-1.1928019523620605,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.964294
4292025474800,fov,2350,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.963963
4292056726900,target_offset,201,"{""x_angle_offset"":0.5625,""y_angle_offset"":0.10873242130985966}",-4.9327109
4292062490900,attitude,999,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112070,""roll"":-0.12107687443494797,""pitch"":0.17027248442173004,""yaw"":-3.0278491973876953,""rollspeed"":0.03978636860847473,""pitchspeed"":0.011414811946451664,""yawspeed"":-0.05429556965827942}",-4.9269469
4292069939300,gimbal,2351,"{""imu_roll"":0.0,""imu_pitch"":20.445266723632812,""imu_yaw"":-0.9376972913742065,""frame_roll"":0.0,""frame_pitch"":20.445266723632812,""frame_yaw"":-0.9376972913742065,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9194985
4292070276900,fov,2351,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9191609
4292101042800,target_offset,202,"{""x_angle_offset"":0.375,""y_angle_offset"":0.10873242130985966}",-4.888395
4292102345500,position,500,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544511,""lon"":393493389}",-4.8870923
4292102515600,attitude,1000,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112110,""roll"":-0.12022574245929718,""pitch"":0.17044498026371002,""yaw"":-3.0295064449310303,""rollspeed"":0.036299530416727066,""pitchspeed"":0.01061851903796196,""yawspeed"":-0.04817982763051987}",-4.8869222
4292102633700,vfr,500,"{""message_type"":""VFR_HUD"",""airspeed"":29.95460319519043,""alt"":178.84999084472656}",-4.8868041
4292111135000,gimbal,2352,"{""imu_roll"":0.0,""imu_pitch"":20.486709594726562,""imu_yaw"":-0.7753866910934448,""frame_roll"":0.0,""frame_pitch"":20.486709594726562,""frame_yaw"":-0.7753866910934448,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8783028
4292111572400,fov,2352,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8778654
4292117081100,range,1000,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94845199584961,""y"":39.348087310791016}",-4.8723567
4292122036900,range,1001,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94845199584961,""y"":39.348087310791016}",-4.8674009
4292140860500,target_offset,203,"{""x_angle_offset"":0.28125,""y_angle_offset"":0.10873242130985966}",-4.8485773
4292155985400,gimbal,2353,"{""imu_roll"":0.0,""imu_pitch"":20.530580520629883,""imu_yaw"":-0.649392306804657,""frame_roll"":0.0,""frame_pitch"":20.530580520629883,""frame_yaw"":-0.649392306804657,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8334524
4292156312000,fov,2353,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8331258
4292164436400,attitude,1001,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112170,""roll"":-0.11886558681726456,""pitch"":0.17069455981254578,""yaw"":-3.031514883041382,""rollspeed"":0.03767036274075508,""pitchspeed"":0.009238719008862972,""yawspeed"":-0.03842781111598015}",-4.8250014
4292186860200,target_offset,204,"{""x_angle_offset"":0.28125,""y_angle_offset"":0.21746484261971932}",-4.8025776
4292199442400,gimbal,2354,"{""imu_roll"":0.0,""imu_pitch"":20.62502670288086,""imu_yaw"":-0.5164613127708435,""frame_roll"":0.0,""frame_pitch"":20.62502670288086,""frame_yaw"":-0.5164613127708435,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7899954
4292201321700,fov,2354,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.7881161
4292207974100,position,501,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543935,""lon"":393493322}",-4.7814637
4292208187800,attitude,1002,"{""message_type"":""ATTITUDE"",""time_boot_ms"":112210,""roll"":-0.11770545691251755,""pitch"":0.17086705565452576,""yaw"":-3.032500982284546,""rollspeed"":0.04317731782793999,""pitchspeed"":0.008657559752464294,""yawspeed"":-0.031569112092256546}",-4.78125
4292208542500,vfr,501,"{""message_type"":""VFR_HUD"",""airspeed"":29.920066833496094,""alt"":179.12998962402344}",-4.7808953
4292231201300,target_offset,205,"{""x_angle_offset"":0.28125,""y_angle_offset"":0.21746484261971932}",-4.7582365
4292243277600,gimbal,2355,"{""imu_roll"":0.0,""imu_pitch"":20.708772659301758,""imu_yaw"":-0.39527156949043274,""frame_roll"":0.0,""frame_pitch"":20.708772659301758,""frame_yaw"":-0.39527156949043274,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.7461602
4292244053800,fov,2355,"{""zoom"":1.0,""hfov"":90.0,""vfov"":58.71550750732422,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.745384
