truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
13455,5221474972700,11.3016,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.315,2.155195066,7.405953427,183.265963,-1.209566829059746,0.4043341366642566,0.13550994680788653,1.6287198560110054,0.22081282248585843,-0.529751210978388,-33.27781708152,-2.05630883886,-2.3107071733440003,33.34128845064,2.3107071733440003,33.42126394728,3.964526122,183.535935259189,950.0916042072,74.93735402136,103.54393633056,46.95795116,39.3483185,103.61523298248,46.949405,39.347334,4.444492046736,33.36062785824,0.23243401918488002,1.9988411257032002,3.428844591,0.3984767212,0.07093644658,0.2918546087,677.3767105854507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09944681147,-0.008187115364,1.013196716,-14.769473728308613,-1.081399806644583,-133.82866662317736,13.135306466390315,-1.081399806644583,-133.82866662317736,27.90478019469893,0.0,0.0,1.2564963625209258,-0.10680711450173141,-0.08822145632576278,0.12144342008028931,0.020194268624813647,-0.08713358600759875,-1.135052942481311,0.12700138312654508,0.0010878703189775147,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.0049999999999954525,0.0113016,200.0000000001819,88.48304664826219,0.4424152332409086,0.9742570859048072,False,-1.4637172782217779e-08,2.3700632105875287e-08,-2.2744524724321072e-10,2.7857108978051488e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.977108836,3.441427305,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,950.0916042072,74.93735402136,103.54393633056,950.0916042072,74.93735402136,103.54393633056,945.8037780751255,80.5875555038207,949.2308153042982,-175.12985517693372,100.34394027190656,954.5197992040577,-6.034371189775259,954.5197992040577,False,1.3342095638772662,1.6041818230662557,-9.99889731177526,-13.440324616775259,33.33224913725145,32.904642300852736,29.008666633623335,-948.9734647906661,-22.10212312111352,0.046859251608078335,-0.34826695026730803,-4.9925421
13456,5221480057700,5.085,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.32,2.14926125,7.407952204,183.2667167,-1.201535927163165,0.4054145757263105,0.13287023381692192,1.5748258478217096,0.20945914444639568,-0.525408191235071,-33.276169119360006,-2.0576999734920003,-2.311543745712,33.3397294596,2.311543745712,33.419766525840004,3.966141724,183.53849609405432,949.9252208976,74.92707122760001,103.55551690176,46.95794966,39.34831837,103.62678859056001,46.949405,39.347334,4.444492046736,33.35911483104,0.23327540272944,1.998958495344,3.429200603,0.3999371019,0.07162456071,0.2928123768,677.3152610610754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09947165251,-0.008214375993,1.013217917,-14.767464524431881,-1.0850005424019722,-133.83146700109523,13.138587496894841,-1.0850005424019722,-133.83146700109523,27.90605202577494,0.0,0.0,1.252499269661851,-0.10787709200908221,-0.0875158004559354,0.1174276566318771,0.01916043478349304,-0.08641577802284955,-1.1350716129079503,0.12703752679257527,0.0011000224296962965,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.0049999999999954525,0.005085,200.0000000001819,196.65683382497542,0.9832841691239828,0.9743479670795986,False,-1.0170729332771365e-09,-1.5508558046690277e-08,-1.6969696344040223e-09,1.5634241778201333e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.978751601,3.44181048,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,949.9252208976,74.92707122760001,103.55551690176,949.9252208976,74.92707122760001,103.55551690176,945.6373947655254,80.57727271006071,949.0641597154123,-175.12962094430122,100.35552084310656,954.3552849018089,-6.036114403103724,954.3552849018089,False,1.3318829616444532,1.603662355698816,-10.002256127103724,-13.444066607103725,33.330722061207844,32.90285918247562,29.00523871220613,-948.8077509457256,-22.059714450452,0.046783579135360825,-0.3484273939833674,-4.9874571
13457,5221482765200,2.7075,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.325,2.143365347,7.409956832,183.2674572,-1.1937723559146358,0.4064381075315322,0.13025226079276106,1.5219551468381796,0.1980410575855764,-0.5210533203181279,-33.2745208524,-2.0590846329528,-2.3123816716968,33.338169828480005,2.3123816716968,33.41826858624,3.967759866,183.54104610001733,949.7588458176,74.9167814844,103.56710164872,46.95794816,39.34831823,103.63834840488,46.949405,39.347334,4.444492046736,33.357601102800004,0.23411946756912,1.9990777230456,3.429559901,0.4014022177,0.07224172994,0.2937423361,677.2537914269913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949653935,-0.008241699204,1.01324,-14.765449546763492,-1.088609544734411,-133.83438392241945,13.141874581428983,-1.088609544734411,-133.83438392241945,27.907324132640696,0.0,0.0,1.248578419055792,-0.10895257595409932,-0.08680766055137036,0.11348812377644622,0.018120845589889016,-0.08569613887037936,-1.1350902952657875,0.12707342154398835,0.0011115216721781821,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.005000000000009663,0.0027075,199.99999999961346,369.34441366574333,1.8467220683322858,0.979046430657607,False,-2.090322166657798e-08,-1.9555840068027772e-08,-1.0908443317082142e-09,2.864551445103396e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.9803969309999996,3.4421969659999996,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,949.7588458176,74.9167814844,103.56710164872,949.7588458176,74.9167814844,103.56710164872,945.4710196855254,80.5669829668607,948.897511752228,-175.12938708968463,100.36710559006656,954.1907795059105,-6.037858418718259,954.1907795059105,False,1.3295668102980471,1.6031557103153773,-10.00561828471826,-13.447815250718259,33.329194148708424,32.901074937304145,29.001811683180684,-948.6420388268405,-22.01749259168892,0.04670825368141725,-0.34858798678722935,-4.9847496
13458,5221486778400,4.0132,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.33,2.137506041,7.411967017,183.2681846,-1.1862710377621786,0.40740443391268516,0.12765608600521172,1.470089123910665,0.18656995723180483,-0.5166871206504764,-33.2728721892,-2.0604628474176,-2.3132209893984,33.33660946584,2.3132209893984,33.41677006752,3.969380616,183.54358533437377,949.5924786624,74.90648485272,103.57869057143999,46.95794667,39.3483181,103.64991242544001,46.949405,39.347334,4.444492046736,33.356086673520004,0.23496613198704003,1.9991986042872,3.429922133,0.4028719292,0.07278951479,0.2946443938,677.1923016831984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09952146685,-0.008269082609,1.013262855,-14.763429480329576,-1.092226496928521,-133.83740275250085,13.145167039414837,-1.092226496928521,-133.83740275250085,27.908596524192635,0.0,0.0,1.2447324227519148,-0.11003253484404578,-0.08609711678158291,0.10962343363095388,0.01707653192662042,-0.08497475212280646,-1.1351089891480772,0.12710906677066622,0.0011223646610813364,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.0049999999999954525,0.0040132,200.0000000001819,249.17771354530052,1.2458885677253695,0.9811711584712443,False,8.094465201753285e-10,1.2104437520752244e-08,-5.125199085505389e-12,1.2131473019814383e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.9820448840000005,3.4425864010000002,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,949.5924786624,74.90648485272,103.57869057143999,949.5924786624,74.90648485272,103.57869057143999,945.3046525303255,80.5566863351807,948.730871116137,-175.12915360805763,100.37869451278655,954.0262827201751,-6.039603238873543,954.0262827201751,False,1.3272610575685917,1.602661791942353,-10.008983854873543,-13.451570255873543,33.32766531103189,32.8992894726916,28.998385618998693,-948.4763281805633,-21.975456534516972,0.04663327333872144,-0.34874873064237205,-4.9807364
13459,5221495603000,8.8246,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.335,2.131682043,7.413982466,183.2688989,-1.1790269868270595,0.4083133130242839,0.12508176485929276,1.4192095257497281,0.1750569449007279,-0.5123101094984139,-33.27122319072,-2.0618346461472,-2.3140617326496002,33.33504843264,2.3140617326496002,33.415271000160004,3.971004032,183.54611385441947,949.4261200416001,74.89618133256,103.59028370040001,46.95794517,39.34831796,103.66148062176,46.949405,39.347334,4.444492046736,33.3545715432,0.23581531399200004,1.9993209388152,3.430286958,0.4043460965,0.0732694889,0.2955184612,677.1307913508941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09954642998,-0.008296523807,1.013286374,-14.761405001259815,-1.095851083605389,-133.84050921254808,13.148464203619161,-1.095851083605389,-133.84050921254808,27.909869209327194,0.0,0.0,1.2409599207292357,-0.1111159637466583,-0.0853842492211811,0.10583222636423062,0.016028498115832478,-0.08425170056637481,-1.1351276942836561,0.1271444618624908,0.0011325486573823401,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.0049999999999954525,0.0088246,200.0000000001819,113.31958389048795,0.5665979194519244,0.9739811700055728,False,-9.005921562309239e-09,2.1424955337592426e-08,6.052356753746629e-10,2.3248691245466763e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.9836955080000003,3.442978434,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,949.4261200416001,74.89618133256,103.59028370040001,949.4261200416001,74.89618133256,103.59028370040001,945.1382939095256,80.5463828150207,948.5642384144537,-175.12892050274883,100.39028764174657,953.8617951525185,-6.041348861921513,953.8617951525185,False,1.3249656428316712,1.602180597251163,-10.012352893921513,-13.455331327921513,33.32613561134259,32.89750284787437,28.994960485706017,-948.3106196552661,-21.933605445482947,0.046558636696872074,-0.3489096277531136,-4.9719118
13460,5221499608400,4.0054,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.34,2.125892091,7.416002885,183.2696002,-1.1720353094767508,0.40916455791020007,0.12252935046819168,1.3692984697696253,0.16351282726391111,-0.5079227993726882,-33.269573796,-2.0632000571832,-2.3149039291872002,33.3334866984,2.3149039291872002,33.4137713232,3.972630164,183.54863166015443,949.2597696504,74.8858709544,103.6018810356,46.95794367,39.34831783,103.67305302432001,46.949405,39.347334,4.444492046736,33.35305571184,0.23666693134896002,1.9994445312528002,3.430654039,0.4058245794,0.07368323722,0.2963644538,677.0692604300784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09957142382,-0.00832402039,1.013310451,-14.759376758994572,-1.0994829853827035,-133.84368946859192,13.151765429049817,-1.0994829853827035,-133.84368946859192,27.911142188044387,0.0,0.0,1.2372595803542932,-0.11220188443928716,-0.08466913776851662,0.10211316964109496,0.014977721824289544,-0.0835270662145121,-1.1351464106725238,0.12717960625001853,0.0011420715516996293,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.005000000000009663,0.0040054,199.99999999961346,249.6629550107355,1.2483147750560901,0.9761613367690031,False,-4.418444723994537e-09,8.237901416430326e-09,4.844957793751988e-10,9.360577422683512e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.985348846,3.4433727210000002,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,949.2597696504,74.8858709544,103.6018810356,949.2597696504,74.8858709544,103.6018810356,944.9719435183255,80.5360724368607,948.3976133459829,-175.12868777056403,100.40188497694656,953.6973165041834,-6.043095290133588,953.6973165041834,False,1.3226805692815446,1.6017120294359302,-10.015725454133587,-13.459098175133589,33.32460499113442,32.89571500133393,28.991536328227266,-948.1449129924729,-21.891938398706365,0.04648434206638364,-0.3490706796586345,-4.9679064
13461,5221503974800,4.3664,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.345,2.120134943,7.418027978,183.2702886,-1.165291199168309,0.4099580351858588,0.1199988932521945,1.3203384314832345,0.15194811569047237,-0.5035256977993142,-33.267924035520004,-2.0645591076528,-2.3157476027856,33.33192423264,2.3157476027856,33.4122710976,3.974259052,183.55113886617013,949.0934274888001,74.8755537792,103.61348257704,46.95794218,39.34831769,103.6846296636,46.949405,39.347334,4.444492046736,33.351539209920006,0.23752090160952,1.9995691907952002,3.43102305,0.4073072372,0.07403235438,0.2971822912,677.0077084419489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09959644357,-0.008351569942,1.013334984,-14.757345398525974,-1.1031218837677965,-133.8469299090742,13.155070075162897,-1.1031218837677965,-133.8469299090742,27.91241547368887,0.0,0.0,1.233630096109985,-0.1132893453682217,-0.08395186218635936,0.09846495803935171,0.013925154036258764,-0.08280093034850432,-1.1351651380435168,0.12721449940448046,0.0011509318472101887,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.0049999999999954525,0.0043664,200.0000000001819,229.02161964089407,1.145108098203429,0.9776239424047617,False,-4.919300533228116e-11,-2.6113296018842548e-08,1.6149752952502488e-09,2.6163233632785918e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.9870049279999997,3.4437689259999997,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,949.0934274888001,74.8755537792,103.61348257704,949.0934274888001,74.8755537792,103.61348257704,944.8056013567256,80.5257552616607,948.2309959158183,-175.12845540803536,100.41348651838656,953.5328467810026,-6.044842523846809,953.5328467810026,False,1.320405725794501,1.6012559919646492,-10.019101575846808,-13.462870501846808,33.32307348293075,32.89392596268559,28.98811312041855,-947.979208235257,-21.850454667118598,0.04641038827527983,-0.3492318880598482,-4.96354
13462,5221513666400,9.6916,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.35,2.114409384,7.420057449,183.2709643,-1.1587899364483756,0.4106936631474786,0.1174904410532771,1.2723122433561405,0.1403730261897862,-0.49911930760605294,-33.2662738788,-2.0659118234640004,-2.316592771428,33.33036106584,2.316592771428,33.41077029288,3.975890729,183.55363541517085,948.9270938615999,74.86522980696,103.62508832472,46.95794068,39.34831756,103.69621050912001,46.949405,39.347334,4.444492046736,33.35002200696,0.23837714208144004,1.9996947315144,3.431393671,0.4087939289,0.07431844296,0.2979718972,676.9461358653078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09962148454,-0.008379170036,1.013359872,-14.755311533708607,-1.1067674575990674,-133.85021727829454,13.158377528103816,-1.1067674575990674,-133.85021727829454,27.913689061812423,0.0,0.0,1.2300701886464949,-0.11437742175715568,-0.08323250212901381,0.09488631250746479,0.012871719030461144,-0.08207337349037945,-1.1351838761254718,0.12724914078354937,0.0011591286425662467,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.0049999999999954525,0.0096916,200.0000000001819,103.18213710842379,0.5159106855416498,0.9688446331122119,False,-1.2825995041214661e-08,-2.5865610911955908e-08,-9.159529217175996e-10,2.8885549092941937e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.988663778,3.4441667199999997,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,948.9270938615999,74.86522980696,103.62508832472,948.9270938615999,74.86522980696,103.62508832472,944.6392677295254,80.5154312894207,948.0643864275756,-175.12822341692777,100.42509226606656,953.3683862856705,-6.046590561508546,953.3683862856705,False,1.3181411679013877,1.60081228307223,-10.022481290508546,-13.466648010508546,33.32154105848261,32.89213570190874,28.984690897719545,-947.8135057285842,-21.8091533716104,0.046336773712794085,-0.34939325375422015,-4.9538484
13463,5221519761200,6.0948,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.355,2.108714221,7.422091002,183.2716274,-1.1525268872343035,0.41137141079804274,0.11500403936428846,1.2252030822015625,0.1287974792968922,-0.4947041270942986,-33.26462332584,-2.0672582293056,-2.3174394482208003,33.328797198000004,2.3174394482208003,33.40926887856,3.977525219,183.55612147904392,948.7607681592001,74.85489909864,103.63669830912,46.95793919,39.34831742,103.70779559136,46.949405,39.347334,4.444492046736,33.348504163920005,0.23923556995056003,1.9998209714448,3.431765593,0.410284513,0.07454311191,0.2987331995,676.8845417425504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09964654219,-0.008406818239,1.013385019,-14.75327577394883,-1.1104193866045602,-133.85353876537465,13.161687187362656,-1.1104193866045602,-133.85353876537465,27.914962961311485,0.0,0.0,1.226578604781293,-0.11546521553939652,-0.08251113706096992,0.0913759798900209,0.011818314370580845,-0.08134447544358189,-1.1352026249183886,0.12728352989913083,0.001166661615218713,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.005000000000009663,0.0060948,199.99999999961346,164.07429283979786,0.8203714642005748,0.9670565999811016,False,4.5223785656671935e-09,1.1981435214267044e-08,7.5986372649735e-10,1.2829033111179145e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.990325409,3.4445657830000003,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,948.7607681592001,74.85489909864,103.63669830912,948.7607681592001,74.85489909864,103.63669830912,944.4729420271256,80.5051005811007,947.8977842789523,-175.12799179064203,100.43670225046657,953.2039344232146,-6.0483394091223746,953.2039344232146,False,1.3158867303140482,1.6003808093579437,-10.025864628122374,-13.470430411122376,33.32000771969619,32.890344218715214,28.98126964207398,-947.6478049062965,-21.76803383920761,0.04626349733521588,-0.3495547780287349,-4.9477536
13464,5221523277800,3.5166,True,udp,127.0.0.1:54099,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,101.36,2.103048286,7.424128342,183.2722779,-1.1464975016682417,0.4119912958992429,0.11253973104247161,1.1789944663155656,0.11723110064545275,-0.49028064998178356,-33.26297237664,-2.0685983489520003,-2.3182876429176,33.32723256816,2.3182876429176,33.40776688512,3.979162539,183.55859700049356,948.5944506864,74.84456168472,103.64831249976,46.95793769,39.34831728,103.71938491032,46.949405,39.347334,4.444492046736,33.34698565032,0.24009610215888,1.9999477344120002,3.432138511,0.4117788478,0.07470797495,0.2994661299,676.822926552479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09967161205,-0.00843451211,1.013410328,-14.751238710860122,-1.1140773473985632,-133.85688178184736,13.16499845687772,-1.1140773473985632,-133.85688178184736,27.916237172186065,0.0,0.0,1.2231541164144821,-0.11655185534430698,-0.08178784635181037,0.08793273229049516,0.010765810940516436,-0.08061431534720533,-1.1352213841511034,0.1273176662902467,0.0011735310041982923,0.55,0.55,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,0,0,True,0.0049999999999954525,0.0035166,200.0000000001819,284.3655803901496,1.4218279019494549,0.9702327589409093,False,1.3117786843620028e-08,2.6749773915352042e-08,9.167433669363514e-10,2.980716616181285e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,3.9919898310000006,3.4449658030000005,-5.999999998873578,-4.9499999997868995,1.0500000002325944,1.0500000002325944,11.100000001640346,11.100000001640346,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,948.5944506864,74.84456168472,103.64831249976,948.5944506864,74.84456168472,103.64831249976,944.3066245543255,80.49476316718071,947.731189776154,-175.12776052910493,100.44831644110656,953.0394914956972,-6.0500890632992155,953.0394914956972,False,1.3136424704015326,1.5999615708950614,-10.029251602299215,-13.474217405299216,33.31847346848826,32.8885515141319,28.97784936153802,-947.4821061121822,-21.727095336189628,0.04619055787923326,-0.3497164613179368,-4.944237
