truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15412,6368498992200,9.0491,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1883333,-5.375568599,8.185192988,192.1729961,-13.12105031977909,0.6112945112109233,-9.839215752774075,38.97897509725634,3.384012657354573,-5.1920933019630855,-30.45882194736,-17.92582685592,-2.3435638229976,35.3422566204,2.3435638229976,31.118213587680003,3.793759604,210.47794321915913,661.6032819216,19.054945096536002,125.75795314704,46.95535616,39.34758432,125.7923410488,46.949405,39.347334,4.444492046736,31.041068311440004,-0.8237711346744,2.0289641256552,3.739753565,-1.516929099,6.138679231,7.741621833,585.9854333588385,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1321173554,0.02007601976,0.947680633,-12.358009368727723,2.651752531195311,-125.17493744685568,17.450825700737223,2.651752531195311,-125.17493744685568,29.808835069464948,0.0,0.0,4.060049484554405,-0.14417515799068645,-0.8604377277519841,2.8965622898266212,0.10318458493914726,-0.8573807781753155,-1.1634871939142926,0.247359742875601,0.003056949624122338,0.55,0.55,-5.5500000002472145,-6.749999999448973,-1.0500000002325944,-1.0500000002325944,12.450000001530139,12.450000001530139,0,0,True,0.0049999999999954525,0.0090491,200.0000000001819,110.50822733752528,0.5525411366871239,0.9825032418422441,False,-7.177165963423437e-05,-11.999996739445583,-1.3872230031353183e-09,11.999996739660217,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.5304387816976712,11.730166282318477,4.445439423000001,4.391433384000001,-5.5500000002472145,-6.749999999448973,-1.0500000002325944,-1.0500000002325944,12.450000001530139,12.450000001530139,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,661.6032819216,19.054945096536002,125.75795314704,661.6032819216,19.054945096536002,125.75795314704,657.3154557895255,24.7051465789967,657.7795623818677,-177.84755605726764,122.55795708838656,669.0996977528537,-10.554367961035101,669.0996977528537,False,-28.32549927642674,-10.020552157267616,-14.348127565035101,-18.739560949035102,31.110596591151044,30.154986296475684,22.188691819470456,-579.0211652880711,312.1032566887529,-1.4606778972615222,-0.6852542540870684,-4.995448
15413,6368503370500,4.3783,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1933333,-5.447848261,8.183629211,192.1231663,-12.908960148496497,0.6302873791538183,-9.86400035427581,45.615984989094,4.181921077447061,-4.706569144826714,-30.459347084232004,-17.922489055128,-2.3413175710512,35.3410163892,2.3413175710512,31.1179230828,3.790266598,210.4728477908955,661.4509873824,18.96532482264,125.7696814548,46.95535479,39.34758315,125.8040532936,46.949405,39.347334,4.444492046736,31.041150912240003,-0.8029645655688,2.0315839602936,3.744558735,-1.478620139,6.093087243,7.766471673,585.973831493285,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322160004,0.02033685886,0.9476927656,-12.345107346414876,2.68620561207904,-125.1765399631748,17.46385393244196,2.68620561207904,-125.1765399631748,29.808961278856835,0.0,0.0,4.554117085985795,-0.06971435414681322,-0.7817705186810531,3.390633029976563,0.17792343699929752,-0.7785011383280036,-1.1634840554669057,0.2476377911732271,0.003269380401858873,0.55,0.55,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,0,0,True,0.005000000000009663,0.0043783,199.99999999961346,228.39915035516069,1.1419957517780106,0.9838877305410081,False,-7.177625223828143e-05,-11.999996742707275,-1.871151678045635e-09,11.999996742921933,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.520236169890918,11.732362553498527,4.4390704759999995,4.393362612999999,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,661.4509873824,18.96532482264,125.7696814548,661.4509873824,18.96532482264,125.7696814548,657.1631612503254,24.615526305100698,657.6240146465138,-177.85486040141816,122.56968539614655,668.948931098562,-10.557795805346778,668.948931098562,False,-28.327708192313708,-9.978026701418173,-14.348062403346779,-18.741425016346778,31.1088583516536,30.153210244409518,22.18499873400998,-578.8722118419307,312.05176973865923,-1.4610766140383897,-0.685346800828902,-4.9910697
15414,6368507409100,4.0386,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.1983333,-5.519031907,8.182093017,192.0732086,-12.683592081382203,0.6508349738033786,-9.887342843925511,44.3189901341614,4.0081788974810175,-4.615189630721992,-30.459885254352002,-17.919078181584,-2.3391042725568,35.33975061576,2.3391042725568,31.11763440672,3.786829241,210.4676391461715,661.2986904048,18.875721382848,125.78139854592,46.95535342,39.34758197,125.81575432176,46.949405,39.347334,4.444492046736,31.041218669280003,-0.7821298411728,2.0342537525664,3.749457434,-1.440259181,6.020541174,7.775773398,585.9623004905148,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322787907,0.019707564,0.9490227177,-12.33695718577297,2.603084841426638,-125.35220744088045,17.472146262694913,2.603084841426638,-125.35220744088045,29.80910344846788,0.0,0.0,4.457214738068355,-0.08266606936072524,-0.766920411323005,3.293733671637699,0.16523370311155489,-0.7634212153535141,-1.1634810653460024,0.2478997724858383,0.003499196014232821,0.55,0.55,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,0,0,True,0.0049999999999954525,0.0040386,200.0000000001819,247.610558114198,1.238052790569864,0.9859242234037224,False,-7.176466845254525e-05,-11.99999672687812,1.4886625265830844e-10,11.999996727092709,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.5100054570970265,11.734555553752516,4.432635583,4.395263776,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,661.2986904048,18.875721382848,125.78139854592,661.2986904048,18.875721382848,125.78139854592,657.0108642727255,24.525922865308697,657.4684757954474,-177.86216672772736,122.58140248726656,668.798173517642,-10.561224110968617,668.798173517642,False,-28.329805873898863,-9.935375327727343,-14.348053351968616,-18.743317127968616,31.107130180142455,30.15143817985161,22.181302580934915,-578.7238765901357,311.99915277012263,-1.4614691727047742,-0.6854423184210423,-4.9870311
15415,6368513100000,5.6909,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2033333,-5.589118519,8.180585116,192.0231268,-12.464658926183333,0.6705142291420222,-9.91022835962655,43.04594728711055,3.8346529569434753,-4.5237779880089075,-30.460436256552,-17.9155738716,-2.3369486958672,35.33844881496,2.3369486958672,31.117345425840004,3.783488634,210.46228903816794,661.1463903792,18.786135228264,125.79310472520001,46.95535205,39.34758079,125.82744440760001,46.949405,39.347334,4.444492046736,31.041270637680004,-0.7612862376480001,2.0369455117752002,3.754398332,-1.401881818,5.948814916,7.784511414,585.9507575176798,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323421437,0.0190784906,0.9503626297,-12.328750710645414,2.519993323169222,-125.52919048012882,17.480512873800617,2.519993323169222,-125.52919048012882,29.80926358444603,0.0,0.0,4.362107047050402,-0.09566848470890613,-0.7520535468686064,3.1986288197025288,0.15248822842957507,-0.7483342493115286,-1.163478226805546,0.2481567131384812,0.0037192975625010925,0.55,0.55,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,0,0,True,0.0049999999999954525,0.0056909,200.0000000001819,175.7191305417421,0.8785956527079114,0.9847163785265993,False,-7.177829160764926e-05,-11.99999670558392,-1.5844958678457033e-09,11.99999670579859,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.4997474148183043,11.736745047110382,4.4261867839999995,4.397096482,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,661.1463903792,18.786135228264,125.79310472520001,661.1463903792,18.786135228264,125.79310472520001,656.8585642471255,24.4363367107247,657.312945237377,-177.8694749961554,122.59310866654657,668.647424484057,-10.564652913050232,668.647424484057,False,-28.331764034323328,-9.892601796155418,-14.348141547050231,-18.74523802905023,31.105411158346207,30.14966464792268,22.177607356243907,-578.5763130959884,311.94512001454336,-1.4618537954741226,-0.685542883024181,-4.9813402
15416,6368516533700,3.4337,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2083333,-5.658139677,8.179102047,191.9729233,-12.252041759779933,0.6893266274115647,-9.932656769598635,41.79645440345659,3.661533956815137,-4.432341563725268,-30.460999734216,-17.911976768304,-2.3348511863208,35.33711104776,2.3348511863208,31.11705595728,3.780245334,210.45679855550455,660.9940876104,18.696566825232,125.80480026696,46.95535068,39.34757962,125.83912388640002,46.949405,39.347334,4.444492046736,31.041306878400004,-0.7404351290328,2.0396552404680004,3.759374082,-1.363490571,5.877916958,7.792675032,585.9391963503465,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1324059664,0.01844967657,0.9517105154,-12.320499757749927,2.4369360624457537,-125.70722676929124,17.48894149756386,2.4369360624457537,-125.70722676929124,29.809441255313786,0.0,0.0,4.268764146974168,-0.10870358611618539,-0.737171342961104,3.105288602790015,0.13970502296107476,-0.7332416414398965,-1.1634755435062443,0.24840860906370194,0.003929701515784306,0.55,0.55,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,0,0,True,0.005000000000009663,0.0034337,199.99999999961346,291.2310335789382,1.456155167897505,0.9879318553035074,False,-7.176799087346697e-05,-11.999996746462491,-1.1124896559522313e-09,11.999996746677102,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.4894625283845153,11.738930860965587,4.419727965000001,4.398856713000001,-5.999999998873578,-6.450000002656562,-0.450000000001462,-0.450000000001462,12.600000002791134,12.600000002791134,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,660.9940876104,18.696566825232,125.80480026696,660.9940876104,18.696566825232,125.80480026696,656.7062614783255,24.3467683076927,657.1574232951092,-177.87678516827665,122.60480420830656,668.4966843648699,-10.568082229846695,668.4966843648699,False,-28.333583723781203,-9.849708468276617,-14.348327563846695,-18.747184276846696,31.103701000849746,30.14788929170736,22.173913334249576,-578.4295151439411,311.8896840266003,-1.4622305316521633,-0.6856485230787759,-4.9779065
15417,6368520157400,3.6237,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2133333,-5.726116485,8.177642384,191.9226013,-12.033855626954358,0.7096593353859768,-9.953941343817254,45.24791933657259,4.439282671820579,-4.066245408933911,-30.46157593728,-17.908308927024,-2.3327761173696,35.335748713680005,2.3327761173696,31.116767738400004,3.77704061,210.45119835142336,660.8417824032,18.607016609616,125.81648544552,46.95534931,39.34757844,125.85079297152001,46.949405,39.347334,4.444492046736,31.041327178080003,-0.719560740708,2.0424184103544003,3.764449908,-1.32505629,5.830108948,7.81168117,585.9276840208772,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1324657333,0.01841925068,0.9517440788,-12.312801767731653,2.4329172414525013,-125.71166000039966,17.496834381963986,2.4329172414525013,-125.71166000039966,29.80963614969564,0.0,0.0,4.525514661063811,-0.03559127824783721,-0.6777645604371698,3.362041642768496,0.21305649992205175,-0.6736074554352327,-1.1634730182953155,0.2486477781970053,0.00415710507650709,0.55,0.55,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,0,0,True,0.0049999999999954525,0.0036237,200.0000000001819,275.96103430195654,1.3798051715085278,0.9907514830055637,False,-7.177194141116949e-05,-11.999996716841208,-5.516807011218816e-10,11.999996717055842,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.479151447511018,11.741112789640722,4.413192476000001,4.400601774,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,660.8417824032,18.607016609616,125.81648544552,660.8417824032,18.607016609616,125.81648544552,656.5539562711255,24.257218092076698,657.0019102900945,-177.884097208271,122.61648938686656,668.3459535258615,-10.571512079643306,668.3459535258615,False,-28.335295559694373,-9.806698508270983,-14.348552689643306,-18.749154463643308,31.102000817859242,30.146119725643846,22.170214926776527,-578.2833163187131,311.8331544147684,-1.4626012947916913,-0.6857562575497491,-4.9742828
15418,6368523607600,3.4502,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2183333,-5.792991161,8.176220956,191.8721665,-11.81031459046844,0.7314749584018018,-9.974082059364097,43.95730869252014,4.25657008986184,-3.9747985677045987,-30.462164271384,-17.904564696768002,-2.3307355182504,35.3343584904,2.3307355182504,31.11648003768,3.773894239,210.44548097747307,660.6894738432001,18.51748489536,125.82816026088001,46.95534794,39.34757726,125.86245172392002,46.949405,39.347334,4.444492046736,31.041330957600003,-0.6986690906448,2.0452295764872,3.769615875,-1.286590079,5.757090006,7.819839504,585.9161922799193,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325324775,0.01778926717,0.9531437284,-12.304200339455099,2.349705510450755,-125.89653351756027,17.505648835573695,2.349705510450755,-125.89653351756027,29.809849175028795,0.0,0.0,4.429071184307713,-0.04922736525400377,-0.6629132728395978,3.265600529203081,0.19964685883663053,-0.6585121829745867,-1.1634706545623044,0.24887422406351792,0.004401089870434404,0.55,0.55,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,0,0,True,0.0049999999999954525,0.0034502,200.0000000001819,289.83827024520315,1.4491913512246979,0.9938932222149823,False,-7.177233216595913e-05,-11.999996747398281,-1.6156289639468469e-09,11.999996747612917,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.4688153348803827,11.743290521869087,4.406605081,4.402326716999999,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,660.6894738432001,18.51748489536,125.82816026088001,660.6894738432001,18.51748489536,125.82816026088001,656.4016477111255,24.167686377820697,656.8464053207091,-177.8914110869847,122.62816420222657,668.1952310802177,-10.574942476858492,668.1952310802177,False,-28.336892064457743,-9.763577586984695,-14.348836715858493,-18.75116343285849,31.10030984326111,30.144352982735132,22.166514287532383,-578.1377561280731,311.77545625326894,-1.4629655909090846,-0.6858670913927214,-4.9708326
15419,6368532553400,8.9458,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2233333,-5.858775854,8.174838236,191.8216224,-11.593176540689607,0.7523778573581521,-9.993765525942534,42.69064844633801,4.074297274783259,-3.883346505683858,-30.46276392576,-17.900729416656,-2.3287556913744,35.332932239760005,2.3287556913744,31.11619133112,3.770849552,210.43962649472243,660.53716254,18.427972124424,125.83982501784001,46.95534657,39.34757609,125.87410044840001,46.949405,39.347334,4.444492046736,31.04131824744,-0.6777737131824,2.0480595161664,3.774818284,-1.248116914,5.684881968,7.827408839,585.9046622347543,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132599713,0.0171596599,0.9545516703,-12.295552231540915,2.266543474536072,-126.08250232032917,17.514528153150998,2.266543474536072,-126.08250232032917,29.810080384691908,0.0,0.0,4.334423057274072,-0.0628972018093092,-0.6480491940487558,3.17095460266197,0.18619842359667185,-0.6434143302568032,-1.163468455425592,0.24909562533819019,0.004634863714671064,0.55,0.55,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,0,0,True,0.0049999999999954525,0.0089458,200.0000000001819,111.78430101276577,0.5589215050633205,0.9862476733425968,False,-7.175528139000131e-05,-11.999996735227771,1.2386907055628171e-09,11.999996735442306,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.458454903129016,11.745463844737754,4.400019951999999,4.403988684,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,660.53716254,18.427972124424,125.83982501784001,660.53716254,18.427972124424,125.83982501784001,656.2493364079255,24.078173606884697,656.6909090128215,-177.89872676899012,122.63982895918657,668.0445176986518,-10.57837343758878,668.0445176986518,False,-28.33835326371252,-9.720349168990083,-14.34922298958878,-18.75321167358878,31.098626769046184,30.142582939990426,22.162815941441814,-577.9929430066571,311.7163900320116,-1.4633221369348575,-0.6859832237078239,-4.9618868
15420,6368536620400,4.067,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2283333,-5.923501988,8.173490611,191.7709715,-11.38232257741621,0.772370624316093,-10.012991737822988,41.44753447370458,3.892651639933709,-3.7918962479072125,-30.463374543792,-17.8968037542,-2.3268369202056003,35.331470022720005,2.3268369202056003,31.115901405360002,3.767907007,210.43363622097434,660.3848481888,18.338478757056002,125.8514800212,46.9553452,39.34757491,125.88573938880002,46.949405,39.347334,4.444492046736,31.0412890476,-0.6568759744343999,2.0509042526664,3.780049828,-1.209639296,5.613493975,7.834379474,585.8930867033432,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326673478,0.01653046583,0.9559659308,-12.286869160604835,2.183436016966142,-126.26930574291978,17.523460191050884,2.183436016966142,-126.26930574291978,29.810329351655717,0.0,0.0,4.2415402404604245,-0.07658295809424216,-0.6331737152694408,3.078073815507792,0.17272902131005127,-0.6283152597433385,-1.163466424139142,0.249311979444968,0.004858455497630097,0.55,0.55,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,0,0,True,0.005000000000009663,0.004067,199.99999999961346,245.88148512417013,1.2294074256232268,0.9882095766461761,False,-7.17521273641275e-05,-11.999996736938042,1.5776049355764599e-09,11.999996737152557,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.448070660468945,11.74763259044613,4.393440783,4.405583604,-6.300000001395567,-6.300000001395567,0.0,0.0,12.74999999832255,12.74999999832255,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,660.3848481888,18.338478757056002,125.8514800212,660.3848481888,18.338478757056002,125.8514800212,656.0970220567255,23.9886802395167,656.5354210789674,-177.90604421428742,122.65148396254656,667.893813154121,-10.581804992319709,667.893813154121,False,-28.339680435261755,-9.67701571428745,-14.349711999319709,-18.75529560331971,31.09695130994894,30.140809249721386,22.159120135777204,-577.8488700184853,311.6559682561795,-1.4636709857097376,-0.6861046790406806,-4.9578198
15421,6368540194800,3.5744,True,udp,127.0.0.1:50932,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,111.2333333,-5.987190566,8.172176486,191.7202167,-11.165904752774589,0.79382876750438,-10.031229167788497,44.89138456854017,4.656630514106805,-3.487840560767601,-30.463992912888,-17.892807484824,-2.3249366174784,35.329979124,2.3249366174784,31.115607669600003,3.764997068,210.42754029380885,660.2325304848,18.24900521388,125.8631255148,46.95534383,39.34757374,125.89736884992001,46.949405,39.347334,4.444492046736,31.041238298400003,-0.635962360788,2.0538054137424,3.785387631,-1.17113241,5.569173489,7.850814988,585.8813699251681,-7.176459669912e-05,-11.999996726400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325608658,0.01641799671,0.9558525036,-12.301212384479918,2.168580468721699,-126.2543236432152,17.509393833385577,2.168580468721699,-126.2543236432152,29.810606217865494,0.0,0.0,4.497715627422929,-0.004604298289069858,-0.5839414846898457,3.334251062652522,0.2449130898013234,-0.578843053861088,-1.1634645647704076,0.2495173881690307,0.0050984308721438755,0.55,0.55,-6.599999998187978,-6.150000000134573,0.30000000000097465,0.30000000000097465,12.899999999583546,12.899999999583546,0,0,True,0.0049999999999954525,0.0035744,200.0000000001819,279.76723366159354,1.3988361683066954,0.9911242277667084,False,-7.177883055412004e-05,-11.999996714768951,-1.963335494181706e-09,11.999996714983627,-7.176459669912e-05,-11.999996726400001,0.0,jsbsim_total_wind,11.999996726614592,-2.4376631975984475,11.749796575849091,4.386788855,4.407179418,-6.599999998187978,-6.150000000134573,0.30000000000097465,0.30000000000097465,12.899999999583546,12.899999999583546,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,660.2325304848,18.24900521388,125.8631255148,660.2325304848,18.24900521388,125.8631255148,655.9447043527255,23.8992066963407,656.3799412300004,-177.91336338630813,122.66312945614656,667.743117206815,-10.585237166453807,667.743117206815,False,-28.34090368011698,-9.633580086308143,-14.350234234453806,-18.757413652453806,31.095281021016994,30.13903731722807,22.15542288821282,-577.7053721368848,311.5944965067298,-1.4640138661902586,-0.6862278317641167,-4.9542454
