truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15667,25045746287500,4.4838,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4741667,0.9385491677,9.237041648,185.3754708,-0.23644626263408364,0.11854789230374523,0.18045684769226758,1.0007135232531326,1.0356543763502295,-0.26394989270568686,-30.439948487520002,-3.0257239199904005,-2.7694154087832,30.58995699624,2.7694154087832,30.715063588800003,5.173083943,185.67654104788525,626.483234712,50.60109012096,129.4535809704,46.95504025,39.34799874,129.48458982888,46.949405,39.347334,4.444492046736,30.63741560592,0.19637228478576,2.173783308,4.058444092,0.3663147157,0.07107112313,-0.00289895929,570.6974873944113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329407536,-0.006099237443,0.9916129466,-11.70952989549191,-0.8056114512298208,-130.97803060681673,17.55805554518922,-0.8056114512298208,-130.97803060681673,29.26758543623291,0.0,0.0,1.2011696528463762,-0.03880607703099528,-0.04095978905588235,0.07453311547219127,0.09402888302763085,-0.04336735186498261,-1.1266365372928357,0.13283496005862613,-0.0024075628063886263,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0044838,200.0000000001819,223.0251126276819,1.1151255631373953,0.9070743177004514,True,3.488293264504005e-09,-2.220961748446675e-08,1.2631033757091719e-09,2.2517342845976365e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.178597556,4.063957705,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,626.483234712,50.60109012096,129.4535809704,626.483234712,50.60109012096,129.4535809704,622.1954085799255,56.2512916034207,624.7330103852313,-174.83406122241118,126.25358491174656,637.3627710872836,-11.425142280427522,637.3627710872836,False,-0.510602270296431,-0.20953202241116742,-16.598226223427524,-20.662183928427524,30.588742306246115,29.434019827369866,21.653949233757665,-624.7082029533373,5.567353752504296,-0.02500123185882709,-0.7887200897126283,-5.0064293
15668,25045752908000,6.6205,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4791667,0.9375251792,9.237631711,185.3763919,-0.23149190901277156,0.12369696643387343,0.17913776460386502,0.9778397640730911,1.021809019680485,-0.26363086573735767,-30.438530210448,-3.0261073035264,-2.7694124095512,30.588583597920003,2.7694124095512,30.713695494,5.173309377,185.67751839929218,626.3310398424,50.5859619216,129.46744312200002,46.95503888,39.34799854,129.49843689288,46.949405,39.347334,4.444492046736,30.636036965040002,0.19635785988192,2.1738844189992,4.058814263,0.3663041226,0.07613442121,-0.001520667575,570.645889233321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327764753,-0.006098835492,0.9916276605,-11.707780298725087,-0.8055606614354178,-130.98010623598682,17.536532509080047,-0.8055606614354178,-130.98010623598682,29.244312807805137,0.0,0.0,1.1997045868840586,-0.03997127653430782,-0.040965058049151334,0.0728309918325357,0.09277149823516456,-0.04331300363136016,-1.1268735950108484,0.13274277476947238,-0.002347945572718098,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0066205,200.0000000001819,151.0459935050223,0.7552299675244245,0.9050900207358785,True,-1.537773981190122e-08,-2.1715656094585747e-08,-2.1314569545251613e-09,2.6694338540032128e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.178817448,4.064322334000001,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,626.3310398424,50.5859619216,129.46744312200002,626.3310398424,50.5859619216,129.46744312200002,622.0432137103254,56.236163404060704,624.5800715660705,-174.8341862610352,126.26744706334658,637.2156102806747,-11.42908803307159,637.2156102806747,False,-0.511704660327382,-0.2105781610351869,-16.60239741007159,-20.666719744071592,30.587363714028317,29.432064877451477,21.650387525778353,-624.5551629985154,5.578007652886129,-0.025060218858245616,-0.7890596712373805,-4.9998088
15669,25045757026300,4.1183,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4841667,0.9365247298,9.238247495,185.3773068,-0.22665066619835994,0.12877582928446227,0.17782030281413536,0.9555188936954907,1.0074755820374648,-0.26329908260856505,-30.437103914088002,-3.0264890774136,-2.7694090933272,30.587202061440003,2.7694090933272,30.712319291520004,5.17353561,185.67849437560042,626.1788519832,50.57083183248,129.48130527360001,46.95503751,39.34799835,129.51228392640002,46.949405,39.347334,4.444492046736,30.63464930208,0.19634706932184,2.1739981346976003,4.059209121,0.3663004059,0.08100086744,-0.0001480881361,570.5939913418097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326271007,-0.006098538007,0.9916482852,-11.705984880827407,-0.8055236642417772,-130.9829577684533,17.516964528645886,-0.8055236642417772,-130.9829577684533,29.22294940947329,0.0,0.0,1.1982637606417665,-0.041189515445944576,-0.04096725763328345,0.07117005547456179,0.09146981382668348,-0.04325660728558678,-1.1270937052756702,0.13265932927262805,-0.002289349649591688,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.005000000000009663,0.0041183,199.99999999961346,242.8186387587111,1.214093193795902,0.9076143642632075,True,4.404121546077206e-09,1.664273084074267e-08,2.7075243448423485e-09,1.7427204724451444e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.179038373999999,4.0647118849999995,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,626.1788519832,50.57083183248,129.48130527360001,626.1788519832,50.57083183248,129.48130527360001,621.8910258511255,56.2210333149407,624.4271395616665,-174.83431159152116,126.28130921494657,637.0684591770384,-11.43303548711999,637.0684591770384,False,-0.5128059671216079,-0.21161839152114226,-16.60657109711999,-20.67128298211999,30.58597698640217,29.43010165419392,21.6468317596264,-624.402129790178,5.588643364414203,-0.025119167376581063,-0.7893992827707804,-4.9956905
15670,25045763286500,6.2602,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4891667,0.9355472603,9.238888641,185.3782153,-0.22191983246566155,0.13378207701108227,0.17650452569221067,0.9337246889879633,0.9926732053681462,-0.2629547326818602,-30.435670192800004,-3.0268693178520003,-2.7694058487312,30.58581302688,2.7694058487312,30.710935621440004,5.173763263,185.67946891951416,626.0266711344001,50.555699853600004,129.49516739472,46.95503614,39.34799815,129.52613099040002,46.949405,39.347334,4.444492046736,30.633253196160002,0.19633990161456003,2.1741239789976,4.059627694,0.3663035371,0.08567352977,0.001218874363,570.5418176600066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1324914744,-0.00609834468,0.9916746003,-11.704145790289909,-0.8055004169459715,-130.98655602388232,17.499200048528078,-0.8055004169459715,-130.98655602388232,29.203345838817985,0.0,0.0,1.1968465257673573,-0.042458369671879354,-0.040966410287740285,0.06954835152571888,0.09012556805570468,-0.04319819163879387,-1.127298174282313,0.13258393772758403,-0.0022317813483419473,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0062602,200.0000000001819,159.7393054534999,0.7986965272667731,0.9062675322523857,True,-1.2186916026321674e-08,-2.347707163374093e-08,-1.8436862712155994e-09,2.651590077283983e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.179260947000001,4.065125378000001,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,626.0266711344001,50.555699853600004,129.49516739472,626.0266711344001,50.555699853600004,129.49516739472,621.7388450023255,56.205901336060705,624.2742143720376,-174.8344372140795,126.29517133606656,636.921317772165,-11.436984640902518,636.921317772165,False,-0.5139061335936503,-0.21265251407947972,-16.610747903902517,-20.67587328190252,30.5845827221704,29.428130667969988,21.64328155798899,-624.2491033259503,5.599261252329818,-0.025178079440927537,-0.7897389690291258,-4.9894303
15671,25045764358600,1.0721,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4941667,0.9345922247,9.239554783,185.3791177,-0.21729683282775358,0.13871340225539666,0.1751904957477865,0.9124326857985727,0.977421162826842,-0.2625980030279634,-30.434229634848,-3.0272480986032004,-2.7694030476192,30.5844170124,2.7694030476192,30.70954506288,5.173992927,185.6804420883292,625.8744976008,50.54056595448,129.50902948536,46.95503477,39.34799795,129.53997799344,46.949405,39.347334,4.444492046736,30.631849378800002,0.19633634517768,2.1742614809832,4.060069023,0.3663134885,0.09015544534,0.002580300621,570.4893911704361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323685313,-0.006098255182,0.9917063857,-11.702265126673192,-0.8054908772898954,-130.99087208883338,17.483099327844585,-0.8054908772898954,-130.99087208883338,29.185364454517774,0.0,0.0,1.1954522644145917,-0.043775457175558745,-0.040962537719167184,0.06796405599056293,0.08874051099847768,-0.043137785298740135,-1.1274882084375868,0.13251596817403644,-0.0021752475849962294,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0010721,200.0000000001819,932.7488107452663,4.663744053722089,0.9143070750221142,True,-9.498249236687644e-09,2.3146083559630636e-08,-1.028826451757252e-09,2.5040295656790405e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.179485760000001,4.065561856000001,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,625.8744976008,50.54056595448,129.50902948536,625.8744976008,50.54056595448,129.50902948536,621.5866714687255,56.1907674369407,624.1212962980206,-174.83456313422676,126.30903342670656,636.7741863627251,-11.440935490066465,636.7741863627251,False,-0.515005222555942,-0.21368083422675,-16.614928417066466,-20.680490273066468,30.583181513819277,29.426152426560815,21.639736555838542,-624.0960839040598,5.609861704035161,-0.02523695715611867,-0.7900787726941607,-4.9883582
15672,25045768135400,3.7768,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.4991667,0.9336590896,9.240245541,185.3800137,-0.21277921095727248,0.14356759431704874,0.17387827451653,0.8916200110791794,0.961738822678859,-0.2622290773371436,-30.432782743152,-3.0276254842848003,-2.7694010405112004,30.58301459712,2.7694010405112004,30.70814816448,5.174225171,185.6814139393413,625.7223313824001,50.52543016560001,129.522891576,46.95503341,39.34799775,129.55382499648,46.949405,39.347334,4.444492046736,30.630438398640003,0.19633638824592,2.1744101727864003,4.060532167,0.3663302325,0.0944496133,0.003936257953,570.4367315040042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322572894,-0.00609826918,0.9917434237,-11.700344918366316,-0.8054950003465106,-130.99587709434823,17.468533572786754,-0.8054950003465106,-130.99587709434823,29.16887849115307,0.0,0.0,1.1940803849045172,-0.04513843715085314,-0.040955660739369654,0.06641546361618578,0.08731640144916138,-0.043075416479997096,-1.1276649212747734,0.13245483858645635,-0.0021197557338483554,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.005000000000009663,0.0037768,199.99999999961346,264.77441220080493,1.3238720610065833,0.9173775717958166,True,6.675928822968621e-09,-5.375987908356274e-09,1.4081719538657998e-09,8.686323727089055e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.179713374,4.06602037,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,625.7223313824001,50.52543016560001,129.522891576,625.7223313824001,50.52543016560001,129.522891576,621.4345052503255,56.1756316480607,623.968385342379,-174.83468934938998,126.32289551734657,636.6270649592758,-11.444888038259254,636.6270649592758,False,-0.5161032887313013,-0.21470304938998197,-16.619113209259254,-20.685133579259254,30.581773868052974,29.424167356546363,21.63619643828723,-623.9430715255661,5.620445001755918,-0.025295802114248745,-0.7904187338100159,-4.9845814
15673,25045779587100,11.4517,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.5041667,0.9327473335,9.240960523,185.3809035,-0.20836462093582186,0.14834253966932376,0.17256792267467166,0.8712652923581095,0.9456456018909161,-0.2618481361484021,-30.431329990152,-3.0280015376855998,-2.7694001608584,30.581606207760004,2.7694001608584,30.706745444400003,5.174460533,185.68238447255047,625.5701724792,50.51029248696,129.53675363616,46.95503204,39.34799755,129.56767199952,46.949405,39.347334,4.444492046736,30.62902077384,0.19634001899304002,2.17456959294,4.061016196,0.3663537419,0.09855901955,0.005286801426,570.3838582916175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1321568436,-0.006098386324,0.9917854964,-11.698387127035014,-0.8055127389646679,-131.00154234939743,17.45538403363035,-0.8055127389646679,-131.00154234939743,29.153771160665357,0.0,0.0,1.1927303218610492,-0.04654501022542939,-0.040945799522918776,0.06490098085552001,0.08585500244562493,-0.04301111301750723,-1.1278293410462037,0.1324000126710543,-0.002065313500011726,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0114517,200.0000000001819,87.3232795130854,0.43661639756502985,0.9066130504559937,True,6.307795025174507e-09,-6.811315515063628e-09,1.1819419627356925e-09,9.358380411622423e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.179944327,4.06649999,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,625.5701724792,50.51029248696,129.53675363616,625.5701724792,50.51029248696,129.53675363616,621.2823463471254,56.1604939694207,623.8154815051314,-174.83481585978177,126.33675757750656,636.4799535575937,-11.448842283801914,636.4799535575937,False,-0.5172003323322087,-0.21571935978175816,-16.623302816801914,-20.689802806801914,30.580360261041307,29.42217585866176,21.632660909074705,-623.790066188276,5.6310114815254195,-0.025354616130798542,-0.7907588901888573,-4.9731297
15674,25045784975400,5.3883,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.5091667,0.9318564466,9.241699329,185.3817871,-0.2040508206076621,0.1530362221883323,0.171259499867118,0.8513485431485953,0.9291609288888883,-0.26145535644840184,-30.429871808664004,-3.0283763154984,-2.7694007250432002,30.58019230152,2.7694007250432002,30.705337359839998,5.174699528,185.68335374525248,625.4180205864001,50.49515294904,129.55061569632,46.95503067,39.34799735,129.58151900256,46.949405,39.347334,4.444492046736,30.62759699208,0.19634722537944002,2.1747392839392,4.061520198,0.3663839898,0.1024866276,0.006631974913,570.3307878125637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320663589,-0.00609860625,0.991832388,-11.696393660966354,-0.8055440459932184,-131.00783938536264,17.44354118181453,-0.8055440459932184,-131.00783938536264,29.13993484278089,0.0,0.0,1.1914015343128266,-0.047992918081121896,-0.04093297351224392,0.06341911744770959,0.08435807811039178,-0.04294490229879308,-1.1279824168244423,0.13235099620507185,-0.002011928798751523,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0053883,200.0000000001819,185.5872909823135,0.9279364549107236,0.9068403942631682,True,-1.9312459512178425e-08,1.746582869533037e-08,-1.9878237230630944e-09,2.61147029004377e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.180179130999999,4.066999801,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,625.4180205864001,50.49515294904,129.55061569632,625.4180205864001,50.49515294904,129.55061569632,621.1301944543255,56.14535443150069,623.6625844854789,-174.83494266030522,126.35061963766655,636.3328518707244,-11.452798235771652,636.3328518707244,False,-0.5182964055576917,-0.2167297603052134,-16.62749776377165,-20.694497564771652,30.57894112896768,29.420178296075765,21.62912969006725,-623.637067590091,5.6415613742432456,-0.025413400545274367,-0.7910992783152995,-4.9677414
15675,25045788406700,3.4313,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.5141667,0.9309859302,9.242461547,185.3826644,-0.1998356644177377,0.1576467229238268,0.16995306505122607,0.8318510603893304,0.9123042103262549,-0.26105091132769276,-30.428408594928,-3.0287498716728,-2.7694030329887998,30.578773274640003,2.7694030329887998,30.70392430704,5.174942649,185.68432175744735,625.2658760088,50.48001152136,129.56447775648002,46.9550293,39.34799715,129.59536603608,46.949405,39.347334,4.444492046736,30.626167571520003,0.19635799530456,2.1749187943752,4.062043275,0.3664209493,0.1062353858,0.00797181205,570.277536346131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319850653,-0.006098928586,0.9918838842,-11.694366379516978,-0.8055888716120796,-131.0147399115544,17.43290400712287,-0.8055888716120796,-131.0147399115544,29.127270382191625,0.0,0.0,1.1900935037950657,-0.04947994327767615,-0.04091720159388911,0.06196847879841281,0.08282739045090942,-0.04287681123684093,-1.128125025010211,0.13230733372858558,-0.001959609647019275,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.005000000000009663,0.0034313,199.99999999961346,291.4347331915018,1.4571736659603252,0.9105913699279202,True,-5.48189367525412e-09,1.8089332118857454e-08,5.652667926289013e-10,1.8910172429673083e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.180418272,4.067518897999999,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,625.2658760088,50.48001152136,129.56447775648002,625.2658760088,50.48001152136,129.56447775648002,620.9780498767254,56.1302130038207,623.5096945842583,-174.83506975648064,126.36448169782658,636.1857601953344,-11.456755889808203,636.1857601953344,False,-0.5193915139279852,-0.21773415648067385,-16.6316985388082,-20.699217436808205,30.577516871289742,29.41817500118279,21.625602545696864,-623.4840760293,5.652095049194969,-0.025472157246608153,-0.791439931259958,-4.9643101
15676,25045792416900,4.0102,True,udp,127.0.0.1:63820,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,112.5191667,0.9301352959,9.243246757,185.3835354,-0.19571709756750805,0.162172220099202,0.168648676153029,0.812755331052349,0.8950947972795883,-0.26063497015259895,-30.426940711656002,-3.0291222558912,-2.7694073684640004,30.57734949288,2.7694073684640004,30.7025067432,5.175190359,185.68528850913506,625.1137390512,50.4648682344,129.57833984712,46.95502793,39.34799695,129.60921303912,46.949405,39.347334,4.444492046736,30.624732877920003,0.19637231648496,2.1751076780208,4.062584543,0.366464594,0.1098082304,0.009306337122,570.2241187351995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319122526,-0.006099352949,0.9919397728,-11.692307075320194,-0.8056471651115255,-131.02221599314095,17.423379323760738,-0.8056471651115255,-131.02221599314095,29.115686399080932,0.0,0.0,1.188805733129325,-0.051003909022259736,-0.040898502125629364,0.06054775910580547,0.08126469647165707,-0.042806866188751694,-1.128257974077752,0.1322686054939168,-0.0019083640739688725,0.526667,0.526667,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,0,0,True,0.0049999999999954525,0.0040102,200.0000000001819,249.36412149019998,1.246820607449866,0.9132666064376387,True,-7.747005282737614e-09,-1.1590966710117657e-08,-1.7871753703163692e-10,1.3942687692258724e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.180662214,4.0680563979999995,-7.650000001285362,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.800000001419933,13.800000001419933,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,625.1137390512,50.4648682344,129.57833984712,625.1137390512,50.4648682344,129.57833984712,620.8259129191255,56.1150697168607,623.3568121077957,-174.83519714825294,126.37834378846655,636.0386788395102,-11.460715244132459,636.0386788395102,False,-0.5204856573880079,-0.21873254825294453,-16.635905603132457,-20.70396200113246,30.576087853715794,29.416166276012135,21.622079263203574,-623.3310918103824,5.662612795371423,-0.02553088773883278,-0.7917808802064772,-4.9602999
