truth_seq,truth_recv_monotonic_ns,truth_receive_gap_ms,truth_connected,truth_transport,truth_source,truth_header_generation,truth_header_source,truth_header_exact,truth_header_field_count,truth_data_field_count,truth_unmapped_json,truth_servo_channel_count,truth_servo_channels_present_json,truth_unlabeled_dynamic_count,truth_sim_time_s,truth_roll_deg,truth_pitch_deg,truth_heading_deg,truth_p_deg_s,truth_q_deg_s,truth_r_deg_s,truth_pdot_deg_s2,truth_qdot_deg_s2,truth_rdot_deg_s2,truth_v_north_mps,truth_v_east_mps,truth_v_down_mps,truth_ground_speed_mps,truth_climb_rate_mps,truth_true_airspeed_mps,truth_gamma_deg,truth_ground_track_deg,truth_pos_north_m,truth_pos_east_m,truth_pos_up_m,truth_latitude_deg,truth_longitude_deg,truth_geod_altitude_m,truth_ic_latitude_deg,truth_ic_longitude_deg,truth_ic_geod_altitude_m,truth_u_aero_mps,truth_v_aero_mps,truth_w_aero_mps,truth_alpha_deg,truth_beta_deg,truth_alpha_dot_deg_s,truth_beta_dot_deg_s,truth_qbar_pa,truth_wind_north_mps,truth_wind_east_mps,truth_wind_down_mps,truth_gust_north_mps,truth_gust_east_mps,truth_gust_down_mps,truth_turb_north_mps,truth_turb_east_mps,truth_turb_down_mps,truth_nx,truth_ny,truth_nz,truth_aero_force_x_n,truth_aero_force_y_n,truth_aero_force_z_n,truth_total_force_x_n,truth_total_force_y_n,truth_total_force_z_n,truth_prop_force_x_n,truth_prop_force_y_n,truth_prop_force_z_n,truth_aero_roll_moment_nm,truth_aero_pitch_moment_nm,truth_aero_yaw_moment_nm,truth_total_roll_moment_nm,truth_total_pitch_moment_nm,truth_total_yaw_moment_nm,truth_prop_roll_moment_nm,truth_prop_pitch_moment_nm,truth_prop_yaw_moment_nm,truth_throttle_cmd_norm,truth_throttle_pos_norm,truth_servo01_deg,truth_servo02_deg,truth_servo04_deg,truth_servo05_deg,truth_servo06_deg,truth_servo07_deg,truth_unmapped_count,truth_missing_property_count,truth_servo_identity_valid,truth_sim_dt_s,truth_wall_dt_s,truth_sim_rate_hz,truth_receive_rate_hz,truth_rtf_instant,truth_rtf_filtered,truth_rtf_out_of_range,truth_wind_derived_north_mps,truth_wind_derived_east_mps,truth_wind_derived_down_mps,truth_wind_derived_magnitude_mps,truth_effective_wind_north_mps,truth_effective_wind_east_mps,truth_effective_wind_down_mps,truth_effective_wind_source,truth_effective_wind_magnitude_mps,truth_headwind_mps,truth_crosswind_right_mps,truth_pitch_minus_alpha_deg,truth_pitch_minus_gamma_deg,truth_elevon_right_deg,truth_elevon_left_deg,truth_rudder_upper_deg,truth_rudder_lower_deg,truth_canard_left_deg,truth_canard_right_deg,truth_target_configured,truth_target_3d_configured,truth_target_source,truth_target_latitude_deg,truth_target_longitude_deg,truth_target_altitude_m,truth_target_north_m,truth_target_east_m,truth_target_up_m,truth_target_hit_radius_m,truth_target_accuracy_mode_requested,truth_target_accuracy_mode,truth_target_accuracy_mode_forced_3d,truth_evaluation_point_enabled,truth_evaluation_point_body_x_m,truth_evaluation_point_body_y_m,truth_evaluation_point_body_z_m,truth_evaluation_pos_north_m,truth_evaluation_pos_east_m,truth_evaluation_pos_up_m,truth_reference_pos_north_m,truth_reference_pos_east_m,truth_reference_pos_up_m,truth_target_error_north_m,truth_target_error_east_m,truth_target_horizontal_distance_m,truth_target_bearing_deg,truth_target_error_up_m,truth_target_distance_3d_m,truth_target_elevation_deg,truth_target_metric_distance_m,truth_target_hit,truth_target_ground_track_error_deg,truth_target_body_yaw_error_deg,truth_target_flight_path_error_deg,truth_target_body_pitch_error_deg,truth_target_horizontal_closing_speed_mps,truth_target_closing_speed_mps,truth_target_time_to_go_s,truth_target_along_track_error_m,truth_target_cross_track_right_error_m,truth_target_los_yaw_rate_deg_s,truth_target_los_pitch_rate_deg_s,session_time_s
15310,25426287865900,3.9475,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5516667,1.129669004,9.122303859,184.7990869,-0.12602345262286055,0.07666913348704635,0.25903398804747063,0.018637101728989802,0.8039235756787504,-0.1464442830531499,-30.50953682688,-2.7521324889168004,-2.7280418729376,30.63341428296,2.7280418729376,30.754646532240002,5.089019334,185.1544523365669,646.7324526336,47.177186316000004,127.63848986856001,46.9552224,39.34795377,127.67149629480001,46.949405,39.347334,4.444492046736,30.677896551120003,0.23260457843736,2.1588982951488003,4.025444487,0.4333455008,0.1509052637,-0.03007464801,572.2692560075768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053074175,-0.007248407999,0.9869974142,-11.78336063714812,-0.9574101089231852,-130.3681169258508,13.905788110099547,-0.9574101089231852,-130.3681169258508,25.689148747247668,0.0,0.0,1.004695637413238,-0.04252477878743388,-0.02156349658884297,0.0013736857253220088,0.07304172405374894,-0.024004105657195934,-1.0033219516824927,0.11556650282762464,-0.0024406090669971507,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0039475,200.0000000001819,253.32488917036102,1.266624445850653,0.9226276913880341,True,5.786770000365238e-09,1.7335639074389396e-08,6.60606016070011e-10,1.828790555156854e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.096859372000001,4.033284525000001,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,646.7324526336,47.177186316000004,127.63848986856001,646.7324526336,47.177186316000004,127.63848986856001,642.4446265015255,52.827387798460705,644.6129311627975,-175.2992182513953,124.43849380990657,656.5141047715363,-10.926190147742997,656.5141047715363,False,-0.453670587962165,-0.09830515139526597,-16.015209481742996,-20.048494006743,30.63245400014683,29.56006946229876,22.209491273654198,-644.5927241212493,5.104021183403589,-0.02155919189720196,-0.7404912283142633,-4.9980513
15311,25426299101400,11.2355,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5566667,1.129247986,9.122671326,184.8004045,-0.12594358883793816,0.0806387777774192,0.2583017346353768,0.01232409415325028,0.7798931963379608,-0.14645982281446945,-30.50691204168,-2.7525305671656004,-2.727602672292,30.630835888320004,2.727602672292,30.752039334,5.088630388,185.15563503604758,646.5799127304001,47.1634259676,127.65214457328001,46.95522102,39.34795358,127.68513539376,46.949405,39.347334,4.444492046736,30.675267742560003,0.23250496425000003,2.1591233734896003,4.026206657,0.4331966391,0.1545173979,-0.02935591749,572.1714816459234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050398698,-0.0072450198,0.9870364567,-11.780005392514166,-0.9569625764602291,-130.37327388261602,13.870709198685857,-0.9569625764602291,-130.37327388261602,25.65071459120002,0.0,0.0,1.0046094392534461,-0.04453822209042223,-0.02161286175764356,0.0009062712740275427,0.07086017728975531,-0.024006271806857448,-1.0037031679640978,0.11539839938017754,-0.0023934100424347973,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0112355,200.0000000001819,89.00360464598816,0.44501802322953604,0.9121311913863817,True,4.127511281135712e-09,-9.217104602006485e-09,-5.275127404794926e-10,1.01128451145857e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.096464669,4.034040938,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,646.5799127304001,47.1634259676,127.65214457328001,646.5799127304001,47.1634259676,127.65214457328001,642.2920865983256,52.81362745006069,644.4597766744366,-175.29932610183758,124.45214851462657,656.366316184165,-10.929894551181752,656.366316184165,False,-0.4549611378851637,-0.09973060183756388,-16.018524939181752,-20.052565877181753,30.62987020959321,29.55706717975007,22.206747110344224,-644.4394593330537,5.117324084535369,-0.02162383754497677,-0.7407443798035709,-4.9868158
15312,25426299965900,0.8645,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5616667,1.128826786,9.123058468,184.8017188,-0.12589443805455333,0.08448782046797385,0.25756940158214947,0.006413892448779269,0.7556503556523699,-0.1464763025703477,-30.50427436344,-2.7529273466616,-2.7271634524440005,30.62824453968,2.7271634524440005,30.749419242720002,5.088243484,185.15681767823253,646.4273859336,47.149663607520004,127.66579705296,46.95521965,39.3479534,127.69877229816001,46.949405,39.347334,4.444492046736,30.672625370400002,0.23240718626928,2.1593568761976,4.02698639,0.4330513557,0.1579137731,-0.02864333069,572.0732356637192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047956233,-0.007241684047,0.9870790838,-11.776613249881914,-0.9565219716576165,-130.37890430808997,13.83868849745954,-0.9565219716576165,-130.37890430808997,25.615301747341455,0.0,0.0,1.0045276597043475,-0.04658480988167364,-0.02166073045594186,0.00046883203474966975,0.0686593254271826,-0.024008629099733315,-1.0040588276197038,0.11524413530885624,-0.0023478986397239983,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0008645,199.99999999961346,1156.737998843262,5.783689994227488,0.9205395784552518,True,-2.346703277491597e-08,-2.5623824548412665e-08,-1.4077833286324744e-09,3.477447146467063e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.096072078,4.034814984,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,646.4273859336,47.149663607520004,127.66579705296,646.4273859336,47.149663607520004,127.66579705296,642.1395598015255,52.7998650899807,644.3066350858239,-175.2994342773535,124.46580099430656,656.2185425852971,-10.933600218786953,656.2185425852971,False,-0.45625195558602627,-0.10115307735350143,-16.021843702786953,-20.056658686786953,30.62727345913801,29.55405198450158,22.204012597982306,-644.2862071476428,5.130623248871736,-0.021688506930610897,-0.740997438259013,-4.9859513
15313,25426304821100,4.8552,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5666667,1.128405251,9.123464679,184.8030298,-0.12587405112758276,0.08821523487563722,0.2568369841322389,0.0008757912670365111,0.7312120687496197,-0.1464937195132914,-30.501624798,-2.7533229182352,-2.7267245611704003,30.62564127336,2.7267245611704003,30.74678729472,5.087859089,185.15800026312166,646.274872548,47.135899296720005,127.67944736856,46.95521828,39.34795322,127.71240703848,46.949405,39.347334,4.444492046736,30.669970592880002,0.23231123614368,2.1595983043152,4.027782615,0.4329096201,0.1610994966,-0.02793655944,571.9745582803814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1045729293,-0.007238400669,0.987125079,-11.77318689597722,-0.9560882847292599,-130.38497960020766,13.809496558253237,-0.9560882847292599,-130.38497960020766,25.582683454230455,0.0,0.0,1.0044498699207256,-0.04866195744340959,-0.021707119617904048,5.907939744833534e-05,0.06644071464081909,-0.024011173902231436,-1.0043907905603724,0.11510267208422868,-0.002304054285683206,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0048552,200.0000000001819,205.96473883671118,1.0298236941826193,0.9215905654287039,True,6.610732948361728e-09,-2.4150960752114938e-08,3.1917758041213044e-10,2.504141708635095e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.095682064,4.035605589999999,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,646.274872548,47.135899296720005,127.67944736856,646.274872548,47.135899296720005,127.67944736856,641.9870464159254,52.7861007791807,644.153506705749,-175.299542774986,124.47945130990657,656.070784290635,-10.937307151284786,656.070784290635,False,-0.45754303810770125,-0.10257257498597028,-16.025166240284786,-20.060771830284786,30.62466475868414,29.551024802467143,22.20128705099463,-644.1329678739588,5.143918661767216,-0.02175320062614392,-0.7412504495979242,-4.9810961
15314,25426309794200,4.9731,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5716667,1.12798324,9.123889351,184.8043375,-0.1258806277090426,0.09182007917238567,0.25610447770198275,-0.004318708094983839,0.706595345027774,-0.14651207066392008,-30.4989643512,-2.753717361744,-2.7262863154632,30.623027064720002,2.7262863154632,30.744144526320003,5.087477635,185.15918279071502,646.1223722688001,47.12213300472,127.69309545912,46.95521691,39.34795304,127.72603955376002,46.949405,39.347334,4.444492046736,30.66730438536,0.23221710567408002,2.159847167724,4.028594293,0.4327714041,0.1640795857,-0.02723530041,571.8754863637096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1043701733,-0.00723516957,0.9871742264,-11.769728852941737,-0.9556615032201389,-130.39147129035075,13.782921467789198,-0.9556615032201389,-130.39147129035075,25.552650320730933,0.0,0.0,1.004375671563267,-0.050767160484972255,-0.02175204474052926,-0.00032511082697908085,0.06420589026484591,-0.0240139027841324,-1.0047007823356067,0.11497305074981817,-0.002261858049026408,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0049731,200.0000000001819,201.08182019263637,1.0054091009622674,0.9224160311001663,True,-4.612924496212748e-10,-1.4726395146284303e-09,-9.827728313098052e-10,1.829562871858561e-09,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.0952950580000005,4.036411716000001,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,646.1223722688001,47.12213300472,127.69309545912,646.1223722688001,47.12213300472,127.69309545912,641.8345461367255,52.7723344871807,644.0003912279583,-175.29965159543875,124.49309940046656,655.9230409888784,-10.941015349135375,655.9230409888784,False,-0.4588343861537396,-0.10398909543874879,-16.028492984135376,-20.064904700135376,30.622045117219795,29.547986564407434,22.198569759029958,-643.9797412074473,5.157210113273557,-0.021817918426669386,-0.741503457840754,-4.976123
15315,25426321276500,11.4823,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5766667,1.127560621,9.124331867,184.8056418,-0.12591250570566498,0.09530149684361126,0.25537187753583135,-0.009196015205532202,0.6818172821203975,-0.14653135361581102,-30.496293906960002,-2.7541107497304003,-2.7258490088448,30.62040279768,2.7258490088448,30.741491851920003,5.087099522,185.16036526101263,645.9698854008,47.108364731520005,127.70674135512002,46.95521554,39.34795286,127.73966990496001,46.949405,39.347334,4.444492046736,30.664627723200002,0.23212478690520003,2.1601029842304,4.029420409,0.4326366809,0.1668589551,-0.02653927358,571.7760539086877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041858626,-0.007231990634,0.9872263118,-11.766241540608027,-0.9552416115614777,-130.39835099886537,13.758767335283927,-0.9552416115614777,-130.39835099886537,25.525008880340177,0.0,0.0,1.0043046973408893,-0.052897979469569034,-0.021795520195487767,-0.0006857071696203287,0.061956405836142814,-0.02401681259993857,-1.0049904044375668,0.11485438530571185,-0.002221292411229894,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0114823,199.99999999961346,87.09056547904164,0.43545282739604985,0.9114841619154619,True,-1.110840821442544e-08,-2.1054412874749857e-10,-3.176183347589026e-11,1.111044871742498e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.094911458,4.0372323450000005,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.9698854008,47.108364731520005,127.70674135512002,645.9698854008,47.108364731520005,127.70674135512002,641.6820592687254,52.7585662139807,643.8472889562455,-175.29976074115808,124.50674529646658,655.7753129850394,-10.94472481053032,655.7753129850394,False,-0.4601260021706821,-0.10540254115807102,-16.03182433253032,-20.06905667753032,30.619415421616228,29.544938085849854,22.19586011923694,-643.8265274528343,5.170497493651943,-0.021882660430249595,-0.7417565022306977,-4.9646407
15316,25426326028900,4.7524,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5816667,1.127137268,9.124791611,184.8069427,-0.12596815085106608,0.0986587168027133,0.25463917905012223,-0.013780578468227118,0.6568950212058469,-0.14655156607713293,-30.49361425776,-2.7545031522984003,-2.7254129171592005,30.617769295200002,2.7254129171592005,30.738830064000002,5.086725124,185.16154761671865,645.817411944,47.09459450760001,127.72038508704,46.95521416,39.34795268,127.75329806160002,46.949405,39.347334,4.444492046736,30.661941459840005,0.2320342721256,2.1603652807848004,4.030259973,0.432505425,0.1694424122,-0.02584822042,571.6762925162866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1040186167,-0.007228863744,0.9872811243,-11.762727307637102,-0.9548285946293229,-130.40559092436635,13.736853006912147,-0.9548285946293229,-130.40559092436635,25.499580310101027,0.0,0.0,1.0042366101972513,-0.05505203821778004,-0.02183755937826088,-0.0010245320338638103,0.05969381855229799,-0.024019900448199533,-1.0052611423003974,0.1147458567836362,-0.002182341071294471,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0047524,200.0000000001819,210.41999831664,1.052099991582243,0.9128081034537456,True,-2.3696837968819157e-08,-1.7366910725746412e-08,-1.5976932669053957e-09,2.9422820083255613e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.094531637999999,4.038066486999999,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.817411944,47.09459450760001,127.72038508704,645.817411944,47.09459450760001,127.72038508704,641.5295858119255,52.74479599006071,643.6941998931277,-175.29987020966544,124.52038902838656,655.6276002883303,-10.948435538653023,655.6276002883303,False,-0.4614178263840927,-0.1068129096654502,-16.035160662653023,-20.07322714965302,30.616776467433517,29.541880095172758,22.193157584288688,-643.6733266130647,5.183780755841248,-0.021947426962081355,-0.7420096195915391,-4.9598883
15317,25426329735600,3.7067,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5866667,1.126713063,9.125267959,184.8082403,-0.12604614725194255,0.10189105384946459,0.2539063775466016,-0.018095056559621913,0.6318457011706482,-0.14657270529768854,-30.49092613512,-2.7548946301032,-2.7249782918664,30.61512734976,2.7249782918664,30.736159955040005,5.086354786,185.16272985783314,645.6649518984,47.08082230248,127.7340266244,46.95521279,39.3479525,127.76692402368,46.949405,39.347334,4.444492046736,30.65924644872,0.23194555374576004,2.1606335919576,4.031112017,0.4323776121,0.1718346848,-0.02516190229,571.5762304358592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1038671596,-0.007225788761,0.9873384548,-11.759188378139768,-0.9544224337411437,-130.4131634433975,13.717010984888933,-0.9544224337411437,-130.4131634433975,25.4761993630287,0.0,0.0,1.0041710991077148,-0.05722702291781099,-0.021878174735257383,-0.001343274462729454,0.05741968542108512,-0.024023163508813963,-1.0055143735707155,0.1146467083388961,-0.0021449887749124025,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0037067,200.0000000001819,269.7817465670273,1.3489087328339096,0.9160173007960154,True,2.1137202396201746e-08,1.2587713940545533e-08,2.2290540251422175e-09,2.4702237737379256e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.094155942,4.038913173,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.6649518984,47.08082230248,127.7340266244,645.6649518984,47.08082230248,127.7340266244,641.3771257663254,52.7310237849407,643.5411240361262,-175.29998000388906,124.53403056574656,655.4799028914854,-10.95214753154088,655.4799028914854,False,-0.4627098617222032,-0.10822030388908388,-16.038502317540882,-20.07741549054088,30.614128988679212,29.538813265609278,22.19046164778161,-643.5201386862793,5.197059829619917,-0.02201221821189432,-0.7422628434685221,-4.9561816
15318,25426333376100,3.6405,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5916667,1.126287897,9.125760286,184.8095344,-0.126145188965592,0.10499790826894098,0.25317346844160704,-0.022160426473002048,0.6066864144917455,-0.14659476789702672,-30.488230301040005,-2.755285240752,-2.724545366748,30.61247757096,2.724545366748,30.73348225656,5.085988826,185.16391204165183,645.512505264,47.06704817712,127.7476659672,46.95521142,39.34795232,127.78054782168,46.949405,39.347334,4.444492046736,30.6565433604,0.23185862435904,2.1609074611584003,4.031975599,0.4322532192,0.1740404137,-0.02448009886,571.4758949591529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037303108,-0.007222765538,0.9873980968,-11.755626909503508,-0.9540231097695873,-130.42104133284258,13.699086342103648,-0.9540231097695873,-130.42104133284258,25.454713256055378,0.0,0.0,1.0041078782658566,-0.059420681081513445,-0.021917377845162535,-0.0016434981868142407,0.0551355592201259,-0.024026599002355063,-1.0057513765136827,0.11455624030163933,-0.0021092211477018,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.005000000000009663,0.0036405,199.99999999961346,274.6875429199286,1.3734377146022974,0.9193237049006531,True,-1.1789673510843493e-08,-1.6709737136803578e-08,-1.1359285424935098e-09,2.0481749200861943e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.093784687,4.03977146,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.512505264,47.06704817712,127.7476659672,645.512505264,47.06704817712,127.7476659672,641.2246791319254,52.7172496595807,643.3880613902555,-175.30009011864422,124.54766990854657,655.3322208003812,-10.955860789721308,655.3322208003812,False,-0.46400216029604735,-0.10962451864418199,-16.041849615721308,-20.08162107572131,30.61147374952363,29.535738302896604,22.18777177938741,-643.3669636798489,5.2103344310299775,-0.022077033490839348,-0.7425162065333838,-4.9525411
15319,25426347665900,14.2898,True,udp,127.0.0.1:55751,0,exact_generated_schema,True,73,73,[],6,"[1,2,4,5,6,7]",0,110.5966667,1.125861664,9.126267964,184.8108252,-0.12626407140554588,0.10797876571692978,0.2524404470941804,-0.025996109512377213,0.5814341728590343,-0.14661774911959785,-30.48552733464,-2.7556750369752003,-2.7241143560784002,30.60982069032,2.7241143560784002,30.730797608640003,5.085627539,185.16509405358318,645.3600720408,47.053272070560006,127.7613031764,46.95521005,39.34795214,127.79416948608001,46.949405,39.347334,4.444492046736,30.65383295688,0.23177347668072001,2.161186440636,4.032849797,0.4321322242,0.176064162,-0.02380260681,571.3753105051001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103606978,-0.007219793921,0.9874598471,-11.752044974599599,-0.9536306018080117,-130.42919763647853,13.682935739062959,-0.9536306018080117,-130.42919763647853,25.434980713662558,0.0,0.0,1.004046685185322,-0.06163082048684674,-0.02195517955451994,-0.0019266510075014794,0.05284298518869421,-0.024030204108721497,-1.005973336249768,0.11447380567554094,-0.002075024559624829,0.455556,0.455556,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,0,0,True,0.0049999999999954525,0.0142898,200.0000000001819,69.97998572408291,0.34989992862009633,0.9035019797210094,True,-2.532045130059631e-09,1.3702909547196977e-08,-4.844387427685553e-10,1.3943301742945103e-08,0.0,0.0,0.0,jsbsim_total_wind,0.0,0.0,0.0,5.093418167,4.040640425,-7.500000000024367,-6.150000000134573,1.3499999998897945,1.3499999998897945,13.65000000015894,13.65000000015894,True,True,wgs84_geodetic,46.94944357,39.34725978,3.2,4.287826132074544,-5.650201482460698,3.199996058653434,2.0,horizontal,3d,True,False,0.0,0.0,0.0,645.3600720408,47.053272070560006,127.7613031764,645.3600720408,47.053272070560006,127.7613031764,641.0722459087254,52.7034735530207,643.23501195054,-175.30020055956467,124.56130711774657,655.184554022676,-10.959575319121713,655.184554022676,False,-0.4652946131478757,-0.11102575956465444,-16.045202858121712,-20.08584328312171,30.60881133142572,29.53265573620409,22.1850875815237,-643.2138015882229,5.223604640248155,-0.022141873526918116,-0.7427697370320914,-4.9382513
