recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
25426292675500,fov,2556,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9932417
25426292960500,gimbal,2556,"{""imu_roll"":0.0,""imu_pitch"":20.27589988708496,""imu_yaw"":0.1583104431629181,""frame_roll"":0.0,""frame_pitch"":20.27589988708496,""frame_yaw"":0.1583104431629181,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9929567
25426309547700,attitude,966,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110570,""roll"":-0.006174939684569836,""pitch"":0.1708839237689972,""yaw"":-3.06085467338562,""rollspeed"":-0.00262603722512722,""pitchspeed"":0.0021292860619723797,""yawspeed"":0.002789017278701067}",-4.9763695
25426316703200,fov,2557,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.969214
25426317103200,gimbal,2557,"{""imu_roll"":0.0,""imu_pitch"":20.292892456054688,""imu_yaw"":0.1505260020494461,""frame_roll"":0.0,""frame_pitch"":20.292892456054688,""frame_yaw"":0.1505260020494461,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.968814
25426323530000,target_offset,222,"{""x_angle_offset"":-0.014055472612380982,""y_angle_offset"":0.09870006596600567}",-4.9623872
25426324737900,range,988,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948455810546875,""y"":39.348533630371094}",-4.9611793
25426333086900,range,989,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.948455810546875,""y"":39.348533630371094}",-4.9528303
25426348490300,fov,2558,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9374269
25426348773700,gimbal,2558,"{""imu_roll"":0.0,""imu_pitch"":20.317270278930664,""imu_yaw"":0.1458640843629837,""frame_roll"":0.0,""frame_pitch"":20.317270278930664,""frame_yaw"":0.1458640843629837,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9371435
25426351996200,target_offset,223,"{""x_angle_offset"":-0.028110945224761964,""y_angle_offset"":0.09870006596600567}",-4.933921
25426357947200,position,484,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469544957,""lon"":393492970}",-4.92797
25426358183400,attitude,967,"{""message_type"":""ATTITUDE"",""time_boot_ms"":110610,""roll"":-0.00615086080506444,""pitch"":0.17097052931785583,""yaw"":-3.0608537197113037,""rollspeed"":-0.002645389409735799,""pitchspeed"":0.002598733641207218,""yawspeed"":0.0026629287749528885}",-4.9277338
25426358311200,vfr,484,"{""message_type"":""VFR_HUD"",""airspeed"":29.956207275390625,""alt"":178.72000122070312}",-4.927606
25426366477600,fov,2559,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9194396
25426366820200,gimbal,2559,"{""imu_roll"":0.0,""imu_pitch"":20.341541290283203,""imu_yaw"":0.1366981416940689,""frame_roll"":0.0,""frame_pitch"":20.341541290283203,""frame_yaw"":0.1366981416940689,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.919097
25426389609900,fov,2560,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8963073
