recv_monotonic_ns,stream,stream_seq,payload_json,session_time_s
25958804020600,target_offset,237,"{""x_angle_offset"":0.014055472612380982,""y_angle_offset"":0.056400037694860385}",-4.9943039
25958813556600,gimbal,2642,"{""imu_roll"":0.0,""imu_pitch"":23.05211639404297,""imu_yaw"":0.059255678206682205,""frame_roll"":0.0,""frame_pitch"":23.05211639404297,""frame_yaw"":0.059255678206682205,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9847679
25958813939400,fov,2642,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9843851
25958828074000,position,492,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543989,""lon"":393492847}",-4.9702505
25958828241700,gimbal,2643,"{""imu_roll"":0.0,""imu_pitch"":23.05824851989746,""imu_yaw"":0.06006883457303047,""frame_roll"":0.0,""frame_pitch"":23.05824851989746,""frame_yaw"":0.06006883457303047,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9700828
25958828496100,attitude,984,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111610,""roll"":-0.015189097262918949,""pitch"":0.16993887722492218,""yaw"":-3.0623087882995605,""rollspeed"":0.002578363288193941,""pitchspeed"":-0.005929860752075911,""yawspeed"":-0.0012401333078742027}",-4.9698284
25958828581700,vfr,492,"{""message_type"":""VFR_HUD"",""airspeed"":29.393054962158203,""alt"":188.4099884033203}",-4.9697428
25958828776200,fov,2643,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9695483
25958843697800,target_offset,238,"{""x_angle_offset"":0.014055472612380982,""y_angle_offset"":0.04230002827114529}",-4.9546267
25958850748200,gimbal,2644,"{""imu_roll"":0.0,""imu_pitch"":23.066469192504883,""imu_yaw"":0.061219967901706696,""frame_roll"":0.0,""frame_pitch"":23.066469192504883,""frame_yaw"":0.061219967901706696,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9475763
25958856373500,fov,2644,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.941951
25958870265300,gimbal,2645,"{""imu_roll"":0.0,""imu_pitch"":23.071500778198242,""imu_yaw"":0.061778414994478226,""frame_roll"":0.0,""frame_pitch"":23.071500778198242,""frame_yaw"":0.061778414994478226,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9280592
25958870741800,fov,2645,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9275827
25958881683100,target_offset,239,"{""x_angle_offset"":0.014055472612380982,""y_angle_offset"":0.028200018847430192}",-4.9166414
25958891106900,gimbal,2646,"{""imu_roll"":0.0,""imu_pitch"":23.07584571838379,""imu_yaw"":0.06243741512298584,""frame_roll"":0.0,""frame_pitch"":23.07584571838379,""frame_yaw"":0.06243741512298584,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.9072176
25958891320300,fov,2646,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.9070042
25958892028000,attitude,985,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111670,""roll"":-0.014929466880857944,""pitch"":0.17022328078746796,""yaw"":-3.0625224113464355,""rollspeed"":0.002355593256652355,""pitchspeed"":-0.006221645046025515,""yawspeed"":-0.0010823148768395185}",-4.9062965
25958904833000,range,1002,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94915771484375,""y"":39.3486213684082}",-4.8934915
25958907866800,gimbal,2647,"{""imu_roll"":0.0,""imu_pitch"":23.078609466552734,""imu_yaw"":0.06273801624774933,""frame_roll"":0.0,""frame_pitch"":23.078609466552734,""frame_yaw"":0.06273801624774933,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8904577
25958908295600,fov,2647,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8900289
25958914041300,range,1003,"{""message_type"":""GLOBAL_VISION_POSITION_ESTIMATE"",""x"":46.94915771484375,""y"":39.3486213684082}",-4.8842832
25958919872200,target_offset,240,"{""x_angle_offset"":0.014055472612380982,""y_angle_offset"":0.028200018847430192}",-4.8784523
25958934213200,gimbal,2648,"{""imu_roll"":0.0,""imu_pitch"":23.082250595092773,""imu_yaw"":0.06322494149208069,""frame_roll"":0.0,""frame_pitch"":23.082250595092773,""frame_yaw"":0.06322494149208069,""pitch_speed"":0.0,""yaw_speed"":0.0}",-4.8641113
25958934775000,fov,2648,"{""zoom"":6.669999599456787,""hfov"":13.493253707885742,""vfov"":7.614005088806152,""state"":0,""max_aov_h"":90.0,""max_aov_v"":58.71550750732422,""min_aov_h"":1.40625,""min_aov_v"":0.7910428047180176,""max_zoom"":64.0}",-4.8635495
25958935232800,position,493,"{""message_type"":""GLOBAL_POSITION_INT"",""lat"":469543989,""lon"":393492847}",-4.8630917
25958935548800,attitude,986,"{""message_type"":""ATTITUDE"",""time_boot_ms"":111710,""roll"":-0.014765558764338493,""pitch"":0.1703975796699524,""yaw"":-3.0626580715179443,""rollspeed"":0.0021394863724708557,""pitchspeed"":-0.006564302369952202,""yawspeed"":-0.0009033612441271544}",-4.8627757
25958935638100,vfr,493,"{""message_type"":""VFR_HUD"",""airspeed"":29.320022583007812,""alt"":188.8000030517578}",-4.8626864
